Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,66.31,67.00,66.04,66.82,352100,60.30
2009-12-23,66.71,67.00,66.21,66.26,376100,59.80
2009-12-22,66.02,66.97,65.54,66.86,628200,60.34
2009-12-21,65.00,65.81,64.32,65.77,613600,59.36
2009-12-18,63.76,64.87,63.62,64.87,974200,58.54
2009-12-17,62.77,64.32,62.58,63.40,884400,57.22
2009-12-16,63.06,63.34,62.11,63.03,744200,56.88
2009-12-15,64.66,64.66,62.63,62.82,795800,56.69
2009-12-14,64.45,64.89,63.88,64.85,774200,58.53
2009-12-11,63.70,64.59,63.19,64.44,758600,58.16
2009-12-10,64.09,64.50,63.31,63.59,734800,57.39
2009-12-09,63.54,64.38,63.22,63.96,933800,57.72
2009-12-08,61.96,64.08,61.93,63.75,1469800,57.53
2009-12-07,63.37,63.99,61.22,61.43,1580800,55.44
2009-12-04,63.62,64.37,62.20,63.44,927500,57.25
2009-12-03,66.00,66.30,62.77,62.83,830500,56.70
2009-12-02,65.41,66.02,64.99,65.44,577300,59.06
2009-12-01,65.77,66.01,64.90,65.65,926200,59.25
2009-11-30,64.22,65.62,64.00,65.58,636700,59.19
2009-11-27,64.44,65.23,63.83,63.85,420200,57.62
2009-11-25,66.41,66.66,66.00,66.37,325400,59.27
2009-11-24,66.44,66.62,65.55,66.42,950500,59.31
2009-11-23,66.49,67.45,66.31,66.61,794500,59.48
2009-11-20,65.14,65.98,64.05,65.85,1145200,58.80
2009-11-19,64.07,65.81,64.00,65.33,1746100,58.34
2009-11-18,63.32,64.96,63.17,64.87,954000,57.93
2009-11-17,63.46,63.64,62.59,63.51,1035300,56.71
2009-11-16,62.92,63.98,62.51,63.40,1217800,56.61
2009-11-13,63.18,63.62,62.20,62.50,633800,55.81
2009-11-12,64.11,64.30,62.91,63.00,636400,56.26
2009-11-11,63.91,65.00,63.60,64.24,597200,57.36
2009-11-10,64.65,64.65,63.01,63.54,501800,56.74
2009-11-09,64.26,64.62,62.86,64.62,787000,57.70
2009-11-06,61.85,63.25,61.51,62.83,665500,56.11
2009-11-05,61.25,62.68,60.39,62.57,1121200,55.87
2009-11-04,63.09,63.90,60.71,60.95,1462000,54.43
2009-11-03,62.74,63.71,62.26,62.75,939300,56.03
2009-11-02,63.37,65.07,62.38,63.28,884600,56.51
2009-10-30,65.39,65.64,62.25,62.85,1199200,56.12
2009-10-29,66.48,66.48,64.58,65.67,1294600,58.64
2009-10-28,66.87,67.32,64.69,64.85,816600,57.91
2009-10-27,67.83,68.90,66.60,66.68,899700,59.54
2009-10-26,68.75,69.62,67.64,67.93,879800,60.66
2009-10-23,68.94,69.63,67.89,68.77,627600,61.41
2009-10-22,66.52,68.98,65.97,68.96,1056900,61.58
2009-10-21,67.29,69.39,66.07,66.27,1307200,59.18
2009-10-20,68.56,69.89,65.87,67.32,1578000,60.11
2009-10-19,66.92,67.67,65.60,66.27,843000,59.18
2009-10-16,66.14,68.11,65.28,66.53,1429100,59.41
2009-10-15,66.98,67.48,66.07,67.19,573600,60.00
2009-10-14,66.73,67.31,65.27,67.27,744100,60.07
2009-10-13,66.02,66.46,64.80,65.89,844500,58.84
2009-10-12,65.97,66.48,65.14,66.22,617000,59.13
2009-10-09,63.22,66.07,62.92,66.02,1280300,58.95
2009-10-08,63.32,63.39,62.52,63.15,578300,56.39
2009-10-07,61.95,62.61,61.35,62.46,627800,55.78
2009-10-06,61.00,62.39,60.72,62.31,998900,55.64
2009-10-05,60.44,61.22,60.21,60.44,1167900,53.97
2009-10-02,59.28,61.11,59.09,60.14,1078100,53.70
2009-10-01,61.98,62.79,60.00,60.17,1037100,53.73
2009-09-30,63.15,63.61,61.92,62.32,665900,55.65
2009-09-29,63.30,64.10,62.15,62.47,559400,55.78
2009-09-28,62.58,63.26,61.13,63.23,812800,56.46
2009-09-25,63.13,63.25,60.77,62.47,1074800,55.78
2009-09-24,64.25,65.21,62.70,63.16,568200,56.40
2009-09-23,65.08,65.08,63.77,63.79,462300,56.96
2009-09-22,66.15,66.33,64.50,65.18,618100,58.20
2009-09-21,65.16,65.71,64.43,65.47,471600,58.46
2009-09-18,65.36,66.40,64.81,66.04,880500,58.97
