Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,2.33,2.41,2.27,2.39,2232200,2.39
2012-12-21,2.34,2.37,2.26,2.34,5495000,2.34
2012-12-20,2.43,2.44,2.37,2.40,2359900,2.40
2012-12-19,2.44,2.49,2.40,2.43,3796300,2.43
2012-12-18,2.46,2.49,2.33,2.44,4965400,2.44
2012-12-17,2.37,2.46,2.36,2.44,3127600,2.44
2012-12-14,2.31,2.45,2.31,2.36,4926000,2.36
2012-12-13,2.26,2.38,2.25,2.36,5475000,2.36
2012-12-12,2.10,2.31,2.08,2.23,7399800,2.23
2012-12-11,2.06,2.10,2.03,2.07,4531600,2.07
2012-12-10,1.98,2.03,1.92,1.99,2716700,1.99
2012-12-07,1.96,2.02,1.95,1.96,2369200,1.96
2012-12-06,1.93,1.96,1.87,1.96,2012400,1.96
2012-12-05,1.89,1.95,1.87,1.93,3002600,1.93
2012-12-04,1.88,1.90,1.84,1.90,2347700,1.90
2012-12-03,1.87,1.97,1.85,1.88,5613800,1.88
2012-11-30,1.68,1.75,1.67,1.75,2837200,1.75
2012-11-29,1.72,1.79,1.65,1.68,3812300,1.68
2012-11-28,1.69,1.71,1.64,1.69,1627500,1.69
2012-11-27,1.69,1.73,1.68,1.70,2322900,1.70
2012-11-26,1.66,1.71,1.64,1.69,1801100,1.69
2012-11-23,1.68,1.70,1.66,1.67,1009700,1.67
2012-11-21,1.66,1.68,1.62,1.67,1760800,1.67
2012-11-20,1.68,1.70,1.62,1.64,3790500,1.64
2012-11-19,1.59,1.71,1.59,1.68,5350700,1.68
2012-11-16,1.50,1.58,1.42,1.56,3948200,1.56
2012-11-15,1.56,1.59,1.49,1.50,3381800,1.50
2012-11-14,1.58,1.68,1.55,1.55,4567800,1.55
2012-11-13,1.56,1.69,1.55,1.55,2946800,1.55
2012-11-12,1.69,1.86,1.60,1.63,2289100,1.63
2012-11-09,1.48,1.68,1.46,1.67,6941000,1.67
2012-11-08,1.77,1.84,1.66,1.68,4510500,1.68
2012-11-07,1.87,1.90,1.76,1.77,3794600,1.77
2012-11-06,1.91,1.95,1.88,1.90,1905400,1.90
2012-11-05,1.96,1.96,1.84,1.88,2798000,1.88
2012-11-02,1.96,2.01,1.92,1.96,4056500,1.96
2012-11-01,1.81,2.07,1.81,1.94,7360000,1.94
2012-10-31,1.93,1.93,1.67,1.72,5965200,1.72
2012-10-26,1.89,1.94,1.85,1.87,1590300,1.87
2012-10-25,1.85,1.93,1.84,1.90,2259400,1.90
2012-10-24,1.94,1.98,1.81,1.85,3359400,1.85
2012-10-23,1.91,2.02,1.89,1.92,5792700,1.92
2012-10-22,1.96,2.11,1.91,2.02,3281500,2.02
2012-10-19,1.98,2.03,1.81,2.02,5552100,2.02
2012-10-18,2.15,2.17,1.95,2.02,7138100,2.02
2012-10-17,1.72,2.16,1.72,2.10,16333600,2.10
2012-10-16,1.74,1.76,1.71,1.74,3322300,1.74
2012-10-15,1.68,1.73,1.64,1.71,2804500,1.71
2012-10-12,1.67,1.67,1.61,1.66,3748300,1.66
2012-10-11,1.67,1.70,1.62,1.66,1655900,1.66
2012-10-10,1.64,1.67,1.59,1.65,1367800,1.65
2012-10-09,1.68,1.70,1.58,1.64,4507400,1.64
2012-10-08,1.79,1.80,1.70,1.70,2779200,1.70
2012-10-05,1.83,1.85,1.77,1.81,3690400,1.81
