Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,15.33,15.51,15.26,15.37,853600,15.37
2012-12-21,15.46,15.57,15.20,15.51,2499700,15.51
2012-12-20,15.70,15.83,15.39,15.82,2378900,15.82
2012-12-19,15.86,16.03,15.59,15.67,2727800,15.67
2012-12-18,15.69,15.91,15.56,15.81,6469000,15.81
2012-12-17,15.66,15.77,15.60,15.73,3498400,15.73
2012-12-14,15.19,15.77,15.10,15.56,1982800,15.56
2012-12-13,15.65,15.73,15.02,15.26,2542800,15.26
2012-12-12,15.50,15.80,15.46,15.68,2619800,15.68
2012-12-11,15.44,15.50,15.27,15.42,1471900,15.42
2012-12-10,14.95,15.40,14.88,15.38,1418200,15.38
2012-12-07,14.87,15.06,14.85,14.93,1320400,14.93
2012-12-06,14.93,14.94,14.57,14.75,1858200,14.75
2012-12-05,15.10,15.23,14.72,14.92,1799400,14.92
2012-12-04,14.86,15.14,14.86,15.08,1764300,15.08
2012-12-03,15.11,15.15,14.86,14.90,1359100,14.90
2012-11-30,14.96,15.01,14.76,15.00,1643800,15.00
2012-11-29,14.79,14.99,14.76,14.93,1519700,14.93
2012-11-28,14.44,14.75,14.16,14.70,1563600,14.70
2012-11-27,14.63,14.95,14.62,14.67,1608900,14.59
2012-11-26,14.47,14.89,14.40,14.78,1914000,14.70
2012-11-23,14.55,14.59,14.33,14.50,751200,14.42
2012-11-21,14.10,14.55,14.06,14.45,1754000,14.37
2012-11-20,14.00,14.30,13.94,14.17,1457700,14.09
2012-11-19,13.53,14.10,13.52,14.04,2142600,13.96
2012-11-16,13.26,13.35,12.82,13.26,2503900,13.19
2012-11-15,13.42,13.67,12.93,13.17,2364400,13.10
2012-11-14,13.74,13.96,13.43,13.55,2852100,13.48
2012-11-13,13.58,13.92,13.35,13.72,1029800,13.65
2012-11-12,13.59,13.82,13.50,13.74,1893100,13.67
2012-11-09,13.23,13.82,13.19,13.50,3042100,13.43
2012-11-08,14.00,14.10,13.15,13.28,3808300,13.21
2012-11-07,14.16,14.27,13.72,13.95,2472100,13.87
2012-11-06,14.35,14.74,14.14,14.55,2062200,14.47
2012-11-05,13.56,14.78,13.43,14.32,4594600,14.24
2012-11-02,14.95,14.95,14.17,14.69,4393600,14.61
2012-11-01,14.29,14.91,14.29,14.85,2620400,14.77
2012-10-31,13.91,14.28,13.86,14.25,2156000,14.17
2012-10-26,13.90,14.13,13.59,13.86,1602900,13.78
2012-10-25,14.10,14.10,13.55,13.86,2440800,13.78
2012-10-24,14.19,14.40,13.96,14.03,2380300,13.95
2012-10-23,13.91,14.29,13.75,14.18,2448000,14.10
2012-10-22,14.73,14.88,13.74,14.28,6437500,14.20
2012-10-19,14.16,15.46,13.89,15.26,9979100,15.18
2012-10-18,14.35,14.54,14.23,14.37,1332800,14.29
2012-10-17,13.61,14.47,13.53,14.44,3408400,14.36
2012-10-16,13.70,13.80,13.52,13.57,1596100,13.50
2012-10-15,13.35,13.62,13.27,13.56,1648200,13.49
2012-10-12,13.54,13.64,13.16,13.30,1069400,13.23
2012-10-11,13.60,13.82,13.35,13.43,1349400,13.36
2012-10-10,13.38,13.68,13.25,13.39,2080800,13.32
2012-10-09,14.11,14.20,13.50,13.52,2016500,13.45
2012-10-08,13.95,14.27,13.85,14.12,1680200,14.04
2012-10-05,13.99,14.57,13.95,14.13,3376600,14.05
2012-10-04,13.46,13.85,13.35,13.83,3012000,13.75
2012-10-03,13.56,13.67,13.32,13.35,1564500,13.28
2012-10-02,13.41,13.62,13.23,13.55,1942300,13.48
2012-10-01,13.46,13.89,13.24,13.34,2444500,13.27
2012-09-28,13.42,13.48,13.19,13.34,1558500,13.27
