Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,55.52,55.99,55.39,55.99,429200,50.49
2009-12-23,54.67,55.46,54.22,55.40,1256700,49.96
2009-12-22,53.85,54.48,53.75,54.27,1210100,48.94
2009-12-21,53.66,54.34,53.59,53.88,1605500,48.58
2009-12-18,54.09,54.68,53.04,53.40,3370000,48.15
2009-12-17,54.08,54.49,53.65,53.86,1306300,48.57
2009-12-16,54.18,55.43,53.93,54.65,1816400,49.28
2009-12-15,53.59,54.63,53.26,53.86,1735500,48.57
2009-12-14,53.95,54.59,53.40,53.94,2077200,48.64
2009-12-11,53.79,53.82,52.52,53.18,3048800,47.95
2009-12-10,53.43,53.93,53.05,53.43,2644700,48.18
2009-12-09,53.86,54.05,52.55,53.23,2123800,48.00
2009-12-08,54.46,54.53,53.62,53.80,1702500,48.51
2009-12-07,54.69,55.55,54.51,54.81,2169900,49.42
2009-12-04,56.52,57.35,54.75,55.09,2084400,49.68
2009-12-03,56.66,57.01,55.69,55.71,1502700,50.23
2009-12-02,57.16,57.50,56.40,56.66,1330300,51.09
2009-12-01,57.34,57.70,56.84,57.28,2165400,51.65
2009-11-30,56.37,57.36,55.92,56.39,2142900,50.85
2009-11-27,56.65,57.17,55.75,56.70,879800,51.13
2009-11-25,57.51,58.47,57.31,58.40,966000,52.66
2009-11-24,57.68,57.74,56.50,57.51,2587000,51.86
2009-11-23,58.12,58.74,57.56,57.74,1858600,52.07
2009-11-20,57.13,57.45,56.81,57.06,2309800,51.45
2009-11-19,59.15,59.25,57.14,57.61,2868600,51.95
2009-11-18,60.77,60.93,59.36,59.66,1697400,53.80
2009-11-17,60.97,60.97,59.88,60.53,1492000,54.58
2009-11-16,60.33,61.53,60.33,60.90,2148900,54.91
2009-11-13,59.46,60.53,58.78,59.77,2150300,53.90
2009-11-12,61.14,61.54,59.33,59.58,1554500,53.72
2009-11-11,62.38,62.88,61.22,61.58,1074400,55.53
2009-11-10,62.15,62.26,60.75,61.73,1951300,55.66
2009-11-09,61.17,62.81,61.17,62.81,1824700,56.41
2009-11-06,60.16,61.24,59.68,60.40,2206600,54.25
2009-11-05,63.26,63.26,59.11,60.81,3881700,54.62
2009-11-04,63.83,64.51,63.02,63.27,1573400,56.82
2009-11-03,61.38,63.79,60.51,63.23,1808600,56.79
2009-11-02,61.49,63.13,61.24,62.29,2043600,55.94
2009-10-30,63.27,63.42,60.66,61.14,1845300,54.91
2009-10-29,61.52,63.49,61.52,63.49,1540300,57.02
2009-10-28,63.05,63.05,60.76,60.94,1775000,54.73
2009-10-27,62.62,64.25,62.19,63.54,1810200,57.07
2009-10-26,63.33,65.12,61.94,62.23,1539700,55.89
2009-10-23,64.14,64.40,62.65,63.10,1391100,56.67
2009-10-22,63.77,64.05,62.73,63.95,1060000,57.44
2009-10-21,63.44,65.00,63.20,63.68,1177400,57.19
2009-10-20,64.70,64.70,62.70,63.79,1335100,57.29
2009-10-19,63.75,64.53,63.16,64.36,1143400,57.80
2009-10-16,63.88,64.27,63.13,63.87,1440700,57.36
2009-10-15,62.77,64.66,62.28,64.66,1657900,58.07
2009-10-14,62.72,63.02,62.10,62.95,1672000,56.54
2009-10-13,62.00,62.08,60.66,61.76,1438700,55.47
2009-10-12,61.99,62.78,61.69,62.03,1057100,55.71
2009-10-09,60.78,61.50,60.73,61.42,1336700,55.16
2009-10-08,59.78,61.36,59.59,61.20,1839400,54.97
2009-10-07,58.63,59.40,58.08,59.38,1791400,53.33
2009-10-06,58.12,59.42,57.68,58.99,2004500,52.98
2009-10-05,56.33,57.72,55.64,57.56,2062700,51.70
2009-10-02,54.98,55.95,54.55,55.57,1479500,49.91
2009-10-01,57.40,57.76,55.78,55.90,1876200,50.21
2009-09-30,58.41,58.57,56.89,57.57,1954200,51.71
2009-09-29,58.45,58.62,57.27,58.10,1981200,52.18
2009-09-28,57.61,58.65,57.32,58.40,1353800,52.45
2009-09-25,57.97,58.60,57.19,57.62,1813300,51.75
2009-09-24,59.43,60.17,57.69,58.03,1569400,52.12
2009-09-23,61.63,61.66,59.82,59.86,1685100,53.76
2009-09-22,60.93,62.12,60.53,61.46,1557800,55.20
2009-09-21,59.40,60.20,58.87,59.92,926800,53.82
2009-09-18,61.47,61.47,60.20,60.43,1403000,54.27
2009-09-17,61.44,61.97,60.56,60.97,1316800,54.76
2009-09-16,62.01,62.01,61.24,61.79,1496400,55.50
2009-09-15,61.00,61.72,60.47,61.16,1875100,54.93
2009-09-14,59.09,60.92,58.99,60.75,1691300,54.56
2009-09-11,60.30,60.84,59.32,59.88,1104400,53.78
2009-09-10,58.25,60.15,58.25,60.13,1458500,54.00
2009-09-09,58.62,58.93,57.97,58.66,1252300,52.68
2009-09-08,57.98,58.83,57.98,58.40,1867700,52.45
2009-09-04,56.15,57.10,55.95,57.02,770800,51.21
2009-09-03,57.24,57.24,55.60,56.13,1564900,50.41
2009-09-02,55.71,56.72,55.57,56.30,1441500,50.56
2009-09-01,56.80,57.66,55.83,55.91,1550900,50.21
2009-08-31,57.58,57.94,56.64,57.00,1236200,51.19
2009-08-28,59.07,59.29,58.30,58.63,1089300,52.66
2009-08-27,58.08,58.81,57.00,58.69,1354400,52.71
2009-08-26,58.56,59.01,57.60,58.54,1745400,52.58
2009-08-25,61.05,61.36,58.96,59.11,1409200,53.09
2009-08-24,59.86,61.28,59.70,60.66,1744500,54.48
2009-08-21,58.62,59.42,58.46,59.30,1164900,53.26
2009-08-20,58.24,58.54,57.46,57.94,1205200,52.04
2009-08-19,55.66,58.78,55.29,58.05,1810300,52.14
2009-08-18,55.69,56.54,55.69,56.32,1407700,50.58
2009-08-17,56.91,57.05,55.61,55.86,1096800,50.17
2009-08-14,58.82,59.06,57.64,58.16,1188700,52.24
2009-08-13,58.16,59.29,57.77,58.78,1775800,52.79
2009-08-12,57.13,58.35,57.10,57.80,1447400,51.69
