Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,31.65,31.78,31.43,31.69,843400,31.69
2012-12-24,31.50,31.64,31.19,31.56,411700,31.56
2012-12-21,31.35,31.55,31.21,31.48,1681400,31.48
2012-12-20,31.16,31.71,31.09,31.69,756900,31.69
2012-12-19,31.17,31.30,30.98,31.11,1368200,31.11
2012-12-18,30.77,31.24,30.59,31.15,794400,31.15
2012-12-17,30.37,30.81,30.32,30.81,1096300,30.81
2012-12-14,30.32,30.45,30.22,30.29,847900,30.29
2012-12-13,30.71,30.75,30.28,30.30,1079100,30.30
2012-12-12,31.03,31.11,30.56,30.65,1007600,30.65
2012-12-11,30.88,31.04,30.84,30.99,619000,30.99
2012-12-10,30.62,31.01,30.52,30.82,759400,30.82
2012-12-07,30.54,30.70,30.41,30.69,633700,30.69
2012-12-06,30.35,30.56,30.24,30.49,931000,30.49
2012-12-05,30.53,30.69,30.11,30.34,867500,30.34
2012-12-04,30.70,30.95,30.54,30.55,836900,30.55
2012-12-03,31.04,31.10,30.59,30.66,856800,30.66
2012-11-30,30.72,30.98,30.69,30.91,1279700,30.91
2012-11-29,30.55,30.82,30.46,30.71,983800,30.71
2012-11-28,30.07,30.45,29.85,30.45,1128200,30.45
2012-11-27,29.45,30.16,29.39,30.11,1656000,30.11
2012-11-26,29.44,29.44,29.21,29.38,774400,29.38
2012-11-23,29.17,29.46,29.16,29.42,301000,29.42
2012-11-21,28.96,29.06,28.90,29.03,470900,29.03
2012-11-20,29.12,29.12,28.71,28.90,1025700,28.90
2012-11-19,29.04,29.27,28.97,29.27,1507700,29.02
2012-11-16,28.31,28.69,27.93,28.66,2363100,28.42
2012-11-15,28.78,28.92,28.28,28.28,1660300,28.04
2012-11-14,29.45,29.45,28.76,28.87,1063200,28.62
2012-11-13,29.43,29.73,29.11,29.42,642000,29.17
2012-11-12,29.57,29.77,29.52,29.58,651000,29.33
2012-11-09,29.43,29.93,29.21,29.52,706500,29.27
2012-11-08,29.95,30.01,29.46,29.51,686500,29.26
2012-11-07,29.99,30.13,29.72,29.90,985200,29.64
2012-11-06,30.08,30.36,29.95,30.26,516200,30.00
2012-11-05,29.80,30.11,29.74,30.03,663100,29.77
2012-11-02,30.53,30.55,29.91,29.92,611500,29.66
2012-11-01,29.63,30.40,29.55,30.38,852200,30.12
2012-10-31,29.69,30.08,29.42,29.69,776400,29.44
2012-10-26,29.64,29.71,29.35,29.61,671500,29.36
2012-10-25,29.77,29.83,29.30,29.59,645000,29.34
2012-10-24,29.86,29.93,29.47,29.60,1047600,29.35
2012-10-23,30.11,30.38,29.44,29.82,1474500,29.57
2012-10-22,30.45,30.50,30.10,30.39,697600,30.13
2012-10-19,30.69,30.87,30.27,30.37,868000,30.11
2012-10-18,30.64,31.03,30.55,30.89,886700,30.63
2012-10-17,30.66,30.95,30.52,30.67,1023300,30.41
2012-10-16,30.27,30.58,30.21,30.58,765500,30.32
2012-10-15,30.07,30.18,29.98,30.15,1366900,29.89
2012-10-12,30.20,30.25,29.98,30.08,807100,29.82
2012-10-11,30.37,30.50,30.07,30.09,797300,29.83
2012-10-10,30.18,30.28,29.98,30.06,1105600,29.80
2012-10-09,30.38,30.58,30.14,30.14,842600,29.88
2012-10-08,30.32,30.47,30.26,30.34,1157600,30.08
2012-10-05,30.89,31.23,30.45,30.45,2059400,30.19
2012-10-04,31.24,31.34,31.11,31.20,771600,30.93
2012-10-03,30.94,31.16,30.87,31.15,509400,30.88
2012-10-02,30.97,31.08,30.73,30.88,505000,30.62
2012-10-01,30.71,31.17,30.67,30.89,890200,30.63
2012-09-28,30.52,30.89,30.37,30.60,1133300,30.34
2012-09-27,30.62,30.79,30.37,30.66,623300,30.40
2012-09-26,30.58,30.67,30.30,30.54,727800,30.28
2012-09-25,30.91,31.09,30.54,30.55,1003000,30.29
2012-09-24,30.71,30.97,30.66,30.86,654800,30.60
2012-09-21,30.85,31.12,30.60,30.70,1324000,30.44
2012-09-20,30.14,30.59,30.03,30.55,856300,30.29
2012-09-19,30.30,30.40,30.21,30.30,541700,30.04
2012-09-18,30.32,30.63,30.15,30.30,795600,30.04
2012-09-17,29.47,30.41,29.42,30.29,939800,30.03
2012-09-14,30.42,31.04,30.29,30.81,1084700,30.55
2012-09-13,29.82,30.60,29.75,30.46,1625400,30.20
2012-09-12,29.66,29.89,29.48,29.88,1332700,29.62
2012-09-11,29.40,29.76,29.25,29.55,1391500,29.30
2012-09-10,29.43,29.71,29.33,29.50,709600,29.25
2012-09-07,29.37,29.77,29.33,29.63,817700,29.38
2012-09-06,28.99,29.32,28.91,29.29,749900,29.04
2012-09-05,28.66,28.82,28.41,28.80,607600,28.55
2012-09-04,28.74,28.83,28.43,28.71,660600,28.46
2012-08-31,28.81,28.97,28.68,28.76,514900,28.51
2012-08-30,28.69,28.77,28.43,28.64,699000,28.40
2012-08-29,28.60,29.00,28.58,28.89,663100,28.64
2012-08-28,28.60,28.79,28.57,28.61,443300,28.37
2012-08-27,28.77,28.88,28.62,28.67,619000,28.43
2012-08-24,28.50,28.83,28.34,28.74,857900,28.49
2012-08-23,28.73,28.79,28.51,28.53,573300,28.29
2012-08-22,28.56,28.83,28.38,28.83,686800,28.58
2012-08-21,28.80,28.87,28.57,28.62,534300,28.38
2012-08-20,28.63,28.74,28.50,28.69,716900,28.44
2012-08-17,28.82,28.98,28.56,28.76,784300,28.51
2012-08-16,28.21,28.76,28.16,28.73,979800,28.48
2012-08-15,28.08,28.24,27.92,28.24,638400,28.00
2012-08-14,28.37,28.46,28.10,28.19,789300,27.95
2012-08-13,28.21,28.48,27.94,28.23,570100,27.99
2012-08-10,27.75,28.22,27.63,28.18,835900,27.94
2012-08-09,27.54,27.97,27.49,27.89,700900,27.65
2012-08-08,27.83,27.98,27.57,27.57,944800,27.33
2012-08-07,27.94,28.23,27.82,27.97,527400,27.73
2012-08-06,27.83,27.99,27.73,27.74,507200,27.50
2012-08-03,27.81,27.98,27.69,27.79,643900,27.55
2012-08-02,27.51,27.58,26.97,27.29,1135800,27.06
2012-08-01,28.48,28.51,27.78,27.78,1069500,27.54
2012-07-31,28.41,28.64,28.26,28.40,1222100,28.16
2012-07-30,28.56,28.65,28.26,28.34,1138000,28.10
2012-07-27,28.58,28.86,28.45,28.70,1123100,28.21
2012-07-26,28.03,28.67,27.83,28.37,1240800,27.88
2012-07-25,28.47,29.60,28.15,28.27,2107500,27.78
2012-07-24,28.59,28.60,27.73,27.92,1209300,27.44
2012-07-23,28.60,28.75,28.37,28.60,697500,28.11
2012-07-20,28.99,29.16,28.88,29.07,735100,28.57
2012-07-19,29.15,29.29,28.97,29.21,823900,28.71
2012-07-18,28.54,29.16,28.44,29.06,920300,28.56
2012-07-17,28.52,28.73,28.31,28.64,1023100,28.15
2012-07-16,28.55,28.61,28.25,28.43,786000,27.94
2012-07-13,28.49,28.78,28.41,28.57,1212600,28.08
2012-07-12,28.36,28.63,28.04,28.43,1287400,27.94
2012-07-11,28.40,28.81,28.40,28.56,1148400,28.07
2012-07-10,28.23,28.52,28.02,28.39,1810800,27.90
2012-07-09,28.11,28.21,27.93,28.09,701100,27.61
2012-07-06,28.36,28.42,28.10,28.22,776000,27.74
2012-07-05,28.70,28.78,28.40,28.65,1264900,28.16
2012-07-03,28.51,28.84,28.35,28.83,550700,28.33
2012-07-02,28.76,28.94,28.17,28.50,1098500,28.01
2012-06-29,28.43,29.56,28.43,28.75,1142300,28.26
2012-06-28,27.69,28.05,27.56,27.96,1276600,27.48
2012-06-27,28.12,28.27,27.73,27.89,1002100,27.41
2012-06-26,27.95,28.29,27.95,28.12,1157700,27.64
2012-06-25,27.88,28.06,27.63,27.95,989100,27.47
2012-06-22,27.97,28.31,27.57,28.18,1157100,27.70
2012-06-21,28.43,28.48,27.71,27.77,1020500,27.29
2012-06-20,28.49,28.69,28.13,28.37,1091600,27.88
2012-06-19,28.64,28.83,28.45,28.54,1106500,28.05
2012-06-18,28.06,28.44,27.88,28.39,619500,27.90
2012-06-15,28.02,28.27,27.89,28.21,1165700,27.73
2012-06-14,27.71,27.91,27.41,27.86,928000,27.38
2012-06-13,27.93,28.13,27.51,27.62,914800,27.15
2012-06-12,27.61,28.03,27.52,28.03,1008100,27.55
2012-06-11,28.14,28.17,27.46,27.48,552900,27.01
2012-06-08,27.42,28.00,27.23,27.99,732700,27.51
2012-06-07,27.75,27.80,27.40,27.47,811100,27.00
2012-06-06,26.93,27.34,26.93,27.34,930000,26.87
2012-06-05,26.45,26.81,26.43,26.74,668800,26.28
2012-06-04,26.42,26.70,26.15,26.56,1715000,26.10
2012-06-01,26.74,26.88,26.17,26.34,1994500,25.89
2012-05-31,27.53,27.71,26.92,27.50,1344100,27.03
2012-05-30,27.96,27.98,27.45,27.53,1025700,27.06
