Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,20.63,20.87,20.52,20.87,661700,18.68
2009-12-23,20.62,20.82,20.45,20.51,1993200,18.36
2009-12-22,20.45,20.78,20.42,20.64,2416300,18.48
2009-12-21,20.25,20.50,20.17,20.43,2683400,18.29
2009-12-18,19.60,20.16,19.57,20.14,5595800,18.03
2009-12-17,19.96,20.04,19.49,19.56,4727000,17.51
2009-12-16,19.48,20.24,19.42,19.98,4432200,17.89
2009-12-15,19.29,19.63,19.19,19.43,2492700,17.40
2009-12-14,18.99,19.55,18.99,19.33,3522500,17.31
2009-12-11,18.97,19.15,18.78,18.91,1944600,16.93
2009-12-10,18.95,19.20,18.91,18.97,2604400,16.98
2009-12-09,18.90,18.98,18.51,18.94,1825600,16.96
2009-12-08,18.76,19.06,18.49,18.99,2759200,17.00
2009-12-07,18.49,18.99,18.49,18.83,1927800,16.86
2009-12-04,18.74,18.97,18.44,18.66,2899400,16.71
2009-12-03,18.31,18.75,18.26,18.52,2509200,16.58
2009-12-02,17.99,18.58,17.99,18.29,2881600,16.37
2009-12-01,17.77,18.14,17.69,18.11,2886700,16.21
2009-11-30,17.52,17.79,17.41,17.60,3092600,15.76
2009-11-27,17.33,18.03,17.33,17.79,1059100,15.93
2009-11-25,17.97,18.13,17.87,17.93,2352900,16.05
2009-11-24,17.61,18.05,17.61,18.02,3326700,16.13
2009-11-23,17.51,17.65,17.37,17.61,4124100,15.77
2009-11-20,17.26,17.47,17.15,17.31,2707500,15.50
2009-11-19,17.52,17.60,17.00,17.56,5568900,15.72
2009-11-18,18.40,18.54,18.14,18.23,1559800,16.32
2009-11-17,18.26,18.75,18.26,18.72,2587000,16.58
2009-11-16,18.07,18.49,18.05,18.46,2777900,16.35
2009-11-13,17.85,18.05,17.71,18.02,1776700,15.96
2009-11-12,18.17,18.44,17.73,17.77,3020500,15.74
2009-11-11,18.00,18.23,17.94,18.10,6383500,16.03
2009-11-10,17.85,18.03,17.66,17.85,3372500,15.81
2009-11-09,17.74,18.16,17.68,17.85,3611600,15.81
2009-11-06,17.40,17.66,17.17,17.47,3851300,15.47
2009-11-05,17.37,17.37,16.99,17.29,5857500,15.31
2009-11-04,17.23,17.62,17.05,17.09,3984000,15.14
2009-11-03,16.87,17.20,16.57,17.04,5472400,15.09
2009-11-02,16.74,16.95,16.50,16.75,5045400,14.84
2009-10-30,16.88,17.62,16.65,16.67,13865200,14.76
2009-10-29,17.49,17.90,17.27,17.86,5709700,15.82
2009-10-28,17.91,18.14,17.21,17.21,7353000,15.24
2009-10-27,18.34,18.53,17.92,17.97,3947300,15.92
2009-10-26,18.53,19.00,18.28,18.34,4527900,16.24
2009-10-23,18.61,18.74,18.29,18.41,3600400,16.31
2009-10-22,18.66,18.88,18.51,18.78,4941800,16.63
2009-10-21,18.86,19.12,18.66,18.71,4465600,16.57
2009-10-20,19.13,19.13,18.73,18.92,3999300,16.76
2009-10-19,18.78,19.02,18.66,18.91,4486400,16.75
2009-10-16,18.85,18.85,18.30,18.66,5548000,16.53
2009-10-15,18.76,18.96,18.59,18.90,7254100,16.74
2009-10-14,18.81,19.03,18.60,18.89,4646500,16.73
2009-10-13,18.50,18.62,18.39,18.53,3608100,16.41
2009-10-12,18.23,18.65,18.00,18.50,3279500,16.39
2009-10-09,17.50,18.19,17.49,18.16,3689500,16.08
2009-10-08,18.02,18.17,17.44,17.59,4714100,15.58
2009-10-07,18.13,18.13,17.79,18.00,3875100,15.94
2009-10-06,17.82,18.18,17.68,18.14,4981800,16.07
2009-10-05,17.32,17.65,16.97,17.58,4902300,15.57
2009-10-02,17.20,17.68,17.09,17.17,4279700,15.21
2009-10-01,18.32,18.32,17.28,17.28,8352800,15.31
2009-09-30,18.01,18.56,17.63,18.14,5079200,16.07
2009-09-29,18.12,18.27,17.58,17.75,4649000,15.72
2009-09-28,17.99,18.46,17.99,18.20,1677900,16.12
2009-09-25,17.79,18.09,17.56,17.96,4757600,15.91
2009-09-24,18.37,18.45,17.82,17.87,3448000,15.83
2009-09-23,18.28,18.58,18.28,18.35,3709300,16.25
2009-09-22,18.58,18.77,18.10,18.14,4163700,16.07
2009-09-21,18.32,18.54,18.11,18.41,2832100,16.31
2009-09-18,18.26,18.50,18.08,18.40,5415700,16.30
2009-09-17,19.01,19.02,18.00,18.06,8157400,16.00
2009-09-16,19.20,19.43,19.06,19.31,4335800,17.10
2009-09-15,19.00,19.35,18.98,19.23,2520900,17.03
2009-09-14,18.91,19.11,18.83,19.08,2423900,16.90
2009-09-11,19.21,19.28,18.78,19.01,2459700,16.84
2009-09-10,19.08,19.25,18.88,19.25,1722500,17.05
2009-09-09,18.96,19.08,18.70,19.03,2306400,16.86
2009-09-08,18.94,19.26,18.89,19.08,4213000,16.90
2009-09-04,18.21,18.73,18.20,18.70,2678000,16.56
2009-09-03,18.18,18.32,18.05,18.25,1784900,16.16
2009-09-02,18.24,18.45,18.11,18.12,2160600,16.05
2009-09-01,18.81,19.09,18.15,18.29,5860400,16.20
2009-08-31,18.85,19.01,18.50,18.78,3344700,16.63
2009-08-28,18.84,19.18,18.68,19.07,3254800,16.89
2009-08-27,18.45,18.59,18.06,18.58,2759600,16.46
2009-08-26,18.45,18.71,18.31,18.45,2502800,16.34
2009-08-25,18.50,18.69,18.28,18.53,3386500,16.41
2009-08-24,18.41,18.69,18.26,18.34,2358500,16.24
2009-08-21,18.54,18.67,18.18,18.55,5287300,16.43
2009-08-20,18.35,18.48,18.09,18.36,9695800,16.26
2009-08-19,18.12,18.60,18.02,18.53,4531500,16.41
2009-08-18,18.15,18.72,18.15,18.64,4086500,16.33
2009-08-17,18.26,18.42,17.95,18.14,3991600,15.89
2009-08-14,19.18,19.24,18.50,18.71,3431900,16.39
2009-08-13,18.63,19.25,18.39,19.23,7338900,16.85
2009-08-12,17.61,18.63,17.51,18.43,7684500,16.15
2009-08-11,17.43,17.82,17.35,17.71,6046400,15.52
2009-08-10,17.41,17.70,17.29,17.61,5215100,15.43
2009-08-07,17.71,17.89,17.00,17.30,6347500,15.16
2009-08-06,17.60,17.85,17.23,17.26,4904800,15.12
2009-08-05,17.89,18.02,17.35,17.62,5084500,15.44
2009-08-04,18.16,18.25,17.92,18.04,3785300,15.81
2009-08-03,18.03,18.40,17.74,18.34,4244000,16.07
2009-07-31,17.92,18.11,17.67,17.72,3217400,15.53
2009-07-30,18.09,18.50,17.82,17.94,4123100,15.72
2009-07-29,17.67,17.94,17.57,17.82,3010300,15.61
2009-07-28,17.50,17.82,17.49,17.74,4181100,15.54
2009-07-27,17.60,17.88,17.52,17.68,2638600,15.49
2009-07-24,17.70,17.75,17.35,17.68,3601500,15.49
2009-07-23,17.88,18.10,17.57,17.95,3993000,15.73
2009-07-22,17.19,17.81,17.10,17.67,5881600,15.48
2009-07-21,17.77,17.77,16.96,17.23,6004000,15.10
2009-07-20,17.49,17.79,17.16,17.76,4905200,15.56
2009-07-17,17.33,17.41,16.95,17.38,3221500,15.23
2009-07-16,16.81,17.30,16.72,17.25,3851100,15.11
2009-07-15,16.91,17.03,16.69,16.91,3838900,14.82
2009-07-14,16.26,16.53,16.20,16.43,4511800,14.40
2009-07-13,16.00,16.40,15.65,16.28,4970100,14.26
2009-07-10,15.75,16.05,15.56,15.89,3740400,13.92
2009-07-09,15.28,15.81,15.21,15.75,5233000,13.80
2009-07-08,15.38,15.46,14.96,15.17,4158400,13.29
2009-07-07,15.76,15.97,15.37,15.41,4195200,13.50
2009-07-06,15.58,15.83,15.36,15.71,4633200,13.77
2009-07-02,15.89,15.90,15.44,15.62,5137500,13.69
2009-07-01,15.98,16.34,15.89,16.09,6157400,14.10
