Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,22.94,23.20,22.78,22.96,667000,22.96
2009-12-23,22.35,22.96,22.23,22.88,3072800,22.88
2009-12-22,22.30,22.55,22.16,22.26,3795800,22.26
2009-12-21,22.15,22.74,22.04,22.19,5361600,22.19
2009-12-18,21.98,22.16,21.51,21.95,5870300,21.95
2009-12-17,21.35,21.85,21.07,21.73,5050000,21.73
2009-12-16,21.15,21.84,21.06,21.53,4509700,21.53
2009-12-15,20.85,21.33,20.73,21.02,3285700,21.02
2009-12-14,20.41,21.05,20.41,20.94,5938900,20.94
2009-12-11,20.47,20.54,19.88,20.28,3631200,20.28
2009-12-10,19.74,20.35,19.73,20.34,7797700,20.34
2009-12-09,19.54,19.94,19.23,19.57,6006100,19.57
2009-12-08,20.19,20.19,19.28,19.48,6374700,19.48
2009-12-07,20.09,20.87,19.98,20.29,5395000,20.29
2009-12-04,20.68,21.14,19.88,20.23,4654600,20.23
2009-12-03,20.56,20.72,20.13,20.24,4657400,20.24
2009-12-02,20.72,20.91,20.45,20.59,5013100,20.59
2009-12-01,20.93,21.29,20.70,20.75,5272200,20.75
2009-11-30,20.48,21.01,20.36,20.65,5404500,20.65
2009-11-27,20.20,20.80,20.03,20.57,2691500,20.57
2009-11-25,20.80,21.48,20.44,21.28,5225700,21.28
2009-11-24,20.31,20.78,19.90,20.71,6047200,20.71
2009-11-23,20.46,20.89,20.28,20.35,8689500,20.35
2009-11-20,20.86,20.89,19.83,19.83,10743200,19.83
2009-11-19,22.02,22.02,20.92,21.04,7150600,21.04
2009-11-18,22.49,22.65,21.87,22.25,3758800,22.25
2009-11-17,22.53,22.71,22.03,22.36,7265200,22.36
2009-11-16,21.94,22.81,21.94,22.64,4428100,22.64
2009-11-13,21.78,21.99,21.42,21.75,6599600,21.75
2009-11-12,22.59,22.78,21.53,21.76,5592500,21.76
2009-11-11,22.86,23.24,22.55,22.81,3801000,22.81
2009-11-10,22.77,22.92,22.08,22.66,4074200,22.66
2009-11-09,22.35,22.94,22.35,22.88,4617600,22.88
2009-11-06,21.80,22.40,21.61,21.99,4886700,21.99
2009-11-05,21.53,22.26,21.37,22.23,5734600,22.23
2009-11-04,21.86,21.95,21.31,21.37,5800100,21.37
2009-11-03,20.53,21.72,20.40,21.52,5721000,21.52
2009-11-02,20.91,21.60,20.35,20.97,6632600,20.97
2009-10-30,22.32,22.32,20.58,20.83,8072600,20.83
2009-10-29,21.87,22.42,21.53,22.33,5557900,22.33
2009-10-28,22.37,22.38,20.96,21.08,6582200,21.08
2009-10-27,21.95,22.65,21.95,22.42,10674700,22.42
2009-10-26,22.69,23.38,21.74,21.92,5573000,21.92
2009-10-23,23.54,23.80,22.36,22.60,6972600,22.60
2009-10-22,23.27,23.61,22.66,23.46,5739400,23.46
2009-10-21,21.91,24.07,21.91,23.06,11917600,23.06
2009-10-20,22.80,22.87,22.11,22.41,6065500,22.41
2009-10-19,22.56,22.95,22.26,22.91,3787000,22.91
2009-10-16,22.71,22.82,22.08,22.49,5516400,22.49
2009-10-15,21.88,22.95,21.71,22.92,7638600,22.92
2009-10-14,22.18,22.39,21.90,22.03,4869200,22.03
2009-10-13,21.92,22.01,20.95,21.67,10263000,21.67
2009-10-12,21.76,22.24,21.62,21.86,5023900,21.86
2009-10-09,21.77,21.85,21.15,21.34,5351300,21.34
2009-10-08,21.10,21.98,20.88,21.91,6534900,21.91
2009-10-07,20.41,20.94,20.30,20.89,4150600,20.89
2009-10-06,20.49,20.93,20.27,20.56,6226500,20.56
2009-10-05,19.32,20.13,19.24,20.05,7315100,20.05
2009-10-02,19.39,19.78,19.18,19.29,5776800,19.29
2009-10-01,20.89,21.05,19.91,19.94,6707000,19.94
2009-09-30,20.87,21.48,20.53,20.90,10180100,20.90
2009-09-29,19.99,20.78,19.75,20.67,7051400,20.67
2009-09-28,19.48,20.13,19.42,20.06,2841300,20.06
2009-09-25,19.55,19.98,19.20,19.48,3896800,19.48
2009-09-24,20.45,20.51,19.56,19.84,3700800,19.84
