Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,41.65,41.65,41.10,41.31,873100,39.11
2009-12-23,40.95,41.71,40.79,41.26,3134100,39.06
2009-12-22,41.81,41.97,40.67,40.67,4000800,38.50
2009-12-21,41.63,41.93,41.22,41.55,3327300,39.34
2009-12-18,41.63,41.67,40.77,41.09,4117300,38.90
2009-12-17,41.83,41.84,40.77,40.99,5384900,38.81
2009-12-16,41.82,42.60,41.58,42.08,3925300,39.84
2009-12-15,41.09,42.13,40.92,41.48,3884100,39.27
2009-12-14,40.69,41.30,40.69,41.01,3006100,38.82
2009-12-11,40.63,40.98,40.09,40.40,2685200,38.25
2009-12-10,40.58,40.78,40.10,40.50,3421100,38.34
2009-12-09,39.83,40.75,39.47,40.29,4535100,38.14
2009-12-08,40.04,40.60,39.27,39.52,4515000,37.41
2009-12-07,39.83,41.34,39.83,40.67,5114500,38.50
2009-12-04,40.19,41.50,39.47,39.95,6814500,37.82
2009-12-03,41.18,41.18,39.67,39.78,6641800,37.66
2009-12-02,41.87,41.95,40.80,41.12,4589400,38.93
2009-12-01,41.90,42.46,41.77,41.97,2724500,39.73
2009-11-30,40.94,41.75,40.76,41.31,3541600,39.11
2009-11-27,40.30,41.60,40.10,41.21,1888400,39.01
2009-11-25,41.74,42.48,41.10,42.15,2611700,39.90
2009-11-24,40.89,41.80,40.33,41.64,4252700,39.42
2009-11-23,41.06,41.80,40.60,40.91,5683600,38.73
2009-11-20,41.43,41.43,38.62,40.02,16215100,37.89
2009-11-19,43.95,43.96,41.54,41.70,5594900,39.48
2009-11-18,44.94,45.18,43.58,44.16,2451300,41.81
2009-11-17,44.66,44.82,44.10,44.76,2972100,42.37
2009-11-16,43.72,44.99,43.44,44.78,3447100,42.39
2009-11-13,42.60,43.49,42.20,43.28,3819500,40.97
2009-11-12,43.06,43.91,42.52,42.79,3678600,40.51
2009-11-11,43.29,44.34,43.29,43.74,3922200,41.41
2009-11-10,43.51,43.70,42.50,42.92,4629000,40.63
2009-11-09,43.11,43.97,42.98,43.83,3615000,41.49
2009-11-06,42.26,42.90,41.83,42.34,2472200,40.08
2009-11-05,42.72,43.10,42.21,42.72,3160400,40.44
2009-11-04,42.76,43.43,42.19,42.30,3134000,40.00
2009-11-03,40.63,42.49,40.07,42.12,4002000,39.83
2009-11-02,41.18,41.93,40.30,41.10,3534900,38.86
2009-10-30,42.25,42.25,40.29,40.74,4076700,38.52
2009-10-29,41.02,42.63,40.98,42.40,4220600,40.09
2009-10-28,42.61,42.64,40.54,40.63,6083500,38.42
2009-10-27,43.33,43.40,42.20,42.95,4007100,40.61
2009-10-26,44.51,45.09,42.80,43.16,5625800,40.81
2009-10-23,44.21,44.65,43.43,43.81,5442100,41.43
2009-10-22,43.08,44.44,42.45,44.10,5798000,41.70
2009-10-21,42.33,44.11,42.02,42.62,4465200,40.30
2009-10-20,43.35,43.35,41.83,42.53,3691100,40.22
2009-10-19,42.71,43.21,42.16,43.19,4047300,40.84
2009-10-16,42.25,42.67,41.31,42.54,3990800,40.23
2009-10-15,41.65,42.60,41.19,42.31,3893900,40.01
2009-10-14,41.88,42.04,41.22,41.70,3082900,39.43
2009-10-13,41.01,41.29,40.20,41.10,4229300,38.86
2009-10-12,40.80,41.77,40.79,40.95,3187600,38.72
2009-10-09,40.16,40.49,39.76,40.44,3908200,38.24
2009-10-08,38.79,40.44,38.78,40.16,4460000,37.98
2009-10-07,38.39,38.75,37.92,38.58,2649500,36.48
2009-10-06,37.69,38.96,37.67,38.16,3769000,36.08
2009-10-05,36.10,37.24,36.10,37.02,2784400,35.01
2009-10-02,35.89,36.70,35.87,36.15,3557700,34.18
2009-10-01,37.90,38.24,36.86,36.95,3874100,34.94
2009-09-30,38.04,38.61,37.21,37.96,3917900,35.90
2009-09-29,37.37,38.18,37.37,37.76,3462700,35.71
2009-09-28,37.14,38.08,37.02,37.80,2411600,35.74
2009-09-25,37.00,37.44,36.57,36.96,3206000,34.95
2009-09-24,38.06,38.14,36.56,37.14,4508100,35.12
2009-09-23,39.16,39.60,37.93,38.17,3734600,36.09
2009-09-22,38.50,39.40,38.32,39.31,4559500,37.17
2009-09-21,37.51,37.88,36.97,37.81,3032700,35.75
2009-09-18,38.50,38.98,37.44,38.11,4134700,36.04
2009-09-17,39.23,39.51,38.04,38.25,4925100,36.17
2009-09-16,38.15,39.50,37.77,39.39,5505100,37.25
2009-09-15,37.29,37.90,37.00,37.80,3844600,35.74
2009-09-14,36.45,37.27,36.19,37.18,2912400,35.16
2009-09-11,37.29,37.64,36.27,36.90,4791400,34.89
2009-09-10,36.23,37.26,35.85,36.97,4418300,34.96
2009-09-09,36.94,37.00,35.62,35.95,5592800,33.99
2009-09-08,36.29,37.03,36.27,36.68,4361300,34.68
2009-09-04,34.41,35.62,34.41,35.47,3351900,33.54
2009-09-03,34.14,34.65,33.76,34.59,3523200,32.71
