Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,45.60,45.76,44.95,45.01,4853400,45.01
2013-01-04,45.30,46.05,45.09,45.94,5834100,45.94
2013-01-03,46.76,47.25,45.50,45.62,6017100,45.62
2013-01-02,47.34,47.59,46.75,46.90,7254500,46.90
2012-12-31,44.92,46.83,44.84,46.44,6560100,46.44
2012-12-28,45.35,45.80,45.00,45.03,5169400,45.03
2012-12-27,44.97,45.87,44.76,45.47,6080200,45.47
2012-12-26,44.40,45.30,44.38,45.08,4841900,45.08
2012-12-24,44.58,44.58,43.85,44.23,2595400,44.23
2012-12-21,44.00,45.05,43.91,44.58,10630000,44.58
2012-12-20,43.31,44.14,42.96,44.10,8941100,44.10
2012-12-19,44.20,44.42,43.69,43.75,5181600,43.75
2012-12-18,44.65,44.87,43.76,44.36,6495800,44.36
2012-12-17,44.24,44.76,44.07,44.66,3888900,44.66
2012-12-14,44.01,44.52,43.74,44.29,4717200,44.29
2012-12-13,44.58,44.86,43.51,44.17,7910300,44.17
2012-12-12,45.23,45.81,45.05,45.50,6702400,45.50
2012-12-11,45.08,45.57,45.00,45.23,5880600,45.23
2012-12-10,44.80,45.36,44.80,45.11,5489800,45.11
2012-12-07,44.55,44.74,44.07,44.42,4693400,44.42
2012-12-06,44.00,44.62,43.88,44.29,4351100,44.29
2012-12-05,45.14,45.14,43.85,43.96,9197100,43.96
2012-12-04,44.87,45.44,44.68,45.09,7355500,45.09
2012-12-03,47.13,47.13,45.64,45.68,7060200,45.33
2012-11-30,47.02,47.54,46.44,47.09,6173800,46.73
2012-11-29,47.47,47.74,46.75,47.05,3979800,46.69
2012-11-28,46.10,47.34,45.90,47.31,5994800,46.95
2012-11-27,47.29,47.33,46.81,47.00,5556500,46.64
2012-11-26,47.25,47.37,46.71,47.37,4957300,47.01
2012-11-23,47.34,47.80,46.87,47.69,2431100,47.32
2012-11-21,46.50,47.32,46.23,47.08,3884700,46.72
2012-11-20,46.61,46.75,46.20,46.62,5066300,46.26
2012-11-19,46.88,47.08,46.49,46.79,5804800,46.43
2012-11-16,45.48,46.23,45.00,46.12,7602500,45.77
2012-11-15,45.81,45.99,44.50,45.53,8333000,45.18
2012-11-14,47.38,47.51,45.69,45.79,7164400,45.44
2012-11-13,47.33,47.88,47.06,47.19,4236900,46.83
2012-11-12,48.15,48.32,47.61,47.71,3057600,47.34
2012-11-09,49.03,49.03,47.90,48.07,5069500,47.70
2012-11-08,48.56,49.58,48.23,48.81,5731200,48.44
2012-11-07,48.76,49.07,47.83,48.74,6314500,48.37
2012-11-06,48.61,48.92,48.22,48.50,7029900,48.13
2012-11-05,49.12,49.56,48.24,48.39,7063600,48.02
2012-11-02,52.04,52.13,48.72,48.74,12215700,48.37
2012-11-01,54.22,54.30,52.70,53.22,7396200,52.81
2012-10-31,53.73,54.96,53.30,54.58,4999900,54.16
