Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,50.45,50.46,49.62,49.90,1019200,49.90
2012-12-24,50.05,50.33,49.67,50.17,679300,50.17
2012-12-21,49.78,50.26,49.25,50.16,3127800,50.16
2012-12-20,49.57,50.21,49.37,50.21,1923600,50.21
2012-12-19,49.61,49.83,49.32,49.60,1575500,49.60
2012-12-18,48.66,49.52,48.59,49.49,1896500,49.49
2012-12-17,47.44,48.73,47.27,48.70,1530900,48.70
2012-12-14,47.45,47.53,47.01,47.12,1400500,47.12
2012-12-13,47.70,47.78,47.40,47.55,551000,47.55
2012-12-12,48.05,48.21,47.66,47.72,1041700,47.72
2012-12-11,47.94,48.04,47.46,47.95,1193700,47.95
2012-12-10,47.63,47.85,47.21,47.73,1325700,47.73
2012-12-07,47.78,47.88,47.51,47.85,559400,47.85
2012-12-06,47.50,47.66,47.21,47.65,572900,47.65
2012-12-05,47.48,47.87,47.22,47.44,757400,47.44
2012-12-04,48.06,48.34,47.40,47.57,956300,47.27
2012-12-03,48.12,48.24,47.73,48.06,1061100,47.76
2012-11-30,48.02,48.23,47.63,48.02,1038200,47.72
2012-11-29,48.24,48.40,47.95,48.13,770800,47.83
2012-11-28,47.57,47.97,47.27,47.95,1319300,47.65
2012-11-27,48.06,48.22,47.68,47.88,847500,47.58
2012-11-26,48.04,48.24,47.67,48.20,1047500,47.90
2012-11-23,47.94,48.35,47.45,48.29,416500,47.99
2012-11-21,47.75,47.87,47.43,47.81,915700,47.51
2012-11-20,47.36,48.13,47.18,47.67,1452500,47.37
2012-11-19,47.38,47.64,47.18,47.35,1289600,47.05
2012-11-16,47.61,47.61,46.10,46.85,1591800,46.55
2012-11-15,46.26,46.69,46.01,46.52,1392000,46.23
2012-11-14,46.81,47.03,45.98,46.09,969500,45.80
2012-11-13,46.74,47.13,46.59,46.66,749300,46.37
2012-11-12,46.71,47.24,46.55,46.98,965200,46.68
2012-11-09,46.35,47.26,46.35,46.64,1009000,46.35
2012-11-08,46.91,47.48,46.47,46.54,1168100,46.25
2012-11-07,48.22,48.25,46.86,47.01,1693600,46.71
2012-11-06,48.85,49.33,48.70,48.76,1022500,48.45
2012-11-05,47.78,48.72,47.54,48.61,1009400,48.30
2012-11-02,48.35,48.66,47.73,47.80,752200,47.50
2012-11-01,47.99,48.32,47.53,48.30,896200,48.00
2012-10-31,47.29,48.02,46.77,47.80,1485300,47.50
2012-10-26,47.46,47.60,46.82,47.17,949100,46.87
2012-10-25,47.50,47.61,47.12,47.33,866500,47.03
2012-10-24,46.97,47.37,46.93,47.09,937300,46.79
2012-10-23,46.49,47.05,46.13,46.93,1351500,46.63
2012-10-22,47.22,47.35,46.70,47.19,1253500,46.89
2012-10-19,48.32,48.43,47.01,47.10,1891500,46.80
2012-10-18,48.40,48.52,48.08,48.32,977000,48.02
2012-10-17,47.79,48.34,46.68,48.21,1865700,47.91
2012-10-16,46.78,47.72,46.66,47.53,1767800,47.23
2012-10-15,46.53,46.68,46.02,46.66,722300,46.37
2012-10-12,46.85,46.96,45.93,46.29,1007600,46.00
2012-10-11,47.24,47.39,47.02,47.05,853700,46.75
2012-10-10,46.87,46.89,46.53,46.80,876200,46.50
2012-10-09,47.25,47.26,46.70,46.75,891700,46.46
2012-10-08,47.22,47.26,46.83,47.11,922200,46.81
2012-10-05,48.05,48.22,47.09,47.35,1514100,47.05
2012-10-04,47.76,47.99,47.53,47.71,940000,47.41
2012-10-03,47.15,47.84,46.99,47.47,1288000,47.17
2012-10-02,47.16,47.26,46.85,47.20,1329200,46.90
2012-10-01,46.86,47.31,46.63,46.88,1135400,46.58
2012-09-28,46.15,46.56,45.95,46.42,1128900,46.13
2012-09-27,46.57,46.96,46.29,46.55,1079700,46.26
2012-09-26,46.88,47.23,46.34,46.41,1174400,46.12
2012-09-25,47.74,47.99,46.93,46.96,1270300,46.66
2012-09-24,47.65,48.38,47.32,47.76,727200,47.46
2012-09-21,48.22,48.26,47.67,47.84,4314300,47.54
2012-09-20,47.60,47.79,47.13,47.75,1618100,47.45
2012-09-19,47.81,48.49,47.69,47.83,1967600,47.53
2012-09-18,48.38,48.89,48.28,48.52,957100,48.21
2012-09-17,49.14,49.67,48.56,48.64,1000200,48.33
2012-09-14,48.88,49.68,48.88,49.13,1578000,48.82
2012-09-13,47.88,49.13,47.64,48.88,1454500,48.57
2012-09-12,47.53,48.02,47.44,47.94,1302800,47.64
2012-09-11,47.16,47.69,47.14,47.44,778200,47.14
2012-09-10,47.62,47.75,47.01,47.10,1877100,46.80
2012-09-07,47.94,48.00,47.48,47.99,1274600,47.69
2012-09-06,47.00,47.99,46.95,47.91,1505000,47.61
2012-09-05,46.62,46.97,46.34,46.74,1039200,46.45
2012-09-04,46.46,46.93,46.22,46.75,909200,46.16
2012-08-31,46.34,46.67,46.11,46.44,1173900,45.85
2012-08-30,46.17,46.39,45.65,46.17,1132900,45.58
2012-08-29,46.38,46.65,46.31,46.38,1111200,45.79
2012-08-28,46.04,46.48,45.99,46.31,572700,45.72
2012-08-27,46.54,46.54,46.17,46.27,663200,45.68
2012-08-24,46.07,46.54,45.96,46.47,778000,45.88
2012-08-23,46.74,46.83,46.15,46.18,821700,45.59
2012-08-22,46.99,47.08,46.60,46.88,757400,46.29
2012-08-21,47.15,47.72,46.85,46.95,726300,46.35
2012-08-20,47.01,47.14,46.66,47.10,814700,46.50
2012-08-17,47.30,47.39,47.01,47.24,1038100,46.64
2012-08-16,46.37,47.31,46.37,47.18,796100,46.58
2012-08-15,46.17,46.62,46.15,46.49,467300,45.90
2012-08-14,46.64,46.66,46.23,46.33,880000,45.74
2012-08-13,46.13,46.32,46.00,46.23,502800,45.64
2012-08-10,46.23,46.30,45.81,46.22,599000,45.63
2012-08-09,46.04,46.41,46.01,46.17,948000,45.58
2012-08-08,45.88,46.26,45.70,46.08,734700,45.50
2012-08-07,45.37,46.38,45.34,46.01,1186900,45.43
2012-08-06,45.72,45.90,45.29,45.30,685400,44.73
2012-08-03,44.87,45.52,44.52,45.48,850000,44.90
2012-08-02,44.66,44.69,43.69,44.09,1464000,43.53
2012-08-01,45.49,45.68,44.99,45.05,1028300,44.48
2012-07-31,45.74,45.75,45.34,45.40,1000800,44.82
2012-07-30,46.09,46.13,45.57,45.71,817500,45.13
2012-07-27,45.98,46.49,45.37,46.25,784600,45.66
2012-07-26,45.38,45.55,44.93,45.44,804000,44.86
2012-07-25,44.98,45.01,44.54,44.57,1002600,44.00
