Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,15.89,15.96,15.80,15.89,808000,15.89
2009-12-23,15.30,16.31,15.27,15.78,5492500,15.78
2009-12-22,15.14,15.42,15.14,15.29,3279900,15.29
2009-12-21,15.10,15.21,15.05,15.21,2349600,15.21
2009-12-18,14.92,15.11,14.85,15.10,2396700,15.10
2009-12-17,14.89,14.98,14.75,14.78,2331600,14.78
2009-12-16,15.20,15.20,15.10,15.15,1252500,15.15
2009-12-15,15.15,15.28,15.04,15.21,2059400,15.21
2009-12-14,15.12,15.21,15.08,15.20,1470400,15.20
2009-12-11,15.01,15.13,14.90,15.03,1477900,15.03
2009-12-10,14.96,15.13,14.90,15.05,1876300,15.05
2009-12-09,14.95,15.00,14.65,14.97,2146200,14.97
2009-12-08,15.20,15.20,14.79,14.89,2795200,14.89
2009-12-07,14.90,14.96,14.78,14.80,1099500,14.80
2009-12-04,15.14,15.17,14.69,14.89,1978100,14.89
2009-12-03,15.19,15.20,14.88,14.89,1817200,14.89
2009-12-02,15.20,15.36,15.10,15.14,2581000,15.14
2009-12-01,15.31,15.31,14.96,15.24,4214000,15.24
2009-11-30,14.87,15.20,14.79,15.19,3225500,15.19
2009-11-27,14.31,15.13,14.26,15.00,1978500,15.00
2009-11-25,15.16,15.22,14.90,15.01,2008600,15.01
2009-11-24,14.16,15.19,14.00,15.03,9371000,15.03
2009-11-23,13.91,14.16,13.65,13.75,3187700,13.75
2009-11-20,13.55,13.76,13.55,13.75,1727200,13.75
2009-11-19,13.81,13.85,13.46,13.58,1537400,13.58
2009-11-18,13.99,14.02,13.75,13.91,1796000,13.91
2009-11-17,13.85,14.05,13.74,14.00,1708400,14.00
2009-11-16,13.86,14.08,13.80,14.00,2461300,14.00
2009-11-13,13.71,13.96,13.69,13.74,3325700,13.74
2009-11-12,14.07,14.21,13.71,13.72,1671000,13.72
2009-11-11,14.22,14.24,13.90,14.13,2105100,14.13
2009-11-10,14.10,14.18,13.93,14.11,858600,14.11
2009-11-09,13.80,14.16,13.80,14.11,1462900,14.11
2009-11-06,13.76,14.00,13.65,13.76,1072100,13.76
2009-11-05,13.69,13.98,13.54,13.97,1448100,13.97
2009-11-04,13.58,13.80,13.47,13.60,1560600,13.60
2009-11-03,13.25,13.57,13.25,13.55,1841900,13.55
2009-11-02,13.19,13.60,13.15,13.43,2582900,13.43
2009-10-30,13.77,13.77,13.11,13.11,2887100,13.11
2009-10-29,13.50,13.76,13.50,13.73,2099300,13.73
2009-10-28,14.02,14.10,13.34,13.35,3131100,13.35
2009-10-27,14.31,14.50,14.03,14.09,2569300,14.09
2009-10-26,14.54,14.79,14.28,14.37,2059600,14.37
2009-10-23,14.75,14.94,14.56,14.63,1756300,14.63
2009-10-22,14.62,14.77,14.20,14.74,3485800,14.74
2009-10-21,15.19,15.22,14.63,14.70,5828700,14.70
2009-10-20,15.59,15.62,15.38,15.58,1525700,15.58
2009-10-19,15.27,15.68,15.27,15.65,1547500,15.65
2009-10-16,15.32,15.42,14.99,15.27,2485500,15.27
2009-10-15,15.71,15.71,15.38,15.46,2405200,15.46
2009-10-14,15.42,15.86,15.32,15.74,5251100,15.74
2009-10-13,15.30,15.56,15.12,15.27,4610400,15.27
2009-10-12,15.00,15.31,14.95,15.28,4112500,15.28
2009-10-09,14.61,15.00,14.60,14.86,3676600,14.86
2009-10-08,14.42,14.78,14.26,14.75,3831500,14.75
2009-10-07,14.81,14.81,14.33,14.44,4856000,14.44
2009-10-06,14.48,14.85,14.40,14.80,3023300,14.80
2009-10-05,14.00,14.38,13.75,14.32,1818100,14.32
2009-10-02,13.89,14.12,13.75,14.01,2406400,14.01
2009-10-01,14.95,14.95,14.06,14.11,3475600,14.11
2009-09-30,14.74,15.04,14.68,14.96,3070900,14.96
2009-09-29,14.55,14.84,14.47,14.70,1749700,14.70
2009-09-28,14.38,14.57,14.28,14.47,2151200,14.47
2009-09-25,14.16,14.40,14.15,14.33,2121700,14.33
2009-09-24,14.62,14.62,14.10,14.25,2695800,14.25
2009-09-23,14.89,14.89,14.50,14.51,3827900,14.51
2009-09-22,14.75,14.86,14.58,14.79,2863300,14.79
2009-09-21,14.59,14.81,14.41,14.71,2538100,14.71
2009-09-18,14.75,14.80,14.52,14.70,3175900,14.70
2009-09-17,14.74,14.95,14.68,14.69,3555100,14.69
2009-09-16,14.24,14.86,14.17,14.84,8007200,14.84
2009-09-15,14.17,14.24,13.94,14.17,3740400,14.17
2009-09-14,13.83,14.22,13.71,14.22,4679600,14.22
2009-09-11,13.16,13.72,13.12,13.63,5149700,13.63
2009-09-10,13.00,13.25,12.84,13.19,3856900,13.19
2009-09-09,12.97,13.10,12.90,13.03,2958300,13.03
