Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,46.63,47.25,46.51,47.10,2037800,42.31
2009-12-23,45.85,46.17,45.54,46.10,3144900,41.41
2009-12-22,44.64,45.35,44.33,45.34,4685900,40.73
2009-12-21,44.25,44.68,43.68,44.62,4762000,40.08
2009-12-18,43.15,43.85,42.96,43.83,7228400,39.37
2009-12-17,42.82,43.13,42.65,43.00,4581000,38.62
2009-12-16,42.44,43.47,42.35,43.11,8264000,38.72
2009-12-15,42.53,43.36,42.26,43.02,3621700,38.64
2009-12-14,42.62,42.90,42.07,42.83,3903500,38.47
2009-12-11,42.22,42.77,41.97,42.25,4707000,37.95
2009-12-10,42.88,43.15,41.92,42.04,4896000,37.76
2009-12-09,42.35,43.44,41.84,43.06,4714300,38.68
2009-12-08,42.51,42.72,42.15,42.31,3092500,38.00
2009-12-07,42.81,43.45,42.69,42.99,2968100,38.62
2009-12-04,43.72,44.36,42.00,43.14,4724200,38.75
2009-12-03,44.19,44.32,42.94,43.03,4340200,38.65
2009-12-02,43.61,44.30,43.55,44.06,4957100,39.58
2009-12-01,43.50,43.76,42.94,43.29,4043200,38.88
2009-11-30,42.70,42.70,41.95,42.41,5344300,38.09
2009-11-27,41.69,42.18,40.91,41.81,2265900,37.56
2009-11-25,42.13,43.46,41.85,43.08,4639900,38.70
2009-11-24,41.80,42.04,41.15,41.97,3159100,37.70
2009-11-23,42.06,42.32,41.37,41.74,3374800,37.49
2009-11-20,40.80,41.24,40.46,41.13,3963600,36.94
2009-11-19,41.47,41.51,40.48,41.22,3600000,37.03
2009-11-18,42.49,42.88,41.37,41.92,4019600,37.65
2009-11-17,41.74,42.23,41.25,42.23,3199700,37.93
2009-11-16,41.31,42.47,41.17,42.01,4274200,37.73
2009-11-13,40.76,41.22,40.30,40.83,3530500,36.67
2009-11-12,41.31,41.90,40.31,40.61,4977000,36.48
2009-11-11,41.27,42.19,41.27,41.46,5365100,37.24
2009-11-10,41.24,41.38,40.20,40.75,4960100,36.60
2009-11-09,39.93,41.41,39.77,41.38,6049000,37.17
2009-11-06,39.36,40.81,39.14,39.34,4556000,35.34
2009-11-05,39.02,39.78,38.99,39.78,4564300,35.73
2009-11-04,39.53,39.72,38.59,38.67,6496800,34.73
2009-11-03,38.61,39.31,38.32,39.04,7079400,35.07
2009-11-02,40.07,40.81,38.27,39.02,8276800,35.05
2009-10-30,41.29,41.36,39.18,39.85,7549200,35.79
2009-10-29,40.69,41.72,40.51,41.25,6001700,37.05
2009-10-28,40.84,41.00,39.68,39.95,9683900,35.88
2009-10-27,43.32,43.48,40.75,41.02,9649300,36.85
2009-10-26,44.26,45.21,43.23,43.28,6369100,38.88
2009-10-23,44.45,44.89,44.01,44.17,5229500,39.67
2009-10-22,45.46,45.86,44.01,44.18,8575100,39.68
2009-10-21,45.51,47.00,45.20,46.00,5794700,41.32
2009-10-20,46.30,46.35,45.34,45.66,5722000,41.01
2009-10-19,45.33,46.31,45.31,45.78,4286700,41.12
2009-10-16,45.67,45.83,44.98,45.23,4770400,40.63
2009-10-15,45.51,46.39,45.10,46.13,4251900,41.44
2009-10-14,45.55,46.00,45.11,45.87,3888800,41.20
2009-10-13,44.83,45.12,44.25,44.75,3889000,40.20
2009-10-12,45.22,45.65,44.47,44.82,3703800,40.26
2009-10-09,45.04,45.64,44.67,45.06,4765700,40.47
2009-10-08,46.41,46.75,45.14,45.53,6561900,40.90
2009-10-07,45.14,45.89,44.75,45.29,3213900,40.68
2009-10-06,46.38,46.38,44.69,45.27,4974200,40.66
2009-10-05,44.81,45.81,44.50,45.50,4942200,40.87
2009-10-02,44.41,45.39,44.10,44.36,5964700,39.85
2009-10-01,46.61,46.95,44.94,44.95,5186100,40.38
2009-09-30,47.35,47.68,46.50,47.01,5145700,42.23
2009-09-29,47.41,47.73,46.73,46.80,4160700,42.04
2009-09-28,46.57,47.77,46.19,47.39,3544600,42.57
2009-09-25,47.40,47.80,46.42,46.85,3394300,41.77
2009-09-24,49.09,49.09,47.37,47.83,3529600,42.64
2009-09-23,49.87,50.14,48.75,48.77,3579900,43.48
2009-09-22,49.87,50.00,49.15,49.72,4111400,44.33
2009-09-21,48.89,49.67,48.50,49.27,4205200,43.93
2009-09-18,50.06,50.40,49.14,49.70,4875700,44.31
2009-09-17,48.84,51.08,48.56,49.84,10296800,44.43
2009-09-16,48.07,48.39,47.35,48.11,5667000,42.89
2009-09-15,45.75,48.00,45.75,47.79,9011000,42.61
2009-09-14,45.67,46.83,45.53,46.81,4378700,41.73
2009-09-11,47.81,47.81,46.17,46.37,5897300,41.34
2009-09-10,45.53,47.09,45.00,47.03,5405100,41.93
2009-09-09,45.48,45.96,45.00,45.63,3942500,40.68
2009-09-08,45.09,45.51,44.61,45.39,4226800,40.47
2009-09-04,44.06,44.42,43.55,44.17,3177800,39.38
2009-09-03,43.91,44.11,43.19,44.07,2915800,39.29
2009-09-02,43.53,43.99,43.02,43.34,4063900,38.64
2009-09-01,44.18,45.34,43.36,43.67,4278000,38.93
2009-08-31,45.06,45.14,44.29,44.54,3910800,39.71
2009-08-28,45.45,45.98,45.11,45.86,3586600,40.89
2009-08-27,45.42,45.42,43.68,44.86,6514600,39.99
2009-08-26,46.30,46.61,45.08,45.28,4295000,40.37
2009-08-25,47.17,47.72,46.24,46.37,3991400,41.34
2009-08-24,47.84,48.15,46.61,46.77,4271300,41.70
2009-08-21,47.10,47.69,46.81,47.15,4567400,42.04
2009-08-20,46.06,47.06,46.05,46.61,3567900,41.55
2009-08-19,44.86,46.53,44.74,46.08,3960000,41.08
2009-08-18,44.86,46.01,44.72,45.88,4647500,40.90
2009-08-17,45.12,45.58,44.00,44.58,5820600,39.74
2009-08-14,47.53,47.64,46.26,46.79,3531900,41.71
2009-08-13,47.23,47.78,46.60,47.71,4034200,42.53
2009-08-12,45.65,47.08,45.65,46.62,4463800,41.56
2009-08-11,46.89,47.21,45.66,45.94,5243500,40.96
2009-08-10,48.71,48.85,46.64,47.10,4573300,41.99
2009-08-07,49.29,49.79,48.18,49.13,5166800,43.80
2009-08-06,48.29,49.00,47.88,48.83,6862200,43.53
2009-08-05,47.38,48.29,46.67,47.97,6034700,42.77
2009-08-04,46.80,47.57,46.54,47.00,5424200,41.90
2009-08-03,45.62,47.44,45.53,47.26,6401900,42.13
2009-07-31,43.77,45.00,43.50,44.47,4240300,39.65
2009-07-30,44.27,44.73,43.78,43.93,4428600,39.16
2009-07-29,44.34,44.39,42.86,43.21,6084800,38.52
2009-07-28,44.43,45.48,44.01,45.30,5856300,40.39
2009-07-27,44.99,45.50,44.50,45.10,4548600,40.21
2009-07-24,44.16,45.09,44.00,44.83,6886600,39.97
2009-07-23,43.85,44.71,43.51,44.35,7782400,39.54
2009-07-22,43.76,44.63,43.50,44.28,4978200,39.48
2009-07-21,45.38,45.80,43.48,44.61,4378800,39.77
2009-07-20,45.23,45.91,44.50,44.81,6115900,39.95
2009-07-17,44.06,44.92,43.97,44.60,4439800,39.76
2009-07-16,43.62,44.50,43.22,44.12,6357500,39.33
2009-07-15,43.73,43.82,43.06,43.61,6433200,38.88
2009-07-14,42.76,43.48,42.58,42.75,4599200,38.11
2009-07-13,41.21,42.63,40.84,42.58,5550700,37.96
2009-07-10,40.79,41.47,40.13,41.20,3901000,36.73
2009-07-09,41.11,42.32,40.80,41.44,5712800,36.94
2009-07-08,41.01,41.79,39.20,40.40,6739400,36.02
2009-07-07,41.45,41.99,40.55,40.74,5006900,36.32
2009-07-06,41.34,41.61,40.26,41.31,5902300,36.83
2009-07-02,42.81,42.96,42.19,42.22,4886900,37.64
2009-07-01,45.33,45.38,43.00,43.46,4403800,38.75
2009-06-30,45.25,45.74,44.18,44.43,4471300,39.61
2009-06-29,45.34,46.07,45.00,45.25,3316600,40.34
2009-06-26,44.63,46.17,44.30,45.15,4622500,40.25
2009-06-25,43.62,45.26,43.46,45.06,5278100,39.86
2009-06-24,44.75,45.54,43.52,44.18,5065000,39.08
2009-06-23,44.06,44.48,42.47,43.98,6513400,38.90
2009-06-22,45.81,45.86,43.33,43.42,5585400,38.41
2009-06-19,47.30,47.62,46.21,46.68,5306800,41.29
2009-06-18,46.50,47.40,45.56,46.49,4594100,41.12
2009-06-17,46.48,47.30,45.01,46.38,7333400,41.03
2009-06-16,47.00,48.44,46.42,46.86,10069700,41.45
2009-06-15,46.50,46.74,45.06,45.75,5068600,40.47
2009-06-12,48.20,48.29,47.06,47.50,4133800,42.02
2009-06-11,47.40,49.82,47.07,48.97,7180500,43.32
2009-06-10,48.50,48.70,46.17,47.40,6892000,41.93
2009-06-09,46.42,48.03,46.02,47.76,6447800,42.25
2009-06-08,46.44,47.22,45.29,46.76,5420600,41.36
2009-06-05,46.95,47.85,45.34,47.53,6814800,42.04
2009-06-04,44.80,46.67,43.66,46.31,8237600,40.97
2009-06-03,46.12,46.51,43.72,44.73,8263400,39.57
2009-06-02,46.66,47.81,46.10,47.38,6944600,41.91
2009-06-01,44.95,47.10,44.72,46.98,9740300,41.56
2009-05-29,43.34,44.00,42.75,43.91,4366700,38.84
2009-05-28,42.57,43.30,41.84,42.82,5874800,37.88
2009-05-27,41.35,43.90,41.35,41.77,7209200,36.95
2009-05-26,39.44,41.52,39.14,41.15,5504300,36.40
2009-05-22,39.57,41.27,39.24,40.09,5791900,35.46
2009-05-21,39.90,39.91,38.60,39.24,5841200,34.71
2009-05-20,42.62,43.25,40.28,40.61,6848600,35.92
2009-05-19,40.73,42.30,40.54,41.84,5723400,37.01
2009-05-18,39.28,40.50,39.07,40.42,4073900,35.76
2009-05-15,39.44,40.38,38.35,38.90,5004000,34.41
2009-05-14,39.05,40.04,38.51,39.40,6484900,34.85
2009-05-13,41.59,42.00,38.79,39.58,7020800,35.01
2009-05-12,43.11,43.30,41.50,42.73,5162200,37.80
2009-05-11,42.72,43.70,41.99,42.75,4726100,37.82
2009-05-08,43.63,44.60,42.86,43.59,4990200,38.56
2009-05-07,45.17,45.50,42.11,42.78,6960100,37.84
2009-05-06,44.62,45.38,43.39,44.31,6806100,39.20
2009-05-05,44.50,45.00,43.05,43.95,5802000,38.88
2009-05-04,42.11,45.00,42.00,44.88,7844200,39.70
2009-05-01,40.78,42.27,40.31,41.43,6787700,36.65
2009-04-30,39.41,41.12,39.17,40.69,7432800,35.99
2009-04-29,37.95,39.36,37.54,38.62,7078600,34.16
2009-04-28,38.07,39.13,37.40,37.50,6900800,33.17
2009-04-27,39.55,40.75,38.50,38.95,6232100,34.46
2009-04-24,40.42,42.43,39.52,40.54,8486100,35.86
2009-04-23,42.00,42.74,38.80,40.00,13727500,35.38
2009-04-22,42.35,45.56,42.17,44.07,6419800,38.98
2009-04-21,41.37,43.19,41.07,43.06,4142700,38.09
2009-04-20,42.40,42.81,41.42,41.70,5453500,36.89
2009-04-17,43.63,44.50,43.00,44.16,5333600,39.06
2009-04-16,42.43,43.83,41.78,43.48,5138600,38.46
2009-04-15,42.16,42.53,41.50,42.47,4186200,37.57
2009-04-14,43.02,43.77,42.37,42.69,4222700,37.76
2009-04-13,42.23,44.10,41.76,43.60,4656800,38.57
2009-04-09,41.93,42.98,41.66,42.76,4587700,37.83
2009-04-08,41.24,41.25,39.02,40.68,6698000,35.99
2009-04-07,41.60,42.09,40.30,40.60,6649200,35.91
2009-04-06,42.92,43.08,41.86,42.81,7216700,37.87
2009-04-03,42.34,44.25,41.82,43.70,7562000,38.66
2009-04-02,41.39,43.34,41.24,42.61,7787600,37.69
2009-04-01,37.46,40.50,37.28,40.02,6869300,35.40
2009-03-31,38.67,39.19,37.31,38.17,7078200,33.77
2009-03-30,39.12,39.15,37.51,38.09,6125300,33.69
2009-03-27,40.12,41.50,39.80,40.54,6155000,35.86
2009-03-26,39.78,41.45,39.78,41.09,7162900,36.04
2009-03-25,41.40,41.67,37.75,39.08,10292500,34.28
2009-03-24,39.46,41.06,38.78,40.36,7442500,35.40
2009-03-23,38.54,40.20,37.96,40.20,8246300,35.26
2009-03-20,38.69,39.20,37.03,37.47,8428400,32.86
2009-03-19,35.83,39.35,35.74,38.08,11779900,33.40
2009-03-18,32.71,35.73,32.55,35.51,11146700,31.14
2009-03-17,33.15,33.89,31.54,33.55,19598900,29.43
2009-03-16,37.64,38.44,36.56,36.95,5909300,32.41
2009-03-13,37.38,38.64,36.17,37.38,9225200,32.78
2009-03-12,35.24,37.09,35.05,36.96,8103200,32.42
2009-03-11,37.77,38.25,35.88,36.90,8844500,32.36
2009-03-10,33.54,36.90,33.25,36.57,10617600,32.07
2009-03-09,31.80,32.96,31.36,31.58,6471900,27.70
2009-03-06,32.54,33.79,31.26,32.34,6995900,28.36
2009-03-05,33.50,33.95,31.64,32.07,9420000,28.13
2009-03-04,33.93,35.46,33.52,34.73,11014900,30.46
2009-03-03,31.20,32.83,31.00,32.12,9514800,28.17
2009-03-02,32.59,33.65,29.84,30.74,11710400,26.96
2009-02-27,34.02,35.96,33.52,33.65,9018800,29.51
2009-02-26,36.74,36.87,35.01,35.13,6755000,30.81
2009-02-25,37.48,37.75,35.67,36.01,7264900,31.58
2009-02-24,35.73,37.90,35.11,37.75,8610700,33.11
2009-02-23,40.55,40.97,35.46,35.55,8942300,31.18
2009-02-20,38.31,40.49,37.88,39.98,10024600,35.06
2009-02-19,39.37,40.50,39.00,39.19,6725500,34.37
2009-02-18,41.18,41.50,38.36,38.69,9083800,33.93
2009-02-17,42.69,42.69,40.07,40.21,7993100,35.27
2009-02-13,43.80,44.78,43.39,43.83,4439100,38.44
2009-02-12,42.32,44.05,41.60,43.96,6259100,38.56
2009-02-11,43.23,43.98,41.90,43.07,5673400,37.78
2009-02-10,44.79,45.97,41.93,42.35,7462000,37.14
2009-02-09,46.86,46.86,44.34,45.37,6073600,39.79
2009-02-06,44.77,46.31,44.60,45.89,8485700,40.25
2009-02-05,42.55,44.97,42.35,44.25,8482100,38.81
2009-02-04,43.07,45.00,42.60,42.75,7832500,37.49
2009-02-03,40.89,43.00,40.62,42.64,6714400,37.40
2009-02-02,40.14,41.68,39.51,40.43,7150500,35.46
2009-01-30,42.01,42.18,40.40,40.79,7916700,35.78
2009-01-29,44.00,44.03,42.52,43.03,6748300,37.74
2009-01-28,41.32,45.07,41.00,44.55,11809400,39.07
2009-01-27,38.89,40.86,37.58,39.80,10200100,34.91
2009-01-26,39.35,40.62,36.95,37.46,8124400,32.85
2009-01-23,38.03,40.72,37.60,39.44,7397500,34.59
2009-01-22,40.25,41.20,39.00,39.43,6966200,34.58
2009-01-21,40.86,41.19,38.73,40.80,8387800,35.78
2009-01-20,41.00,42.64,39.72,40.05,7021600,35.13
2009-01-16,41.72,42.97,40.50,42.10,7341500,36.92
2009-01-15,39.74,41.59,37.23,40.78,11864900,35.77
2009-01-14,41.12,41.21,39.20,39.47,9250000,34.62
2009-01-13,40.55,42.55,40.41,42.21,6544900,37.02
2009-01-12,43.03,43.25,40.31,40.87,6121500,35.85
2009-01-09,45.17,45.20,43.55,43.72,4874000,38.35
2009-01-08,43.62,45.07,42.88,44.98,6215400,39.45
2009-01-07,44.23,44.97,43.45,43.73,7320100,38.35
2009-01-06,47.35,47.68,43.92,45.57,10552500,39.97
2009-01-05,47.57,49.00,46.52,47.32,9096300,41.50
2009-01-02,46.95,48.59,46.84,48.30,7049300,42.36
2008-12-31,45.94,47.09,45.57,46.20,3958400,40.52
2008-12-30,45.00,46.14,44.27,46.08,4282800,40.42
2008-12-29,45.61,45.61,43.62,44.46,4463000,38.99
2008-12-26,43.99,45.57,43.52,45.33,3299300,39.45
2008-12-24,43.36,43.99,42.25,43.68,1907600,38.01
2008-12-23,42.85,43.50,41.78,43.02,4642400,37.44
2008-12-22,43.67,44.59,40.68,41.65,6596900,36.25
2008-12-19,43.51,44.00,41.59,42.55,8566400,37.03
2008-12-18,47.77,47.78,42.34,42.99,9202800,37.41
2008-12-17,45.50,48.29,45.24,47.26,9325600,41.13
2008-12-16,43.71,46.03,43.28,45.65,8034200,39.73
2008-12-15,44.58,45.55,42.31,43.06,7765700,37.47
2008-12-12,41.35,44.33,40.80,44.04,7633500,38.33
2008-12-11,43.20,45.20,42.50,43.09,10168000,37.50
2008-12-10,42.14,44.00,41.84,43.80,9595100,38.12
2008-12-09,38.10,44.31,37.83,40.98,15267700,35.66
2008-12-08,39.19,41.88,38.35,40.71,13630300,35.43
2008-12-05,32.70,36.81,32.29,36.45,9048000,31.72
2008-12-04,31.75,34.55,31.53,33.82,8575200,29.43
2008-12-03,31.89,32.72,29.84,32.24,6636600,28.06
2008-12-02,32.47,33.07,31.45,32.68,5639300,28.44
2008-12-01,34.01,34.26,30.93,30.96,7280300,26.94
2008-11-28,34.45,35.73,33.50,35.68,3101200,31.05
2008-11-26,31.63,34.95,31.31,34.90,7137700,30.37
2008-11-25,31.76,32.65,30.05,32.27,8175000,28.08
2008-11-24,29.70,31.90,29.28,31.08,9584600,27.05
2008-11-21,27.17,28.59,26.00,28.28,10510000,24.61
2008-11-20,28.03,29.22,25.25,25.52,10510200,22.21
2008-11-19,30.96,31.84,28.17,28.34,8937800,24.66
2008-11-18,32.01,32.62,30.50,31.16,8719000,27.12
2008-11-17,32.05,33.33,31.67,31.88,5686300,27.74
2008-11-14,34.25,34.80,32.73,32.73,6825100,28.48
2008-11-13,30.89,35.18,30.00,35.04,10195600,30.50
2008-11-12,33.55,34.00,30.51,30.63,8926700,26.66
2008-11-11,34.36,35.50,33.31,34.24,4841500,29.80
2008-11-10,36.61,37.29,34.08,35.13,5405000,30.57
2008-11-07,34.06,34.94,32.85,34.79,6043000,30.28
2008-11-06,35.20,35.39,31.77,32.92,11942900,28.65
2008-11-05,38.34,39.10,35.41,35.50,8111300,30.90
2008-11-04,38.63,40.42,38.02,39.66,8933900,34.52
2008-11-03,39.94,40.25,37.17,37.83,8754400,32.92
2008-10-31,38.21,40.58,37.12,40.51,8103200,35.26
