Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,12.34,12.38,12.21,12.25,3184400,12.25
2012-12-21,12.47,12.47,12.21,12.35,11554300,12.35
2012-12-20,12.70,12.71,12.50,12.64,8358300,12.64
2012-12-19,12.65,12.80,12.60,12.65,11463600,12.65
2012-12-18,12.54,12.70,12.50,12.56,10410900,12.56
2012-12-17,12.56,12.63,12.35,12.54,11130800,12.54
2012-12-14,12.58,12.72,12.49,12.59,8466500,12.59
2012-12-13,12.50,12.77,12.41,12.53,9438900,12.53
2012-12-12,12.69,12.76,12.47,12.52,9985100,12.52
2012-12-11,12.40,12.81,12.37,12.65,20418100,12.65
2012-12-10,11.96,12.45,11.93,12.36,12841100,12.36
2012-12-07,11.99,12.05,11.82,11.96,8457200,11.96
2012-12-06,11.93,12.06,11.89,11.98,10322400,11.98
2012-12-05,12.00,12.08,11.79,11.96,15825600,11.96
2012-12-04,11.77,12.12,11.70,12.10,13201700,12.10
2012-12-03,12.12,12.12,11.72,11.75,9784500,11.75
2012-11-30,12.03,12.12,11.90,11.97,11512600,11.97
2012-11-29,12.28,12.34,12.00,12.04,12217200,12.04
2012-11-28,12.11,12.32,11.96,12.26,9958300,12.26
2012-11-27,12.06,12.34,11.96,12.16,11285100,12.16
2012-11-26,11.92,12.14,11.90,12.11,9115000,12.11
2012-11-23,11.87,12.04,11.81,11.90,6923300,11.90
2012-11-21,11.49,11.85,11.48,11.82,10557800,11.82
2012-11-20,11.58,11.63,11.37,11.49,8424400,11.49
2012-11-19,11.59,11.74,11.45,11.70,10102300,11.62
2012-11-16,11.59,11.63,11.15,11.38,15613800,11.31
2012-11-15,11.61,11.91,11.51,11.59,11667200,11.52
2012-11-14,11.90,12.02,11.53,11.54,15482500,11.47
2012-11-13,11.86,12.13,11.82,11.83,12303000,11.75
2012-11-12,12.21,12.26,11.80,11.92,16090600,11.84
2012-11-09,12.75,12.90,12.15,12.19,21157000,12.11
2012-11-08,12.75,13.08,12.65,12.68,20975600,12.60
2012-11-07,12.91,12.99,12.55,12.61,8115500,12.53
2012-11-06,13.05,13.05,12.79,13.01,8770100,12.93
2012-11-05,12.46,13.07,12.46,13.02,11121000,12.94
2012-11-02,12.68,12.70,12.41,12.49,6417500,12.41
2012-11-01,12.04,12.56,12.03,12.55,11830500,12.47
2012-10-31,12.10,12.20,11.95,11.98,8677800,11.90
2012-10-26,12.20,12.27,12.05,12.05,9734400,11.97
2012-10-25,12.27,12.40,12.13,12.18,7683900,12.10
2012-10-24,12.41,12.46,12.05,12.17,8322900,12.09
2012-10-23,11.86,12.41,11.83,12.33,14348700,12.25
2012-10-22,12.16,12.23,11.87,11.97,12021000,11.89
2012-10-19,12.67,12.76,12.04,12.11,17735300,12.03
2012-10-18,13.03,13.03,12.81,12.86,6369300,12.78
2012-10-17,13.00,13.12,12.87,13.06,9793800,12.98
2012-10-16,12.90,13.20,12.78,13.16,9192400,13.08
2012-10-15,12.65,12.80,12.50,12.79,6239500,12.71
2012-10-12,12.65,12.75,12.55,12.63,6517400,12.55
2012-10-11,12.79,12.83,12.64,12.74,8012900,12.66
2012-10-10,12.83,12.89,12.62,12.67,8164200,12.59
2012-10-09,13.15,13.19,12.85,12.89,9159000,12.81
2012-10-08,13.25,13.31,13.07,13.17,6014900,13.09
2012-10-05,13.66,13.80,13.25,13.30,12076700,13.21
2012-10-04,13.07,13.70,13.00,13.62,12565200,13.53
2012-10-03,13.20,13.24,12.97,13.04,10771800,12.96
2012-10-02,13.21,13.21,13.02,13.17,7387300,13.09
