Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,12.09,12.46,12.09,12.16,1037400,12.16
2009-12-23,11.99,12.11,11.46,12.10,4647100,12.10
2009-12-22,10.97,11.18,10.70,11.03,2698900,11.03
2009-12-21,10.68,10.84,10.38,10.79,3424500,10.79
2009-12-18,10.56,11.11,10.10,10.40,4089500,10.40
2009-12-17,10.59,10.59,10.23,10.25,1835900,10.25
2009-12-16,10.02,10.75,10.02,10.68,3897100,10.68
2009-12-15,9.67,10.12,9.52,10.10,2584300,10.10
2009-12-14,9.34,9.75,9.20,9.69,2100900,9.69
2009-12-11,9.18,9.24,8.98,9.19,1711800,9.19
2009-12-10,8.89,9.32,8.88,9.08,4447800,9.08
2009-12-09,8.98,9.02,8.73,8.96,2640100,8.96
2009-12-08,8.90,9.29,8.62,9.01,2696800,9.01
2009-12-07,8.61,9.03,8.61,8.90,3042500,8.90
2009-12-04,8.65,8.90,8.34,8.72,1642000,8.72
2009-12-03,8.61,8.80,8.55,8.55,1228400,8.55
2009-12-02,8.60,8.78,8.39,8.52,899300,8.52
2009-12-01,8.68,8.80,8.48,8.60,1060100,8.60
2009-11-30,8.70,8.78,8.34,8.44,1732300,8.44
2009-11-27,8.49,8.87,8.32,8.76,621900,8.76
2009-11-25,8.92,9.04,8.89,8.99,828800,8.99
2009-11-24,8.89,9.15,8.73,8.88,866600,8.88
2009-11-23,8.97,9.10,8.84,8.91,1241700,8.91
2009-11-20,8.86,8.86,8.36,8.65,1019300,8.65
2009-11-19,9.16,9.17,8.69,8.84,1468400,8.84
2009-11-18,9.46,9.52,9.16,9.25,1486700,9.25
2009-11-17,9.50,9.58,9.24,9.55,997400,9.55
2009-11-16,9.13,9.62,8.97,9.55,1590000,9.55
2009-11-13,8.97,9.17,8.82,8.95,1735900,8.95
2009-11-12,8.94,9.20,8.86,8.91,1656000,8.91
2009-11-11,8.81,9.15,8.81,8.99,2157500,8.99
2009-11-10,8.59,8.81,8.47,8.67,1714500,8.67
2009-11-09,8.21,8.71,8.14,8.63,2068600,8.63
2009-11-06,7.97,8.41,7.97,8.17,1949800,8.17
2009-11-05,7.71,8.28,7.71,8.26,2320600,8.26
2009-11-04,8.03,8.25,7.60,7.65,2879200,7.65
2009-11-03,7.71,8.01,7.54,7.98,3399900,7.98
2009-11-02,8.01,8.32,7.62,7.78,2956000,7.78
2009-10-30,8.65,8.79,7.97,7.97,2985400,7.97
2009-10-29,8.65,8.94,8.65,8.79,2322700,8.79
2009-10-28,9.57,9.62,8.51,8.56,4560200,8.56
2009-10-27,10.06,10.25,9.62,9.71,1927900,9.71
2009-10-26,10.86,10.93,9.94,10.08,2662700,10.08
2009-10-23,10.65,11.05,10.41,10.74,3420300,10.74
2009-10-22,9.75,10.84,9.51,10.72,6587500,10.72
2009-10-21,8.65,9.08,8.49,8.75,1998900,8.75
2009-10-20,9.07,9.07,8.63,8.65,1257300,8.65
2009-10-19,8.52,8.93,8.23,8.91,1515400,8.91
2009-10-16,8.57,8.72,8.37,8.48,945000,8.48
2009-10-15,8.44,8.92,8.35,8.67,2147500,8.67
2009-10-14,8.51,8.70,8.14,8.67,1342300,8.67
2009-10-13,8.34,8.39,8.09,8.31,733700,8.31
2009-10-12,8.48,8.65,8.29,8.39,729300,8.39
2009-10-09,8.57,8.65,8.36,8.48,815500,8.48
2009-10-08,8.11,8.62,8.06,8.59,1746700,8.59
2009-10-07,8.19,8.22,7.92,8.03,1739900,8.03
2009-10-06,7.90,8.39,7.74,8.20,2129500,8.20
2009-10-05,7.33,7.85,7.28,7.81,1554000,7.81
2009-10-02,7.64,7.67,7.25,7.32,1308800,7.32
2009-10-01,8.08,8.14,7.60,7.75,1431800,7.75
2009-09-30,8.35,8.47,8.00,8.12,2473900,8.12
2009-09-29,8.70,8.86,8.26,8.39,4247600,8.39
2009-09-28,7.74,8.08,7.67,7.99,1053200,7.99
2009-09-25,7.74,7.99,7.47,7.78,1010700,7.78
2009-09-24,8.16,8.19,7.69,7.75,1270700,7.75
2009-09-23,8.41,8.55,8.08,8.12,1699000,8.12
2009-09-22,8.23,8.68,8.16,8.37,1944000,8.37
2009-09-21,8.30,8.30,7.85,8.16,1291200,8.16
2009-09-18,8.57,8.57,8.25,8.36,2488500,8.36
