Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,50.19,50.22,49.53,50.00,504700,50.00
2012-12-21,50.39,50.52,49.82,50.21,2297200,50.21
2012-12-20,50.65,50.89,50.16,50.78,1602700,50.78
2012-12-19,50.58,51.11,50.52,50.61,2477000,50.61
2012-12-18,49.78,50.90,49.73,50.53,1608900,50.53
2012-12-17,49.43,49.77,49.23,49.77,1347300,49.77
2012-12-14,49.26,49.39,49.11,49.20,1742200,49.20
2012-12-13,49.35,49.77,49.18,49.24,1421600,49.24
2012-12-12,49.45,49.67,49.16,49.51,2030300,49.51
2012-12-11,49.47,49.66,49.36,49.57,2143400,49.27
2012-12-10,49.47,49.69,49.22,49.41,1551000,49.11
2012-12-07,49.74,49.90,49.58,49.82,1156100,49.52
2012-12-06,49.79,49.86,49.49,49.64,1021700,49.34
2012-12-05,49.67,49.83,49.35,49.77,1836200,49.47
2012-12-04,49.31,49.69,49.14,49.67,1954000,49.37
2012-12-03,49.85,49.91,49.25,49.42,2323800,49.12
2012-11-30,49.26,50.00,49.00,49.74,2195300,49.44
2012-11-29,48.70,49.33,48.58,49.15,1970300,48.85
2012-11-28,47.72,49.02,47.51,48.56,3185000,48.27
2012-11-27,47.53,48.03,47.13,47.80,2728100,47.51
2012-11-26,47.36,47.60,47.14,47.49,1486900,47.20
2012-11-23,46.41,47.52,46.39,47.46,1383500,47.17
2012-11-21,46.59,46.75,46.26,46.28,1117700,46.00
2012-11-20,46.75,46.92,46.43,46.60,1314000,46.32
2012-11-19,46.40,46.82,46.22,46.82,2207200,46.54
2012-11-16,45.60,46.09,45.42,45.93,2290400,45.65
2012-11-15,46.05,46.38,45.11,45.62,3510000,45.34
2012-11-14,46.74,46.84,45.93,46.01,2289200,45.73
2012-11-13,46.73,47.28,46.58,46.65,3443700,46.37
2012-11-12,47.39,47.39,46.99,47.02,1480400,46.74
2012-11-09,46.66,47.40,46.52,47.01,1633900,46.73
2012-11-08,48.17,48.22,46.92,46.95,3101100,46.67
2012-11-07,48.35,48.69,47.72,48.24,1444100,47.95
2012-11-06,48.34,48.84,48.18,48.66,761000,48.37
2012-11-05,48.17,48.43,48.00,48.26,975700,47.97
2012-11-02,49.54,49.55,48.14,48.18,1550300,47.89
2012-11-01,47.86,49.53,47.85,49.17,2620700,48.87
2012-10-31,47.87,48.32,47.49,47.91,1349100,47.62
2012-10-26,47.95,48.29,46.85,48.11,1752400,47.82
2012-10-25,48.38,48.53,47.97,48.22,1229000,47.93
2012-10-24,48.43,48.61,47.84,48.09,1427200,47.80
2012-10-23,48.43,48.66,48.00,48.23,1801700,47.94
2012-10-22,48.90,49.20,48.60,48.91,1550900,48.61
2012-10-19,49.55,49.65,48.70,48.91,3013300,48.61
2012-10-18,49.85,50.12,49.59,49.65,1730700,49.35
2012-10-17,50.52,50.85,49.70,49.87,3511800,49.57
2012-10-16,51.78,52.04,50.65,50.73,2295000,50.42
2012-10-15,51.90,52.57,51.74,52.46,1540700,52.14
2012-10-12,52.22,52.45,51.56,51.73,1212100,51.42
2012-10-11,52.17,52.49,52.00,52.02,691600,51.71
2012-10-10,52.35,52.46,51.73,51.75,969900,51.44
2012-10-09,52.50,53.07,52.36,52.44,1668700,52.12
2012-10-08,52.35,52.60,52.11,52.51,516600,52.19
2012-10-05,52.81,52.96,52.29,52.49,793500,52.17
2012-10-04,52.25,52.48,51.99,52.44,1034600,52.12
2012-10-03,52.19,52.45,51.81,52.03,861900,51.72
