Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,9.74,9.90,9.67,9.68,335600,9.68
2012-12-21,9.78,9.88,9.43,9.73,2135600,9.73
2012-12-20,9.93,9.94,9.77,9.92,1074900,9.92
2012-12-19,10.02,10.13,9.88,9.92,890300,9.92
2012-12-18,9.84,10.22,9.82,10.03,1350500,10.03
2012-12-17,9.66,9.90,9.61,9.83,1190500,9.83
2012-12-14,9.84,9.85,9.56,9.65,773000,9.65
2012-12-13,9.60,9.74,9.53,9.65,1040800,9.65
2012-12-12,9.77,9.80,9.56,9.57,1371500,9.57
2012-12-11,9.65,9.81,9.63,9.70,959100,9.70
2012-12-10,9.70,9.72,9.50,9.53,934800,9.53
2012-12-07,9.81,9.88,9.62,9.70,790500,9.70
2012-12-06,9.65,9.86,9.64,9.75,1165000,9.75
2012-12-05,9.97,10.00,9.67,9.69,967600,9.69
2012-12-04,9.96,9.97,9.81,9.92,1719000,9.92
2012-12-03,10.10,10.13,9.84,9.94,1261000,9.94
2012-11-30,10.08,10.10,9.90,10.00,1859700,10.00
2012-11-29,10.20,10.28,9.96,10.07,1753700,10.07
2012-11-28,9.93,10.21,9.80,10.16,1986200,10.16
2012-11-27,9.63,10.19,9.61,10.03,2562200,10.03
2012-11-26,9.53,9.61,9.36,9.61,1863500,9.61
2012-11-23,9.54,9.59,9.36,9.55,735100,9.55
2012-11-21,9.43,9.50,9.22,9.49,1466700,9.49
2012-11-20,9.38,9.48,9.20,9.41,2123600,9.41
2012-11-19,9.34,9.50,9.20,9.39,2867100,9.39
2012-11-16,10.00,10.62,9.07,9.22,9665700,9.22
2012-11-15,8.23,8.32,8.10,8.23,1336300,8.23
2012-11-14,8.53,8.65,8.21,8.23,2553400,8.23
2012-11-13,7.99,8.53,7.93,8.41,1743200,8.41
2012-11-12,8.00,8.16,7.90,8.05,1512600,8.03
2012-11-09,7.92,8.01,7.67,7.97,1350400,7.95
2012-11-08,8.21,8.35,7.92,8.00,1032400,7.98
2012-11-07,8.16,8.44,8.05,8.17,2543900,8.15
2012-11-06,7.54,8.77,7.46,8.33,5723100,8.31
2012-11-05,7.47,7.59,7.42,7.44,1194400,7.42
2012-11-02,7.69,7.70,7.43,7.51,944900,7.49
2012-11-01,7.35,7.70,7.34,7.63,1073700,7.61
2012-10-31,7.33,7.38,7.22,7.35,673500,7.33
2012-10-26,7.24,7.40,7.17,7.35,1148800,7.33
2012-10-25,7.30,7.32,7.04,7.22,1123300,7.20
2012-10-24,7.35,7.42,7.18,7.19,1107000,7.17
2012-10-23,7.32,7.37,7.15,7.31,1427500,7.29
2012-10-22,7.33,7.49,7.25,7.45,959700,7.43
2012-10-19,7.49,7.52,7.22,7.34,1116800,7.32
2012-10-18,7.51,7.64,7.42,7.58,970000,7.56
2012-10-17,7.51,7.60,7.41,7.52,1076800,7.50
2012-10-16,7.32,7.59,7.32,7.51,1297700,7.49
2012-10-15,7.45,7.48,7.18,7.28,1617800,7.26
2012-10-12,7.51,7.55,7.33,7.41,719700,7.39
2012-10-11,7.55,7.60,7.37,7.51,1147700,7.49
2012-10-10,7.48,7.60,7.39,7.43,1341900,7.41
2012-10-09,7.56,7.66,7.36,7.45,1286500,7.43
2012-10-08,7.68,7.70,7.42,7.54,2559200,7.52
2012-10-05,7.90,7.98,7.68,7.71,1392700,7.69
2012-10-04,7.70,7.90,7.59,7.83,1479600,7.81
2012-10-03,7.69,8.00,7.41,7.69,2672300,7.67
2012-10-02,7.88,7.94,7.54,7.64,1547700,7.62
2012-10-01,7.90,8.01,7.76,7.85,1491700,7.83
2012-09-28,7.87,7.98,7.74,7.81,844800,7.79
2012-09-27,7.92,8.06,7.81,7.95,1630600,7.93
2012-09-26,7.89,7.93,7.58,7.86,2122200,7.84
2012-09-25,8.16,8.20,7.85,7.87,1807100,7.85
2012-09-24,8.12,8.21,8.05,8.11,1227900,8.09
2012-09-21,8.20,8.26,8.10,8.16,4287900,8.14
2012-09-20,7.99,8.10,7.82,8.03,1526100,8.01
2012-09-19,7.63,8.00,7.55,7.97,2045400,7.95
2012-09-18,7.67,7.85,7.53,7.57,1949600,7.55
2012-09-17,8.13,8.33,7.64,7.72,3960200,7.70
2012-09-14,7.18,8.15,7.18,8.15,6122600,8.13
2012-09-13,6.72,7.38,6.64,7.11,4105100,7.09
2012-09-12,6.50,6.74,6.48,6.72,1996100,6.70
2012-09-11,6.45,6.57,6.41,6.50,720800,6.48
2012-09-10,6.57,6.63,6.38,6.49,1642400,6.47
2012-09-07,6.19,6.63,6.19,6.57,3181800,6.55
2012-09-06,6.10,6.34,6.05,6.25,3222300,6.23
2012-09-05,5.95,6.10,5.94,6.04,2305600,6.02
2012-09-04,5.85,6.05,5.81,5.93,2651200,5.92
2012-08-31,5.83,5.93,5.69,5.81,1311100,5.80
2012-08-30,5.61,5.84,5.55,5.78,1506900,5.77
2012-08-29,5.63,5.74,5.55,5.67,1064100,5.66
2012-08-28,5.46,5.69,5.42,5.64,1628900,5.63
2012-08-27,5.38,5.59,5.38,5.49,1100200,5.48
2012-08-24,5.30,5.39,5.27,5.36,803100,5.35
2012-08-23,5.45,5.45,5.28,5.33,1512200,5.32
2012-08-22,5.47,5.50,5.34,5.46,1211200,5.45
2012-08-21,5.60,5.68,5.47,5.50,1858300,5.49
2012-08-20,5.65,5.74,5.51,5.58,1527500,5.57
2012-08-17,5.35,5.69,5.30,5.64,1891900,5.63
2012-08-16,5.04,5.38,4.98,5.32,1864200,5.31
2012-08-15,4.98,5.05,4.84,5.03,1964000,5.02
2012-08-14,5.15,5.28,5.09,5.19,1460500,5.18
2012-08-13,5.14,5.15,5.04,5.09,910700,5.08
2012-08-10,5.19,5.27,5.12,5.16,990100,5.13
2012-08-09,5.25,5.33,5.21,5.21,2475400,5.18
2012-08-08,5.13,5.31,5.11,5.26,1262200,5.23
2012-08-07,5.02,5.28,5.02,5.17,1584200,5.14
2012-08-06,4.91,5.14,4.88,5.02,1387100,4.99
2012-08-03,5.11,5.13,4.86,4.92,1698800,4.89
2012-08-02,4.58,5.15,4.42,4.99,4607900,4.96
2012-08-01,4.55,4.60,4.26,4.26,1697600,4.23
2012-07-31,4.40,4.52,4.34,4.49,1164100,4.46
2012-07-30,4.49,4.58,4.39,4.41,1070300,4.38
2012-07-27,4.34,4.59,4.30,4.49,1522800,4.46
2012-07-26,4.40,4.40,4.20,4.29,1091700,4.26
2012-07-25,4.37,4.42,4.25,4.27,1165400,4.24
2012-07-24,4.46,4.59,4.28,4.30,1684900,4.27
2012-07-23,4.45,4.50,4.37,4.46,1269500,4.43
2012-07-20,4.64,4.64,4.48,4.55,1066300,4.52
2012-07-19,4.67,4.75,4.63,4.65,624000,4.62
2012-07-18,4.54,4.77,4.53,4.67,1116400,4.64
2012-07-17,4.60,4.71,4.51,4.57,1424900,4.54
2012-07-16,4.74,4.78,4.51,4.59,1173100,4.56
2012-07-13,4.74,4.92,4.72,4.78,800100,4.75
2012-07-12,4.77,4.83,4.62,4.72,1176600,4.69
