Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,89.76,90.45,89.00,90.00,348700,90.00
2012-12-21,90.98,91.17,89.80,89.99,2693400,89.99
2012-12-20,91.55,92.15,91.00,91.80,954500,91.80
2012-12-19,92.09,92.57,91.15,91.39,1088600,91.39
2012-12-18,90.94,92.56,90.72,91.99,1312300,91.99
2012-12-17,89.57,90.70,89.40,90.59,2343500,90.59
2012-12-14,90.52,91.60,89.34,89.48,1385100,89.48
2012-12-13,92.55,92.96,90.60,90.79,1545800,90.79
2012-12-12,92.41,94.86,92.41,92.82,2791600,92.82
2012-12-11,90.57,92.58,90.55,91.89,1962300,91.89
2012-12-10,91.67,92.45,90.08,90.24,1430100,90.24
2012-12-07,91.40,91.59,90.50,90.73,822700,90.73
2012-12-06,91.27,91.47,90.57,90.68,1215000,90.68
2012-12-05,92.95,93.02,90.74,91.38,1217900,91.38
2012-12-04,92.70,93.32,92.05,92.90,1382900,92.90
2012-12-03,94.68,94.88,93.07,93.32,1046900,93.32
2012-11-30,93.10,94.39,93.10,94.08,1941900,94.08
2012-11-29,92.11,93.44,90.39,92.85,1335500,92.85
2012-11-28,91.46,93.14,90.96,93.01,933000,93.01
2012-11-27,92.08,92.88,91.72,92.00,894100,92.00
2012-11-26,92.33,93.21,91.64,92.46,1082500,92.46
2012-11-23,91.56,93.00,91.09,92.63,463800,92.63
2012-11-21,90.84,92.08,90.48,91.55,744200,91.55
2012-11-20,91.50,92.41,90.66,91.37,865900,91.37
2012-11-19,90.10,91.69,89.97,91.48,1221000,91.48
2012-11-16,90.26,90.26,88.72,89.97,1141000,89.97
2012-11-15,88.94,90.00,87.99,89.77,1055700,89.77
2012-11-14,89.90,90.64,88.34,88.51,1172100,88.51
2012-11-13,88.58,90.43,87.97,89.61,1079100,89.61
2012-11-12,89.27,89.50,87.94,88.19,970900,88.19
2012-11-09,88.82,91.86,88.70,89.27,2078400,89.27
2012-11-08,88.50,89.79,88.50,88.93,1770600,88.93
2012-11-07,89.38,89.80,88.12,88.37,1354200,88.37
2012-11-06,88.29,90.08,87.76,89.71,1347400,89.71
2012-11-05,87.82,89.19,87.23,88.02,1695400,88.02
2012-11-02,88.67,91.53,87.37,88.35,1560500,88.35
2012-11-01,85.95,91.94,85.00,88.05,4338300,88.05
2012-10-31,84.70,86.52,84.00,85.85,1383500,85.85
2012-10-26,84.63,85.00,83.81,84.58,1315400,84.58
2012-10-25,86.41,88.45,83.13,84.46,3858900,84.46
2012-10-24,83.43,83.51,80.89,81.70,2296100,81.70
2012-10-23,79.49,83.31,79.24,82.64,2430000,82.64
2012-10-22,78.90,80.60,78.70,80.32,1971100,80.32
2012-10-19,79.76,80.91,79.67,80.58,1731000,80.58
2012-10-18,80.00,81.09,78.58,79.92,5091300,79.92
2012-10-17,81.62,81.66,78.91,80.44,3980000,80.44
2012-10-16,82.22,82.59,81.20,81.62,2251600,81.62
2012-10-15,83.71,83.91,82.05,82.51,1358600,82.51
2012-10-12,84.62,84.62,83.02,83.30,860000,83.30
2012-10-11,85.37,85.97,84.02,84.34,883200,84.34
2012-10-10,85.65,86.13,84.46,84.67,843800,84.67
2012-10-09,85.76,86.28,85.14,85.62,854700,85.62
2012-10-08,85.71,86.42,85.34,85.64,754100,85.64
2012-10-05,86.25,87.58,85.97,86.26,1812100,86.26
2012-10-04,83.76,86.11,83.70,86.01,1572500,86.01
2012-10-03,84.58,85.00,83.34,83.47,1114500,83.47
2012-10-02,84.13,85.18,83.44,83.99,1275200,83.99
2012-10-01,83.58,85.08,83.25,83.84,1350900,83.84
2012-09-28,84.05,84.25,83.14,83.62,1548200,83.62
2012-09-27,84.47,84.72,83.77,84.19,847200,84.19
2012-09-26,84.34,85.32,84.02,84.24,851500,84.24
2012-09-25,84.16,85.25,83.97,84.45,1234100,84.45
2012-09-24,84.00,84.47,83.62,84.24,1181700,84.24
2012-09-21,84.00,85.11,83.78,83.89,2429900,83.89
2012-09-20,82.12,84.56,81.77,84.08,2382200,84.08
2012-09-19,81.17,83.98,81.13,82.48,3012400,82.48
2012-09-18,80.45,82.00,80.07,81.17,1630200,81.17
2012-09-17,80.37,82.21,80.25,80.48,2381700,80.48
2012-09-14,82.24,82.33,80.06,80.37,2707700,80.37
2012-09-13,85.34,85.56,81.34,81.53,4530300,81.53
