Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,23.02,23.03,22.89,22.97,412400,18.14
2009-12-23,22.96,23.02,22.76,22.90,1119900,18.08
2009-12-22,22.84,22.96,22.76,22.89,1353900,18.08
2009-12-21,22.89,23.05,22.73,22.77,1349000,17.98
2009-12-18,22.83,22.91,22.70,22.83,2757100,18.03
2009-12-17,22.86,22.98,22.63,22.76,3144600,17.97
2009-12-16,23.40,23.41,22.89,22.96,1855200,18.13
2009-12-15,23.76,23.96,23.26,23.30,1698900,18.40
2009-12-14,23.25,23.65,23.21,23.47,2530200,18.53
2009-12-11,22.71,23.25,22.69,23.15,3063500,18.28
2009-12-10,22.70,22.80,22.58,22.73,1567900,17.95
2009-12-09,22.88,22.88,22.44,22.51,1840800,17.78
2009-12-08,23.01,23.17,22.67,22.79,1229700,18.00
2009-12-07,23.13,23.40,22.97,23.05,2249100,18.20
2009-12-04,23.22,23.31,22.84,23.01,1864200,18.17
2009-12-03,23.13,23.30,22.87,22.88,1449600,18.07
2009-12-02,23.11,23.24,22.98,23.00,1432200,18.16
2009-12-01,23.22,23.32,22.98,23.14,1912600,18.27
2009-11-30,23.25,23.32,22.77,23.04,2490700,18.20
2009-11-27,23.29,23.50,23.00,23.27,860800,18.38
2009-11-25,23.71,23.87,23.56,23.77,1231600,18.77
2009-11-24,23.71,23.73,23.44,23.58,2192000,18.62
2009-11-23,23.89,24.00,23.61,23.62,2404700,18.65
2009-11-20,23.86,24.06,23.60,23.64,1888400,18.67
2009-11-19,24.44,24.49,23.94,23.99,1278700,18.95
2009-11-18,25.13,25.13,24.42,24.56,1641900,19.40
2009-11-17,25.06,25.20,24.96,25.07,1945100,19.51
2009-11-16,24.90,25.02,24.87,25.02,2425500,19.48
2009-11-13,24.82,24.90,24.60,24.79,1799500,19.30
2009-11-12,24.81,25.03,24.81,24.83,2193200,19.33
2009-11-11,24.61,25.00,24.59,24.83,1856300,19.33
2009-11-10,24.92,25.00,24.44,24.49,3114600,19.06
