Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,44.91,44.95,44.34,44.67,537400,44.67
2012-12-21,43.89,44.87,43.67,44.84,4044300,44.84
2012-12-20,45.04,45.04,44.55,44.98,1895400,44.98
2012-12-19,44.90,45.44,44.67,44.94,2348600,44.94
2012-12-18,44.45,45.00,44.29,44.98,2025300,44.98
2012-12-17,44.17,44.35,43.84,44.31,1964300,44.31
2012-12-14,44.01,44.45,43.86,43.91,1974800,43.91
2012-12-13,44.63,44.81,43.84,43.90,2048300,43.90
2012-12-12,44.57,45.13,44.41,44.64,1714600,44.64
2012-12-11,44.88,45.34,44.61,45.25,2392400,45.25
2012-12-10,43.79,44.56,43.74,44.51,1479100,44.51
2012-12-07,43.59,43.91,43.45,43.84,1771200,43.84
2012-12-06,44.02,44.05,43.29,43.29,3043700,43.29
2012-12-05,43.54,44.54,43.32,44.04,2866300,44.04
2012-12-04,43.59,43.91,42.87,43.43,3513900,43.43
2012-12-03,44.11,44.25,43.33,43.48,1873100,43.48
2012-11-30,44.22,44.27,43.80,43.94,1786500,43.94
2012-11-29,44.27,44.49,44.02,44.18,1462200,44.18
2012-11-28,42.85,44.15,42.84,44.14,1951200,44.14
2012-11-27,43.05,43.69,43.01,43.17,1810900,43.17
2012-11-26,42.94,43.41,42.85,43.27,1560400,43.27
2012-11-23,42.79,43.21,42.32,43.05,914200,43.05
2012-11-21,42.36,42.83,42.06,42.55,1715400,42.55
2012-11-20,42.08,42.47,41.98,42.36,1558700,42.36
2012-11-19,42.34,42.52,41.96,42.33,2125800,42.33
2012-11-16,41.75,42.07,41.36,41.84,3144700,41.84
2012-11-15,41.61,41.95,41.17,41.78,2875100,41.78
2012-11-14,42.88,42.99,41.48,41.57,2587000,41.57
2012-11-13,42.67,43.47,42.58,42.79,1589900,42.59
2012-11-12,43.22,43.30,42.83,43.04,1247300,42.84
2012-11-09,43.30,43.52,42.96,43.01,1907700,42.81
2012-11-08,43.49,44.00,43.14,43.21,2383800,43.01
2012-11-07,44.69,45.07,43.59,43.61,3716500,43.41
2012-11-06,45.07,45.54,45.04,45.12,2733500,44.91
2012-11-05,44.80,45.27,44.67,45.05,2499700,44.84
2012-11-02,45.35,45.68,44.31,45.01,5440600,44.80
2012-11-01,43.50,45.56,43.21,45.32,4794600,45.11
2012-10-31,43.50,43.51,42.89,43.37,2486900,43.17
2012-10-26,43.00,43.50,42.63,43.34,4635800,43.14
2012-10-25,42.17,43.06,41.04,42.78,10482400,42.58
2012-10-24,40.58,40.64,39.55,39.57,3493100,39.39
2012-10-23,40.46,40.55,40.02,40.51,2575400,40.32
2012-10-22,40.43,41.17,40.20,41.10,2341800,40.91
2012-10-19,40.89,40.89,40.21,40.41,4393300,40.22
