Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,113.65,114.92,113.65,113.99,287700,113.70
2009-12-23,114.72,115.19,112.95,113.17,778500,112.89
2009-12-22,114.10,115.60,113.61,114.83,996700,114.54
2009-12-21,113.00,113.91,112.50,113.82,987800,113.53
2009-12-18,111.52,112.38,110.60,112.38,1459500,112.10
2009-12-17,110.20,111.90,109.85,110.72,833400,110.44
2009-12-16,112.11,113.13,110.86,111.15,1135800,110.87
2009-12-15,113.67,113.67,111.46,112.44,697400,112.16
2009-12-14,112.92,113.65,112.43,113.55,880900,113.26
2009-12-11,110.00,112.74,110.00,111.97,833200,111.69
2009-12-10,110.19,111.42,109.00,109.70,610700,109.42
2009-12-09,109.88,109.98,107.41,109.69,717000,109.41
2009-12-08,110.98,110.98,109.00,109.67,841500,109.39
2009-12-07,110.26,111.74,109.00,111.30,978200,111.02
2009-12-04,109.77,111.39,108.10,110.90,1157800,110.62
2009-12-03,107.88,109.03,107.42,107.89,683800,107.62
2009-12-02,107.30,107.87,106.15,107.75,971000,107.48
2009-12-01,104.70,107.38,103.68,107.07,1124300,106.77
2009-11-30,105.35,105.35,103.38,103.68,1175600,103.39
2009-11-27,105.02,106.15,103.67,105.27,462300,104.98
2009-11-25,105.16,107.27,105.16,107.20,979400,106.90
2009-11-24,104.97,105.43,104.16,105.13,645000,104.84
2009-11-23,104.73,106.38,104.67,105.43,556400,105.14
2009-11-20,103.24,104.64,102.40,103.20,833700,102.91
2009-11-19,104.65,104.66,102.17,103.91,590500,103.62
2009-11-18,107.03,107.14,103.99,105.25,1057300,104.96
2009-11-17,106.15,107.09,105.26,107.01,907000,106.71
2009-11-16,103.13,106.43,102.91,106.34,1025500,106.04
2009-11-13,101.25,103.07,100.69,102.91,833800,102.62
2009-11-12,101.43,102.54,100.44,100.87,478700,100.59
2009-11-11,101.00,102.00,99.98,101.41,909000,101.13
2009-11-10,101.12,102.04,99.92,100.26,786700,99.98
