Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,30.66,30.66,30.37,30.54,632600,30.54
2012-12-21,30.76,30.87,30.46,30.74,4756200,30.74
2012-12-20,30.78,30.87,30.56,30.81,1431800,30.81
2012-12-19,30.97,31.00,30.74,30.74,2574100,30.74
2012-12-18,30.59,31.00,30.51,30.98,2598800,30.98
2012-12-17,30.12,30.65,30.12,30.64,2531800,30.64
2012-12-14,30.14,30.19,30.00,30.06,1851600,30.06
2012-12-13,30.24,30.30,29.94,30.13,1780300,30.13
2012-12-12,30.24,30.57,30.24,30.28,2134000,30.28
2012-12-11,30.09,30.43,30.06,30.27,2527200,30.27
2012-12-10,30.03,30.12,29.92,30.09,1926700,30.09
2012-12-07,29.97,30.07,29.86,30.06,2398300,30.06
2012-12-06,30.03,30.17,29.85,29.96,2808000,29.96
2012-12-05,29.47,30.22,29.35,30.01,4088000,30.01
2012-12-04,29.91,30.06,29.71,29.72,2616000,29.36
2012-12-03,30.09,30.14,29.53,29.85,2024400,29.49
2012-11-30,29.95,30.12,29.82,30.09,3290600,29.73
2012-11-29,30.01,30.01,29.66,29.89,2461800,29.53
2012-11-28,29.74,29.97,29.54,29.96,2323700,29.60
2012-11-27,29.76,29.90,29.67,29.78,2307200,29.42
2012-11-26,29.22,29.86,29.20,29.71,2590100,29.36
2012-11-23,29.48,29.54,29.07,29.24,1162800,28.89
2012-11-21,29.62,29.67,29.10,29.40,2082000,29.05
2012-11-20,29.80,29.85,29.40,29.63,2201600,29.28
2012-11-19,29.55,29.86,29.49,29.78,3352000,29.42
2012-11-16,29.29,29.46,29.15,29.45,3997200,29.10
2012-11-15,29.46,29.63,29.05,29.28,2519300,28.93
2012-11-14,29.84,29.92,29.39,29.49,3249100,29.14
2012-11-13,29.59,30.15,29.54,29.83,3329000,29.47
2012-11-12,29.90,29.97,29.49,29.60,2082200,29.25
2012-11-09,30.06,30.27,29.88,29.90,1980100,29.54
2012-11-08,29.95,30.27,29.93,29.95,2367100,29.59
2012-11-07,30.44,30.44,29.82,29.96,2407500,29.60
2012-11-06,30.72,30.86,30.52,30.53,1722100,30.17
2012-11-05,31.00,31.15,30.55,30.72,2642200,30.35
2012-11-02,31.15,31.48,31.05,31.08,3255200,30.71
2012-11-01,31.83,31.83,31.08,31.14,3901500,30.77
2012-10-31,31.89,32.25,31.77,32.04,2742200,31.66
2012-10-26,32.07,32.11,31.71,31.74,2413100,31.36
2012-10-25,32.03,32.07,31.78,32.01,1571300,31.63
2012-10-24,32.18,32.23,31.83,31.88,1805800,31.50
2012-10-23,32.22,32.29,32.01,32.18,1619300,31.80
2012-10-22,32.23,32.43,32.22,32.43,2206200,32.04
2012-10-19,33.22,33.29,32.62,32.71,2679900,32.32
2012-10-18,33.07,33.36,32.97,33.32,2177000,32.92
2012-10-17,32.79,33.12,32.73,33.07,2779100,32.67
2012-10-16,32.70,32.84,32.59,32.68,1745400,32.29
2012-10-15,32.51,32.64,32.37,32.62,1973900,32.23
2012-10-12,32.79,32.84,32.44,32.49,2316600,32.10
2012-10-11,32.60,33.15,32.42,32.70,2627900,32.31
2012-10-10,32.44,32.63,32.34,32.48,1843400,32.09
2012-10-09,32.36,32.50,32.31,32.46,1399200,32.07
2012-10-08,32.32,32.48,32.26,32.41,1638000,32.02
2012-10-05,32.46,32.55,32.25,32.33,1172000,31.94
2012-10-04,32.25,32.50,32.17,32.39,1503800,32.00
2012-10-03,32.01,32.13,31.92,32.13,1526200,31.75
2012-10-02,31.87,32.11,31.83,31.94,2714200,31.56
2012-10-01,32.18,32.24,31.67,31.71,2330800,31.33
2012-09-28,31.83,32.25,31.65,32.18,3180500,31.80
2012-09-27,31.91,32.09,31.83,31.85,1799800,31.47
2012-09-26,31.83,32.19,31.83,31.85,1332700,31.47
2012-09-25,32.01,32.20,31.82,31.82,1946500,31.44
2012-09-24,31.67,32.02,31.61,31.94,2031400,31.56
2012-09-21,31.82,31.87,31.58,31.70,2430400,31.32
2012-09-20,31.56,31.80,31.55,31.74,1627400,31.36
2012-09-19,31.41,31.72,31.41,31.55,1530800,31.17
2012-09-18,31.53,31.66,31.33,31.39,1793800,31.02
2012-09-17,31.86,31.97,31.52,31.62,1646700,31.24
2012-09-14,31.85,31.95,31.69,31.86,2811800,31.48
2012-09-13,31.23,31.89,31.22,31.87,2652100,31.49
2012-09-12,31.54,31.61,31.19,31.25,2249300,30.88
2012-09-11,31.78,31.89,31.53,31.54,1596300,31.16
2012-09-10,31.87,31.88,31.64,31.78,1872800,31.40
2012-09-07,31.72,31.74,31.45,31.66,2743500,31.28
2012-09-06,31.44,31.75,31.43,31.72,2027400,31.34
2012-09-05,31.30,31.47,31.25,31.27,2201900,30.90
2012-09-04,31.65,31.76,31.51,31.68,8195000,30.95
2012-08-31,31.68,31.75,31.54,31.66,7234300,30.93
2012-08-30,31.69,31.75,31.50,31.63,2559600,30.90
2012-08-29,31.81,31.91,31.70,31.81,2119400,31.08
2012-08-28,32.01,32.13,31.85,31.98,1678000,31.24
2012-08-27,32.06,32.17,31.89,32.05,1991100,31.31
2012-08-24,31.84,32.18,31.84,32.13,2162800,31.39
2012-08-23,32.30,32.30,31.84,31.94,2189700,31.20
2012-08-22,32.43,32.52,32.16,32.31,1795700,31.57
2012-08-21,32.38,32.73,32.17,32.43,2405200,31.68
2012-08-20,32.46,32.49,32.12,32.32,2857300,31.58
2012-08-17,32.52,32.70,32.46,32.67,1881500,31.92
2012-08-16,32.70,32.83,32.40,32.46,2424500,31.71
2012-08-15,32.64,32.91,32.57,32.70,1890900,31.95
2012-08-14,32.58,32.75,32.49,32.62,1669500,31.87
2012-08-13,32.70,32.77,32.44,32.57,1488100,31.82
2012-08-10,32.54,32.82,32.33,32.80,1395300,32.05
2012-08-09,32.50,32.58,32.35,32.56,1538000,31.81
2012-08-08,32.41,32.59,32.27,32.54,2174700,31.79
2012-08-07,32.72,32.82,32.42,32.44,2598000,31.69
2012-08-06,32.75,32.91,32.50,32.66,2144700,31.91
2012-08-03,32.64,32.87,32.47,32.64,2200000,31.89
2012-08-02,32.55,32.60,32.06,32.30,2978000,31.56
2012-08-01,33.18,33.66,32.51,32.60,4154900,31.85
2012-07-31,33.75,33.95,33.14,33.24,3972400,32.47
2012-07-30,33.63,34.07,33.59,34.00,2237800,33.22
