Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,18.67,18.69,18.51,18.60,12935300,16.48
2009-12-23,18.76,18.80,18.53,18.58,27963400,16.47
2009-12-22,18.80,18.87,18.54,18.61,35894100,16.49
2009-12-21,18.40,18.89,18.37,18.61,39160100,16.49
2009-12-18,18.35,18.48,18.25,18.30,62248400,16.22
2009-12-17,18.38,18.38,18.06,18.22,44296900,16.15
2009-12-16,18.37,18.55,18.31,18.41,40041800,16.32
2009-12-15,18.26,18.46,18.16,18.29,34626700,16.21
2009-12-14,18.47,18.53,18.19,18.40,51231200,16.31
2009-12-11,18.37,18.48,18.26,18.30,30886500,16.22
2009-12-10,18.47,18.50,18.25,18.32,36292600,16.24
2009-12-09,18.03,18.26,17.87,18.24,73225600,16.16
2009-12-08,18.05,18.07,17.63,17.76,79981600,15.74
2009-12-07,18.49,18.58,18.04,18.06,76050600,16.01
2009-12-04,18.83,18.95,18.44,18.49,50050800,16.39
2009-12-03,18.83,18.88,18.59,18.64,41027400,16.52
2009-12-02,18.94,18.99,18.49,18.74,47655300,16.61
2009-12-01,18.54,18.85,18.17,18.85,71095700,16.71
2009-11-30,18.31,18.45,18.17,18.17,59261700,16.10
2009-11-27,18.08,18.41,18.00,18.25,22830300,16.17
2009-11-25,18.44,18.62,18.25,18.59,42137100,16.48
2009-11-24,18.61,18.63,18.16,18.31,58547900,16.23
2009-11-23,18.49,18.90,18.47,18.53,73608300,16.42
2009-11-20,18.15,18.48,18.12,18.36,60970500,16.27
2009-11-19,18.07,18.17,17.82,18.11,41221900,16.05
2009-11-18,17.93,18.24,17.81,18.19,48809600,16.12
2009-11-17,17.85,17.95,17.73,17.94,34063300,15.90
2009-11-16,17.65,18.00,17.63,17.94,41132900,15.90
2009-11-13,17.72,17.77,17.51,17.59,36855300,15.59
2009-11-12,17.60,17.86,17.48,17.62,39674700,15.62
2009-11-11,17.67,17.82,17.51,17.62,35433700,15.62
2009-11-10,17.32,17.74,17.23,17.56,50976300,15.56
2009-11-09,17.10,17.43,17.03,17.43,46174200,15.45
2009-11-06,17.01,17.02,16.82,16.96,36104200,15.03
2009-11-05,17.11,17.25,16.82,17.02,55656400,15.08
2009-11-04,16.93,17.21,16.87,16.93,52384600,15.00
2009-11-03,16.90,16.95,16.72,16.89,52721500,14.83
2009-11-02,17.05,17.20,16.83,16.95,61228500,14.88
2009-10-30,17.46,17.49,16.98,17.03,65456900,14.95
2009-10-29,17.24,17.56,17.11,17.55,57190900,15.41
2009-10-28,17.21,17.43,17.14,17.21,59927600,15.11
2009-10-27,17.28,17.43,17.19,17.26,59177700,15.15
2009-10-26,17.41,17.57,17.05,17.12,64462800,15.03
2009-10-23,17.49,17.54,17.14,17.25,61134800,15.14
2009-10-22,17.38,17.60,17.30,17.56,57368400,15.41
2009-10-21,18.00,18.03,17.41,17.41,97583800,15.28
2009-10-20,18.28,18.43,17.74,17.93,90159400,15.74
2009-10-19,17.65,18.14,17.58,17.98,93358100,15.78
2009-10-16,17.63,17.89,17.56,17.77,67501000,15.60
2009-10-15,17.37,17.74,17.29,17.66,124015000,15.50
2009-10-14,16.87,17.60,16.65,17.37,136154100,15.25
2009-10-13,16.89,16.99,16.72,16.78,64568600,14.73
2009-10-12,16.92,17.13,16.82,17.10,59493100,15.01
