Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,28.14,28.28,28.06,28.13,884400,28.13
2012-12-24,27.99,28.29,27.99,28.09,496400,28.09
2012-12-21,28.05,28.31,27.87,28.05,1692400,28.05
2012-12-20,28.12,28.44,28.02,28.42,923600,28.42
2012-12-19,27.94,28.53,27.94,28.13,1867400,28.13
2012-12-18,28.01,28.71,27.91,28.70,2187800,28.70
2012-12-17,27.69,27.85,27.63,27.85,1132300,27.85
2012-12-14,27.59,27.68,27.44,27.51,1146500,27.51
2012-12-13,27.95,28.09,27.60,27.62,1744500,27.62
2012-12-12,27.91,28.29,27.85,28.00,1432100,28.00
2012-12-11,27.86,27.95,27.68,27.72,1994500,27.72
2012-12-10,27.53,27.82,27.45,27.73,1362700,27.73
2012-12-07,27.80,27.86,27.64,27.66,1101800,27.66
2012-12-06,27.66,27.77,27.58,27.69,970700,27.69
2012-12-05,27.69,27.99,27.60,27.88,2430800,27.67
2012-12-04,27.32,27.68,27.30,27.67,4232300,27.46
2012-12-03,27.28,27.43,27.16,27.35,2361900,27.14
2012-11-30,26.94,27.20,26.78,27.15,2200500,26.95
2012-11-29,26.92,27.01,26.74,26.92,1450800,26.72
2012-11-28,26.67,26.83,26.15,26.80,3303800,26.60
2012-11-27,27.49,27.63,27.26,27.32,2048400,27.11
2012-11-26,27.08,27.60,26.99,27.59,1601600,27.38
2012-11-23,26.93,27.33,26.78,27.33,537100,27.12
2012-11-21,26.82,26.82,26.55,26.76,864500,26.56
2012-11-20,26.58,26.77,26.41,26.75,2083700,26.55
2012-11-19,26.67,26.90,26.56,26.70,1574500,26.50
2012-11-16,26.20,26.37,25.83,26.32,1337000,26.12
2012-11-15,26.23,26.47,26.02,26.23,1146200,26.03
2012-11-14,26.57,26.71,26.09,26.17,1253800,25.97
2012-11-13,26.37,26.89,26.29,26.50,1592300,26.30
2012-11-12,26.55,26.75,26.29,26.63,1393600,26.43
2012-11-09,26.34,27.02,26.25,26.60,1436600,26.40
2012-11-08,26.79,27.29,26.50,26.50,1412500,26.30
2012-11-07,27.77,27.96,26.96,26.99,2060600,26.79
2012-11-06,28.40,28.48,28.25,28.30,1371900,28.09
2012-11-05,27.90,28.26,27.79,28.17,757600,27.96
2012-11-02,28.58,28.60,27.91,28.17,1748000,27.96
2012-11-01,27.63,28.36,27.60,28.29,1884500,28.08
2012-10-31,27.81,27.89,27.41,27.54,2111400,27.33
2012-10-26,28.02,28.48,27.24,27.70,2511200,27.49
2012-10-25,28.24,28.47,28.07,28.29,2779000,28.08
2012-10-24,28.02,28.27,27.85,27.97,1168600,27.76
2012-10-23,27.92,28.06,27.73,27.92,1247900,27.71
2012-10-22,28.09,28.45,28.07,28.42,1455800,28.21
2012-10-19,28.60,28.60,28.01,28.16,2282500,27.95
2012-10-18,28.38,28.71,28.38,28.59,1337600,28.37
2012-10-17,28.02,28.50,28.02,28.44,2220300,28.23
2012-10-16,27.39,28.05,27.39,27.92,2514100,27.71
2012-10-15,27.09,27.27,26.83,27.13,1082400,26.93
2012-10-12,27.29,27.45,26.89,26.92,1319100,26.72
2012-10-11,27.24,27.62,27.08,27.37,2632600,27.16
2012-10-10,27.21,27.34,26.99,27.09,1410500,26.89
2012-10-09,27.01,27.63,27.01,27.21,3670100,27.01
2012-10-08,27.60,27.87,27.59,27.77,903600,27.56
2012-10-05,28.08,28.18,27.70,27.76,1424100,27.55
2012-10-04,27.35,27.82,27.33,27.82,1730500,27.61
2012-10-03,27.37,27.38,27.05,27.13,2854100,26.93
2012-10-02,27.08,27.17,26.92,27.14,1398600,26.94
2012-10-01,27.06,27.40,26.84,26.90,1783500,26.70
2012-09-28,26.78,27.08,26.65,26.94,1973100,26.74
2012-09-27,27.03,27.14,26.82,26.94,1294800,26.74
2012-09-26,26.74,26.91,26.53,26.79,2646300,26.59
