Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,21.11,21.29,21.05,21.23,1148600,21.23
2012-12-21,21.34,21.59,21.06,21.20,6695500,21.20
2012-12-20,21.37,21.55,21.27,21.52,5092100,21.52
2012-12-19,21.46,21.62,21.35,21.39,6036400,21.39
2012-12-18,21.27,21.49,21.20,21.45,16281600,21.45
2012-12-17,21.07,21.28,21.03,21.27,5608600,21.27
2012-12-14,21.18,21.21,20.96,20.99,4204400,20.99
2012-12-13,21.38,21.43,21.13,21.16,4111100,21.16
2012-12-12,21.56,21.77,21.38,21.42,5450500,21.42
2012-12-11,21.75,21.76,21.46,21.48,5489400,21.48
2012-12-10,21.42,21.77,21.39,21.66,3634000,21.66
2012-12-07,21.49,21.58,21.40,21.48,4277900,21.48
2012-12-06,21.54,21.59,21.38,21.43,4329300,21.43
2012-12-05,21.18,21.63,21.14,21.53,4709400,21.53
2012-12-04,21.20,21.38,21.13,21.13,5352900,21.13
2012-12-03,21.40,21.45,21.11,21.16,3956100,21.16
2012-11-30,21.54,21.55,21.20,21.25,5848800,21.25
2012-11-29,21.48,21.64,21.34,21.59,8318100,21.59
2012-11-28,21.27,21.39,21.10,21.38,6380900,21.38
2012-11-27,21.60,21.70,21.35,21.39,4710400,21.39
2012-11-26,21.79,21.85,21.60,21.67,2844400,21.67
2012-11-23,21.74,21.87,21.63,21.82,1750600,21.82
2012-11-21,21.63,21.69,21.51,21.59,3779400,21.59
2012-11-20,21.42,21.66,21.41,21.60,4883900,21.60
2012-11-19,21.72,21.86,21.34,21.47,8338900,21.47
2012-11-16,22.24,22.57,22.11,22.55,5501300,22.55
2012-11-15,22.45,22.56,22.13,22.23,6346700,22.23
2012-11-14,22.35,22.61,21.97,22.36,12872900,22.36
2012-11-13,22.07,22.42,22.03,22.21,7101700,22.21
2012-11-12,22.37,22.38,22.15,22.26,16932200,22.26
2012-11-09,22.05,22.48,21.97,22.35,16046100,22.35
2012-11-08,22.12,22.43,21.95,22.09,15124600,22.09
2012-11-07,22.21,22.27,21.93,22.09,3556700,22.09
2012-11-06,22.31,22.44,22.17,22.41,3813700,22.41
2012-11-05,21.95,22.24,21.83,22.19,3901300,22.19
2012-11-02,22.13,22.59,21.97,22.07,11359100,22.07
2012-11-01,22.42,22.70,22.26,22.39,5819700,22.39
2012-10-31,22.52,22.68,22.23,22.30,8754600,22.30
2012-10-26,22.62,22.75,22.39,22.58,4146600,22.58
2012-10-25,22.87,22.93,22.53,22.59,4471300,22.59
