Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,62.48,63.52,62.34,63.34,720300,63.34
2013-01-04,62.97,63.22,62.57,62.65,798300,62.65
2013-01-03,62.12,62.98,62.09,62.59,726800,62.59
2013-01-02,61.40,62.22,61.29,62.19,1019200,62.19
2012-12-31,59.52,60.39,59.52,60.26,686400,60.26
2012-12-28,59.80,60.46,59.62,59.67,432000,59.67
2012-12-27,60.37,60.48,59.73,60.23,547300,60.23
2012-12-26,61.06,61.16,60.32,60.32,485300,60.32
2012-12-24,60.69,61.27,60.46,61.02,381500,61.02
2012-12-21,60.44,60.70,59.86,60.68,1411400,60.68
2012-12-20,60.90,60.90,60.40,60.85,632900,60.85
2012-12-19,61.31,61.31,60.61,60.69,613600,60.69
2012-12-18,60.54,61.22,60.19,61.16,787500,61.16
2012-12-17,60.51,60.70,60.05,60.33,885700,60.33
2012-12-14,61.48,61.54,60.19,60.24,800600,60.24
2012-12-13,61.18,62.07,60.99,61.60,857400,61.60
2012-12-12,61.90,62.19,61.21,61.28,786100,61.28
2012-12-11,61.76,62.14,61.39,61.61,787300,61.61
2012-12-10,60.45,61.86,60.40,61.50,849700,61.50
2012-12-07,60.57,60.79,59.97,60.46,552100,60.46
2012-12-06,60.29,60.99,60.11,60.48,629500,60.48
2012-12-05,59.65,60.42,59.02,60.26,650500,60.26
2012-12-04,59.41,59.84,59.03,59.61,897800,59.61
2012-12-03,59.86,60.12,59.02,59.49,892600,59.49
2012-11-30,59.36,59.69,58.93,59.48,1223700,59.48
2012-11-29,60.27,60.74,58.40,59.38,2098400,59.38
2012-11-28,59.09,60.18,58.88,60.16,888600,60.16
2012-11-27,60.48,60.48,59.30,59.45,1585200,59.45
2012-11-26,61.29,61.76,60.99,61.00,720000,61.00
2012-11-23,60.79,61.56,60.59,61.56,177100,61.56
2012-11-21,60.41,60.84,60.02,60.52,264500,60.52
2012-11-20,60.34,60.48,59.90,60.43,540500,60.43
2012-11-19,60.04,60.67,59.85,60.41,518300,60.41
2012-11-16,58.29,59.37,58.18,59.27,661500,59.27
2012-11-15,58.69,59.07,58.20,58.47,633800,58.47
2012-11-14,59.66,60.05,58.57,58.68,812300,58.68
2012-11-13,59.03,60.19,59.03,59.50,588800,59.50
2012-11-12,59.25,59.59,58.97,59.43,365600,59.43
2012-11-09,59.08,59.73,58.63,59.13,585900,59.13
2012-11-08,59.94,60.23,59.20,59.21,956700,59.21
2012-11-07,61.02,61.02,59.28,59.93,648200,59.93
2012-11-06,61.11,61.64,60.57,61.07,1099200,61.07
2012-11-05,63.04,63.04,59.82,60.81,2021100,60.81
2012-11-02,64.96,65.28,63.95,63.95,526000,63.95
2012-11-01,62.90,64.64,62.67,64.54,883800,64.54
2012-10-31,62.75,63.58,62.65,62.96,423300,62.96
2012-10-26,62.27,62.68,62.03,62.31,528200,62.31
2012-10-25,62.54,62.93,62.13,62.28,397600,62.28
2012-10-24,62.78,62.78,62.00,62.07,887500,62.07
2012-10-23,62.75,62.99,62.43,62.55,978700,62.55
2012-10-22,63.31,63.85,63.08,63.65,854700,63.65
2012-10-19,63.16,63.55,62.91,63.28,752700,63.28
2012-10-18,63.19,63.72,62.99,63.54,1032200,63.54
2012-10-17,63.73,63.99,63.39,63.80,563600,63.80
2012-10-16,63.39,63.52,63.19,63.35,703100,63.35
2012-10-15,63.38,63.60,62.87,63.30,679500,63.30
2012-10-12,63.41,64.31,63.23,63.36,431000,63.36
2012-10-11,63.81,63.93,63.17,63.21,350100,63.21
2012-10-10,63.72,63.97,63.09,63.18,827100,63.18
2012-10-09,64.55,64.98,63.94,64.06,442000,63.81
2012-10-08,64.25,64.74,64.09,64.50,450200,64.25
2012-10-05,65.07,65.57,64.27,64.61,586800,64.36
2012-10-04,64.87,65.01,64.37,64.71,450900,64.46
2012-10-03,64.40,64.73,63.98,64.45,443100,64.20
2012-10-02,64.49,64.49,63.71,64.15,720600,63.90
2012-10-01,63.90,64.68,63.37,64.34,1004300,64.09
2012-09-28,63.56,63.89,63.14,63.49,790300,63.24
2012-09-27,63.46,63.99,63.08,63.89,399300,63.64
2012-09-26,63.90,64.04,62.76,63.08,816800,62.83
2012-09-25,64.51,64.86,63.71,63.85,754500,63.60
2012-09-24,64.62,64.72,64.00,64.32,921900,64.07
2012-09-21,65.32,65.82,64.55,65.02,1027400,64.77
2012-09-20,64.62,65.09,64.19,64.58,820300,64.33
2012-09-19,64.00,65.06,64.00,64.92,962900,64.67
2012-09-18,63.55,63.99,63.19,63.92,793600,63.67
2012-09-17,63.82,63.82,63.09,63.25,755400,63.00
2012-09-14,63.47,64.43,62.80,64.08,2140700,63.83
2012-09-13,62.16,63.19,62.05,62.80,4349500,62.55
2012-09-12,57.82,58.20,57.50,58.17,805900,57.94
2012-09-11,56.93,57.68,56.86,57.61,704400,57.39
2012-09-10,56.84,57.35,56.73,56.93,679300,56.71
2012-09-07,56.94,57.93,56.84,57.18,665000,56.96
2012-09-06,55.66,56.74,55.63,56.69,353300,56.47
2012-09-05,55.78,55.91,55.04,55.26,442200,55.04
2012-09-04,55.39,56.00,55.13,55.75,780200,55.53
2012-08-31,55.43,55.88,55.20,55.51,590000,55.29
2012-08-30,55.12,55.46,54.89,55.09,355600,54.88
2012-08-29,54.89,55.65,54.69,55.50,393600,55.28
2012-08-28,54.86,55.05,54.61,54.78,498100,54.57
2012-08-27,55.16,55.52,54.99,55.02,359700,54.81
2012-08-24,54.99,55.53,54.89,55.09,563000,54.88
2012-08-23,55.23,55.44,54.80,55.19,691900,54.97
2012-08-22,54.68,55.59,54.32,55.45,886500,55.23
2012-08-21,55.39,55.74,54.51,54.83,598800,54.62
2012-08-20,55.71,55.93,55.12,55.29,325500,55.07
2012-08-17,55.05,55.98,55.04,55.78,550400,55.56
2012-08-16,54.78,55.10,54.36,55.00,696400,54.79
