Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,58.62,58.77,57.66,58.05,2169200,58.05
2012-12-24,58.23,58.68,58.12,58.57,1315600,58.57
2012-12-21,58.11,58.70,57.71,58.31,5403700,58.31
2012-12-20,58.63,59.21,58.55,59.17,3746800,59.17
2012-12-19,59.88,59.88,58.63,58.63,4391800,58.63
2012-12-18,57.90,59.58,57.57,59.52,9490300,59.52
2012-12-17,56.20,57.92,56.06,57.87,3844400,57.87
2012-12-14,56.36,56.81,55.75,55.85,3557900,55.85
2012-12-13,56.56,56.81,56.37,56.54,3851800,56.54
2012-12-12,56.35,56.99,56.20,56.70,4329300,56.70
2012-12-11,55.92,56.67,55.77,56.24,3711000,56.24
2012-12-10,55.70,56.02,55.49,55.88,3364900,55.88
2012-12-07,55.71,55.86,55.33,55.80,4521500,55.80
2012-12-06,55.90,55.94,55.02,55.33,3861100,55.33
2012-12-05,55.42,56.38,55.37,55.89,4416200,55.89
2012-12-04,55.17,55.56,54.34,55.08,4250700,55.08
2012-12-03,56.38,56.46,55.14,55.31,4484500,55.31
2012-11-30,55.46,56.36,55.25,56.14,4378900,56.14
2012-11-29,55.48,55.74,55.21,55.35,2294500,55.35
2012-11-28,54.75,55.38,54.37,55.35,3136200,55.35
2012-11-27,55.47,55.93,54.96,55.03,2947700,55.03
2012-11-26,55.49,55.66,55.04,55.55,2861500,55.55
2012-11-23,55.01,55.78,54.84,55.75,1734800,55.75
2012-11-21,54.83,54.98,54.27,54.81,2915200,54.81
2012-11-20,54.88,55.47,54.65,54.80,3798200,54.80
2012-11-19,55.07,55.41,54.64,54.91,3257800,54.91
2012-11-16,54.47,54.57,53.36,54.34,6198100,54.34
2012-11-15,53.82,54.80,53.75,54.37,5109900,54.37
2012-11-14,55.15,55.25,53.40,53.69,7488400,53.69
2012-11-13,55.89,56.33,54.87,54.96,5579100,54.96
2012-11-12,56.51,56.74,56.12,56.31,1507200,56.31
2012-11-09,56.11,56.81,56.02,56.26,2661500,56.26
2012-11-08,56.75,57.65,56.25,56.25,3646400,56.25
2012-11-07,58.25,58.33,56.41,56.60,7921500,56.60
2012-11-06,58.88,59.65,58.81,59.08,4008000,59.08
2012-11-05,58.93,58.93,57.70,58.73,3011800,58.73
2012-11-02,59.73,59.75,59.00,59.19,3094000,59.19
2012-11-01,58.16,59.33,57.77,59.25,3956300,59.25
2012-10-31,57.96,58.47,57.52,58.20,2699200,58.20
2012-10-26,58.42,58.53,57.65,57.76,2895700,57.76
2012-10-25,58.50,58.73,57.74,58.44,4653200,58.44
2012-10-24,58.99,59.11,57.94,58.00,4008300,58.00
2012-10-23,58.33,58.80,58.04,58.64,4315300,58.64
2012-10-22,59.26,59.41,58.55,59.09,3140600,59.09
2012-10-19,59.83,59.91,59.18,59.42,3281200,59.42
2012-10-18,59.73,60.33,59.64,59.84,5057100,59.84
2012-10-17,60.01,60.16,59.01,59.77,11395900,59.77
2012-10-16,61.30,61.60,59.94,60.40,10576300,60.40
2012-10-15,62.99,63.14,62.35,62.93,3014500,62.93
2012-10-12,63.33,63.90,62.27,62.73,3984600,62.73
2012-10-11,65.10,65.19,64.75,64.95,2384200,64.55
2012-10-10,64.74,64.83,64.35,64.55,2391100,64.15
2012-10-09,64.55,64.77,64.33,64.40,2905900,64.00
2012-10-08,64.42,64.80,64.26,64.49,1503400,64.09
2012-10-05,65.25,65.73,64.56,64.80,3288500,64.40
2012-10-04,64.77,64.93,64.34,64.75,3578900,64.35
2012-10-03,64.20,64.60,63.90,64.38,2519400,63.98
2012-10-02,63.54,64.15,63.33,63.94,4219900,63.55
2012-10-01,63.47,63.81,62.64,62.76,2890200,62.37
2012-09-28,63.55,63.59,62.99,63.10,3503400,62.71
2012-09-27,63.73,64.27,63.40,63.83,2698800,63.44
2012-09-26,64.62,64.76,63.45,63.51,5162800,63.12
2012-09-25,65.65,66.11,64.54,64.54,3349200,64.14
2012-09-24,65.46,65.98,65.35,65.59,2090600,65.19
2012-09-21,66.42,66.52,65.84,65.85,4485900,65.44
2012-09-20,65.64,65.89,65.09,65.74,2806100,65.34
2012-09-19,65.67,66.49,65.47,66.16,3368000,65.75
2012-09-18,65.66,66.14,65.41,65.67,2425200,65.27
2012-09-17,66.48,66.75,65.45,65.66,2412400,65.26
2012-09-14,65.84,67.04,64.92,66.78,4270600,66.37
2012-09-13,64.02,65.92,63.66,65.74,4091200,65.34
2012-09-12,64.16,64.61,63.95,64.15,2159100,63.75
2012-09-11,64.03,64.37,63.79,63.96,2276300,63.57
2012-09-10,64.16,64.81,63.86,63.88,2781400,63.49
2012-09-07,63.29,64.00,63.09,63.80,2548500,63.41
2012-09-06,61.98,63.13,61.94,63.01,3421400,62.62
2012-09-05,62.22,62.46,61.84,61.84,1349100,61.46
2012-09-04,62.03,62.54,61.80,62.34,1441200,61.96
2012-08-31,62.30,62.74,61.95,62.16,1513000,61.78
2012-08-30,62.10,62.26,61.65,62.04,1177600,61.66
2012-08-29,62.15,62.82,62.14,62.57,1259100,62.18
2012-08-28,61.85,62.43,61.67,61.97,1986200,61.59
2012-08-27,62.34,62.71,62.00,62.01,2366000,61.63
