Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,17.06,17.30,17.06,17.27,562300,14.50
2009-12-23,17.02,17.13,16.92,17.01,1216300,14.28
2009-12-22,17.35,17.35,16.98,17.02,1711700,14.29
2009-12-21,17.11,17.37,17.01,17.27,1377000,14.50
2009-12-18,17.06,17.21,16.91,17.01,2228800,14.28
2009-12-17,16.99,17.05,16.80,17.01,4609000,14.28
2009-12-16,17.30,17.35,17.09,17.15,2006100,14.40
2009-12-15,17.26,17.33,17.08,17.28,1788200,14.51
2009-12-14,17.51,17.51,17.32,17.38,1434800,14.59
2009-12-11,17.09,17.40,17.03,17.40,1492500,14.61
2009-12-10,16.97,17.13,16.89,17.07,1726700,14.33
2009-12-09,16.98,16.98,16.71,16.88,2086800,14.17
2009-12-08,16.83,16.98,16.58,16.87,3133800,14.16
2009-12-07,16.99,17.34,16.98,17.18,2646000,14.20
2009-12-04,17.17,17.22,16.70,16.92,6115900,13.98
2009-12-03,17.00,17.18,16.94,16.97,2736300,14.02
2009-12-02,16.50,17.22,16.50,16.93,5028800,13.99
2009-12-01,16.38,16.79,16.25,16.75,4698200,13.84
2009-11-30,16.09,16.35,16.04,16.30,3564600,13.47
2009-11-27,16.02,16.15,15.92,16.02,1031000,13.24
2009-11-25,16.11,16.25,16.05,16.16,1736800,13.35
2009-11-24,15.83,16.11,15.83,16.05,3511200,13.26
2009-11-23,15.62,15.96,15.62,15.85,1902200,13.10
2009-11-20,15.48,15.62,15.41,15.54,2477800,12.84
2009-11-19,15.69,15.69,15.44,15.52,1828600,12.83
2009-11-18,15.73,15.80,15.62,15.65,1845200,12.93
2009-11-17,15.78,15.88,15.66,15.74,1717900,13.01
2009-11-16,15.51,15.82,15.46,15.78,2484700,13.04
2009-11-13,15.39,15.56,15.30,15.49,2827600,12.80
2009-11-12,15.65,15.73,15.33,15.33,3050200,12.67
2009-11-11,15.75,15.84,15.61,15.66,3592400,12.94
2009-11-10,15.57,15.75,15.54,15.72,2687200,12.99
2009-11-09,15.37,15.61,15.30,15.61,2062300,12.90
2009-11-06,15.35,15.45,15.17,15.26,2508100,12.61
2009-11-05,15.12,15.35,15.06,15.35,2529500,12.69
2009-11-04,14.98,15.23,14.89,15.01,3495300,12.40
2009-11-03,14.69,14.93,14.60,14.90,3341700,12.31
2009-11-02,15.03,15.07,14.58,14.71,3288400,12.16
2009-10-30,14.84,15.29,14.60,14.93,9450500,12.34
2009-10-29,14.43,14.59,14.34,14.53,3289700,12.01
2009-10-28,14.51,14.63,14.37,14.38,4060300,11.88
2009-10-27,14.49,14.67,14.41,14.47,2647000,11.96
2009-10-26,14.80,14.99,14.41,14.46,2896100,11.95
2009-10-23,15.18,15.18,14.67,14.75,2974900,12.19
2009-10-22,14.76,15.12,14.71,15.12,3335400,12.50
2009-10-21,15.22,15.40,15.12,15.12,1653800,12.50
