Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,102.58,103.62,102.22,103.56,208000,103.56
2012-12-21,102.52,103.33,101.45,102.78,1014900,102.78
2012-12-20,102.95,103.88,102.22,103.64,691200,103.64
2012-12-19,103.96,104.58,102.65,102.92,1020900,102.92
2012-12-18,103.15,104.05,102.04,103.74,898400,103.74
2012-12-17,104.07,104.49,102.56,102.67,826500,102.67
2012-12-14,103.71,104.44,103.30,104.20,834200,104.20
2012-12-13,107.86,108.50,104.02,104.14,1295900,104.14
2012-12-12,105.63,105.67,103.55,104.81,854600,104.81
2012-12-11,105.80,106.39,104.31,105.42,724000,105.42
2012-12-10,102.64,104.91,102.06,104.87,537100,104.87
2012-12-07,103.00,103.00,101.81,102.34,670400,102.34
2012-12-06,104.44,104.55,102.52,102.71,581800,102.71
2012-12-05,105.53,105.67,103.90,104.81,729600,104.81
2012-12-04,102.97,105.64,102.75,105.00,866100,105.00
2012-12-03,103.64,103.86,102.31,102.54,454100,102.54
2012-11-30,103.02,103.69,102.89,103.50,759800,103.50
2012-11-29,103.75,103.98,102.44,103.19,465800,103.19
2012-11-28,102.01,103.33,100.51,103.27,522500,103.27
2012-11-27,102.45,102.51,100.92,102.20,406300,102.20
2012-11-26,103.70,103.88,101.95,102.67,543200,102.58
2012-11-23,102.22,103.40,101.61,103.38,307800,103.29
2012-11-21,102.32,102.50,101.42,102.14,512300,102.05
2012-11-20,101.96,102.48,100.99,102.28,532700,102.19
2012-11-19,102.99,103.48,100.30,101.92,1070600,101.83
2012-11-16,100.57,102.50,100.13,101.90,810400,101.81
2012-11-15,100.92,102.01,99.93,100.56,862400,100.47
2012-11-14,103.52,104.22,100.34,100.84,1060000,100.75
2012-11-13,104.85,105.04,103.35,103.43,764100,103.34
2012-11-12,107.62,107.62,104.88,105.12,555300,105.03
2012-11-09,104.56,107.00,103.00,105.57,1319500,105.48
2012-11-08,108.99,109.73,104.08,105.18,1585500,105.09
2012-11-07,110.50,111.59,105.71,109.65,2738300,109.55
2012-11-06,116.37,116.41,114.77,115.37,421700,115.27
2012-11-05,114.93,116.55,114.38,116.05,383100,115.95
2012-11-02,114.70,116.78,114.06,115.00,376200,114.90
2012-11-01,115.77,116.11,114.44,114.55,475300,114.45
2012-10-31,116.90,116.97,113.48,114.92,619900,114.82
2012-10-26,117.09,117.47,116.26,116.71,270500,116.61
2012-10-25,118.08,118.39,116.87,117.37,346700,117.27
2012-10-24,117.69,117.91,116.94,117.15,383700,117.05
2012-10-23,117.56,117.91,116.41,117.13,444900,117.03
2012-10-22,118.33,118.57,117.65,118.23,510200,118.13
2012-10-19,119.05,119.19,117.42,117.77,559300,117.67
2012-10-18,119.64,119.82,118.81,119.20,566400,119.10
2012-10-17,119.70,119.93,119.11,119.22,367000,119.12
2012-10-16,118.87,119.63,118.35,119.30,544200,119.20
2012-10-15,119.04,119.26,117.73,118.10,453100,118.00
2012-10-12,117.35,118.02,116.97,117.94,443800,117.84
2012-10-11,118.58,118.59,117.51,117.75,585400,117.65
2012-10-10,118.00,118.32,116.73,117.14,450800,117.04
2012-10-09,120.25,120.25,117.63,117.93,465600,117.83
2012-10-08,119.45,119.91,118.90,119.59,287000,119.49
2012-10-05,120.17,120.78,119.70,119.85,418200,119.74
2012-10-04,119.74,120.43,119.30,119.97,386300,119.86
2012-10-03,119.10,119.51,118.58,119.18,643700,119.08
2012-10-02,118.00,118.15,116.85,118.15,748000,118.05
2012-10-01,116.32,117.60,116.32,117.28,1079000,117.18
2012-09-28,116.49,116.84,115.59,116.17,471400,116.07
2012-09-27,117.80,117.93,116.34,116.59,470600,116.49
2012-09-26,117.04,117.49,115.95,116.25,277100,116.15
2012-09-25,117.28,118.51,116.69,116.80,534600,116.70
2012-09-24,116.01,117.53,115.73,117.27,438200,117.17
2012-09-21,115.41,117.40,115.10,117.23,1642100,117.13
2012-09-20,114.18,115.08,113.95,115.06,506100,114.96
2012-09-19,114.80,115.09,114.00,114.69,401000,114.59
2012-09-18,113.11,114.98,112.57,114.81,473100,114.71
2012-09-17,111.96,113.51,111.69,112.78,542300,112.68
2012-09-14,112.82,114.13,111.80,112.45,630600,112.35
2012-09-13,110.10,111.49,109.70,110.91,1444700,110.81
2012-09-12,111.13,111.13,109.57,109.93,441200,109.83
2012-09-11,111.58,112.02,110.29,110.51,1388300,110.41
2012-09-10,111.32,112.88,111.01,111.39,394800,111.29
2012-09-07,112.69,112.69,111.53,111.84,378800,111.74
2012-09-06,110.81,112.60,110.48,111.96,435100,111.86
2012-09-05,110.76,110.85,109.52,110.33,326600,110.23
2012-09-04,109.48,111.26,109.17,110.64,518300,110.54
2012-08-31,110.56,111.20,109.30,109.97,504300,109.87
2012-08-30,108.87,110.05,108.38,109.73,432400,109.63
2012-08-29,111.49,111.49,109.76,110.04,658900,109.94
2012-08-28,110.20,111.43,110.07,111.08,826800,110.90
2012-08-27,109.20,111.17,108.45,110.66,767900,110.48
2012-08-24,108.73,110.86,108.67,110.49,514200,110.31
2012-08-23,107.77,109.10,106.85,108.62,595900,108.45
2012-08-22,107.57,108.54,106.93,107.90,463700,107.73
2012-08-21,108.90,109.32,107.39,107.68,786300,107.51
2012-08-20,105.89,108.94,105.89,108.64,780400,108.47
2012-08-17,109.00,109.00,105.33,106.93,1595500,106.76
2012-08-16,110.79,110.98,104.86,108.93,3278700,108.76
2012-08-15,114.79,116.95,114.79,116.60,462400,116.41
2012-08-14,115.83,119.18,115.83,116.59,511000,116.40
2012-08-13,114.61,115.29,114.23,115.06,424900,114.88
2012-08-10,115.29,115.60,114.49,115.50,356100,115.32
2012-08-09,115.48,115.95,114.90,115.11,411800,114.93
