Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,52.57,52.62,51.60,51.71,947600,47.60
2009-12-23,51.50,52.27,51.40,52.12,2427500,47.98
2009-12-22,50.63,51.71,50.50,51.51,2858900,47.42
2009-12-21,50.49,50.77,50.21,50.63,2612300,46.61
2009-12-18,49.76,50.00,49.09,49.92,4943900,45.96
2009-12-17,50.74,50.80,49.07,49.21,4848600,45.30
2009-12-16,49.74,51.98,49.50,51.01,7167600,46.96
2009-12-15,49.15,49.93,48.94,49.15,3654700,45.25
2009-12-14,48.99,49.49,48.62,49.45,2259600,45.52
2009-12-11,48.80,49.03,47.91,48.89,3207400,45.01
2009-12-10,48.37,49.35,47.45,48.54,6650400,44.69
2009-12-09,47.12,48.03,46.20,47.89,5169000,44.09
2009-12-08,47.04,47.46,46.44,46.88,4040200,43.16
2009-12-07,48.41,49.38,47.05,47.49,4132700,43.72
2009-12-04,49.15,49.37,47.47,48.59,5089900,44.73
2009-12-03,50.62,51.57,48.00,48.19,7104600,44.36
2009-12-02,49.94,50.95,49.37,50.24,3144900,46.25
2009-12-01,50.39,50.65,49.32,49.73,4159000,45.78
2009-11-30,48.68,49.98,48.28,49.85,5140600,45.89
2009-11-27,48.09,49.48,47.82,48.20,2734100,44.37
2009-11-25,50.81,51.09,49.97,50.28,2808600,46.29
2009-11-24,50.14,50.75,49.08,50.51,4399400,46.50
2009-11-23,48.68,49.56,48.28,49.08,2974100,45.18
2009-11-20,47.90,48.32,47.45,47.67,4379000,43.89
2009-11-19,49.91,50.09,48.21,48.67,4475200,44.16
2009-11-18,49.51,50.95,49.51,50.34,4351400,45.68
2009-11-17,48.84,50.09,48.43,49.95,3591000,45.32
2009-11-16,48.41,49.54,48.39,48.96,3372500,44.42
2009-11-13,47.69,48.45,47.28,47.80,3167900,43.37
2009-11-12,48.44,48.87,47.11,47.44,3545000,43.05
2009-11-11,48.03,49.50,48.00,48.76,4421700,44.24
2009-11-10,47.59,47.87,47.01,47.48,4577600,43.08
2009-11-09,46.09,48.09,45.35,48.00,6483100,43.55
2009-11-06,43.87,45.85,43.53,45.38,6137200,41.18
2009-11-05,46.48,46.51,43.41,44.64,12815500,40.50
2009-11-04,47.99,48.48,46.01,46.56,5814900,42.25
2009-11-03,45.47,47.43,45.05,47.01,4905300,42.66
2009-11-02,45.75,46.97,44.50,46.31,6104700,42.02
2009-10-30,47.71,47.71,45.04,45.23,6421300,41.04
2009-10-29,46.28,48.40,46.05,48.25,6631500,43.78
2009-10-28,46.67,47.10,44.53,44.69,7474300,40.55
2009-10-27,48.02,48.71,46.88,47.12,5421600,42.75
2009-10-26,50.42,50.57,47.53,47.94,4595600,43.50
2009-10-23,51.29,51.35,49.41,49.73,3189400,45.12
2009-10-22,50.14,51.66,49.70,51.58,3793900,46.80
2009-10-21,50.63,51.54,49.68,49.90,4333100,45.28
2009-10-20,52.16,52.16,50.12,50.61,2974800,45.92
2009-10-19,51.53,52.49,51.14,52.09,2982800,47.26
2009-10-16,52.05,52.06,50.68,51.16,3800300,46.42
2009-10-15,52.28,52.86,51.43,52.82,4169400,47.93
2009-10-14,51.73,52.95,50.91,52.78,5054300,47.89
2009-10-13,50.44,50.49,48.95,49.81,4173400,45.20
2009-10-12,51.51,51.65,50.42,50.81,2047600,46.10
2009-10-09,50.71,51.50,50.50,51.01,2647900,46.28
2009-10-08,51.24,52.16,50.65,50.84,4371100,46.13
2009-10-07,49.88,50.61,49.19,50.44,3065200,45.77
2009-10-06,50.19,51.43,48.53,50.03,5394700,45.40
2009-10-05,47.84,49.54,47.24,49.39,5243600,44.81
2009-10-02,46.33,48.23,45.89,46.74,6186800,42.41
2009-10-01,49.56,50.00,47.00,47.27,6587000,42.89
2009-09-30,50.35,51.35,49.26,49.91,4757200,45.29
2009-09-29,50.75,51.38,49.91,49.96,3086400,45.33
2009-09-28,48.51,50.82,47.82,50.69,3451600,45.99
2009-09-25,48.19,48.96,47.39,47.77,3842600,43.34
2009-09-24,49.92,50.14,47.94,48.17,4992600,43.71
2009-09-23,50.82,51.70,49.24,49.30,6432900,44.73
2009-09-22,52.55,52.67,51.88,52.02,3371800,47.20
2009-09-21,51.85,52.00,51.27,51.71,4541800,46.92
2009-09-18,54.45,54.54,52.50,52.69,5708100,47.81
2009-09-17,53.92,55.99,53.02,54.02,5335000,49.02
2009-09-16,51.16,54.65,50.83,54.63,6821200,49.57
2009-09-15,51.06,51.42,49.71,50.89,6066000,46.18
