Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,107.75,110.00,107.54,109.74,459000,109.74
2012-12-21,108.63,109.54,108.36,108.66,1858500,108.66
2012-12-20,108.77,109.49,107.75,109.46,959800,109.46
2012-12-19,109.75,109.98,108.36,108.40,1122800,108.40
2012-12-18,107.89,109.57,107.49,109.52,1282300,109.52
2012-12-17,107.18,108.04,107.10,107.72,870500,107.72
2012-12-14,107.29,108.13,106.87,106.96,855200,106.96
2012-12-13,106.69,108.12,106.36,107.48,1284900,107.48
2012-12-12,108.26,108.50,106.36,106.63,1311100,106.63
2012-12-11,108.04,108.84,107.45,107.98,737100,107.98
2012-12-10,107.40,107.94,107.12,107.84,1051800,107.84
2012-12-07,106.51,107.37,105.86,107.31,802900,107.31
2012-12-06,105.94,106.32,105.47,106.29,730100,106.29
2012-12-05,105.52,106.57,105.08,105.93,965100,105.93
2012-12-04,105.38,106.12,104.98,105.71,1102900,105.16
2012-12-03,107.69,107.72,105.04,105.37,1033200,104.82
2012-11-30,106.29,107.43,106.08,107.21,1028000,106.65
2012-11-29,106.86,107.23,105.83,106.11,922700,105.56
2012-11-28,105.41,106.60,105.16,106.56,767900,106.01
2012-11-27,106.32,107.13,105.00,106.31,1209900,105.76
2012-11-26,106.28,106.71,105.50,106.71,920900,106.15
2012-11-23,105.61,106.93,105.27,106.93,691300,106.37
2012-11-21,105.60,105.84,105.00,105.18,1184400,104.63
2012-11-20,105.46,106.13,105.00,105.56,1010000,105.01
2012-11-19,105.08,105.91,104.67,105.65,1306000,105.10
2012-11-16,105.70,105.79,104.28,104.29,2414400,103.75
2012-11-15,106.11,106.32,104.85,105.53,1194700,104.98
2012-11-14,107.13,107.30,105.67,106.21,1384500,105.66
2012-11-13,107.18,108.11,106.59,107.23,752800,106.67
2012-11-12,107.56,107.91,107.06,107.43,532000,106.87
2012-11-09,107.61,108.46,107.15,107.40,1144400,106.84
2012-11-08,109.15,109.74,107.93,107.98,966300,107.42
2012-11-07,108.95,109.63,108.37,109.06,987100,108.49
2012-11-06,109.78,110.92,109.20,110.00,1123100,109.43
2012-11-05,109.37,109.55,107.79,109.47,1662800,108.90
2012-11-02,108.91,110.14,108.24,109.70,2033100,109.13
2012-11-01,106.16,108.65,105.81,108.49,1691900,107.93
2012-10-31,105.69,107.15,104.73,106.21,1602300,105.66
2012-10-26,104.65,105.68,103.95,105.30,812300,104.75
2012-10-25,105.20,105.60,104.15,104.78,976800,104.23
2012-10-24,104.04,105.50,102.79,104.59,1736400,104.05
2012-10-23,104.04,105.82,103.31,104.95,1514400,104.40
2012-10-22,104.68,105.36,104.00,105.26,1211600,104.71
2012-10-19,106.81,107.31,104.87,104.88,1690500,104.33
2012-10-18,107.93,108.39,107.29,107.97,919800,107.41
2012-10-17,107.08,108.23,106.86,108.22,1015700,107.66
2012-10-16,105.50,107.03,105.39,106.58,761400,106.03
2012-10-15,103.89,105.29,103.81,104.88,842200,104.33
2012-10-12,104.01,104.78,103.59,103.87,1007300,103.33
2012-10-11,104.82,105.08,103.68,103.70,1167600,103.16
2012-10-10,105.38,105.38,103.67,103.85,1184200,103.31
