Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,9.80,9.90,9.67,9.70,664300,9.70
2012-12-24,9.78,9.88,9.66,9.78,630400,9.78
2012-12-21,9.66,9.79,9.58,9.78,2563800,9.78
2012-12-20,9.73,9.85,9.57,9.78,2148200,9.78
2012-12-19,9.48,9.75,9.47,9.73,1906300,9.73
2012-12-18,9.07,9.44,9.01,9.43,1083300,9.43
2012-12-17,8.89,9.07,8.86,9.07,781700,9.07
2012-12-14,8.95,9.05,8.85,8.86,601900,8.86
2012-12-13,9.06,9.16,8.92,8.96,709900,8.96
2012-12-12,9.28,9.39,9.03,9.03,1496800,9.03
2012-12-11,9.05,9.24,9.01,9.23,1820700,9.23
2012-12-10,8.83,9.09,8.82,8.99,1289300,8.99
2012-12-07,8.96,8.96,8.65,8.83,2000100,8.83
2012-12-06,9.01,9.13,8.87,8.90,1040500,8.90
2012-12-05,8.89,9.07,8.84,9.00,1182600,9.00
2012-12-04,8.72,8.88,8.69,8.84,1208200,8.84
2012-12-03,9.22,9.33,8.63,8.75,3038400,8.75
2012-11-30,9.51,9.56,9.36,9.48,1116400,9.48
2012-11-29,9.22,9.53,9.17,9.47,1413800,9.47
2012-11-28,9.18,9.25,9.01,9.13,1329300,9.13
2012-11-27,9.26,9.37,9.23,9.28,1046800,9.28
2012-11-26,9.27,9.35,9.16,9.24,747700,9.24
2012-11-23,9.15,9.35,9.06,9.26,575800,9.26
2012-11-21,9.00,9.15,8.97,9.10,602000,9.10
2012-11-20,8.90,9.08,8.86,8.97,603500,8.97
2012-11-19,8.95,9.06,8.83,8.92,898300,8.92
2012-11-16,8.99,8.99,8.70,8.80,806800,8.80
2012-11-15,9.01,9.12,8.90,9.00,1081900,9.00
2012-11-14,9.14,9.19,8.97,8.99,1072300,8.99
2012-11-13,9.24,9.24,9.05,9.09,874400,9.09
2012-11-12,9.52,9.56,9.28,9.28,956600,9.28
2012-11-09,9.21,9.52,9.21,9.52,1698500,9.52
2012-11-08,9.31,9.45,9.21,9.23,932700,9.23
2012-11-07,9.58,9.72,9.20,9.28,1419400,9.28
2012-11-06,9.41,9.75,9.38,9.71,1163300,9.71
2012-11-05,9.30,9.46,9.24,9.35,816300,9.35
2012-11-02,9.68,9.70,9.28,9.28,1194200,9.28
2012-11-01,9.37,9.69,9.34,9.67,1452700,9.67
2012-10-31,9.76,9.85,9.25,9.38,1803600,9.38
2012-10-26,9.35,9.99,9.34,9.75,3509200,9.75
2012-10-25,9.60,9.62,9.27,9.31,1315800,9.31
2012-10-24,9.60,9.63,9.39,9.53,1196500,9.53
2012-10-23,9.45,9.60,9.32,9.58,1458000,9.58
2012-10-22,9.46,9.57,9.44,9.52,1264700,9.52
2012-10-19,9.71,9.75,9.36,9.44,1454400,9.44
2012-10-18,9.99,10.07,9.74,9.79,1380800,9.79
2012-10-17,9.95,10.09,9.90,10.02,1272200,10.02
2012-10-16,9.84,10.07,9.82,10.04,1248400,10.04
2012-10-15,9.89,10.21,9.76,9.82,982200,9.82
2012-10-12,10.03,10.13,9.78,9.89,878600,9.89
2012-10-11,10.09,10.22,9.99,10.02,1118200,10.02
2012-10-10,10.20,10.24,9.91,9.98,1797600,9.98
2012-10-09,10.50,10.54,10.15,10.21,1128600,10.21
2012-10-08,10.44,10.55,10.26,10.45,1915300,10.45
2012-10-05,10.82,11.08,10.58,10.59,2158300,10.59
2012-10-04,10.86,10.96,10.51,10.79,2433600,10.79
2012-10-03,11.43,11.61,11.03,11.09,1233300,11.09
2012-10-02,11.38,11.44,11.21,11.38,1009700,11.38
2012-10-01,11.46,11.48,11.19,11.33,1528700,11.33
2012-09-28,11.83,11.91,11.41,11.42,1653700,11.42
2012-09-27,11.68,12.04,11.53,11.92,1265300,11.92
2012-09-26,11.48,11.60,11.32,11.57,1558400,11.57
2012-09-25,11.86,11.99,11.50,11.51,1428700,11.51
2012-09-24,12.06,12.07,11.80,11.81,1061700,11.81
2012-09-21,12.33,12.34,12.10,12.14,1695200,12.14
2012-09-20,12.48,12.56,12.19,12.24,1193200,12.24
2012-09-19,12.90,12.92,12.59,12.60,897100,12.60
2012-09-18,12.74,12.88,12.62,12.84,867000,12.84
2012-09-17,12.91,12.91,12.55,12.78,1028800,12.78
2012-09-14,12.69,12.94,12.63,12.92,1238600,12.92
2012-09-13,12.48,12.76,12.35,12.62,918700,12.62
2012-09-12,12.47,12.57,12.29,12.49,1077500,12.49
2012-09-11,12.36,12.61,12.30,12.48,1185900,12.48
2012-09-10,12.56,12.71,12.33,12.38,1371400,12.38
2012-09-07,12.67,12.74,12.53,12.56,1277500,12.56
2012-09-06,12.26,12.75,12.16,12.61,1554600,12.61
2012-09-05,12.39,12.60,12.13,12.18,2175100,12.18
2012-09-04,12.15,12.37,11.93,12.33,1292700,12.33
2012-08-31,12.43,12.49,12.16,12.17,919700,12.17
2012-08-30,12.42,12.51,12.28,12.33,673300,12.33
2012-08-29,12.40,12.55,12.31,12.50,728900,12.50
2012-08-28,12.23,12.48,12.17,12.39,869200,12.39
2012-08-27,12.24,12.33,12.13,12.23,817300,12.23
2012-08-24,12.15,12.29,12.12,12.21,943600,12.21
2012-08-23,12.31,12.31,12.02,12.14,1955300,12.14
2012-08-22,12.45,12.45,12.29,12.34,1049600,12.34
2012-08-21,12.42,12.61,12.35,12.44,1422200,12.44
2012-08-20,12.26,12.39,12.12,12.35,1254300,12.35
2012-08-17,12.23,12.29,12.13,12.25,1274500,12.25
2012-08-16,11.85,12.31,11.85,12.26,1018700,12.26
2012-08-15,11.64,11.95,11.62,11.87,1028400,11.87
2012-08-14,12.02,12.04,11.58,11.63,1175000,11.63
2012-08-13,11.92,12.09,11.81,11.99,944600,11.99
2012-08-10,11.89,12.02,11.73,11.98,624200,11.98
2012-08-09,11.73,11.99,11.73,11.92,899100,11.92
2012-08-08,11.86,11.99,11.71,11.78,1070600,11.78
2012-08-07,11.69,12.04,11.64,11.86,1268400,11.86
2012-08-06,11.56,11.73,11.50,11.65,1448700,11.65
2012-08-03,11.55,11.77,11.36,11.56,1770500,11.56
2012-08-02,11.27,11.47,11.12,11.37,1928200,11.37
2012-08-01,11.63,11.66,11.36,11.38,1917300,11.38
2012-07-31,11.77,11.98,11.50,11.54,2456800,11.54
2012-07-30,11.16,11.97,11.15,11.86,5019800,11.86
2012-07-27,9.56,11.32,9.56,11.16,12299300,11.16
2012-07-26,12.39,12.63,12.29,12.60,2703700,12.60
2012-07-25,12.27,12.43,12.10,12.16,1958600,12.16
2012-07-24,12.51,12.51,12.13,12.18,1807600,12.18
2012-07-23,12.35,12.53,12.15,12.44,1970800,12.44
2012-07-20,12.60,12.87,12.51,12.70,1928800,12.70
2012-07-19,12.88,13.00,12.63,12.68,2324600,12.68
2012-07-18,12.56,12.93,12.50,12.67,3225600,12.67
2012-07-17,12.67,12.74,12.25,12.53,2025700,12.53
2012-07-16,12.71,12.75,12.43,12.58,3095100,12.58
2012-07-13,12.91,12.98,12.75,12.78,1243300,12.78
2012-07-12,13.04,13.06,12.83,12.91,1614200,12.91
2012-07-11,13.15,13.37,13.07,13.15,875800,13.15
2012-07-10,13.34,13.46,13.01,13.11,962100,13.11
2012-07-09,13.41,13.53,13.25,13.31,1156900,13.31
2012-07-06,13.75,13.82,13.34,13.45,1159400,13.45
2012-07-05,13.89,14.00,13.77,13.85,1516600,13.85
2012-07-03,13.71,14.07,13.68,14.00,945100,14.00
2012-07-02,13.65,13.76,13.55,13.73,1391600,13.73
2012-06-29,13.55,13.82,13.55,13.69,2091400,13.69
2012-06-28,13.43,13.61,13.14,13.31,1611200,13.31
2012-06-27,13.40,13.69,13.32,13.58,1476300,13.58
2012-06-26,13.38,13.43,13.14,13.28,1420800,13.28
2012-06-25,13.45,13.62,13.30,13.39,1687500,13.39
2012-06-22,14.01,14.15,13.97,14.02,11809100,14.02
2012-06-21,14.32,14.41,13.91,13.96,1961400,13.96
2012-06-20,14.21,14.48,14.13,14.29,1648200,14.29
2012-06-19,14.15,14.30,14.02,14.22,1377600,14.22
2012-06-18,13.77,14.06,13.77,14.05,1530400,14.05
2012-06-15,13.69,13.94,13.55,13.93,1673500,13.93
2012-06-14,13.71,13.77,13.39,13.64,1338100,13.64
2012-06-13,13.75,13.99,13.62,13.74,1411700,13.74
2012-06-12,13.56,13.86,13.48,13.81,1875300,13.81
2012-06-11,13.85,14.00,13.36,13.42,1466500,13.42
2012-06-08,13.75,13.92,13.73,13.79,1128100,13.79
2012-06-07,14.39,14.41,13.80,13.80,1420000,13.80
2012-06-06,13.84,14.39,13.84,14.22,1938200,14.22
2012-06-05,13.43,13.77,13.38,13.73,1034900,13.73
2012-06-04,13.50,13.67,13.29,13.56,1273100,13.56
2012-06-01,13.31,13.55,13.23,13.51,1523800,13.51
2012-05-31,13.83,13.83,13.53,13.61,1170200,13.61
2012-05-30,13.85,13.99,13.70,13.81,1450400,13.81
2012-05-29,14.09,14.23,13.89,13.95,1171000,13.95
2012-05-25,13.85,14.07,13.81,13.91,1265900,13.91
2012-05-24,14.57,14.60,13.72,13.85,2733700,13.85
2012-05-23,14.42,14.62,14.20,14.59,1016000,14.59
2012-05-22,14.58,14.72,14.48,14.61,1246500,14.61
2012-05-21,14.10,14.69,14.02,14.68,1030500,14.68
2012-05-18,14.49,14.49,14.02,14.06,1246900,14.06
2012-05-17,14.67,14.75,14.42,14.42,750700,14.42
2012-05-16,15.04,15.05,14.61,14.63,1150600,14.63
2012-05-15,15.25,15.36,14.94,14.96,1035400,14.96
2012-05-14,15.15,15.36,14.99,15.29,1058800,15.29
2012-05-11,15.10,15.43,15.10,15.27,869800,15.27
2012-05-10,15.34,15.34,15.05,15.17,1100000,15.17
2012-05-09,15.05,15.33,14.99,15.26,1306800,15.26
2012-05-08,14.98,15.32,14.97,15.27,1935100,15.27
2012-05-07,15.05,15.16,14.97,15.14,1803300,15.14
2012-05-04,15.72,15.86,14.12,15.26,6608600,15.26
2012-05-03,17.39,17.50,16.77,16.86,1799700,16.86
2012-05-02,17.11,17.36,17.11,17.32,1112400,17.32
2012-05-01,17.21,17.59,17.21,17.28,1068900,17.28
2012-04-30,17.31,17.38,17.17,17.25,849200,17.25
2012-04-27,17.29,17.43,17.20,17.32,1317000,17.32
2012-04-26,16.81,17.35,16.80,17.31,2174200,17.31
2012-04-25,16.72,16.88,16.59,16.78,856000,16.78
2012-04-24,16.49,16.60,16.40,16.48,1329600,16.48
2012-04-23,16.55,16.62,16.34,16.46,1641600,16.46
2012-04-20,16.78,16.80,16.60,16.71,1360900,16.71
2012-04-19,16.50,16.75,16.32,16.70,1374700,16.70
2012-04-18,16.47,16.58,16.40,16.47,650900,16.47
2012-04-17,16.42,16.72,16.34,16.53,626600,16.53
2012-04-16,16.57,16.77,16.29,16.29,707600,16.29
2012-04-13,16.69,16.76,16.50,16.50,703800,16.50
2012-04-12,16.47,16.84,16.35,16.75,791100,16.75
2012-04-11,16.41,16.68,16.34,16.44,778600,16.44
2012-04-10,16.84,16.92,16.25,16.26,1030700,16.26
2012-04-09,16.83,17.04,16.79,16.82,740900,16.82
2012-04-05,17.46,17.50,17.10,17.11,1083700,17.11
2012-04-04,17.43,17.54,17.26,17.50,1064800,17.50
2012-04-03,17.74,17.84,17.50,17.65,712900,17.65
2012-04-02,17.68,17.85,17.61,17.79,744500,17.79
2012-03-30,17.90,17.92,17.73,17.76,1692300,17.76
2012-03-29,17.72,17.91,17.62,17.86,884600,17.86
2012-03-28,17.91,18.00,17.68,17.88,1288200,17.88
2012-03-27,17.98,18.05,17.86,17.93,692900,17.93
2012-03-26,17.81,18.06,17.81,17.99,1182000,17.99
2012-03-23,17.67,17.73,17.45,17.70,919500,17.70
2012-03-22,17.69,17.83,17.47,17.69,887700,17.69
2012-03-21,17.69,17.94,17.62,17.90,871400,17.90
2012-03-20,17.46,17.71,17.32,17.64,651900,17.64
2012-03-19,17.32,17.65,17.26,17.54,657700,17.54
2012-03-16,17.55,17.61,17.33,17.35,1349800,17.35
2012-03-15,17.43,17.55,17.35,17.52,665800,17.52
2012-03-14,17.64,17.71,17.38,17.42,556700,17.42
2012-03-13,17.55,17.69,17.44,17.69,728300,17.69
2012-03-12,17.58,17.58,17.29,17.46,707400,17.46
2012-03-09,17.39,17.64,17.32,17.58,1415300,17.58
2012-03-08,17.04,17.37,17.04,17.36,952000,17.36
2012-03-07,16.60,16.95,16.58,16.93,701500,16.93
2012-03-06,16.56,16.65,16.36,16.58,929000,16.58
2012-03-05,17.04,17.06,16.66,16.72,830500,16.72
2012-03-02,17.39,17.45,17.06,17.11,700500,17.11
2012-03-01,17.19,17.47,17.13,17.43,899400,17.43
