Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,41.62,41.70,41.15,41.26,1003800,41.26
2012-12-24,41.63,41.83,41.50,41.65,616400,41.65
2012-12-21,41.78,42.12,41.42,41.74,3356600,41.74
2012-12-20,42.05,42.29,41.73,42.10,1844000,42.10
2012-12-19,42.46,42.97,42.01,42.04,4036700,42.04
2012-12-18,42.81,42.81,41.59,41.94,6942400,41.94
2012-12-17,42.88,43.09,42.65,42.88,1578000,42.88
2012-12-14,43.08,43.08,42.68,42.78,1809400,42.78
2012-12-13,42.76,43.16,42.76,43.03,2966700,43.03
2012-12-12,42.96,43.21,42.75,42.87,1587200,42.87
2012-12-11,42.97,43.28,42.63,42.81,1941000,42.81
2012-12-10,43.01,43.32,42.76,42.80,1818300,42.80
2012-12-07,42.92,43.26,42.83,43.03,1274800,43.03
2012-12-06,43.03,43.38,42.88,42.94,1859100,42.94
2012-12-05,44.00,44.13,43.40,43.46,2263000,42.87
2012-12-04,43.92,44.13,43.86,44.06,1607300,43.46
2012-12-03,43.97,44.33,43.76,43.90,1873500,43.30
2012-11-30,43.43,43.87,43.31,43.72,2211100,43.13
2012-11-29,43.78,43.90,43.34,43.45,2738400,42.86
2012-11-28,42.78,43.66,42.75,43.64,1778500,43.05
2012-11-27,43.00,43.29,42.87,42.92,1698100,42.34
2012-11-26,42.86,43.04,42.68,42.93,2313800,42.35
2012-11-23,42.67,43.08,42.59,43.08,1059200,42.50
2012-11-21,42.36,42.66,42.21,42.57,2019900,41.99
2012-11-20,41.88,42.31,41.71,42.31,1577300,41.74
2012-11-19,41.25,42.17,41.17,41.99,2390800,41.42
2012-11-16,40.02,41.05,40.00,40.92,3332400,40.36
2012-11-15,40.06,40.20,39.70,39.98,2129400,39.44
2012-11-14,40.90,41.07,39.93,40.07,2597500,39.53
2012-11-13,40.60,41.19,40.60,40.88,2154200,40.33
2012-11-12,41.32,41.54,40.57,40.67,2738200,40.12
2012-11-09,40.84,41.73,40.80,41.39,2675500,40.83
2012-11-08,41.16,41.53,40.98,40.98,2163600,40.42
2012-11-07,41.45,41.88,41.24,41.24,2768800,40.68
2012-11-06,41.59,41.96,41.56,41.78,1903200,41.21
2012-11-05,40.93,41.57,40.64,41.57,2448000,41.01
2012-11-02,41.93,41.97,41.02,41.08,4309500,40.52
2012-11-01,41.57,41.82,41.57,41.75,2660000,41.18
2012-10-31,41.70,42.90,41.46,41.64,2953000,41.07
2012-10-26,41.31,41.57,41.16,41.30,2724000,40.74
2012-10-25,41.35,41.52,40.94,41.35,2514000,40.79
2012-10-24,41.81,42.05,40.95,41.07,3859900,40.51
2012-10-23,42.27,42.36,40.40,41.92,4434000,41.35
2012-10-22,41.78,42.60,41.74,42.52,2253900,41.94
2012-10-19,42.61,42.77,41.79,41.95,2567200,41.38
2012-10-18,42.97,43.17,42.73,42.77,1520200,42.19
2012-10-17,42.67,43.18,42.67,43.13,1522600,42.54
2012-10-16,42.55,42.73,42.31,42.69,1339900,42.11
2012-10-15,41.89,42.49,41.78,42.43,2276900,41.85
2012-10-12,42.21,42.44,41.66,41.98,2585600,41.41
2012-10-11,42.80,42.93,42.14,42.19,1510300,41.62
2012-10-10,42.87,43.21,42.55,42.65,1620600,42.07
2012-10-09,43.92,44.10,42.79,42.89,2678800,42.31
2012-10-08,44.16,44.35,43.91,44.05,1262300,43.45
2012-10-05,44.43,44.51,44.14,44.21,1651300,43.61
