Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,9.05,9.37,9.02,9.05,868800,9.05
2012-12-21,9.32,9.33,8.97,9.10,12947000,9.10
2012-12-20,9.41,9.52,9.35,9.42,3871100,9.42
2012-12-19,9.00,9.44,9.00,9.39,5607100,9.39
2012-12-18,8.60,9.04,8.54,8.98,7852200,8.98
2012-12-17,9.02,9.14,8.30,8.58,12093200,8.58
2012-12-14,9.12,9.19,8.95,9.09,3410800,9.09
2012-12-13,9.20,9.33,9.08,9.12,3534800,9.12
2012-12-12,9.48,9.54,9.20,9.22,4961500,9.22
2012-12-11,9.50,9.57,9.36,9.50,34845200,9.50
2012-12-10,9.39,9.49,9.30,9.47,2490300,9.47
2012-12-07,9.30,9.44,9.24,9.42,2838500,9.42
2012-12-06,9.21,9.38,9.15,9.28,5591700,9.28
2012-12-05,9.26,9.35,9.16,9.30,3184400,9.30
2012-12-04,9.37,9.47,9.20,9.26,3194400,9.26
2012-12-03,9.57,9.60,9.23,9.40,3066100,9.40
2012-11-30,9.40,9.49,9.37,9.40,2315400,9.40
2012-11-29,9.52,9.70,9.34,9.39,2309500,9.39
2012-11-28,9.63,9.81,9.45,9.49,1728900,9.49
2012-11-27,9.53,9.84,9.53,9.70,2869300,9.70
2012-11-26,9.50,9.59,9.36,9.55,1453600,9.55
2012-11-23,9.37,9.53,9.30,9.53,851200,9.53
2012-11-21,9.05,9.45,8.97,9.33,3487500,9.33
2012-11-20,9.12,9.19,8.92,9.05,2170900,9.05
2012-11-19,9.25,9.30,9.07,9.15,1966800,9.15
2012-11-16,9.44,9.47,9.06,9.19,2950700,9.19
2012-11-15,8.98,9.60,8.97,9.47,3519500,9.47
2012-11-14,9.18,9.25,8.72,8.98,4921700,8.98
2012-11-13,9.10,9.25,9.06,9.18,2065500,9.18
2012-11-12,9.44,9.68,9.12,9.17,2454300,9.17
2012-11-09,9.59,9.65,9.39,9.42,1828600,9.42
2012-11-08,9.62,9.80,9.59,9.61,2138100,9.61
2012-11-07,9.93,10.02,9.55,9.62,3290800,9.62
2012-11-06,9.76,10.14,9.76,9.99,3447900,9.99
2012-11-05,10.13,10.21,9.90,9.93,2499700,9.67
2012-11-02,9.95,10.23,9.83,10.19,3811700,9.92
2012-11-01,10.16,10.18,9.76,10.02,3992600,9.76
2012-10-31,10.20,10.26,9.95,10.02,2989700,9.76
2012-10-26,10.19,10.22,10.02,10.13,1658900,9.86
2012-10-25,10.01,10.22,10.01,10.17,2023700,9.90
2012-10-24,10.25,10.35,9.86,9.93,2428000,9.67
2012-10-23,10.15,10.44,9.99,10.19,3526100,9.92
2012-10-22,10.46,10.58,10.19,10.27,3576900,10.00
2012-10-19,10.72,10.72,10.46,10.49,2792600,10.22
2012-10-18,10.81,11.16,10.14,10.76,11299100,10.48
2012-10-17,10.69,10.85,10.66,10.85,985700,10.57
2012-10-16,10.71,10.85,10.61,10.68,1014500,10.40
2012-10-15,10.67,10.75,10.60,10.73,719800,10.45
2012-10-12,11.10,11.12,10.61,10.66,1627200,10.38
2012-10-11,10.85,11.17,10.81,11.12,1608100,10.83
2012-10-10,10.87,10.96,10.75,10.77,1248800,10.49
2012-10-09,11.02,11.07,10.89,10.90,1133800,10.61
2012-10-08,10.89,11.16,10.85,11.05,1285300,10.76
2012-10-05,11.04,11.05,10.90,10.96,1751700,10.67
2012-10-04,10.94,11.00,10.84,10.99,1742700,10.70
2012-10-03,10.81,10.99,10.72,10.89,2488100,10.60
2012-10-02,10.74,10.84,10.63,10.77,1849500,10.49
2012-10-01,10.62,10.70,10.54,10.61,2292700,10.33
2012-09-28,10.64,10.72,10.50,10.60,1983800,10.32
2012-09-27,10.98,11.11,10.61,10.69,2522900,10.41
2012-09-26,10.99,11.04,10.86,10.93,1597100,10.64
2012-09-25,11.01,11.30,10.95,10.97,1888900,10.68
2012-09-24,11.41,11.50,11.01,11.03,2420600,10.74
2012-09-21,11.87,12.00,11.42,11.49,2388700,11.19
2012-09-20,11.69,11.79,11.50,11.75,1984500,11.44
2012-09-19,11.46,11.75,11.25,11.74,2440600,11.43
2012-09-18,11.62,11.69,11.33,11.44,1811000,11.14
2012-09-17,11.79,11.85,11.50,11.63,1825300,11.33
2012-09-14,11.79,12.00,11.75,11.86,3376000,11.55
2012-09-13,11.41,11.85,11.25,11.80,2275900,11.49
2012-09-12,12.00,12.01,11.77,11.85,2401200,11.54
2012-09-11,12.00,12.04,11.91,11.96,2610600,11.65
2012-09-10,11.58,12.02,11.45,11.99,2458000,11.68
2012-09-07,11.56,11.64,11.51,11.62,1619500,11.32
2012-09-06,11.39,11.53,11.32,11.52,2745000,11.22
2012-09-05,11.03,11.35,10.95,11.32,3029700,11.02
2012-09-04,11.05,11.18,10.86,11.04,2812600,10.75
2012-08-31,11.19,11.35,10.97,10.98,2070800,10.69
2012-08-30,11.40,11.41,11.07,11.13,1705900,10.84
2012-08-29,11.27,11.52,11.13,11.46,1652300,11.16
2012-08-28,11.36,11.49,11.23,11.24,1363900,10.95
2012-08-27,11.60,11.67,11.31,11.38,1539900,11.08
2012-08-24,11.37,11.62,11.23,11.58,2532300,11.28
2012-08-23,11.75,11.81,11.24,11.44,3208200,11.14
2012-08-22,12.45,12.59,11.74,11.81,3375600,11.50
2012-08-21,12.55,12.70,12.44,12.50,2029900,12.17
2012-08-20,12.37,12.58,12.26,12.52,2854400,12.19
2012-08-17,12.43,12.53,12.28,12.39,1901900,12.07
2012-08-16,12.49,12.53,12.33,12.42,2227100,12.09
2012-08-15,12.68,12.74,12.45,12.52,2186000,12.19
2012-08-14,12.85,12.86,12.68,12.72,2091800,12.39
