Date,Open,High,Low,Close,Volume,Adj Close
2006-04-07,22.75,22.75,22.75,22.75,000,22.75
2006-04-06,23.00,23.00,23.00,23.00,000,23.00
2006-04-05,22.97,22.97,22.97,22.97,000,22.97
2006-04-04,22.87,22.87,22.87,22.87,000,22.87
2006-04-03,22.51,22.51,22.51,22.51,000,22.51
2006-03-31,22.19,22.19,22.19,22.19,000,22.19
2006-03-29,21.82,21.82,21.82,21.82,000,21.82
2006-03-28,21.76,21.76,21.76,21.76,000,21.76
2006-03-27,21.70,21.70,21.70,21.70,000,21.70
2006-03-24,21.58,21.58,21.58,21.58,000,21.58
2006-03-23,21.52,21.52,21.52,21.52,000,21.52
2006-03-22,21.44,21.44,21.44,21.44,000,21.44
2006-03-20,21.29,21.29,21.29,21.29,000,21.29
2006-03-17,21.04,21.04,21.04,21.04,000,21.04
2006-03-16,20.92,20.92,20.92,20.92,000,20.92
2006-03-15,20.84,20.84,20.84,20.84,000,20.84
2006-03-13,20.75,20.75,20.75,20.75,000,20.75
2006-03-10,20.42,20.42,20.42,20.42,000,20.42
2006-03-06,21.11,21.11,21.11,21.11,000,21.11
2006-03-03,21.16,21.16,21.16,21.16,000,21.16
2006-03-02,21.38,21.38,21.38,21.38,000,21.38
2006-03-01,21.34,21.34,21.34,21.34,000,21.34
2006-02-28,21.30,21.30,21.30,21.30,000,21.30
2006-02-23,21.32,21.32,21.32,21.32,000,21.32
2006-02-22,21.14,21.14,21.14,21.14,000,21.14
2006-02-17,21.13,21.13,21.13,21.13,000,21.13
2006-02-15,20.85,20.85,20.85,20.85,000,20.85
2006-02-13,20.93,20.93,20.93,20.93,000,20.93
2006-02-10,21.42,21.42,21.42,21.42,000,21.42
2006-02-08,21.26,21.26,21.26,21.26,000,21.26
2006-02-07,21.67,21.67,21.67,21.67,000,21.67
2006-02-06,21.57,21.57,21.57,21.57,000,21.57
2006-02-03,21.08,21.08,21.08,21.08,000,21.08
2006-02-02,21.63,21.63,21.63,21.63,000,21.63
2006-02-01,21.51,21.51,21.51,21.51,000,21.51
2006-01-31,21.75,21.75,21.75,21.75,000,21.75
2006-01-27,21.56,21.56,21.56,21.56,000,21.56
2006-01-26,21.20,21.20,21.20,21.20,000,21.20
2006-01-25,20.90,20.90,20.90,20.90,000,20.90
2006-01-23,20.40,20.40,20.40,20.40,000,20.40
2006-01-20,20.76,20.76,20.76,20.76,000,20.76
2006-01-19,20.84,20.84,20.84,20.84,000,20.84
2006-01-18,20.45,20.45,20.45,20.45,000,20.45
2006-01-17,21.08,21.08,21.08,21.08,000,21.08
2006-01-13,21.51,21.51,21.51,21.51,000,21.51
2006-01-12,21.20,21.20,21.20,21.20,000,21.20
2006-01-11,21.62,21.62,21.62,21.62,000,21.62
2006-01-09,21.55,21.55,21.55,21.55,000,21.55
2006-01-04,20.98,20.98,20.98,20.98,000,20.98
2006-01-03,20.27,20.27,20.27,20.27,000,20.27
2005-12-30,19.79,19.79,19.79,19.79,000,19.79
2005-12-29,19.79,19.79,19.79,19.79,000,19.79
2005-12-28,19.65,19.65,19.65,19.65,000,19.65
2005-12-27,20.66,20.66,20.66,20.66,000,20.66
