Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,21.91,22.24,21.90,22.20,278000,20.48
2009-12-23,21.79,21.92,21.58,21.85,885800,20.15
2009-12-22,21.83,22.03,21.66,21.69,1100000,20.01
2009-12-21,21.84,22.15,21.81,21.83,779400,20.13
2009-12-18,21.88,21.98,21.45,21.75,1447200,20.06
2009-12-17,21.95,22.02,21.68,21.79,683000,20.10
2009-12-16,22.09,22.28,21.94,22.06,756900,20.35
2009-12-15,22.19,22.30,21.95,22.05,920900,20.34
2009-12-14,22.39,22.39,22.18,22.27,1025800,20.54
2009-12-11,22.46,22.51,22.11,22.30,847600,20.57
2009-12-10,22.61,22.71,22.28,22.32,1059600,20.59
2009-12-09,22.41,22.51,22.13,22.45,856500,20.71
2009-12-08,22.58,22.60,22.26,22.39,966500,20.65
2009-12-07,22.55,22.89,22.48,22.65,664900,20.89
2009-12-04,22.75,22.99,22.27,22.62,1131600,20.86
2009-12-03,22.63,22.79,22.25,22.33,1083600,20.60
2009-12-02,22.44,22.75,22.38,22.65,1353000,20.89
2009-12-01,22.52,22.59,22.35,22.50,1247400,20.64
2009-11-30,22.24,22.42,22.07,22.29,993700,20.45
2009-11-27,22.15,22.48,21.93,22.31,426700,20.47
2009-11-25,22.46,22.82,22.41,22.65,1015200,20.78
2009-11-24,22.67,22.81,22.35,22.42,841700,20.57
2009-11-23,22.52,22.82,22.48,22.59,926300,20.72
2009-11-20,21.88,22.28,21.83,22.15,900900,20.32
2009-11-19,22.13,22.31,21.85,22.12,807100,20.29
2009-11-18,22.52,22.67,22.30,22.46,1074100,20.61
2009-11-17,22.40,22.60,22.15,22.53,1127500,20.67
2009-11-16,21.91,22.54,21.91,22.41,1456500,20.56
2009-11-13,21.58,21.83,21.51,21.80,1883200,20.00
2009-11-12,22.00,22.35,21.60,21.65,1414100,19.86
2009-11-11,22.00,22.25,21.81,21.98,1646000,20.16
2009-11-10,21.81,21.97,21.72,21.80,1309300,20.00
2009-11-09,21.18,21.90,21.17,21.88,1295300,20.07
2009-11-06,20.82,21.15,20.71,20.96,1114100,19.23
2009-11-05,20.35,20.98,20.35,20.95,1880200,19.22
2009-11-04,20.73,21.12,20.25,20.32,2112100,18.64
2009-11-03,19.46,20.65,19.45,20.54,2593800,18.84
2009-11-02,19.32,20.03,19.29,19.65,2006700,18.03
2009-10-30,19.81,19.97,18.94,19.23,2197700,17.64
2009-10-29,19.79,20.04,19.68,19.91,1506300,18.27
2009-10-28,21.25,21.38,19.33,19.60,3266000,17.98
2009-10-27,20.01,20.38,19.80,19.86,1399900,18.22
2009-10-26,20.23,20.58,19.70,19.90,835700,18.26
2009-10-23,20.72,20.72,20.02,20.24,970900,18.57
2009-10-22,20.54,20.71,20.30,20.68,980900,18.97
2009-10-21,20.94,21.29,20.45,20.49,1121100,18.80
2009-10-20,21.18,21.35,20.76,20.94,1222000,19.21
2009-10-19,20.21,20.59,20.14,20.55,613800,18.85
2009-10-16,20.40,20.45,19.98,20.22,653500,18.55
2009-10-15,20.24,20.50,20.15,20.48,789100,18.79
2009-10-14,20.27,20.54,20.14,20.40,774000,18.72
2009-10-13,19.80,20.10,19.75,20.04,704200,18.38
2009-10-12,19.81,20.05,19.76,19.82,357000,18.18
2009-10-09,19.72,19.80,19.48,19.80,432500,18.16
2009-10-08,19.56,19.83,19.43,19.68,886800,18.05
2009-10-07,19.08,19.38,18.99,19.38,780400,17.78
2009-10-06,19.42,19.53,18.91,19.18,1058100,17.60
2009-10-05,18.84,19.23,18.73,19.20,957600,17.61
2009-10-02,18.91,19.01,18.63,18.78,1027000,17.23
2009-10-01,19.62,19.62,18.89,18.95,1184200,17.39
2009-09-30,19.95,20.00,19.36,19.63,856300,18.01
2009-09-29,19.62,20.07,19.62,19.89,724400,18.25
2009-09-28,19.54,19.92,19.40,19.81,509900,18.17
2009-09-25,19.54,19.70,19.23,19.41,614600,17.81
2009-09-24,20.01,20.10,19.53,19.58,719900,17.96
2009-09-23,20.46,20.46,19.93,19.96,568800,18.31
2009-09-22,20.48,20.50,20.27,20.36,401500,18.68
2009-09-21,20.36,20.46,20.15,20.36,675500,18.68
2009-09-18,20.78,20.78,20.36,20.58,998400,18.88
2009-09-17,20.64,20.92,20.30,20.43,1163200,18.74
2009-09-16,20.58,20.84,20.25,20.75,772200,19.04
2009-09-15,20.35,20.63,20.20,20.52,1095500,18.83
2009-09-14,19.51,20.23,19.38,20.16,1706200,18.50
2009-09-11,19.13,19.19,18.75,19.05,792000,17.48
2009-09-10,18.97,19.16,18.67,19.15,728000,17.57
2009-09-09,18.71,19.31,18.57,19.05,1146900,17.48
2009-09-08,18.73,18.80,18.44,18.75,555400,17.20
2009-09-04,18.41,18.67,18.27,18.58,719100,17.05
2009-09-03,18.14,18.44,17.91,18.43,714400,16.91
2009-09-02,18.13,18.27,17.88,18.11,768200,16.61
2009-09-01,18.81,18.91,18.19,18.22,2182200,16.61
2009-08-31,19.04,19.08,18.71,18.91,629600,17.23
2009-08-28,19.39,19.42,19.06,19.24,675700,17.53
2009-08-27,19.31,19.31,18.83,19.21,550300,17.51
2009-08-26,19.14,19.43,18.94,19.15,1063100,17.45
2009-08-25,18.76,19.44,18.72,19.22,1652800,17.52
2009-08-24,18.89,18.97,18.55,18.61,717000,16.96
2009-08-21,18.28,18.85,18.26,18.78,1161000,17.12
2009-08-20,18.14,18.29,17.94,18.27,816000,16.65
2009-08-19,17.84,18.12,17.73,18.05,1168400,16.45
2009-08-18,17.95,18.13,17.72,18.07,795500,16.47
2009-08-17,18.05,18.18,17.76,17.93,942300,16.34
2009-08-14,19.20,19.20,18.22,18.37,1183000,16.74
2009-08-13,18.87,19.13,18.65,19.13,1075600,17.43
2009-08-12,18.64,19.00,18.49,18.81,1217400,17.14
2009-08-11,18.40,18.69,18.26,18.56,1035700,16.92
2009-08-10,18.42,18.57,18.28,18.48,1466700,16.84
2009-08-07,18.62,18.76,18.34,18.59,1336200,16.94
2009-08-06,18.67,18.83,18.32,18.48,1045400,16.84
2009-08-05,18.88,19.08,18.40,18.64,2348300,16.99
2009-08-04,18.97,19.08,18.68,18.93,1268500,17.25
2009-08-03,18.70,18.99,18.29,18.95,1739600,17.27
2009-07-31,18.84,18.99,18.36,18.39,2155400,16.76
2009-07-30,19.38,19.50,18.77,18.85,2948000,17.18
2009-07-29,20.28,20.59,19.26,19.44,4532900,17.72
2009-07-28,21.54,21.62,21.23,21.48,1960200,19.58
2009-07-27,21.58,21.70,21.32,21.62,1509600,19.70
2009-07-24,21.42,21.68,21.32,21.58,1820200,19.67
2009-07-23,21.25,21.78,21.19,21.44,1936000,19.54
2009-07-22,20.77,21.35,20.61,21.15,1532100,19.28
2009-07-21,21.25,21.40,20.33,20.72,2584900,18.88
2009-07-20,20.68,20.92,20.52,20.84,1222800,18.99
2009-07-17,20.41,20.64,20.38,20.53,1737200,18.71
2009-07-16,20.30,20.73,20.23,20.45,1677100,18.64
2009-07-15,19.90,20.37,19.90,20.35,2136000,18.55
2009-07-14,19.27,19.39,19.06,19.31,1177600,17.60
2009-07-13,19.02,19.32,18.68,19.27,1521000,17.56
2009-07-10,18.71,19.19,18.66,19.12,1316100,17.43
2009-07-09,19.03,19.09,18.61,18.88,1886200,17.21
2009-07-08,18.69,18.90,18.41,18.84,2873400,17.17
2009-07-07,18.89,19.15,18.56,18.61,1565200,16.96
2009-07-06,18.59,19.08,18.54,19.04,1177800,17.35
2009-07-02,18.97,19.16,18.65,18.78,1590900,17.12
2009-07-01,18.59,19.30,18.47,19.13,1987900,17.43
2009-06-30,18.38,18.73,18.26,18.45,1686100,16.81
2009-06-29,17.84,18.52,17.65,18.38,1536200,16.75
2009-06-26,17.84,17.95,17.59,17.81,1321400,16.23
2009-06-25,17.52,17.98,17.28,17.86,1402800,16.28
2009-06-24,17.60,17.92,17.45,17.63,1199300,16.07
2009-06-23,17.61,17.75,17.23,17.46,1449800,15.91
2009-06-22,17.70,17.88,17.46,17.60,1789000,16.04
2009-06-19,18.18,18.18,17.75,17.85,1708500,16.27
2009-06-18,17.17,18.16,17.10,18.00,1886400,16.40
2009-06-17,17.84,17.84,17.11,17.17,2687100,15.65
2009-06-16,18.59,18.65,17.83,17.90,1231100,16.31
2009-06-15,18.82,18.90,18.43,18.55,942400,16.91
2009-06-12,19.09,19.22,18.80,19.12,762800,17.43
2009-06-11,19.29,19.43,18.98,19.18,1785900,17.48
2009-06-10,19.65,19.78,18.98,19.19,1627700,17.49
2009-06-09,19.62,19.78,19.39,19.49,1386100,17.76
2009-06-08,19.53,19.85,19.25,19.63,1645800,17.89
2009-06-05,20.54,20.71,19.49,19.74,2089700,17.99
2009-06-04,20.19,20.36,19.86,20.26,1442100,18.46
2009-06-03,20.51,20.63,19.86,20.01,1107900,18.24
2009-06-02,20.71,20.91,20.52,20.73,1131500,18.78
2009-06-01,20.45,20.94,20.39,20.68,1568200,18.74
2009-05-29,19.10,20.01,19.10,20.01,2086800,18.13
2009-05-28,19.66,20.35,19.44,20.12,1810800,18.23
2009-05-27,20.14,20.29,19.44,19.48,1892200,17.65
2009-05-26,19.46,20.18,19.42,20.16,2205400,18.27
2009-05-22,19.32,19.92,19.29,19.65,1350000,17.80
2009-05-21,19.07,19.48,18.50,19.30,2237900,17.49
2009-05-20,19.57,19.98,19.26,19.34,1177500,17.52
2009-05-19,19.42,19.68,19.29,19.44,852000,17.61
2009-05-18,18.89,19.47,18.70,19.47,965900,17.64
2009-05-15,18.74,19.09,18.56,18.73,1110600,16.97
2009-05-14,18.55,18.98,18.29,18.81,1170600,17.04
2009-05-13,19.19,19.19,18.30,18.46,1543300,16.73
2009-05-12,19.48,19.67,18.97,19.32,1138000,17.51
2009-05-11,19.87,20.12,19.13,19.40,2195500,17.58
2009-05-08,20.77,21.13,20.34,20.96,1536700,18.99
2009-05-07,21.41,21.59,20.15,20.39,2180600,18.48
2009-05-06,21.38,21.50,20.74,21.15,2985800,19.16
2009-05-05,20.90,21.40,20.81,21.24,2061300,19.25
2009-05-04,19.27,20.96,19.15,20.92,2532900,18.96
2009-05-01,19.19,19.38,18.95,19.15,2429300,17.35
2009-04-30,19.80,19.95,18.95,19.06,2705800,17.27
2009-04-29,18.18,19.99,18.17,19.50,4754200,17.67
2009-04-28,17.36,17.78,17.12,17.56,1569000,15.91
2009-04-27,17.69,17.74,17.35,17.59,2282500,15.94
2009-04-24,17.23,18.27,17.20,17.93,2747000,16.25
2009-04-23,16.47,17.30,15.79,17.18,3016000,15.57
2009-04-22,15.38,16.10,15.14,15.75,1109000,14.27
2009-04-21,14.67,15.60,14.67,15.46,938600,14.01
2009-04-20,15.59,15.60,14.88,14.95,951900,13.55
2009-04-17,15.49,15.83,15.35,15.73,1227500,14.25
2009-04-16,15.32,15.57,14.97,15.44,1237600,13.99
2009-04-15,14.10,15.32,14.08,15.14,1939700,13.72
2009-04-14,14.57,14.64,14.12,14.12,1901600,12.79
2009-04-13,14.92,15.04,14.46,14.78,1584600,13.39
2009-04-09,14.82,15.09,14.65,15.08,976700,13.66
2009-04-08,14.23,14.38,13.93,14.37,1768500,13.02
2009-04-07,14.30,14.37,14.04,14.19,1141200,12.86
2009-04-06,14.92,14.97,14.40,14.57,973600,13.20
2009-04-03,14.72,14.92,14.50,14.92,957000,13.52
2009-04-02,14.47,14.90,14.46,14.65,1189900,13.27
2009-04-01,13.58,14.20,13.31,14.15,1283600,12.82
2009-03-31,13.75,14.09,13.63,13.80,1160700,12.50
2009-03-30,13.72,13.98,13.38,13.66,1378600,12.38
2009-03-27,14.18,14.50,14.01,14.17,1199500,12.84
2009-03-26,13.94,14.60,13.93,14.54,1272100,13.17
2009-03-25,13.73,14.35,13.36,13.84,1582800,12.54
2009-03-24,13.61,14.16,13.45,13.75,1328600,12.46
2009-03-23,13.15,13.78,13.04,13.78,1184600,12.49
2009-03-20,13.24,13.34,12.81,12.91,1725200,11.70
2009-03-19,13.20,13.50,13.10,13.18,1771000,11.94
2009-03-18,12.53,13.25,12.46,13.08,2468900,11.85
