Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,41.95,43.35,41.90,42.92,954900,42.92
2013-01-04,42.46,42.46,41.57,42.19,619900,42.19
2013-01-03,41.77,42.87,41.19,42.26,898100,42.26
2013-01-02,42.29,43.25,40.59,41.70,1344300,41.70
2012-12-31,39.36,41.63,39.27,41.36,1642200,41.36
2012-12-28,39.21,39.82,38.40,39.50,781600,39.50
2012-12-27,39.59,40.74,38.50,39.30,1317800,39.30
2012-12-26,40.41,40.61,38.53,39.39,1408300,39.39
2012-12-24,40.95,41.21,40.18,40.37,619900,40.37
2012-12-21,43.14,43.70,40.31,40.83,2794800,40.83
2012-12-20,44.08,44.77,43.63,44.23,808600,44.23
2012-12-19,44.46,45.08,44.00,44.28,683500,44.28
2012-12-18,44.40,45.43,44.00,44.30,1454700,44.30
2012-12-17,42.47,44.09,41.88,44.07,1070900,44.07
2012-12-14,42.22,43.29,42.06,42.26,793300,42.26
2012-12-13,42.60,42.94,41.95,42.41,759800,42.41
2012-12-12,43.50,43.73,42.27,42.38,846400,42.38
2012-12-11,44.20,44.77,43.12,43.50,1259100,43.50
2012-12-10,43.05,44.92,42.42,43.97,1980000,43.97
2012-12-07,42.00,43.20,41.50,42.96,2952200,42.96
2012-12-06,41.15,41.39,39.20,40.25,1469900,40.25
2012-12-05,42.81,43.31,40.70,41.21,2016300,41.21
2012-12-04,42.13,43.68,41.30,42.88,1612000,42.88
2012-12-03,42.40,43.75,41.15,42.11,2121300,42.11
2012-11-30,43.10,43.25,41.47,42.01,1520800,42.01
2012-11-29,44.38,44.60,42.97,43.10,1575800,43.10
2012-11-28,46.58,46.69,44.12,44.48,2098600,44.48
2012-11-27,47.24,47.50,45.78,46.05,1011200,46.05
2012-11-26,47.59,48.30,46.34,46.91,903400,46.91
2012-11-23,48.09,48.27,46.81,47.52,599100,47.52
2012-11-21,49.45,49.87,47.13,47.49,1024600,47.49
2012-11-20,47.66,50.29,47.57,49.49,1612100,49.49
2012-11-19,48.01,49.23,47.21,47.86,1825100,47.86
2012-11-16,54.72,55.18,46.13,47.49,6627600,47.49
2012-11-15,58.38,59.28,57.80,58.48,820200,58.48
2012-11-14,60.38,60.93,58.03,58.42,714700,58.42
2012-11-13,61.47,62.20,59.74,59.90,719300,59.90
2012-11-12,63.50,63.71,60.65,61.44,693000,61.44
2012-11-09,61.53,63.58,61.44,62.51,612800,62.51
2012-11-08,64.04,64.59,61.43,61.84,723700,61.84
2012-11-07,66.47,66.47,62.79,64.16,754600,64.16
2012-11-06,65.14,68.77,65.08,66.76,964600,66.76
2012-11-05,63.93,66.80,63.92,65.05,1062800,65.05
2012-11-02,65.26,65.26,63.19,63.94,472400,63.94
2012-11-01,62.76,65.40,62.45,64.54,768700,64.54
2012-10-31,64.25,65.43,61.90,62.67,922700,62.67
2012-10-26,62.53,67.20,62.48,66.69,1315000,66.69
2012-10-25,61.98,63.40,61.11,62.92,787900,62.92
2012-10-24,61.03,61.95,60.73,61.67,556700,61.67
2012-10-23,59.47,61.00,58.48,60.57,823000,60.57
2012-10-22,58.43,59.93,58.20,59.48,555300,59.48
2012-10-19,61.38,61.54,58.05,58.72,813500,58.72
2012-10-18,61.53,62.00,60.36,61.01,384200,61.01
2012-10-17,61.95,62.50,60.57,61.47,626400,61.47
2012-10-16,60.72,62.35,60.39,62.17,882400,62.17
2012-10-15,60.04,60.56,59.85,60.32,523700,60.32
2012-10-12,60.00,61.00,59.59,59.92,638300,59.92
2012-10-11,59.87,61.85,59.35,60.92,780500,60.92
2012-10-10,59.07,59.58,58.43,59.36,596700,59.36
2012-10-09,58.39,59.59,57.78,58.90,858000,58.90
2012-10-08,56.63,58.98,55.77,58.58,737000,58.58
2012-10-05,57.34,58.43,56.25,56.78,500300,56.78
2012-10-04,56.53,58.23,56.51,56.99,772400,56.99
2012-10-03,55.52,56.77,55.09,56.46,622600,56.46
2012-10-02,55.49,56.45,55.13,55.40,634300,55.40
2012-10-01,55.80,57.40,55.01,55.30,709200,55.30
2012-09-28,56.11,56.38,54.90,55.49,663600,55.49
2012-09-27,54.97,56.50,54.88,56.36,441700,56.36
2012-09-26,55.10,56.00,54.20,54.84,640400,54.84
2012-09-25,57.31,57.65,55.24,55.25,630500,55.25
2012-09-24,57.63,58.80,56.70,56.84,779300,56.84
2012-09-21,58.30,60.59,57.77,57.96,1910000,57.96
2012-09-20,61.54,61.54,57.18,57.46,1078300,57.46
2012-09-19,61.29,62.47,60.66,61.60,740500,61.60
2012-09-18,61.95,62.25,60.71,61.00,647100,61.00
2012-09-17,61.57,63.78,61.34,62.00,916100,62.00
2012-09-14,59.83,63.50,59.83,61.71,1149200,61.71
2012-09-13,59.39,60.10,57.03,59.82,1455600,59.82
2012-09-12,56.86,61.12,56.47,60.90,1897900,60.90
2012-09-11,57.06,57.27,55.76,56.56,762500,56.56
2012-09-10,57.24,59.17,56.80,57.15,1034500,57.15
2012-09-07,57.22,58.50,56.66,58.18,907600,58.18
2012-09-06,55.50,57.72,53.61,57.37,3062500,57.37
2012-09-05,53.25,53.42,51.65,52.11,1094600,52.11
2012-09-04,52.48,53.95,51.30,53.14,9349700,53.14
2012-08-31,53.35,53.70,52.52,52.75,1285400,52.75
2012-08-30,55.10,55.15,52.57,52.90,3052400,52.90
2012-08-29,55.14,57.65,54.96,57.45,911800,57.45
2012-08-28,55.09,55.83,54.91,54.96,441400,54.96
2012-08-27,56.64,56.89,54.88,55.22,480800,55.22
2012-08-24,54.38,56.76,53.67,56.51,709400,56.51
2012-08-23,55.82,55.97,54.28,54.42,635500,54.42
2012-08-22,56.18,57.36,55.81,55.94,594300,55.94
2012-08-21,57.24,57.70,56.05,56.39,755400,56.39
2012-08-20,59.39,59.50,57.12,57.32,778500,57.32
2012-08-17,60.92,61.00,58.23,59.49,1195500,59.49
2012-08-16,57.00,60.88,57.00,60.29,1758500,60.29
2012-08-15,54.76,57.48,53.40,56.60,1426900,56.60
2012-08-14,54.85,56.25,54.43,55.17,754600,55.17
2012-08-13,54.80,55.58,52.85,54.36,1622100,54.36
2012-08-10,50.65,51.80,50.25,51.42,397300,51.42
2012-08-09,52.13,52.26,50.47,50.67,535700,50.67
2012-08-08,52.20,53.91,52.20,52.38,399200,52.38
2012-08-07,50.64,53.20,50.49,52.68,605200,52.68
2012-08-06,49.49,51.58,49.37,50.38,485200,50.38
2012-08-03,49.46,50.04,49.13,49.32,287500,49.32
2012-08-02,47.47,50.00,47.01,48.51,601400,48.51
2012-08-01,49.73,49.90,48.45,48.54,411000,48.54
2012-07-31,49.65,50.54,49.10,49.49,357000,49.49
2012-07-30,51.78,52.01,49.33,49.96,413600,49.96
2012-07-27,50.51,52.77,49.84,51.85,505900,51.85
2012-07-26,49.57,50.72,48.40,50.17,605000,50.17
2012-07-25,48.48,49.25,47.75,48.80,441900,48.80
2012-07-24,49.56,50.00,47.68,48.36,582200,48.36
2012-07-23,50.35,50.56,48.87,49.58,551600,49.58
2012-07-20,53.85,54.34,51.04,51.26,693600,51.26
2012-07-19,54.59,55.00,53.42,54.06,323400,54.06
2012-07-18,53.30,55.29,53.22,54.54,329700,54.54
2012-07-17,54.84,55.50,53.27,53.81,456500,53.81
2012-07-16,53.40,54.77,53.28,54.67,514000,54.67
2012-07-13,53.52,53.90,52.67,53.58,474800,53.58
2012-07-12,55.49,55.50,52.77,53.48,748400,53.48
2012-07-11,57.55,58.22,55.89,56.38,517500,56.38
2012-07-10,58.40,59.51,56.38,57.64,573400,57.64
2012-07-09,61.19,61.63,58.11,58.34,617200,58.34
2012-07-06,61.74,62.95,60.56,61.03,473300,61.03
2012-07-05,59.93,62.41,59.79,61.81,407600,61.81
2012-07-03,59.91,61.14,59.51,60.23,306200,60.23
2012-07-02,59.81,60.26,58.97,59.97,446400,59.97
2012-06-29,58.37,60.00,57.52,59.70,815300,59.70
2012-06-28,56.27,57.88,55.47,57.10,789100,57.10
2012-06-27,55.37,57.50,54.36,56.63,729600,56.63
2012-06-26,52.26,55.93,52.08,55.28,773500,55.28
2012-06-25,52.64,53.16,51.95,52.34,535100,52.34
2012-06-22,52.90,53.78,52.25,53.17,712700,53.17
2012-06-21,54.50,54.72,52.63,52.75,716100,52.75
2012-06-20,54.45,54.93,53.64,54.38,419800,54.38
2012-06-19,51.75,55.33,51.58,54.44,984400,54.44
2012-06-18,50.85,52.26,49.89,51.66,441000,51.66
2012-06-15,49.94,51.42,49.06,51.08,1082300,51.08
2012-06-14,48.93,50.00,48.30,49.60,559500,49.60
2012-06-13,50.82,50.91,48.55,48.84,955500,48.84
2012-06-12,49.66,51.09,48.85,50.66,602900,50.66
2012-06-11,52.68,53.21,49.21,49.45,569300,49.45
2012-06-08,50.04,52.48,49.70,52.28,521600,52.28
2012-06-07,51.02,51.87,49.95,50.37,772100,50.37
2012-06-06,48.71,51.31,48.39,50.48,810200,50.48
2012-06-05,47.54,49.09,46.40,47.85,611100,47.85
2012-06-04,48.68,49.11,46.28,47.90,921800,47.90
2012-06-01,48.19,49.19,47.75,48.45,1117400,48.45
2012-05-31,52.08,52.31,48.90,49.40,1672300,49.40
2012-05-30,55.79,55.99,51.29,52.34,1908500,52.34
2012-05-29,57.45,58.31,55.86,57.50,557500,57.50
2012-05-25,56.41,57.11,55.77,56.84,383500,56.84
2012-05-24,56.98,57.39,55.10,56.59,819100,56.59
2012-05-23,56.19,57.00,55.36,56.83,1076600,56.83
2012-05-22,56.14,57.26,55.46,56.76,886500,56.76
2012-05-21,52.13,56.28,51.72,55.97,1075300,55.97
2012-05-18,52.75,52.77,50.75,52.23,1294800,52.23
2012-05-17,56.34,58.14,52.35,52.42,3331500,52.42
2012-05-16,52.86,53.97,50.52,50.87,1277500,50.87
2012-05-15,52.71,54.22,52.25,52.91,927800,52.91
2012-05-14,54.24,54.27,52.31,52.71,858300,52.71
2012-05-11,54.62,57.24,54.23,54.68,960300,54.68
2012-05-10,55.35,55.75,53.60,54.96,724000,54.96
2012-05-09,54.27,55.49,53.43,54.97,674800,54.97
2012-05-08,54.93,55.49,53.51,54.88,765400,54.88
2012-05-07,55.08,56.49,54.20,55.12,823000,55.12
2012-05-04,57.07,58.23,55.17,55.31,920000,55.31
2012-05-03,62.02,62.03,57.26,57.94,1291000,57.94
2012-05-02,61.51,64.50,60.56,62.07,2704400,62.07
2012-05-01,57.13,65.70,56.55,62.05,4845700,62.05
2012-04-30,54.10,54.66,52.67,53.78,1014900,53.78
2012-04-27,52.74,55.16,51.71,54.33,1267300,54.33
2012-04-26,51.94,53.12,51.18,52.47,1120600,52.47
2012-04-25,51.03,53.43,49.75,52.25,1492900,52.25
2012-04-24,52.06,52.27,50.15,50.59,757900,50.59
2012-04-23,52.53,52.97,51.55,52.00,1143100,52.00
2012-04-20,56.12,56.30,52.87,53.12,1666500,53.12
2012-04-19,55.88,56.98,55.58,55.66,976400,55.66
2012-04-18,57.09,57.50,55.26,56.01,1186300,56.01
2012-04-17,58.58,59.73,57.21,57.38,934000,57.38
2012-04-16,58.26,59.12,56.41,57.90,841900,57.90
2012-04-13,58.72,58.85,56.89,57.67,863600,57.67
2012-04-12,59.20,60.22,58.26,58.85,939300,58.85
2012-04-11,59.82,60.25,58.27,58.66,818400,58.66
2012-04-10,61.09,61.99,58.70,59.23,1341800,59.23
2012-04-09,61.38,61.84,60.33,61.37,1027600,61.37
2012-04-05,62.60,64.16,62.00,62.19,1139600,62.19
2012-04-04,65.26,66.30,62.85,63.02,1857400,63.02
2012-04-03,66.21,69.29,65.34,68.06,1710100,68.06
2012-04-02,66.50,67.13,64.38,66.69,1401500,66.69
2012-03-30,68.34,68.55,65.90,66.25,952800,66.25
