Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,16.98,17.00,16.76,16.79,1009900,16.79
2012-12-21,16.63,16.86,16.47,16.82,8047700,16.82
2012-12-20,16.86,16.94,16.62,16.82,3872600,16.82
2012-12-19,17.19,17.29,16.87,16.87,2321100,16.87
2012-12-18,17.17,17.21,16.98,17.21,3374900,17.21
2012-12-17,16.81,17.13,16.76,17.11,3881900,17.11
2012-12-14,16.90,16.90,16.60,16.69,3687100,16.69
2012-12-13,17.16,17.19,16.88,16.89,3660400,16.89
2012-12-12,17.39,17.41,17.05,17.08,4019600,17.08
2012-12-11,17.28,17.46,17.17,17.32,3102600,17.32
2012-12-10,16.91,17.24,16.81,17.15,3429200,17.15
2012-12-07,17.07,17.10,16.77,16.90,4467100,16.90
2012-12-06,16.87,17.14,16.83,17.00,3755900,17.00
2012-12-05,16.69,17.03,16.62,16.84,4321200,16.84
2012-12-04,16.45,16.67,16.44,16.64,2493900,16.51
2012-12-03,16.60,16.64,16.46,16.49,3096100,16.37
2012-11-30,16.84,16.94,16.49,16.55,7367500,16.43
2012-11-29,17.16,17.20,16.69,16.79,3223300,16.66
2012-11-28,16.65,17.09,16.62,17.05,4226700,16.92
2012-11-27,16.69,16.88,16.63,16.74,2892400,16.61
2012-11-26,16.94,17.00,16.67,16.74,2491300,16.61
2012-11-23,16.95,17.07,16.79,17.05,716600,16.92
2012-11-21,16.92,16.92,16.74,16.89,1933900,16.76
2012-11-20,16.90,16.97,16.68,16.85,2632800,16.72
2012-11-19,16.94,16.98,16.76,16.96,2519500,16.83
2012-11-16,16.57,16.79,16.46,16.74,2452400,16.61
2012-11-15,16.60,16.66,16.35,16.53,3596500,16.41
2012-11-14,16.89,17.00,16.48,16.56,2604600,16.44
2012-11-13,16.78,16.97,16.68,16.79,3315800,16.66
2012-11-12,16.94,17.19,16.69,16.80,2410000,16.67
2012-11-09,16.89,17.15,16.82,16.85,2993400,16.72
2012-11-08,17.15,17.33,16.83,16.84,3704700,16.71
2012-11-07,17.12,17.33,16.71,17.11,6872400,16.98
2012-11-06,17.71,17.82,17.69,17.75,3884600,17.62
2012-11-05,17.58,17.99,17.49,17.68,3714300,17.55
2012-11-02,17.76,17.94,17.61,17.68,4513700,17.55
2012-11-01,17.67,17.80,17.43,17.70,5782200,17.57
2012-10-31,17.62,17.65,17.28,17.58,3529400,17.45
2012-10-26,17.45,17.64,17.40,17.49,3636300,17.36
2012-10-25,17.28,17.58,17.25,17.54,3853000,17.41
2012-10-24,16.97,17.30,16.92,17.14,4264700,17.01
2012-10-23,16.48,16.85,16.42,16.79,4290400,16.66
2012-10-22,16.52,16.74,16.45,16.69,3289200,16.56
2012-10-19,16.79,17.00,16.47,16.61,3142900,16.49
2012-10-18,16.99,17.00,16.80,16.96,5611200,16.83
2012-10-17,17.20,17.25,16.97,17.16,5009400,17.03
2012-10-16,17.22,17.36,17.09,17.13,4388000,17.00
2012-10-15,17.13,17.15,16.98,17.10,2445300,16.97
2012-10-12,17.22,17.31,16.76,17.00,3496900,16.87
2012-10-11,16.87,17.41,16.78,17.31,4281200,17.18
2012-10-10,16.63,16.71,16.44,16.66,1928100,16.53
2012-10-09,16.81,16.91,16.60,16.64,2167900,16.51
2012-10-08,16.50,16.79,16.47,16.77,1331200,16.64
2012-10-05,16.80,16.87,16.50,16.67,3531400,16.54
2012-10-04,16.37,16.89,16.37,16.68,3454500,16.55
2012-10-03,16.24,16.32,16.07,16.29,2531700,16.17
2012-10-02,16.13,16.29,16.03,16.19,2804600,16.07
2012-10-01,15.82,16.06,15.75,15.98,3280500,15.86
2012-09-28,15.73,15.86,15.63,15.72,3225600,15.60
2012-09-27,15.77,15.92,15.56,15.83,3396500,15.71
2012-09-26,16.09,16.11,15.73,15.74,2478900,15.62
2012-09-25,16.54,16.54,16.03,16.05,2621200,15.93
2012-09-24,16.24,16.61,16.17,16.44,3829300,16.32
2012-09-21,16.54,16.57,16.25,16.29,5114900,16.17
2012-09-20,16.59,16.59,16.30,16.46,3405200,16.34
2012-09-19,16.56,16.73,16.48,16.64,3258800,16.51
2012-09-18,16.60,16.63,16.34,16.57,2092100,16.45
2012-09-17,16.72,16.84,16.50,16.59,2025200,16.47
2012-09-14,16.58,16.94,16.42,16.78,2632400,16.65
2012-09-13,16.27,16.71,16.18,16.59,3429000,16.47
2012-09-12,16.20,16.37,16.17,16.28,1743900,16.16
