Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,78.55,79.04,78.05,78.61,90400,78.61
2012-12-21,78.58,79.15,78.12,78.22,566400,78.22
2012-12-20,78.99,79.13,78.47,79.13,291200,79.13
2012-12-19,80.15,80.15,78.84,78.87,276000,78.87
2012-12-18,79.21,79.81,78.71,79.79,187700,79.79
2012-12-17,78.19,79.18,78.02,79.11,164600,79.11
2012-12-14,79.03,79.11,77.78,77.89,246600,77.89
2012-12-13,79.88,80.12,78.82,79.00,131300,79.00
2012-12-12,79.71,80.11,79.22,80.00,328100,80.00
2012-12-11,80.05,80.05,78.74,79.31,306700,79.31
2012-12-10,78.09,79.81,77.70,79.72,310200,79.72
2012-12-07,78.61,78.91,77.75,78.06,259600,78.06
2012-12-06,78.27,79.15,77.79,78.53,190300,78.53
2012-12-05,78.76,78.76,77.05,78.34,290600,78.34
2012-12-04,78.85,79.45,78.22,78.65,147300,78.65
2012-12-03,80.00,80.28,78.78,78.94,144600,78.94
2012-11-30,80.14,80.20,78.98,79.44,277600,79.44
2012-11-29,78.91,80.06,78.78,80.03,226400,80.03
2012-11-28,77.38,78.61,77.01,78.56,341800,78.56
2012-11-27,78.11,78.59,77.63,77.69,128000,77.69
2012-11-26,77.60,78.39,77.28,78.21,233100,78.21
2012-11-23,77.87,78.00,77.22,77.83,123100,77.83
2012-11-21,77.80,78.41,77.22,77.70,233500,77.70
2012-11-20,76.82,77.79,76.42,77.76,469800,77.76
2012-11-19,75.54,76.82,75.50,76.80,350400,76.80
2012-11-16,74.10,74.89,73.99,74.76,296300,74.76
2012-11-15,74.40,75.04,74.00,74.15,487900,74.15
2012-11-14,76.95,77.09,74.45,74.45,714700,74.07
2012-11-13,76.77,77.64,76.42,76.50,392400,76.11
2012-11-12,77.38,77.84,77.00,77.19,222000,76.80
2012-11-09,76.84,77.72,76.53,77.17,164200,76.78
2012-11-08,77.39,77.91,77.04,77.04,212800,76.65
2012-11-07,79.11,79.36,76.99,77.50,250800,77.10
2012-11-06,79.36,80.45,78.82,79.86,244800,79.45
2012-11-05,78.37,79.59,78.37,79.41,137800,79.00
2012-11-02,79.58,79.58,78.54,78.75,301800,78.35
2012-11-01,76.79,79.54,76.79,79.17,325700,78.77
2012-10-31,76.54,77.59,76.54,77.33,324100,76.94
2012-10-26,76.44,76.78,76.00,76.51,180500,76.12
2012-10-25,76.66,77.01,76.11,76.37,286600,75.98
2012-10-24,75.92,76.29,75.37,76.02,358600,75.63
2012-10-23,74.29,75.62,73.79,75.45,243900,75.06
2012-10-22,75.73,75.90,74.77,75.25,356900,74.87
2012-10-19,76.37,76.38,75.15,75.85,519100,75.46
2012-10-18,75.75,78.27,75.47,76.97,1121500,76.58
2012-10-17,73.33,74.29,72.85,74.25,330000,73.87
2012-10-16,72.98,73.71,72.78,73.64,215700,73.26
2012-10-15,71.46,72.73,71.10,72.66,198000,72.29
2012-10-12,72.00,72.00,71.13,71.28,295500,70.92
2012-10-11,72.09,72.33,71.60,71.84,243400,71.47
2012-10-10,71.33,71.70,70.96,71.59,224700,71.22
2012-10-09,72.79,72.89,71.51,71.53,142900,71.16
2012-10-08,72.38,73.12,72.29,72.80,252500,72.43
2012-10-05,72.49,73.19,72.36,72.77,102300,72.40
2012-10-04,71.91,72.60,71.75,72.39,113400,72.02
2012-10-03,72.16,72.20,71.19,71.63,236700,71.26
2012-10-02,71.80,72.33,71.35,71.85,184000,71.48
2012-10-01,72.09,72.72,71.28,71.50,242800,71.14
2012-09-28,70.96,71.99,70.38,71.87,285800,71.50
2012-09-27,70.67,71.25,70.21,71.22,213600,70.86
2012-09-26,71.23,71.43,70.28,70.36,232500,70.00
2012-09-25,71.65,72.03,71.09,71.23,314000,70.87
2012-09-24,71.49,72.14,71.08,71.51,298500,71.15
2012-09-21,72.77,72.98,71.90,71.98,391800,71.61
2012-09-20,72.55,72.78,72.03,72.30,227500,71.93
2012-09-19,73.00,73.20,72.39,72.91,268200,72.54
2012-09-18,72.24,72.95,72.15,72.95,239900,72.58
2012-09-17,73.17,73.17,72.03,72.50,162400,72.13
2012-09-14,72.73,73.65,72.65,73.43,259400,73.06
2012-09-13,72.37,72.83,71.67,72.63,204800,72.26
2012-09-12,72.60,73.17,72.04,72.42,181000,72.05
2012-09-11,72.50,72.86,72.09,72.21,223600,71.84
2012-09-10,73.15,73.70,72.49,72.52,133500,72.15
2012-09-07,73.18,74.27,72.82,73.23,369700,72.86
2012-09-06,70.25,72.98,70.19,72.98,561900,72.61
2012-09-05,70.15,70.25,69.42,69.96,274800,69.60
2012-09-04,69.42,70.14,68.32,70.02,566900,69.66
2012-08-31,69.94,70.00,68.95,69.42,239000,69.07
2012-08-30,68.93,69.79,68.54,69.39,315500,69.04
2012-08-29,69.65,69.88,69.14,69.54,162900,69.19
2012-08-28,69.46,69.81,69.24,69.46,208100,69.11
2012-08-27,70.22,70.24,69.52,69.57,208100,69.21
2012-08-24,69.64,70.58,69.26,69.96,180800,69.60
2012-08-23,70.20,70.58,69.71,69.77,179800,69.41
2012-08-22,69.96,70.68,69.56,70.38,288900,70.02
2012-08-21,70.00,70.54,69.68,70.02,357000,69.66
2012-08-20,70.08,70.38,69.35,69.91,168800,69.55
2012-08-17,69.85,70.41,69.80,70.31,304800,69.95
2012-08-16,68.09,69.99,68.01,69.86,293100,69.50
2012-08-15,68.22,68.46,67.76,68.12,361300,67.43
2012-08-14,68.83,68.92,68.26,68.54,396700,67.85
2012-08-13,68.59,69.00,67.89,68.62,155800,67.93
2012-08-10,67.73,68.85,67.05,68.64,257000,67.95
2012-08-09,67.77,68.55,67.68,68.25,338000,67.56
2012-08-08,67.40,68.50,67.40,68.43,184300,67.74
2012-08-07,67.77,68.68,67.58,68.15,372100,67.46
2012-08-06,67.45,68.07,67.35,67.45,268100,66.77
2012-08-03,66.95,67.69,66.83,67.45,321300,66.77
2012-08-02,66.16,66.49,64.75,65.91,501000,65.25
2012-08-01,68.00,68.30,66.24,66.44,639900,65.77
2012-07-31,68.73,69.30,67.71,67.78,439900,67.10
2012-07-30,70.12,70.27,68.82,68.94,426300,68.25
2012-07-27,68.34,70.85,68.21,70.20,344500,69.49
2012-07-26,68.21,69.98,68.21,69.18,1022800,68.48
2012-07-25,66.98,67.75,66.63,67.67,630700,66.99
2012-07-24,67.37,67.40,66.17,66.90,376400,66.23
2012-07-23,66.40,67.41,66.06,67.20,457400,66.52
2012-07-20,66.17,67.86,65.75,67.65,838000,66.97
2012-07-19,62.05,67.62,61.06,67.24,1501500,66.56
2012-07-18,59.56,61.61,59.29,61.34,790600,60.72
2012-07-17,60.59,60.91,59.80,59.90,408200,59.30
2012-07-16,60.93,60.93,60.04,60.41,207800,59.80
2012-07-13,60.07,61.31,60.07,61.21,174100,60.59
2012-07-12,59.41,60.32,58.85,59.96,240000,59.36
2012-07-11,60.93,60.93,59.68,60.10,191600,59.49
2012-07-10,62.39,62.80,60.33,60.72,188000,60.11
2012-07-09,61.60,61.86,61.03,61.78,164800,61.16
2012-07-06,61.75,61.82,61.17,61.66,127900,61.04
2012-07-05,62.34,62.68,62.18,62.52,348900,61.89
2012-07-03,61.84,62.63,61.78,62.53,296200,61.90
2012-07-02,62.35,62.44,61.22,61.93,353000,61.31
2012-06-29,60.67,62.30,60.50,62.25,511500,61.62
2012-06-28,59.62,59.65,58.68,59.45,813500,58.85
2012-06-27,59.99,60.50,59.77,59.99,540700,59.39
2012-06-26,60.75,60.88,59.62,60.00,756400,59.40
2012-06-25,61.83,61.83,60.25,60.28,437100,59.67
2012-06-22,62.27,62.57,62.01,62.10,366400,61.47
2012-06-21,63.55,63.69,61.63,61.95,319200,61.33
2012-06-20,64.22,64.48,62.74,63.36,308200,62.72
2012-06-19,63.97,64.44,63.88,64.24,223500,63.59
2012-06-18,63.11,63.94,62.79,63.64,214400,63.00
2012-06-15,62.59,63.33,62.42,63.19,318600,62.55
2012-06-14,62.19,62.81,61.90,62.41,250000,61.78
2012-06-13,62.65,63.10,61.79,62.17,309500,61.54
2012-06-12,61.75,63.08,61.50,63.04,344700,62.41
2012-06-11,63.27,63.56,61.25,61.34,195400,60.72
2012-06-08,61.41,62.66,61.06,62.66,326800,62.03
2012-06-07,61.00,62.50,60.97,61.72,477500,61.10
2012-06-06,59.25,60.77,59.03,60.73,310500,60.12
2012-06-05,57.29,58.72,57.06,58.57,458200,57.98
2012-06-04,58.38,58.62,56.88,57.63,447400,57.05
2012-06-01,60.82,60.82,58.55,58.57,740000,57.98
2012-05-31,60.14,60.91,59.53,60.51,1948300,59.90
2012-05-30,60.35,60.67,60.15,60.25,458000,59.64
2012-05-29,60.79,61.62,60.54,60.97,263800,60.36
2012-05-25,60.66,60.85,59.97,60.12,224200,59.51
2012-05-24,60.85,61.00,59.68,60.62,247100,60.01
2012-05-23,59.62,60.77,58.84,60.68,311000,60.07
2012-05-22,59.76,60.24,59.41,60.02,273000,59.42
2012-05-21,58.53,59.72,58.25,59.54,300100,58.94
2012-05-18,58.42,59.10,57.90,58.10,384000,57.51
2012-05-17,59.77,60.18,58.20,58.22,451800,57.63
2012-05-16,60.68,61.21,60.09,60.17,316700,59.23
2012-05-15,60.25,60.74,59.98,60.32,285000,59.38
2012-05-14,60.62,60.94,59.90,60.44,201000,59.49
2012-05-11,60.45,61.62,60.22,61.33,305000,60.37
2012-05-10,61.68,61.95,60.75,60.97,369500,60.01
2012-05-09,61.45,61.80,60.52,61.22,314400,60.26
2012-05-08,62.11,62.27,60.82,61.94,348700,60.97
2012-05-07,61.89,62.70,61.89,62.48,382400,61.50
2012-05-04,62.43,62.47,62.10,62.35,545400,61.37
2012-05-03,62.82,63.12,62.58,62.79,453200,61.81
2012-05-02,62.34,62.83,61.98,62.81,413000,61.83
2012-05-01,62.45,63.66,61.99,62.63,273600,61.65
2012-04-30,63.45,63.49,62.13,62.54,235000,61.56
2012-04-27,63.00,63.77,62.37,63.55,370700,62.55
2012-04-26,62.05,62.85,62.05,62.57,539200,61.59
2012-04-25,62.47,62.79,62.13,62.24,461100,61.27
2012-04-24,60.80,62.30,60.76,61.89,337600,60.92
2012-04-23,60.60,61.10,59.73,60.66,354600,59.71
2012-04-20,61.65,61.98,61.23,61.65,484400,60.68
2012-04-19,59.78,61.92,59.28,61.56,1120200,60.60
2012-04-18,60.20,60.20,59.53,59.65,500600,58.72
2012-04-17,60.11,60.93,59.95,60.62,360800,59.67
2012-04-16,59.62,60.06,59.01,59.54,295600,58.61
2012-04-13,59.47,59.66,58.85,59.27,220800,58.34
2012-04-12,58.78,60.09,58.74,59.75,245000,58.81
2012-04-11,58.50,58.91,58.27,58.71,260600,57.79
2012-04-10,59.13,59.22,57.46,57.65,221500,56.75
2012-04-09,58.58,59.32,58.01,59.19,303100,58.26
2012-04-05,60.02,60.42,59.46,59.71,340400,58.77
2012-04-04,59.99,60.31,59.70,60.28,272800,59.34
2012-04-03,61.03,61.36,60.17,60.62,374700,59.67
2012-04-02,60.79,61.73,60.41,61.31,373900,60.35
2012-03-30,61.51,61.82,60.81,60.97,284700,60.01
2012-03-29,60.69,61.22,60.20,61.07,245400,60.11
2012-03-28,61.89,61.97,60.34,60.98,202800,60.02
2012-03-27,61.92,62.05,61.67,61.77,289700,60.80
2012-03-26,61.27,61.86,61.16,61.80,290800,60.83
2012-03-23,60.32,60.79,59.71,60.58,222700,59.63
2012-03-22,59.91,60.34,59.59,60.24,433400,59.30
2012-03-21,60.48,60.76,59.83,60.49,309400,59.54
2012-03-20,60.59,60.97,59.90,60.44,228800,59.49
2012-03-19,61.53,61.75,60.56,61.00,392900,60.04
2012-03-16,62.24,62.38,61.49,61.51,424700,60.55
2012-03-15,61.35,62.20,61.04,62.18,293000,61.21
2012-03-14,61.22,61.68,60.98,61.29,183600,60.33
2012-03-13,60.82,61.30,60.64,61.30,393900,60.34
2012-03-12,60.63,60.78,60.11,60.42,163600,59.47
2012-03-09,60.40,60.79,59.85,60.45,228700,59.50
2012-03-08,59.50,60.65,59.14,60.21,343600,59.27
2012-03-07,58.67,59.23,58.57,59.07,204100,58.14
2012-03-06,59.44,59.59,58.44,58.53,303100,57.61
2012-03-05,60.19,60.41,59.86,60.30,326000,59.36
2012-03-02,61.10,61.10,59.93,60.33,347600,59.39
2012-03-01,60.95,62.03,60.95,61.20,356700,60.24
2012-02-29,61.46,62.06,61.01,61.13,266200,60.17
2012-02-28,61.21,61.67,60.80,61.30,273800,60.34
2012-02-27,60.39,61.37,60.00,61.07,242000,60.11
2012-02-24,61.55,61.55,60.69,60.73,296300,59.78
2012-02-23,61.10,61.62,60.81,61.31,239800,60.35
2012-02-22,61.51,61.70,60.98,61.06,272200,60.10
2012-02-21,62.31,62.44,61.56,61.90,249900,60.60
2012-02-17,62.37,62.60,61.94,62.16,279900,60.85
2012-02-16,60.66,62.01,60.57,61.99,317800,60.68
2012-02-15,62.17,62.22,60.29,60.48,486400,59.21
2012-02-14,61.88,62.13,61.45,62.09,324000,60.78
2012-02-13,61.39,62.42,61.19,62.18,465300,60.87
2012-02-10,60.00,61.00,59.78,60.98,492300,59.70
2012-02-09,60.07,61.02,59.85,60.73,409900,59.45
2012-02-08,59.93,60.19,59.47,60.00,251800,58.74
2012-02-07,59.52,60.17,59.52,59.84,540400,58.58
2012-02-06,59.34,60.00,59.25,59.80,670500,58.54
2012-02-03,59.00,59.97,58.13,59.59,413100,58.33
2012-02-02,58.48,58.65,56.52,58.19,584300,56.96
2012-02-01,56.90,57.72,56.72,57.06,529100,55.86
2012-01-31,56.66,56.78,56.00,56.51,507000,55.32
2012-01-30,56.15,56.20,55.30,56.20,474200,55.02
2012-01-27,55.91,56.90,55.66,56.76,487500,55.56
2012-01-26,56.40,56.40,55.43,56.18,523300,55.00
2012-01-25,54.80,56.25,54.56,56.18,392600,55.00
2012-01-24,54.17,55.05,54.03,54.94,312600,53.78
2012-01-23,54.46,54.98,54.25,54.47,330800,53.32
2012-01-20,54.24,54.58,53.95,54.41,347400,53.26
2012-01-19,54.07,54.54,53.63,54.29,651600,53.15
2012-01-18,53.02,53.88,52.50,53.71,484200,52.58
2012-01-17,53.63,53.91,52.83,53.11,313000,51.99
2012-01-13,53.54,53.67,52.84,53.03,240700,51.91
2012-01-12,53.82,54.20,52.88,54.02,425600,52.88
2012-01-11,53.20,53.85,53.15,53.53,244300,52.40
2012-01-10,53.24,53.52,52.92,53.38,269900,52.26
2012-01-09,52.18,52.49,51.96,52.39,240200,51.29
2012-01-06,51.90,52.29,51.39,52.01,311600,50.91
2012-01-05,50.75,51.92,50.18,51.80,472400,50.71
2012-01-04,51.17,51.39,50.93,51.12,531800,50.04
2012-01-03,51.74,51.88,51.18,51.24,440800,50.16
2011-12-30,51.17,51.18,50.49,50.62,198500,49.55
2011-12-29,50.74,51.10,50.64,51.05,406200,49.97
2011-12-28,51.54,51.81,50.44,50.56,269600,49.49
2011-12-27,51.61,51.93,51.43,51.55,297800,50.46
