Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,44.09,44.45,43.70,44.18,1145600,44.18
2012-12-21,43.85,44.97,43.49,44.32,6222500,44.32
2012-12-20,43.82,44.50,43.42,44.23,3532300,44.23
2012-12-19,44.01,44.60,43.72,43.86,3682800,43.86
2012-12-18,43.05,44.09,43.00,43.92,4691900,43.92
2012-12-17,42.84,43.44,42.22,42.67,3380300,42.67
2012-12-14,42.88,43.37,42.20,42.67,4885900,42.67
2012-12-13,43.16,44.12,42.93,43.17,3725000,43.17
2012-12-12,43.22,43.54,43.08,43.28,2843600,43.28
2012-12-11,43.12,43.75,42.88,43.10,4330400,43.10
2012-12-10,42.06,43.33,42.06,42.79,5447200,42.79
2012-12-07,41.52,42.45,41.31,42.25,6185500,42.25
2012-12-06,39.78,41.42,39.70,41.32,5704500,41.32
2012-12-05,40.26,40.41,39.46,39.80,3818600,39.80
2012-12-04,39.60,40.42,39.40,40.30,4162200,40.30
2012-12-03,39.31,39.93,39.06,39.53,4412000,39.53
2012-11-30,39.67,39.88,38.87,39.10,5410500,39.10
2012-11-29,40.60,40.69,39.49,39.79,4851900,39.79
2012-11-28,39.85,40.75,39.66,40.44,3671600,40.44
2012-11-27,40.68,40.91,39.70,40.14,4585300,40.14
2012-11-26,40.38,40.94,40.10,40.67,3724900,40.67
2012-11-23,39.56,40.24,39.40,40.13,1810200,40.13
2012-11-21,38.73,39.73,38.67,39.47,4022500,39.47
2012-11-20,39.17,39.37,38.47,38.84,5953700,38.84
2012-11-19,40.12,40.29,38.79,39.30,5738800,39.30
2012-11-16,39.40,39.65,38.67,39.46,5119300,39.46
2012-11-15,39.99,40.30,39.27,39.28,3705700,39.28
2012-11-14,40.85,41.13,39.69,39.82,5378300,39.82
2012-11-13,40.26,41.11,40.00,40.46,4174000,40.46
2012-11-12,41.36,41.53,39.70,40.47,4442600,40.47
2012-11-09,41.16,42.08,41.06,41.22,4032700,41.22
2012-11-08,43.56,43.65,41.00,41.09,7870200,41.09
2012-11-07,44.11,44.24,43.02,43.40,4348500,43.40
2012-11-06,44.43,45.33,44.18,44.81,5322200,44.81
2012-11-05,43.36,44.39,43.32,44.31,3344800,44.31
2012-11-02,44.39,44.40,43.33,43.46,4143500,43.46
2012-11-01,41.98,44.28,41.85,44.16,5460500,44.16
2012-10-31,42.25,42.48,41.68,41.78,3261400,41.78
2012-10-26,42.54,43.19,41.79,42.23,4031800,42.23
2012-10-25,43.63,43.63,42.14,42.39,3945900,42.39
2012-10-24,43.75,44.21,42.62,43.11,4450700,43.11
2012-10-23,42.79,43.75,42.66,43.36,4965000,43.36
2012-10-22,43.44,44.37,42.88,43.43,6450600,43.43
2012-10-19,46.26,46.84,43.98,44.02,21758900,44.02
2012-10-18,44.10,44.41,42.71,42.86,10271200,42.86
2012-10-17,44.64,45.09,44.26,44.34,5143100,44.34
2012-10-16,43.88,45.27,43.79,44.82,5719200,44.82
2012-10-15,43.39,43.88,42.98,43.73,6686100,43.73
2012-10-12,42.34,43.35,42.20,42.28,3855900,42.28
2012-10-11,43.06,43.30,41.93,42.28,4404700,42.28
2012-10-10,43.26,43.46,42.40,42.56,3580100,42.56
2012-10-09,43.75,44.00,43.00,43.39,3038700,43.39
2012-10-08,44.05,44.99,43.57,43.73,3675700,43.73
2012-10-05,44.72,45.05,43.96,44.09,3259100,44.09
2012-10-04,43.77,45.03,43.48,44.63,5170700,44.63
2012-10-03,44.46,44.66,43.54,43.63,4083300,43.63
2012-10-02,43.34,44.37,42.78,44.31,4746700,44.31
2012-10-01,43.70,44.09,42.70,43.01,3832900,43.01
2012-09-28,43.57,44.00,43.04,43.43,5764900,43.43
2012-09-27,42.73,43.48,42.07,43.24,5250900,43.24
2012-09-26,42.54,42.90,42.00,42.66,6907600,42.66
2012-09-25,45.42,45.60,43.72,43.89,4121200,43.89
2012-09-24,44.84,45.95,44.82,45.15,3644900,45.15
2012-09-21,46.32,46.82,45.19,45.24,5214100,45.24
2012-09-20,45.82,46.32,45.36,45.95,3924800,45.95
2012-09-19,45.56,46.99,45.35,46.18,5324500,46.18
2012-09-18,45.56,45.99,45.01,45.19,3084300,45.19
2012-09-17,45.84,45.93,45.26,45.75,2855900,45.75
2012-09-14,45.60,46.28,45.59,45.69,4149800,45.69
2012-09-13,45.13,45.75,44.64,45.37,3557900,45.37
