Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,2.43,2.48,2.41,2.48,2751700,2.48
2012-12-21,2.42,2.48,2.41,2.44,20002300,2.44
2012-12-20,2.50,2.52,2.45,2.52,6689300,2.52
2012-12-19,2.49,2.50,2.45,2.49,5671400,2.49
2012-12-18,2.47,2.47,2.43,2.47,9656300,2.47
2012-12-17,2.41,2.47,2.38,2.46,13413600,2.46
2012-12-14,2.45,2.47,2.37,2.39,8658000,2.39
2012-12-13,2.47,2.52,2.35,2.44,23789600,2.44
2012-12-12,2.37,2.48,2.35,2.46,16076200,2.46
2012-12-11,2.37,2.38,2.33,2.36,4534600,2.36
2012-12-10,2.32,2.37,2.29,2.36,7189600,2.35
2012-12-07,2.35,2.36,2.31,2.33,2892200,2.32
2012-12-06,2.36,2.39,2.32,2.34,3422600,2.33
2012-12-05,2.36,2.39,2.30,2.37,8240700,2.36
2012-12-04,2.38,2.40,2.35,2.36,3409800,2.35
2012-12-03,2.38,2.44,2.36,2.38,10689200,2.37
2012-11-30,2.38,2.39,2.31,2.37,8518300,2.36
2012-11-29,2.36,2.38,2.35,2.37,3227800,2.36
2012-11-28,2.35,2.36,2.31,2.36,4957900,2.35
2012-11-27,2.37,2.38,2.33,2.35,3827800,2.34
2012-11-26,2.35,2.37,2.33,2.37,3349500,2.36
2012-11-23,2.30,2.37,2.26,2.37,1923100,2.36
2012-11-21,2.28,2.29,2.26,2.28,1710400,2.27
2012-11-20,2.24,2.30,2.22,2.28,5746800,2.27
2012-11-19,2.24,2.30,2.22,2.26,6842800,2.25
2012-11-16,2.21,2.24,2.17,2.22,3681900,2.21
2012-11-15,2.10,2.27,2.07,2.20,12542500,2.19
2012-11-14,2.23,2.28,2.10,2.10,10745100,2.09
2012-11-13,2.27,2.32,2.22,2.23,7447600,2.22
2012-11-12,2.32,2.33,2.25,2.26,6038400,2.25
2012-11-09,2.22,2.34,2.22,2.30,6530600,2.29
2012-11-08,2.27,2.34,2.22,2.24,6877300,2.23
2012-11-07,2.35,2.37,2.24,2.26,8418300,2.25
2012-11-06,2.41,2.44,2.37,2.40,10550200,2.39
2012-11-05,2.42,2.43,2.35,2.36,7376500,2.35
2012-11-02,2.51,2.52,2.41,2.42,7006800,2.41
2012-11-01,2.45,2.52,2.42,2.49,8403900,2.48
2012-10-31,2.49,2.50,2.37,2.45,7330200,2.44
2012-10-26,2.56,2.57,2.48,2.49,4219800,2.48
2012-10-25,2.56,2.60,2.49,2.55,15596400,2.54
2012-10-24,2.45,2.55,2.45,2.54,17650000,2.53
2012-10-23,2.35,2.46,2.35,2.44,13305500,2.43
