Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,33.94,33.94,33.94,33.94,000,33.94
2013-01-04,4.90,4.90,4.90,4.90,600,4.90
2013-01-03,33.94,33.94,33.94,33.94,000,33.94
2013-01-02,33.94,33.94,33.94,33.94,000,33.94
2013-01-01,33.94,33.94,33.94,33.94,000,33.94
2012-12-31,33.94,33.94,33.94,33.94,000,33.94
2012-12-28,33.94,33.94,33.94,33.94,000,33.94
2012-12-27,5.00,5.00,5.00,5.00,10200,5.00
2012-12-26,33.94,33.94,33.94,33.94,000,33.94
2012-12-25,33.94,33.94,33.94,33.94,000,33.94
2012-12-24,33.94,33.94,33.94,33.94,000,33.94
2012-12-21,4.80,4.80,4.80,4.80,2000,4.80
2012-12-20,33.94,33.94,33.94,33.94,000,33.94
2012-12-19,4.80,4.80,4.80,4.80,12000,4.80
2012-12-18,4.80,4.80,4.80,4.80,3400,4.80
2012-12-17,5.10,5.10,5.10,5.10,000,5.10
2012-12-14,5.10,5.10,5.10,5.10,000,5.10
2012-12-13,5.10,5.10,5.10,5.10,000,5.10
2012-12-12,5.10,5.10,5.10,5.10,000,5.10
2012-12-11,5.10,5.10,5.00,5.10,27000,5.10
2012-12-10,4.95,4.95,4.95,4.95,4000,4.95
2012-12-07,5.05,5.05,5.00,5.00,1100,5.00
2012-12-06,5.00,5.00,5.00,5.00,000,5.00
2012-12-05,5.00,5.00,5.00,5.00,1600,5.00
2012-12-04,5.20,5.20,5.20,5.20,000,5.20
2012-12-03,5.20,5.20,5.20,5.20,23300,5.20
2012-11-30,5.20,5.20,5.20,5.20,000,5.20
2012-11-29,5.20,5.20,5.20,5.20,000,5.20
2012-11-28,5.20,5.20,5.20,5.20,000,5.20
2012-11-27,5.20,5.20,5.20,5.20,311200,5.20
2012-11-26,5.20,5.20,5.20,5.20,300,5.20
2012-11-23,5.00,5.00,5.00,5.00,1517600,5.00
2012-11-22,5.00,5.00,5.00,5.00,3000,5.00
2012-11-21,5.10,5.10,5.00,5.00,1998900,5.00
2012-11-20,5.00,5.00,5.00,5.00,000,5.00
2012-11-19,5.00,5.00,5.00,5.00,800,5.00
2012-11-16,5.25,5.25,5.25,5.25,1800,5.25
2012-11-15,5.25,5.25,5.24,5.25,55700,5.25
2012-11-14,5.55,5.55,5.25,5.25,535800,5.25
2012-11-13,5.50,5.55,5.50,5.55,12000,5.55
2012-11-12,5.55,5.80,5.50,5.65,26100,5.65
2012-11-09,5.50,5.50,5.50,5.50,000,5.50
2012-11-08,5.50,5.50,5.50,5.50,2000,5.50
2012-11-07,5.35,5.35,5.35,5.35,000,5.35
2012-11-06,5.35,5.35,5.35,5.35,000,5.35
2012-11-05,5.20,5.35,5.20,5.35,11600,5.35
2012-11-02,5.10,5.18,5.10,5.18,4200,5.18
2012-11-01,4.80,4.80,4.80,4.80,000,4.80
2012-10-31,4.80,4.80,4.80,4.80,000,4.80
2012-10-30,4.80,4.80,4.80,4.80,2000,4.80
2012-10-29,4.99,5.15,4.99,5.15,13800,5.15
2012-10-26,5.00,5.00,5.00,5.00,35000,5.00
2012-10-25,5.00,5.00,5.00,5.00,95600,5.00
2012-10-24,5.00,5.00,5.00,5.00,3300,5.00
2012-10-23,5.00,5.00,5.00,5.00,2500,5.00
2012-10-22,5.00,5.00,5.00,5.00,1800,5.00
2012-10-19,5.00,5.00,5.00,5.00,000,5.00
2012-10-18,4.90,5.00,4.90,5.00,23300,5.00
2012-10-17,4.95,5.10,4.90,4.95,87000,4.95
2012-10-16,4.75,4.75,4.75,4.75,600,4.75
2012-10-15,4.75,4.75,4.75,4.75,20000,4.75
2012-10-12,4.50,4.51,4.50,4.50,38700,4.50
2012-10-11,5.00,5.00,4.40,4.40,1100,4.40
2012-10-10,4.31,4.35,4.31,4.35,50500,4.35
2012-10-09,4.41,4.41,4.31,4.31,21000,4.31
2012-10-08,4.65,4.65,4.64,4.65,3500,4.65
2012-10-05,4.65,4.65,4.65,4.65,9600,4.65
2012-10-04,4.64,4.64,4.40,4.40,7100,4.40
2012-10-03,4.64,4.64,4.64,4.64,3000,4.64
2012-10-02,4.25,4.25,4.25,4.25,000,4.25
2012-10-01,4.31,4.42,4.25,4.25,100200,4.25
2012-09-28,4.15,4.15,4.15,4.15,000,4.15
2012-09-27,4.15,4.15,4.15,4.15,2500,4.15
2012-09-26,4.00,4.30,4.00,4.30,8700,4.30
2012-09-25,4.10,4.10,4.10,4.10,5000,4.10
2012-09-24,4.00,4.00,4.00,4.00,000,4.00
2012-09-21,4.02,4.02,4.00,4.00,16500,4.00
2012-09-20,4.02,4.02,4.02,4.02,5700,4.02
2012-09-19,4.20,4.20,4.20,4.20,000,4.20
2012-09-18,4.30,4.30,4.20,4.20,2200,4.20
2012-09-17,4.30,4.30,4.30,4.30,000,4.30
2012-09-14,4.30,4.30,4.30,4.30,72900,4.30
2012-09-13,4.25,4.30,4.25,4.30,268500,4.30
2012-09-12,4.25,4.25,4.25,4.25,3000,4.25
2012-09-11,4.40,4.60,4.00,4.30,693500,4.30
2012-09-10,4.20,4.20,4.20,4.20,21900,4.20
2012-09-07,4.20,4.20,4.20,4.20,000,4.20
2012-09-06,4.45,4.50,4.12,4.20,180900,4.20
2012-09-05,3.70,4.05,3.70,4.01,1070900,4.01
2012-09-04,3.60,3.60,3.60,3.60,5000,3.60
2012-09-03,4.05,4.05,3.50,3.66,47400,3.66
2012-08-31,4.07,4.07,4.07,4.07,2000,4.07
2012-08-30,4.10,4.10,4.10,4.10,177000,4.10
2012-08-29,4.10,4.10,4.10,4.10,23400,4.10
2012-08-28,4.10,4.10,4.10,4.10,75700,4.10
2012-08-27,4.06,4.10,4.06,4.10,51700,4.10
2012-08-24,4.05,4.05,4.05,4.05,200,4.05
2012-08-23,4.05,4.05,4.05,4.05,6600,4.05
2012-08-22,4.05,4.05,4.00,4.05,82800,4.05
2012-08-21,4.05,4.05,4.05,4.05,6000,4.05
2012-08-20,4.05,4.05,4.00,4.00,14800,4.00
2012-08-17,4.05,4.05,4.05,4.05,000,4.05
2012-08-16,4.05,4.05,4.05,4.05,000,4.05
2012-08-15,4.05,4.05,4.05,4.05,000,4.05
2012-08-14,4.20,4.20,4.00,4.05,3400,4.05
2012-08-13,4.20,4.20,4.10,4.10,104400,4.10
2012-08-10,4.10,4.10,4.10,4.10,1900,4.10
2012-08-09,4.10,4.10,4.10,4.10,000,4.10
2012-08-08,4.15,4.15,4.10,4.10,13200,4.10
2012-08-07,4.19,4.19,4.15,4.15,6100,4.15
2012-08-06,4.13,4.20,4.11,4.20,15000,4.20
2012-08-03,4.10,4.10,4.10,4.10,22100,4.10
2012-08-02,4.28,4.28,4.10,4.10,235100,4.10
2012-08-01,4.30,4.30,4.25,4.25,21400,4.25
2012-07-31,4.05,4.05,4.05,4.05,000,4.05
2012-07-30,4.40,4.40,4.05,4.05,3700,4.05
2012-07-27,4.20,4.30,4.15,4.15,9300,4.15
2012-07-26,4.30,4.30,4.30,4.30,000,4.30
2012-07-25,4.30,4.30,4.30,4.30,000,4.30
2012-07-24,4.30,4.30,4.30,4.30,18000,4.30
2012-07-23,4.40,4.40,4.40,4.40,9000,4.40
2012-07-20,4.40,4.40,4.40,4.40,144700,4.40
2012-07-19,4.70,4.70,4.70,4.70,000,4.70
2012-07-18,4.70,4.70,4.70,4.70,300,4.70
2012-07-17,4.75,4.75,4.75,4.75,000,4.75
2012-07-16,4.70,4.75,4.70,4.75,18000,4.75
2012-07-13,4.77,4.77,4.77,4.77,000,4.77
2012-07-12,4.80,4.80,4.77,4.77,1100,4.77
2012-07-11,4.60,4.70,4.60,4.60,173500,4.60
2012-07-10,4.65,4.65,4.60,4.60,59300,4.60
2012-07-09,4.60,4.65,4.60,4.65,456000,4.20
2012-07-06,4.60,4.63,4.50,4.50,94700,4.06
2012-07-05,4.60,4.60,4.60,4.60,8500,4.15
2012-07-04,4.65,4.65,4.65,4.65,8000,4.20
2012-07-03,4.60,4.60,4.60,4.60,1100,4.15
2012-07-02,4.60,4.60,4.60,4.60,000,4.15
2012-06-29,4.75,4.75,4.60,4.60,4000,4.15
2012-06-28,4.75,4.75,4.75,4.75,000,4.29
2012-06-27,4.75,4.75,4.75,4.75,68000,4.29
2012-06-26,4.74,4.75,4.74,4.75,82200,4.29
2012-06-25,4.65,4.75,4.65,4.75,32400,4.29
2012-06-22,4.75,4.75,4.75,4.75,000,4.29
2012-06-21,4.75,4.80,4.75,4.75,408000,4.29
2012-06-20,4.85,4.85,4.75,4.75,8400,4.29
2012-06-19,4.65,4.65,4.65,4.65,000,4.20
2012-06-18,4.65,4.65,4.65,4.65,000,4.20
2012-06-15,4.65,4.65,4.65,4.65,000,4.20
2012-06-14,4.65,4.65,4.65,4.65,6000,4.20
2012-06-13,4.80,4.80,4.80,4.80,10000,4.34
2012-06-12,4.65,4.80,4.65,4.80,12000,4.34
2012-06-11,4.65,4.65,4.65,4.65,1000,4.20
2012-06-08,4.80,4.80,4.65,4.65,32000,4.20
2012-06-07,4.70,4.70,4.70,4.70,000,4.25
2012-06-06,4.75,4.75,4.70,4.70,470000,4.25
2012-06-05,4.77,4.77,4.75,4.75,51000,4.29
2012-06-04,4.98,4.98,4.75,4.77,33000,4.31
2012-06-01,4.98,4.98,4.98,4.98,11500,4.50
2012-05-31,4.99,4.99,4.99,4.99,120000,4.51
2012-05-30,4.95,4.99,4.95,4.99,300000,4.51
2012-05-29,5.00,5.00,5.00,5.00,160000,4.52
2012-05-28,5.00,5.10,5.00,5.10,55300,4.61
2012-05-25,4.98,5.05,4.98,5.00,242200,4.52
2012-05-24,4.95,4.95,4.90,4.90,142700,4.43
2012-05-23,4.90,4.90,4.90,4.90,78500,4.43
2012-05-22,4.98,4.98,4.90,4.90,73700,4.43
2012-05-21,4.85,4.85,4.85,4.85,4900,4.38
2012-05-18,4.85,4.85,4.85,4.85,200,4.38
2012-05-17,4.80,4.80,4.80,4.80,3600,4.34
2012-05-16,4.90,4.90,4.75,4.80,73100,4.34
2012-05-15,5.00,5.00,4.90,4.90,10000,4.43
2012-05-14,5.00,5.00,5.00,5.00,000,4.52
2012-05-11,5.00,5.00,5.00,5.00,16700,4.52
2012-05-10,4.75,5.00,4.75,5.00,18500,4.52
2012-05-09,4.75,4.75,4.75,4.75,11700,4.29
2012-05-08,5.45,5.45,5.45,5.45,000,4.92
2012-05-07,5.45,5.45,5.45,5.45,000,4.92
2012-05-04,5.45,5.45,5.45,5.45,000,4.92
2012-05-03,5.45,5.45,5.45,5.45,000,4.92
2012-05-02,5.45,5.45,5.45,5.45,000,4.92
2012-05-01,5.45,5.45,5.45,5.45,000,4.92
2012-04-30,4.95,5.45,4.95,5.45,10000,4.92
2012-04-27,4.95,4.95,4.95,4.95,000,4.47
2012-04-26,4.95,4.95,4.95,4.95,12800,4.47
2012-04-25,4.95,4.95,4.95,4.95,000,4.47
2012-04-24,4.96,4.96,4.95,4.95,49800,4.47
2012-04-23,5.20,5.20,4.95,4.95,1600,4.47
2012-04-20,5.35,5.40,5.30,5.30,6500,4.79
2012-04-19,5.35,5.35,5.35,5.35,13000,4.83
2012-04-18,4.25,5.40,4.25,5.40,1100,4.88
2012-04-17,5.45,5.45,5.45,5.45,000,4.92
2012-04-16,5.30,5.45,5.30,5.45,35000,4.92
2012-04-13,5.45,5.45,5.45,5.45,500,4.92
2012-04-12,5.50,5.50,5.45,5.45,10500,4.92
2012-04-11,5.00,5.25,5.00,5.25,642900,4.74
2012-04-10,5.00,5.50,4.90,5.50,22100,4.97
2012-04-09,4.95,4.95,4.95,4.95,000,4.06
2012-04-06,4.95,4.95,4.95,4.95,000,4.06
2012-04-05,4.96,4.96,4.95,4.95,24900,4.06
2012-04-04,5.05,5.05,4.95,4.95,14100,4.06
2012-04-03,5.05,5.05,5.05,5.05,9400,4.15
2012-04-02,5.05,5.05,5.05,5.05,1500,4.15
2012-03-30,5.50,5.50,5.50,5.50,28100,4.52
2012-03-29,5.50,5.50,5.50,5.50,90000,4.52
2012-03-28,5.60,5.60,5.60,5.60,193000,4.60
2012-03-27,5.60,5.60,5.55,5.55,21900,4.56
2012-03-26,5.55,5.60,5.55,5.60,7300,4.60
2012-03-23,5.55,5.55,5.55,5.55,41400,4.56
2012-03-22,5.55,5.75,5.55,5.75,10000,4.72
2012-03-21,5.75,5.75,5.75,5.75,000,4.72
2012-03-20,5.75,5.75,5.75,5.75,000,4.72
2012-03-19,5.72,5.75,5.70,5.75,55600,4.72
2012-03-16,5.72,5.72,5.70,5.70,4600,4.68
2012-03-15,5.73,5.73,5.73,5.73,000,4.70
2012-03-14,5.73,5.73,5.73,5.73,1600,4.70
2012-03-13,5.70,5.73,5.70,5.73,11000,4.70
2012-03-12,5.75,5.75,5.75,5.75,23000,4.72
2012-03-09,5.75,5.75,5.75,5.75,900,4.72
2012-03-08,5.75,6.00,5.75,6.00,13500,4.93
2012-03-07,5.75,5.75,5.75,5.75,16000,4.72
2012-03-06,5.75,5.75,5.70,5.70,4200,4.68
2012-03-05,5.76,5.76,5.75,5.75,15500,4.72
2012-03-02,5.80,5.80,5.80,5.80,000,4.76
2012-03-01,5.80,5.80,5.80,5.80,6500,4.76
2012-02-29,5.80,5.80,5.76,5.76,11100,4.73
2012-02-28,5.70,5.74,5.70,5.74,4000,4.71
2012-02-27,5.75,5.75,5.75,5.75,12000,4.72
2012-02-24,5.75,5.75,5.75,5.75,1000,4.72
2012-02-23,5.80,5.80,5.70,5.70,14000,4.68
2012-02-22,6.00,6.00,5.80,5.80,7100,4.76
2012-02-21,5.75,5.75,5.75,5.75,000,4.72
2012-02-20,5.80,5.80,5.75,5.75,197400,4.72
2012-02-17,5.80,5.86,5.80,5.80,23100,4.76
2012-02-16,5.70,5.70,5.70,5.70,81100,4.68
2012-02-15,5.70,5.70,5.70,5.70,1000,4.68
2012-02-14,5.60,5.70,5.50,5.65,32700,4.64
2012-02-13,5.46,5.60,5.46,5.60,4200,4.60
2012-02-10,5.40,5.40,5.40,5.40,000,4.43
2012-02-09,5.40,5.40,5.40,5.40,3500,4.43
2012-02-08,5.40,5.40,5.40,5.40,000,4.43
2012-02-07,5.40,5.40,5.40,5.40,4600,4.43
2012-02-06,5.59,5.59,5.40,5.40,5100,4.43
2012-02-03,5.32,5.32,5.32,5.32,800,4.37
2012-02-02,5.31,5.40,5.31,5.40,6900,4.43
2012-02-01,5.32,5.32,5.32,5.32,700,4.37
2012-01-31,5.32,5.32,5.32,5.32,10000,4.37
2012-01-30,5.32,5.32,5.30,5.30,28400,4.35
2012-01-27,5.30,5.30,5.30,5.30,2500,4.35
2012-01-26,5.25,5.26,5.25,5.26,12300,4.32
2012-01-25,5.40,5.40,5.40,5.40,181400,4.43
2012-01-24,5.50,5.50,5.42,5.42,338700,4.45
2012-01-23,5.50,5.50,5.50,5.50,64100,4.52
2012-01-20,5.55,5.55,5.51,5.51,11800,4.52
2012-01-19,5.75,5.75,5.50,5.55,62400,4.56
2012-01-18,5.75,5.75,5.75,5.75,4300,4.72
2012-01-17,5.50,5.75,5.50,5.75,22400,4.72
2012-01-16,5.70,5.70,5.70,5.70,000,4.68
2012-01-13,5.70,5.70,5.70,5.70,700,4.68
2012-01-12,5.50,5.55,5.50,5.55,12900,4.56
2012-01-11,5.50,5.50,5.40,5.50,15300,4.52
2012-01-10,5.50,5.50,5.50,5.50,254900,4.15
2012-01-09,5.20,5.50,5.20,5.50,296000,4.15
2012-01-06,5.50,5.50,5.50,5.50,61000,4.15
2012-01-05,5.50,5.50,5.50,5.50,000,4.15
2012-01-04,5.50,5.50,5.49,5.50,1001000,4.15
2012-01-03,5.60,5.60,5.60,5.60,8700,4.22
2012-01-02,5.60,5.60,5.60,5.60,000,4.22
2011-12-30,5.60,5.60,5.60,5.60,000,4.22
2011-12-29,5.10,5.60,5.10,5.60,143700,4.22
2011-12-28,5.00,5.00,5.00,5.00,000,3.77
2011-12-27,27.99,27.99,27.99,27.99,000,21.10
2011-12-26,5.00,5.00,5.00,5.00,000,3.77
2011-12-23,5.00,5.00,5.00,5.00,000,3.77
2011-12-22,5.00,5.00,4.90,5.00,314900,3.77
2011-12-21,4.90,4.90,4.90,4.90,000,3.69
2011-12-20,4.80,4.90,4.80,4.90,20100,3.69
2011-12-19,4.95,4.95,4.85,4.85,4300,3.66
2011-12-16,4.85,4.85,4.85,4.85,000,3.66
2011-12-15,4.75,4.85,4.75,4.85,1600,3.66
2011-12-14,4.75,4.85,4.75,4.85,3500,3.66
2011-12-13,4.70,4.70,4.70,4.70,700,3.54
2011-12-12,4.50,4.85,4.50,4.85,7900,3.66
2011-12-09,4.80,4.80,4.71,4.71,263300,3.55
2011-12-08,4.75,4.85,4.75,4.80,108100,3.62
2011-12-07,4.71,4.71,4.71,4.71,000,3.55
2011-12-06,4.71,4.71,4.71,4.71,4300,3.55
2011-12-05,4.70,4.80,4.70,4.80,603500,3.62
2011-12-02,4.85,4.85,4.85,4.85,1500,3.66
2011-12-01,4.70,4.85,4.60,4.85,1826000,3.66
2011-11-30,4.52,4.52,4.52,4.52,000,3.41
2011-11-29,4.70,4.75,4.52,4.52,2921200,3.41
2011-11-28,4.60,4.60,4.60,4.60,41000,3.47
2011-11-25,4.50,4.60,4.50,4.50,1029200,3.39
2011-11-24,4.50,4.50,4.50,4.50,84900,3.39
2011-11-23,4.50,4.55,4.50,4.55,6800,3.43
2011-11-22,4.50,4.50,4.50,4.50,76800,3.39
2011-11-21,4.50,4.50,4.50,4.50,176500,3.39
2011-11-18,4.55,4.70,4.51,4.70,11600,3.54
2011-11-17,4.51,4.51,4.50,4.50,54900,3.39
2011-11-16,4.65,4.65,4.50,4.51,137600,3.40
2011-11-15,4.60,4.70,4.60,4.60,14200,3.47
2011-11-14,4.53,4.53,4.53,4.53,1100,3.42
2011-11-11,4.50,4.50,4.50,4.50,79100,3.39
2011-11-10,4.70,4.70,4.50,4.50,7500,3.39
2011-11-09,4.70,4.70,4.70,4.70,3000,3.54
2011-11-08,4.70,4.70,4.70,4.70,700,3.54
2011-11-07,4.50,4.75,4.50,4.75,150900,3.58
2011-11-04,4.50,4.50,4.50,4.50,15000,3.39
2011-11-03,4.52,4.52,4.52,4.52,3600,3.41
2011-11-02,4.50,4.50,4.50,4.50,200000,3.39
2011-11-01,4.45,4.50,4.45,4.50,11700,3.39
2011-10-31,4.50,4.50,4.40,4.40,6000,3.32
2011-10-28,4.25,4.30,4.25,4.30,540200,3.24
2011-10-27,4.20,4.20,4.20,4.20,199900,3.17
2011-10-26,4.20,4.20,4.20,4.20,125000,3.17
2011-10-25,4.12,4.12,4.10,4.10,1312700,3.09
2011-10-24,4.16,4.30,4.15,4.20,73100,3.17
2011-10-21,4.25,4.25,4.16,4.20,393900,3.17
2011-10-20,4.00,4.20,4.00,4.20,1009300,3.17
2011-10-19,4.00,4.00,4.00,4.00,676900,3.02
2011-10-18,4.00,4.00,3.90,3.90,308000,2.94
2011-10-17,4.00,4.00,4.00,4.00,8500,3.02
2011-10-14,4.00,4.00,4.00,4.00,58300,3.02
2011-10-13,4.00,4.00,4.00,4.00,62500,3.02
2011-10-12,4.00,4.00,3.95,4.00,828500,3.02
2011-10-11,4.00,4.00,4.00,4.00,159400,3.02
2011-10-10,3.95,4.00,3.85,4.00,226400,2.68
2011-10-07,3.97,3.97,3.95,3.95,21900,2.64
2011-10-06,4.00,4.00,3.96,3.96,168400,2.65
2011-10-05,3.98,4.10,3.98,3.98,52400,2.66
2011-10-04,4.35,4.35,4.00,4.00,124200,2.68
2011-10-03,4.42,4.42,4.35,4.40,141200,2.94
2011-09-30,4.45,4.45,4.45,4.45,3900,2.98
2011-09-29,4.45,4.45,4.45,4.45,10000,2.98
2011-09-28,4.50,4.50,4.50,4.50,18500,3.01
2011-09-27,4.55,4.60,4.50,4.50,30900,3.01
2011-09-26,4.50,4.50,4.50,4.50,154200,3.01
2011-09-23,4.49,4.49,4.45,4.46,333100,2.98
2011-09-22,4.52,4.52,4.45,4.45,692900,2.98
2011-09-21,4.65,4.65,4.55,4.55,10000,3.04
2011-09-20,4.80,4.80,4.70,4.70,000,3.14
2011-09-19,4.70,4.70,4.70,4.70,3000,3.14
2011-09-16,4.80,4.80,4.80,4.80,700,3.21
2011-09-15,4.70,4.70,4.65,4.70,52200,3.14
2011-09-14,4.85,4.85,4.73,4.73,000,3.16
2011-09-13,4.80,4.80,4.70,4.70,1800,3.14
2011-09-12,4.65,4.80,4.65,4.80,5800,3.21
2011-09-09,4.80,4.80,4.80,4.80,8200,3.21
2011-09-08,5.00,5.00,4.60,4.60,500,3.08
2011-09-07,4.80,4.80,4.80,4.80,000,3.21
2011-09-06,4.95,5.00,4.60,5.00,41700,3.35
2011-09-05,5.05,5.05,5.05,5.05,300,3.38
2011-09-02,4.88,4.88,4.75,4.75,000,3.18
2011-09-01,4.80,4.80,4.80,4.80,4000,3.21
2011-08-31,4.80,4.80,4.80,4.80,2500,3.21
2011-08-30,5.00,5.00,5.00,5.00,50000,3.35
2011-08-29,5.00,5.00,5.00,5.00,21600,3.35
2011-08-26,5.05,5.05,4.81,4.81,000,3.22
2011-08-25,5.00,5.00,5.00,5.00,1722300,3.35
2011-08-24,4.60,5.00,4.60,5.00,8900,3.35
2011-08-23,5.20,5.20,5.20,5.20,31000,3.48
2011-08-22,4.83,4.83,4.78,4.78,000,3.20
2011-08-19,4.83,4.83,4.78,4.78,000,3.20
2011-08-18,4.87,4.87,4.78,4.78,000,3.20
2011-08-17,4.90,4.90,4.85,4.85,000,3.25
2011-08-16,4.88,4.88,4.86,4.86,000,3.25
2011-08-15,5.20,5.20,5.20,5.20,1000,3.48
2011-08-12,4.50,4.60,4.50,4.50,113000,3.01
2011-08-11,4.55,4.70,4.40,4.40,94700,2.94
2011-08-10,4.40,4.40,4.35,4.35,13600,2.91
2011-08-09,4.55,4.55,4.55,4.55,000,3.04
2011-08-08,4.90,4.90,4.55,4.55,123000,3.04
2011-08-05,5.00,5.00,4.95,4.95,5000,3.31
2011-08-04,5.00,5.00,5.00,5.00,3000,3.35
2011-08-03,5.01,5.01,5.00,5.00,95100,3.35
2011-08-02,5.10,5.10,5.10,5.10,3900,3.41
2011-08-01,5.10,5.10,5.10,5.10,1000,3.41
2011-07-29,5.30,5.30,5.28,5.28,000,3.53
2011-07-28,5.18,5.18,5.05,5.05,4200,3.38
2011-07-27,5.17,5.17,5.05,5.05,12400,3.38
2011-07-26,5.20,5.20,5.20,5.20,1700,3.48
2011-07-25,5.20,5.20,5.16,5.20,181500,3.48
2011-07-22,5.20,5.20,5.20,5.20,198200,3.48
2011-07-21,5.15,5.20,5.15,5.20,111400,3.48
