Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,11.48,11.70,11.28,11.28,3816200,11.28
2012-12-21,11.65,11.65,11.40,11.53,13163100,11.53
2012-12-20,12.11,12.15,11.74,11.75,12710000,11.75
2012-12-19,12.10,12.39,12.09,12.11,12235500,12.11
2012-12-18,11.78,12.12,11.71,12.08,10803900,12.08
2012-12-17,11.65,11.78,11.58,11.78,10976900,11.78
2012-12-14,11.76,11.79,11.64,11.69,12185200,11.69
2012-12-13,11.72,12.00,11.67,11.80,18423500,11.80
2012-12-12,11.63,11.80,11.58,11.70,15980300,11.70
2012-12-11,11.43,11.71,11.38,11.67,17874800,11.56
2012-12-10,11.37,11.43,11.10,11.33,15992000,11.22
2012-12-07,11.49,11.55,11.34,11.40,6567400,11.29
2012-12-06,11.29,11.70,11.29,11.47,12065200,11.36
2012-12-05,11.36,11.39,11.21,11.29,11022100,11.18
2012-12-04,11.41,11.44,11.15,11.34,15871500,11.23
2012-12-03,11.80,11.82,11.40,11.43,10608400,11.32
2012-11-30,11.77,11.82,11.60,11.70,9989800,11.59
2012-11-29,11.96,11.97,11.63,11.76,10869900,11.65
2012-11-28,11.77,11.95,11.66,11.93,7409300,11.82
2012-11-27,11.76,11.87,11.71,11.79,8892800,11.68
2012-11-26,11.92,11.95,11.70,11.79,8242000,11.68
2012-11-23,11.90,11.97,11.76,11.91,3659000,11.80
2012-11-21,11.77,11.87,11.64,11.80,6211200,11.69
2012-11-20,12.13,12.18,11.58,11.74,17340500,11.63
2012-11-19,11.86,12.23,11.76,12.21,9588500,12.09
2012-11-16,11.90,12.15,11.70,11.73,15469800,11.62
2012-11-15,11.51,12.02,11.46,11.92,34508500,11.81
2012-11-14,11.75,11.83,11.41,11.55,23087900,11.44
2012-11-13,11.02,11.30,10.94,11.25,20366700,11.14
2012-11-12,11.16,11.28,11.07,11.09,7809500,10.99
2012-11-09,11.25,11.50,11.14,11.15,9753700,11.04
2012-11-08,11.64,11.75,11.23,11.29,17616300,11.18
2012-11-07,11.63,11.85,11.32,11.71,22734000,11.60
2012-11-06,11.61,11.91,11.56,11.73,15781100,11.62
2012-11-05,11.42,11.58,11.35,11.57,5795000,11.46
2012-11-02,11.74,11.74,11.44,11.47,17540500,11.36
2012-11-01,11.55,11.75,11.49,11.71,10606800,11.60
2012-10-31,11.46,11.57,11.41,11.52,6864400,11.41
2012-10-26,11.43,11.46,11.30,11.44,6397200,11.33
2012-10-25,11.34,11.52,11.28,11.41,10354700,11.30
2012-10-24,11.32,11.40,11.20,11.22,8822800,11.11
2012-10-23,11.30,11.34,11.18,11.31,8468200,11.20
2012-10-22,11.22,11.43,11.11,11.40,10477800,11.29
2012-10-19,11.50,11.53,11.16,11.23,9492000,11.12
2012-10-18,11.61,11.63,11.46,11.55,7638400,11.44
2012-10-17,11.24,11.62,11.21,11.59,7176200,11.48
2012-10-16,11.13,11.39,11.13,11.30,7415900,11.19
2012-10-15,11.16,11.41,11.10,11.20,12440200,11.09
2012-10-12,11.51,11.55,11.06,11.10,12767900,11.00
2012-10-11,11.58,11.60,11.44,11.44,8501100,11.33
2012-10-10,11.75,11.75,11.42,11.46,7790300,11.35
2012-10-09,11.70,11.79,11.60,11.68,9980200,11.57
2012-10-08,11.63,11.79,11.56,11.70,8223000,11.59
2012-10-05,11.64,11.90,11.57,11.63,8308200,11.52
