Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,112.19,112.60,112.00,112.48,39677500,105.70
2009-12-23,112.00,112.11,111.50,111.95,111783100,105.21
2009-12-22,111.57,111.97,111.43,111.73,91707500,105.00
2009-12-21,110.76,111.70,110.76,111.33,118039600,104.62
2009-12-18,110.20,110.30,109.28,110.21,174591200,103.57
2009-12-17,110.72,110.93,110.08,110.18,183390100,102.99
2009-12-16,111.80,112.13,111.27,111.52,155358200,104.24
2009-12-15,111.46,111.92,111.00,111.35,120408800,104.08
2009-12-14,111.87,112.00,111.13,111.87,107141500,104.57
2009-12-11,111.11,111.36,110.61,111.11,124854000,103.86
2009-12-10,110.70,111.12,110.45,110.64,138014600,103.42
2009-12-09,109.58,110.18,109.02,110.02,155063400,102.84
2009-12-08,110.04,110.77,109.27,109.61,169863700,102.46
2009-12-07,110.91,111.53,110.49,110.84,127973800,103.60
2009-12-04,111.84,112.38,110.04,111.01,274907800,103.76
2009-12-03,111.55,112.18,110.29,110.38,167324900,103.17
2009-12-02,111.28,112.01,110.92,111.25,132315100,103.99
2009-12-01,110.92,111.66,110.73,111.30,159613700,104.03
2009-11-30,109.48,110.20,108.12,109.94,160874800,102.76
2009-11-27,108.40,110.32,108.29,109.57,126001800,102.42
2009-11-25,111.17,111.50,110.82,111.38,109564800,104.11
2009-11-24,111.00,111.20,110.01,110.99,138420100,103.74
2009-11-23,110.72,111.74,110.60,110.82,148010200,103.59
2009-11-20,109.25,109.76,109.01,109.43,134196000,102.29
2009-11-19,110.51,111.31,109.13,109.82,208734600,102.65
2009-11-18,111.26,111.43,110.57,111.27,156486800,104.01
2009-11-17,110.92,111.39,110.50,111.34,147134100,104.07
2009-11-16,110.38,111.69,110.32,111.21,210922200,103.95
2009-11-13,109.31,110.09,108.75,109.62,150963000,102.46
2009-11-12,110.00,110.57,108.75,109.03,157144500,101.91
2009-11-11,110.31,110.82,109.62,110.15,169466200,102.96
2009-11-10,109.31,109.93,108.97,109.59,171899800,102.44
2009-11-09,107.95,109.63,107.87,109.57,159495700,102.42
2009-11-06,106.26,107.40,106.05,107.13,170954100,100.14
2009-11-05,105.66,106.88,105.44,106.85,180015300,99.88
