Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,91.52,92.07,91.14,91.92,119800,91.92
2012-12-21,91.56,92.22,90.82,91.66,911300,91.66
2012-12-20,92.67,93.01,91.99,92.69,394900,92.69
2012-12-19,94.19,94.57,92.11,92.47,631300,92.47
2012-12-18,93.96,94.48,93.37,94.03,514100,94.03
2012-12-17,93.62,93.88,93.15,93.65,387100,93.65
2012-12-14,93.42,93.51,92.92,93.26,347200,93.26
2012-12-13,93.68,94.06,93.04,93.30,407000,93.30
2012-12-12,95.00,95.00,93.78,93.87,311600,93.87
2012-12-11,94.74,95.19,94.27,94.59,528400,94.59
2012-12-10,94.14,95.33,94.05,94.90,634600,94.90
2012-12-07,94.66,94.94,93.75,94.26,459300,94.26
2012-12-06,94.10,94.48,93.52,94.36,690400,94.36
2012-12-05,93.34,94.29,93.26,93.96,490100,93.96
2012-12-04,93.51,93.93,92.82,93.42,470200,93.42
2012-12-03,93.86,94.19,92.68,93.23,490500,93.23
2012-11-30,94.16,94.37,93.28,93.47,933000,93.47
2012-11-29,93.37,93.90,93.02,93.79,524300,93.79
2012-11-28,93.06,93.42,92.42,92.93,584200,92.93
2012-11-27,92.38,93.63,91.78,93.41,500000,93.41
2012-11-26,91.68,93.34,91.64,92.45,278900,92.45
2012-11-23,91.66,92.32,91.42,92.16,205800,92.16
2012-11-21,90.47,91.70,90.38,91.69,372700,91.69
2012-11-20,90.06,90.54,89.90,90.54,339900,90.54
2012-11-19,91.07,91.30,89.84,89.90,644200,89.90
2012-11-16,90.12,91.09,89.77,90.07,1117900,90.07
2012-11-15,90.67,90.67,89.89,90.37,621800,90.37
2012-11-14,92.18,92.32,90.29,90.49,260300,90.49
2012-11-13,92.02,93.15,92.02,92.33,217500,92.33
2012-11-12,92.50,92.74,91.82,92.38,143000,92.38
2012-11-09,92.05,93.42,91.80,92.41,360800,92.41
2012-11-08,93.35,93.65,91.97,91.97,561800,91.97
2012-11-07,91.54,94.13,91.54,93.70,518400,93.70
2012-11-06,95.08,95.41,94.67,94.81,375500,94.81
2012-11-05,94.25,95.02,93.68,94.52,289400,94.52
2012-11-02,95.98,95.99,94.77,94.77,376500,94.77
2012-11-01,95.00,96.00,94.35,95.76,733400,95.76
2012-10-31,94.65,94.90,93.66,94.76,716000,94.76
2012-10-26,95.20,95.28,94.48,94.57,785600,94.57
2012-10-25,89.94,95.44,89.44,95.21,1770900,95.21
2012-10-24,92.18,92.25,88.76,89.06,1412500,89.06
2012-10-23,91.55,92.52,90.79,92.20,220600,92.20
2012-10-22,90.62,92.28,90.62,92.16,142800,92.16
2012-10-19,93.63,93.64,91.58,91.87,358600,91.87
2012-10-18,93.18,93.94,92.84,93.61,263000,93.61
2012-10-17,91.99,93.40,91.94,93.14,211900,93.14
2012-10-16,90.99,92.10,90.65,92.07,216900,92.07
2012-10-15,90.00,91.37,89.67,91.28,375800,91.28
2012-10-12,90.38,91.36,89.96,89.99,227500,89.99
2012-10-11,90.78,90.78,90.13,90.24,487700,90.24
2012-10-10,89.78,90.23,89.78,89.96,643300,89.96
2012-10-09,90.79,91.33,89.65,89.65,474000,89.65
2012-10-08,91.43,91.67,90.93,91.17,214200,91.17
2012-10-05,92.28,93.23,91.76,91.76,377400,91.76
2012-10-04,91.14,92.29,90.56,92.03,259000,92.03
2012-10-03,91.20,91.39,90.46,91.06,257500,91.06
2012-10-02,90.68,91.26,90.25,91.03,255800,91.03
2012-10-01,90.74,91.49,90.08,90.64,345700,90.64
2012-09-28,89.97,90.58,89.70,90.48,472800,90.48
2012-09-27,90.09,90.53,89.75,90.00,407000,90.00
2012-09-26,91.75,91.75,89.92,90.05,461000,90.05
2012-09-25,92.21,92.34,91.40,91.44,424700,91.44
2012-09-24,91.50,92.34,91.26,92.00,309300,92.00
2012-09-21,91.53,91.97,90.99,91.60,815100,91.60
2012-09-20,93.57,93.58,91.25,91.43,445700,91.43
2012-09-19,94.71,94.71,93.27,93.66,252500,93.66
2012-09-18,94.46,94.52,93.71,94.43,349000,94.43
2012-09-17,93.86,94.06,93.19,93.90,358000,93.90
2012-09-14,93.02,93.74,92.54,93.17,346500,93.17
2012-09-13,93.13,93.60,92.29,93.32,265500,93.32
2012-09-12,93.50,93.86,92.93,93.28,354400,93.28
2012-09-11,92.87,93.28,92.61,93.19,404600,93.19
2012-09-10,93.33,93.53,93.01,93.03,291700,93.03
2012-09-07,93.90,94.06,93.25,93.60,347200,93.60
2012-09-06,92.49,93.88,92.49,93.40,354300,93.40
2012-09-05,91.57,92.10,90.93,91.97,208500,91.97
2012-09-04,91.26,91.70,90.23,91.51,249500,91.51
2012-08-31,91.80,92.28,90.94,91.52,192700,91.52
2012-08-30,91.65,92.90,91.04,91.55,241400,91.55
2012-08-29,91.49,92.47,91.21,92.42,309000,92.42
2012-08-28,90.78,91.52,90.66,91.30,190600,91.30
2012-08-27,91.03,91.54,90.94,91.10,336100,91.10
2012-08-24,90.41,91.46,90.21,91.26,264200,91.26
2012-08-23,90.28,90.36,90.01,90.24,204200,90.24
2012-08-22,90.44,90.64,90.00,90.29,265500,90.29
2012-08-21,90.45,91.15,90.08,90.23,278500,90.23
2012-08-20,91.46,91.48,90.20,90.56,204300,90.56
2012-08-17,91.75,92.00,90.74,91.47,363800,91.47
2012-08-16,90.24,91.68,90.17,91.51,457600,91.51
