Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,56.25,56.74,56.25,56.53,367400,50.57
2009-12-23,56.03,56.34,55.66,56.23,1221500,50.30
2009-12-22,55.33,56.20,55.33,55.90,1891700,50.00
2009-12-21,55.30,55.72,54.95,55.32,2542800,49.49
2009-12-18,55.67,55.99,54.75,55.07,2810000,49.26
2009-12-17,55.83,55.83,54.89,55.34,1869700,49.50
2009-12-16,55.52,55.89,55.25,55.62,1388800,49.75
2009-12-15,55.41,55.64,55.27,55.47,1092800,49.62
2009-12-14,55.66,55.96,55.38,55.81,1518800,49.92
2009-12-11,54.81,55.65,54.49,55.35,1565700,49.51
2009-12-10,54.36,55.22,53.61,54.50,2910100,48.75
2009-12-09,54.85,54.85,53.50,53.86,3112900,48.18
2009-12-08,54.70,55.13,54.29,54.98,1861200,49.18
2009-12-07,55.00,55.19,54.54,54.98,1380800,49.18
2009-12-04,54.76,55.00,54.08,54.83,2195000,49.05
2009-12-03,54.80,54.97,54.47,54.57,1616300,48.81
2009-12-02,53.85,54.93,53.71,54.86,1618700,49.07
2009-12-01,53.46,53.97,53.29,53.82,1246600,48.14
2009-11-30,52.61,53.21,52.39,53.14,1070200,47.54
2009-11-27,53.04,53.16,52.29,52.68,454300,47.12
2009-11-25,53.60,54.00,53.21,53.83,984500,48.15
2009-11-24,52.97,53.49,52.54,53.47,1307700,47.83
2009-11-23,52.45,53.17,52.31,52.78,1222500,47.21
2009-11-20,52.04,52.05,51.61,51.96,1309300,46.48
2009-11-19,52.72,52.72,51.78,52.16,997200,46.66
2009-11-18,52.90,53.07,52.37,52.77,952400,47.20
2009-11-17,52.59,53.05,52.54,52.96,979600,47.37
2009-11-16,52.43,52.84,52.32,52.68,1345900,47.12
2009-11-13,51.73,52.38,51.45,52.23,1508800,46.72
2009-11-12,52.61,52.81,51.46,51.68,1438000,46.23
2009-11-11,53.06,53.23,52.42,52.78,1071000,47.21
2009-11-10,51.99,52.96,51.80,52.66,1249300,47.11
2009-11-09,50.93,52.06,50.45,51.94,1707600,46.46
2009-11-06,50.81,50.97,48.90,50.75,2137100,45.40
2009-11-05,50.25,51.17,50.16,51.00,1324400,45.62
2009-11-04,49.82,50.76,49.75,50.03,1354600,44.75
2009-11-03,49.52,49.67,48.98,49.63,2355100,44.40
2009-11-02,51.71,51.71,49.20,49.79,4001700,44.54
2009-10-30,52.07,52.32,51.40,51.45,2103300,46.02
2009-10-29,51.42,52.21,51.25,52.17,1174000,46.67
2009-10-28,51.82,51.94,51.23,51.31,1645200,45.90
2009-10-27,52.10,52.48,51.63,51.75,1319300,46.29
2009-10-26,52.88,53.31,51.57,51.74,1651500,46.28
2009-10-23,53.34,53.54,52.49,52.74,1124600,47.18
2009-10-22,52.99,53.57,52.75,53.45,1000800,47.81
2009-10-21,53.13,53.70,52.94,53.05,1123300,47.46
2009-10-20,53.36,53.38,52.76,53.18,1016900,47.57
2009-10-19,52.90,53.75,52.70,53.55,980400,47.90
2009-10-16,52.70,53.10,52.46,52.91,951000,47.33
2009-10-15,52.10,52.97,52.10,52.97,1052000,47.38
2009-10-14,52.87,53.00,52.39,52.68,890800,47.12
2009-10-13,52.44,52.77,52.11,52.58,1343400,47.03
2009-10-12,53.14,53.14,52.32,52.50,1140400,46.96
2009-10-09,51.47,52.24,51.32,52.12,1401800,46.62
2009-10-08,51.05,51.54,50.87,51.47,1433800,46.04
2009-10-07,50.92,51.02,50.51,50.97,989100,45.59
2009-10-06,50.79,51.30,50.46,50.86,1595000,45.50
2009-10-05,49.94,51.00,49.63,50.72,1440600,45.37
2009-10-02,49.38,50.29,49.38,49.87,2006700,44.61
2009-10-01,49.73,50.10,49.56,49.86,1899900,44.60
2009-09-30,50.14,50.20,49.57,49.81,1381100,44.56
2009-09-29,50.24,50.33,49.64,50.16,1157800,44.87
2009-09-28,49.66,50.61,49.65,50.24,809300,44.94
2009-09-25,49.79,50.02,49.53,49.59,1029500,44.36
2009-09-24,50.06,50.48,49.71,49.90,1196100,44.64
2009-09-23,50.48,51.06,49.94,50.08,988500,44.80
2009-09-22,50.97,50.97,50.18,50.28,892800,44.98
2009-09-21,50.83,51.14,50.25,50.91,1546300,45.19
2009-09-18,51.77,51.77,50.63,50.92,1571900,45.20
2009-09-17,50.56,51.24,50.42,51.06,2252900,45.33
2009-09-16,49.80,50.71,49.50,50.56,1910700,44.88
2009-09-15,49.39,49.90,49.21,49.83,1709700,44.23
2009-09-14,48.86,49.55,48.44,49.36,1607700,43.82
2009-09-11,48.50,49.10,48.34,48.90,1948400,43.41
2009-09-10,48.35,48.56,48.10,48.42,1455400,42.98
2009-09-09,49.00,49.25,48.45,48.53,1619600,43.08
2009-09-08,49.69,49.69,48.92,48.94,2089900,43.44
2009-09-04,49.21,49.49,48.84,49.43,856300,43.88
2009-09-03,49.25,49.46,48.81,49.08,1255400,43.57
2009-09-02,49.75,49.75,49.17,49.19,2086200,43.67
2009-09-01,49.93,50.25,49.62,49.70,1904500,44.12
2009-08-31,50.65,50.80,50.00,50.17,1094700,44.54
2009-08-28,51.25,51.41,50.71,50.94,1168500,45.22
2009-08-27,51.35,51.35,50.78,51.02,1058000,45.29
2009-08-26,51.34,51.69,50.95,51.41,1240300,45.64
2009-08-25,51.33,51.93,51.33,51.53,1410700,45.74
2009-08-24,51.40,51.75,51.17,51.24,980100,45.49
2009-08-21,50.89,51.66,50.63,51.50,1373000,45.72
2009-08-20,50.43,50.83,50.10,50.66,1856700,44.97
2009-08-19,49.98,50.63,49.81,50.51,1451800,44.84
2009-08-18,50.33,50.49,49.86,50.31,1079300,44.66
2009-08-17,50.85,50.92,50.21,50.34,1247100,44.69
2009-08-14,51.34,51.41,50.47,51.11,579800,45.37
2009-08-13,51.68,51.75,50.88,51.23,1022600,45.48
2009-08-12,51.17,52.00,50.80,51.57,1465300,45.78
2009-08-11,50.69,51.25,50.43,51.05,1804700,45.32
2009-08-10,50.31,50.93,49.96,50.91,1264900,45.19
2009-08-07,50.76,51.02,50.23,50.60,1478600,44.92
2009-08-06,51.24,51.35,50.38,50.51,1552200,44.84
2009-08-05,52.00,52.45,50.82,51.24,1288700,45.49
2009-08-04,52.36,52.55,51.95,52.22,918500,46.35
2009-08-03,52.60,53.00,51.36,52.40,1303800,46.51
2009-07-31,51.91,52.94,50.74,52.43,1296300,46.54
2009-07-30,52.35,52.97,52.19,52.52,1460800,46.62
2009-07-29,51.69,52.08,50.92,51.85,823200,46.03
2009-07-28,52.26,52.37,51.58,51.90,1027700,46.07
2009-07-27,52.02,52.68,51.83,52.47,1069800,46.58
2009-07-24,50.99,52.28,50.98,52.03,1257100,46.19
2009-07-23,49.68,51.71,49.68,51.36,2368700,45.59
2009-07-22,49.92,50.05,49.45,49.68,1192800,44.10
2009-07-21,49.68,49.94,49.13,49.86,1119700,44.26
2009-07-20,49.07,49.32,48.65,49.27,1142600,43.74
2009-07-17,49.10,49.10,48.31,48.92,1132900,43.43
2009-07-16,48.92,49.10,48.43,48.99,891600,43.49
2009-07-15,48.73,49.00,48.31,48.97,1242500,43.47
2009-07-14,48.19,48.40,47.71,48.31,844100,42.88
2009-07-13,47.45,48.29,46.84,48.22,997000,42.80
2009-07-10,47.43,47.74,47.08,47.55,734000,42.21
2009-07-09,48.09,48.22,47.38,47.83,753300,42.46
2009-07-08,48.29,48.41,47.43,47.87,986500,42.49
2009-07-07,49.42,49.42,47.96,47.99,1062500,42.60
2009-07-06,48.33,49.59,48.22,49.43,1300000,43.88
2009-07-02,48.89,48.91,48.15,48.67,2361500,43.20
2009-07-01,49.79,50.60,49.60,49.78,1760600,44.19
2009-06-30,50.33,50.54,49.05,49.63,1388100,44.06
2009-06-29,49.71,50.90,49.50,50.80,1548100,45.09
2009-06-26,49.43,49.94,49.16,49.79,1750100,44.20
2009-06-25,47.91,49.72,47.91,49.48,1367700,43.92
2009-06-24,48.80,49.16,48.56,48.77,1176000,43.29
2009-06-23,49.60,49.60,48.49,48.64,1494100,43.18
2009-06-22,48.83,49.94,48.65,49.62,1998500,44.05
2009-06-19,49.71,49.86,48.58,48.84,2038200,43.35
2009-06-18,48.24,49.45,48.00,49.26,1355000,43.73
2009-06-17,48.44,48.83,47.86,48.27,1586000,42.85
2009-06-16,48.64,49.09,48.50,48.70,1573800,42.88
2009-06-15,48.52,48.85,47.77,48.57,1724900,42.77
2009-06-12,48.11,49.15,47.66,49.04,1073600,43.18
2009-06-11,46.96,48.98,46.96,48.43,1453300,42.65
2009-06-10,47.58,48.25,47.16,47.63,2181300,41.94
2009-06-09,47.57,47.90,47.06,47.22,1476000,41.58
2009-06-08,46.64,47.66,46.23,47.32,2312200,41.67
2009-06-05,46.65,47.00,45.90,46.64,943100,41.07
2009-06-04,46.44,46.54,46.13,46.49,939300,40.94
2009-06-03,46.62,46.70,45.58,46.12,1258700,40.61
2009-06-02,46.59,46.89,46.24,46.72,1906000,41.14
2009-06-01,46.14,46.92,46.14,46.65,1611800,41.08
2009-05-29,46.07,46.10,45.02,45.68,1869200,40.22
2009-05-28,45.44,46.20,45.21,45.95,1122500,40.46
2009-05-27,46.48,46.57,45.17,45.26,1362000,39.85
2009-05-26,44.61,46.74,44.50,46.56,1919000,41.00
2009-05-22,44.51,45.08,44.27,44.56,1029400,39.24
2009-05-21,44.51,44.85,44.28,44.50,1385100,39.19
2009-05-20,45.84,46.05,44.97,44.99,1226800,39.62
2009-05-19,44.52,45.73,44.42,45.59,1877100,40.15
2009-05-18,44.62,45.00,43.98,44.41,1977600,39.11
2009-05-15,44.59,44.80,43.94,44.25,1491300,38.97
2009-05-14,44.93,45.19,44.05,44.82,1662800,39.47
2009-05-13,45.61,45.77,44.68,44.94,1601300,39.57
2009-05-12,46.00,46.27,45.59,45.95,2299200,40.46
2009-05-11,45.90,46.54,45.60,45.98,1101700,40.49
2009-05-08,46.39,47.15,46.07,46.40,1550400,40.86
2009-05-07,46.12,46.32,45.03,45.75,2049400,40.29
2009-05-06,46.20,47.07,45.50,45.80,2498900,40.33
2009-05-05,49.89,49.89,46.87,47.42,1727600,41.76
2009-05-04,47.18,48.36,46.63,48.36,1727300,42.58
2009-05-01,46.00,46.90,45.97,46.90,807700,41.30
2009-04-30,46.14,46.63,45.89,46.02,1757500,40.52
2009-04-29,45.37,46.09,44.99,45.82,1106600,40.35
2009-04-28,44.77,45.60,44.40,45.22,863100,39.82
2009-04-27,44.49,45.49,44.38,45.01,1065900,39.63
2009-04-24,45.24,45.50,44.58,45.03,937700,39.65
2009-04-23,45.06,45.57,44.47,44.97,1323000,39.60
2009-04-22,45.37,45.69,44.62,45.00,1295300,39.63
2009-04-21,45.16,45.68,44.93,45.60,1289100,40.15
2009-04-20,46.08,46.11,45.31,45.31,1320400,39.90
2009-04-17,46.43,46.73,46.14,46.41,1485100,40.87
2009-04-16,46.13,46.54,45.58,46.22,1783600,40.70
2009-04-15,44.73,45.66,44.73,45.64,988600,40.19
2009-04-14,45.60,45.87,44.87,44.91,1394800,39.55
2009-04-13,45.70,46.21,45.05,45.98,1341100,40.49
2009-04-09,46.39,46.80,45.58,46.13,1536800,40.62
2009-04-08,45.15,45.62,44.56,45.47,1346900,40.04
2009-04-07,45.00,45.67,44.34,45.05,2154000,39.67
2009-04-06,46.60,46.82,45.27,45.62,3119400,40.17
2009-04-03,46.85,47.38,46.33,46.85,1300900,41.26
2009-04-02,47.69,47.69,45.92,46.85,2246400,41.26
2009-04-01,46.06,47.00,45.66,46.72,2609300,41.14
2009-03-31,45.19,46.96,44.88,46.24,3126800,40.72
2009-03-30,43.99,45.00,43.81,44.90,2981800,39.54
2009-03-27,44.39,45.37,44.28,44.79,2260200,39.44
2009-03-26,43.66,45.21,42.65,45.06,3843600,39.68
2009-03-25,44.20,44.94,41.15,42.93,6630400,37.80
2009-03-24,44.40,44.90,43.74,43.81,1561300,38.58
2009-03-23,43.61,44.80,43.00,44.79,1958100,39.44
2009-03-20,43.46,43.98,42.76,42.81,2103300,37.70
2009-03-19,43.46,43.65,42.75,43.25,1519500,38.08
2009-03-18,42.01,43.68,41.61,43.25,1952400,38.08
2009-03-17,41.39,42.20,40.79,42.17,2062000,37.13
