Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,10.64,10.70,10.37,10.43,27900,10.43
2012-12-21,10.58,10.80,10.51,10.69,406400,10.69
2012-12-20,10.59,10.75,10.40,10.72,117900,10.72
2012-12-19,10.71,10.72,10.51,10.62,107000,10.62
2012-12-18,10.49,10.69,10.35,10.68,107500,10.68
2012-12-17,10.45,10.50,9.96,10.49,136600,10.49
2012-12-14,10.38,10.58,10.38,10.45,89100,10.45
2012-12-13,10.73,10.75,10.29,10.44,126500,10.44
2012-12-12,10.43,10.77,10.39,10.73,231000,10.73
2012-12-11,10.51,10.62,10.27,10.41,276700,10.41
2012-12-10,10.50,10.59,10.33,10.40,132600,10.40
2012-12-07,10.60,10.64,10.42,10.61,98300,10.61
2012-12-06,10.55,10.57,10.31,10.57,119900,10.57
2012-12-05,10.40,10.60,10.29,10.54,237300,10.54
2012-12-04,10.38,10.58,10.30,10.37,471300,10.37
2012-12-03,10.50,10.64,10.23,10.36,303600,10.36
2012-11-30,10.30,10.30,10.04,10.18,185800,10.18
2012-11-29,10.29,10.35,10.09,10.26,123700,10.26
2012-11-28,9.97,10.23,9.86,10.19,227900,10.19
2012-11-27,9.93,10.09,9.78,10.00,138800,10.00
2012-11-26,9.60,9.94,9.58,9.91,141700,9.91
2012-11-23,9.57,9.64,9.57,9.63,50000,9.63
2012-11-21,9.43,9.55,9.30,9.54,88700,9.54
2012-11-20,9.35,9.46,9.29,9.42,148900,9.42
2012-11-19,9.33,9.51,9.27,9.44,259500,9.44
2012-11-16,9.38,9.38,9.09,9.17,197200,9.17
2012-11-15,9.71,9.75,9.37,9.42,146100,9.42
2012-11-14,10.43,10.45,9.68,9.69,244700,9.69
2012-11-13,10.36,10.56,10.36,10.38,101300,10.38
2012-11-12,10.60,10.69,10.34,10.46,128800,10.46
2012-11-09,10.60,11.08,10.43,10.59,334900,10.59
2012-11-08,10.22,10.29,10.11,10.17,115800,10.17
2012-11-07,10.33,10.41,10.19,10.21,139400,10.21
2012-11-06,10.48,10.55,10.40,10.54,83600,10.54
2012-11-05,10.62,10.62,10.37,10.41,215700,10.41
2012-11-02,10.85,10.85,10.57,10.58,128800,10.58
2012-11-01,10.66,10.82,10.61,10.76,107600,10.76
2012-10-31,10.74,10.76,10.52,10.61,94100,10.61
2012-10-26,10.79,10.81,10.68,10.75,80100,10.75
2012-10-25,10.90,10.90,10.71,10.76,152900,10.76
2012-10-24,10.91,10.91,10.75,10.77,88700,10.77
2012-10-23,11.02,11.02,10.80,10.86,91500,10.86
2012-10-22,10.95,11.13,10.81,11.13,123200,11.13
2012-10-19,11.05,11.14,10.94,10.97,293400,10.97
2012-10-18,11.09,11.09,10.99,11.02,264600,11.02
2012-10-17,11.05,11.10,10.95,11.09,219600,11.09
2012-10-16,11.00,11.07,10.94,11.00,212000,11.00
2012-10-15,10.89,11.08,10.84,11.01,695400,11.01
2012-10-12,10.85,10.88,10.78,10.82,63000,10.82
2012-10-11,10.85,10.94,10.77,10.82,85400,10.82
2012-10-10,10.74,10.82,10.70,10.78,45900,10.78
2012-10-09,10.84,10.84,10.60,10.70,99900,10.70
2012-10-08,10.84,10.89,10.77,10.82,84300,10.82
2012-10-05,11.00,11.09,10.83,10.89,221000,10.89
2012-10-04,10.89,10.99,10.78,10.98,77100,10.98
2012-10-03,10.82,10.90,10.74,10.83,87900,10.83
2012-10-02,10.79,10.80,10.67,10.77,178300,10.77
2012-10-01,10.72,10.88,10.61,10.72,154600,10.72
2012-09-28,10.73,10.73,10.64,10.65,186800,10.65
2012-09-27,10.61,10.87,10.57,10.80,132100,10.80
2012-09-26,10.60,10.67,10.49,10.55,124100,10.55
2012-09-25,10.81,10.97,10.58,10.59,142700,10.59
2012-09-24,10.74,10.92,10.71,10.74,180500,10.74
2012-09-21,10.89,11.00,10.74,10.81,548500,10.81
2012-09-20,10.83,10.90,10.72,10.78,129600,10.78
2012-09-19,10.95,11.00,10.85,10.86,140800,10.86
2012-09-18,11.00,11.03,10.87,10.96,111100,10.96
2012-09-17,10.97,10.99,10.77,10.98,131700,10.98
2012-09-14,11.00,11.03,10.89,10.97,231000,10.97
2012-09-13,10.96,11.01,10.86,11.00,185500,11.00
2012-09-12,10.91,11.05,10.87,10.96,132600,10.96
2012-09-11,11.00,11.15,10.84,10.99,256300,10.99
2012-09-10,10.82,11.13,10.78,11.09,234100,11.09
2012-09-07,11.19,11.19,11.12,11.15,140800,11.15
2012-09-06,11.22,11.25,10.93,11.15,353200,11.15
2012-09-05,10.93,11.46,10.89,11.25,938100,11.25
2012-09-04,10.87,10.96,10.48,10.87,872300,10.87
2012-08-31,10.45,10.45,10.30,10.37,232700,10.37
2012-08-30,10.39,10.48,10.36,10.40,133700,10.40
2012-08-29,10.45,10.50,10.40,10.49,159200,10.49
2012-08-28,10.30,10.45,10.24,10.42,159900,10.42
2012-08-27,10.18,10.40,10.13,10.31,145100,10.31
2012-08-24,10.13,10.28,10.11,10.17,104300,10.17
2012-08-23,10.16,10.28,10.10,10.17,137100,10.17
2012-08-22,10.25,10.42,10.19,10.19,271900,10.19
2012-08-21,10.28,10.39,10.20,10.28,317300,10.28
2012-08-20,10.17,10.29,10.00,10.24,290300,10.24
2012-08-17,10.25,10.27,10.23,10.26,171600,10.26
2012-08-16,10.09,10.23,10.07,10.23,179400,10.23
2012-08-15,9.98,10.16,9.88,10.14,234400,10.14
2012-08-14,9.94,10.03,9.86,9.98,246600,9.98
2012-08-13,9.88,9.94,9.85,9.94,107500,9.94
2012-08-10,9.81,9.93,9.71,9.93,93300,9.93
2012-08-09,9.86,9.94,9.64,9.91,272900,9.91
2012-08-08,9.77,9.94,9.74,9.94,179500,9.94
