Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,29.25,29.33,28.74,28.97,3372200,28.97
2013-01-04,29.17,29.45,28.84,29.42,5808400,29.42
2013-01-03,28.66,28.70,27.98,28.63,9399200,28.63
2013-01-02,29.08,29.26,28.85,29.26,7992800,29.26
2012-12-31,27.70,28.41,27.70,28.35,5677700,28.35
2012-12-28,27.72,28.08,27.67,27.79,3157900,27.79
2012-12-27,28.00,28.09,27.44,27.99,3286000,27.99
2012-12-26,28.07,28.35,27.94,28.00,3435700,28.00
2012-12-24,28.20,28.42,27.90,27.99,2374600,27.99
2012-12-21,28.63,28.76,28.05,28.27,10674900,28.27
2012-12-20,28.60,28.97,28.54,28.97,4974600,28.97
2012-12-19,28.59,28.92,28.47,28.56,5148400,28.56
2012-12-18,27.96,28.48,27.89,28.46,6339100,28.46
2012-12-17,27.23,27.85,27.16,27.84,5193800,27.84
2012-12-14,27.19,27.30,26.98,27.07,2359400,27.07
2012-12-13,27.69,27.84,27.04,27.20,4823300,27.20
2012-12-12,27.73,28.10,27.65,27.77,5948700,27.77
2012-12-11,27.33,27.74,27.09,27.59,4608900,27.59
2012-12-10,27.11,27.45,26.95,27.20,6144500,27.20
2012-12-07,26.80,27.19,26.70,27.18,4032300,27.18
2012-12-06,26.58,26.73,26.48,26.70,2856000,26.70
2012-12-05,26.30,26.84,26.26,26.60,4556800,26.60
2012-12-04,26.66,26.71,25.99,26.26,6320000,26.26
2012-12-03,27.15,27.19,26.56,26.63,4719300,26.63
2012-11-30,26.97,27.29,26.95,27.15,3165600,27.15
2012-11-29,27.00,27.30,26.89,27.02,2128000,27.02
2012-11-28,26.67,26.90,26.24,26.89,4141500,26.89
2012-11-27,26.94,27.33,26.78,26.80,3503500,26.75
2012-11-26,27.24,27.31,26.93,27.21,3286200,27.16
2012-11-23,27.03,27.48,26.90,27.48,1328700,27.43
2012-11-21,27.45,27.50,26.72,26.80,5845100,26.75
2012-11-20,26.98,27.58,26.66,27.40,6445100,27.35
2012-11-19,26.43,27.06,26.39,26.99,6227500,26.94
2012-11-16,25.87,26.10,25.49,26.02,5546200,25.97
2012-11-15,25.53,26.00,25.30,25.82,5968200,25.77
2012-11-14,26.33,26.45,25.32,25.44,6156700,25.39
2012-11-13,26.31,26.79,26.16,26.17,3727800,26.12
2012-11-12,26.67,26.82,26.34,26.54,3033100,26.49
2012-11-09,26.25,26.87,26.18,26.56,5039600,26.51
2012-11-08,26.62,26.99,26.36,26.39,6532200,26.34
2012-11-07,27.31,27.43,26.30,26.57,7800600,26.52
2012-11-06,27.30,27.79,27.07,27.73,3538200,27.68
2012-11-05,27.02,27.21,26.55,27.16,4122800,27.11
2012-11-02,27.75,27.82,27.07,27.14,4128500,27.09
2012-11-01,27.24,27.55,27.00,27.54,5623400,27.49
2012-10-31,27.38,27.50,26.88,27.20,4645100,27.15
2012-10-26,27.13,27.37,26.79,27.10,4553400,27.05
2012-10-25,27.51,27.62,26.89,27.24,5856500,27.19
2012-10-24,27.49,27.64,27.03,27.07,6641600,27.02
2012-10-23,26.86,27.34,26.51,27.24,10835200,27.19
2012-10-22,27.78,28.26,27.20,27.67,14460900,27.62
2012-10-19,29.06,29.16,28.34,28.63,6895500,28.58
2012-10-18,29.25,29.44,28.88,28.99,7216100,28.94
2012-10-17,28.71,29.57,28.59,29.36,7706300,29.31
2012-10-16,29.34,29.39,28.44,28.55,9391700,28.50
2012-10-15,29.35,29.40,28.77,29.10,7646800,29.05
