Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,36.99,37.66,36.89,37.44,3082000,37.44
2013-01-04,36.88,37.12,36.82,37.07,3627600,37.07
2013-01-03,36.65,37.10,36.55,36.77,2809100,36.77
2013-01-02,36.71,36.79,36.12,36.61,3493400,36.61
2012-12-31,35.39,36.17,35.32,36.14,2511100,36.14
2012-12-28,36.08,36.16,35.47,35.47,2209300,35.47
2012-12-27,35.95,36.05,35.46,35.87,2392800,35.87
2012-12-26,36.13,36.52,35.87,36.08,1829500,35.85
2012-12-24,36.13,36.52,36.06,36.16,1057200,35.93
2012-12-21,36.26,36.44,35.90,36.24,4655700,36.01
2012-12-20,36.13,36.80,35.96,36.55,3157000,36.32
2012-12-19,36.20,36.49,36.14,36.15,4095300,35.92
2012-12-18,35.73,36.44,35.49,36.06,5642300,35.83
2012-12-17,35.46,35.92,35.39,35.72,3678000,35.49
2012-12-14,35.13,35.59,35.09,35.35,2838800,35.12
2012-12-13,35.49,35.90,35.35,35.39,3270700,35.16
2012-12-12,35.44,35.92,35.30,35.53,3851900,35.30
2012-12-11,35.34,35.98,35.29,35.38,4077700,35.15
2012-12-10,34.84,35.53,34.82,35.27,3172000,35.05
2012-12-07,34.65,35.04,34.43,34.96,3598300,34.74
2012-12-06,34.46,34.70,34.29,34.53,3473300,34.31
2012-12-05,34.47,34.98,34.24,34.51,4286200,34.29
2012-12-04,33.60,34.35,33.44,34.21,5247200,33.99
2012-12-03,34.13,34.13,33.44,33.63,6625800,33.42
2012-11-30,34.70,35.06,33.87,34.28,9281600,34.06
2012-11-29,33.37,33.91,32.97,33.69,6508400,33.48
2012-11-28,31.83,32.94,31.80,32.90,7216500,32.69
2012-11-27,32.03,32.40,31.88,32.20,10096200,31.99
2012-11-26,32.07,32.19,31.55,31.86,6073300,31.66
2012-11-23,31.69,32.24,31.40,32.03,3668300,31.83
2012-11-21,33.76,34.00,30.25,31.37,26371500,31.17
2012-11-20,35.71,35.83,35.45,35.71,1723700,35.48
2012-11-19,35.31,35.79,35.23,35.75,2928200,35.52
2012-11-16,35.47,35.70,34.77,35.03,4788000,34.81
2012-11-15,35.34,35.74,35.13,35.60,2277500,35.37
2012-11-14,35.97,36.23,35.23,35.37,2728100,35.14
2012-11-13,36.26,36.48,35.92,35.98,3414300,35.75
2012-11-12,37.20,38.34,36.31,36.39,3257800,36.16
2012-11-09,37.11,37.36,36.70,37.01,2545000,36.77
2012-11-08,37.62,37.69,36.85,36.87,4642000,36.63
2012-11-07,38.44,38.69,37.21,37.38,5511700,37.14
2012-11-06,38.73,39.22,38.56,38.70,5145900,38.45
2012-11-05,38.17,38.86,38.17,38.71,2260500,38.46
2012-11-02,38.90,39.12,38.50,38.51,2455300,38.26
2012-11-01,38.45,38.92,38.34,38.77,2761900,38.52
2012-10-31,38.19,38.59,37.91,38.26,3679300,38.02
2012-10-26,38.04,38.46,37.94,38.29,3791200,38.05
2012-10-25,40.00,40.21,37.78,38.27,9374700,38.03
2012-10-24,39.25,40.02,39.24,39.71,3741700,39.46
2012-10-23,39.50,39.84,39.09,39.09,3048700,38.84
2012-10-22,39.51,39.87,39.47,39.85,2665700,39.60
2012-10-19,39.81,40.00,39.43,39.50,6203900,39.25
2012-10-18,39.90,40.81,39.46,39.74,7502600,39.49
2012-10-17,40.07,40.95,40.00,40.85,9263500,40.59
2012-10-16,42.86,43.37,42.77,42.94,2288600,42.67
2012-10-15,42.98,42.99,42.45,42.58,1855800,42.31
