Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,42.49,42.83,42.43,42.80,241300,12.60
2009-12-23,42.26,42.66,42.00,42.50,572600,12.51
2009-12-22,42.23,42.60,41.91,42.13,896500,12.40
2009-12-21,41.92,42.41,41.86,42.33,1005800,12.46
2009-12-18,41.76,42.08,41.37,41.59,1841600,12.24
2009-12-17,40.74,41.36,40.20,41.26,1658200,12.14
2009-12-16,40.91,41.14,40.53,40.88,978700,12.03
2009-12-15,40.41,40.82,40.17,40.60,760800,11.95
2009-12-14,39.79,40.70,39.76,40.54,1331300,11.93
2009-12-11,38.95,39.37,38.87,39.22,1486500,11.54
2009-12-10,38.44,39.03,38.27,38.75,1244200,11.40
2009-12-09,38.15,38.41,37.51,38.09,1185300,11.21
2009-12-08,39.14,39.17,37.94,38.13,1994000,11.22
2009-12-07,39.91,40.35,39.50,39.57,1762900,11.65
2009-12-04,40.95,41.17,39.43,40.01,1423300,11.78
2009-12-03,40.91,41.19,40.15,40.22,882800,11.84
2009-12-02,40.55,41.19,40.55,40.77,1017000,12.00
2009-12-01,40.24,40.79,40.13,40.50,921000,11.92
2009-11-30,39.38,39.81,39.17,39.67,1289200,11.68
2009-11-27,39.34,39.83,38.88,39.35,467900,11.58
2009-11-25,39.65,40.67,39.31,40.35,1345500,11.88
2009-11-24,40.04,40.17,38.96,39.49,1724300,11.62
2009-11-23,40.41,40.93,39.92,40.17,922100,11.82
2009-11-20,39.83,40.15,39.18,39.59,1901700,11.65
2009-11-19,41.25,41.40,39.94,40.18,1120200,11.83
2009-11-18,42.25,42.50,41.38,41.49,1227000,12.21
2009-11-17,42.94,42.95,42.47,42.56,1002800,12.49
2009-11-16,42.68,43.20,42.53,43.01,1242600,12.62
2009-11-13,42.23,42.65,41.66,42.23,1276900,12.39
2009-11-12,42.47,43.00,41.95,42.04,2526300,12.34
2009-11-11,42.84,43.15,42.35,42.59,1635300,12.50
2009-11-10,41.93,42.77,41.93,42.52,1710700,12.48
2009-11-09,41.74,42.79,41.74,42.28,1775400,12.41
2009-11-06,40.65,41.27,40.29,40.65,896200,11.93
2009-11-05,40.53,41.18,40.34,41.01,1029800,12.03
2009-11-04,40.74,41.08,40.17,40.26,1135100,11.81
2009-11-03,39.57,40.59,39.33,40.29,1377700,11.82
2009-11-02,40.35,40.84,39.04,39.83,1697400,11.69
2009-10-30,41.68,41.89,39.26,39.84,2300200,11.69
2009-10-29,41.04,42.31,40.48,42.00,1896200,12.32
2009-10-28,41.20,42.06,39.83,39.94,2690500,11.72
2009-10-27,40.64,41.43,40.28,40.59,993500,11.91
2009-10-26,41.17,42.17,40.24,40.39,1584700,11.85
2009-10-23,42.14,42.43,40.79,41.15,1276900,12.07
2009-10-22,42.35,42.42,41.76,42.02,1473000,12.33
2009-10-21,41.96,43.46,41.95,42.35,1721100,12.43
2009-10-20,41.98,42.33,41.54,42.22,1753100,12.39
2009-10-19,40.87,42.26,40.68,42.16,1302800,12.37
2009-10-16,40.54,41.13,40.48,40.86,1533100,11.99
2009-10-15,39.10,40.91,39.01,40.89,1971400,12.00
2009-10-14,39.48,39.71,38.98,39.30,1238000,11.53
2009-10-13,39.01,39.15,38.22,39.04,1189900,11.45
2009-10-12,39.00,39.47,38.87,39.01,881200,11.45
2009-10-09,38.52,38.80,38.41,38.64,1357500,11.34
2009-10-08,37.88,38.90,37.68,38.89,1651000,11.41
2009-10-07,37.42,37.77,37.25,37.64,797500,11.04
2009-10-06,37.32,37.99,37.17,37.58,1246100,11.03
2009-10-05,35.44,36.95,35.37,36.88,1535700,10.82
2009-10-02,35.20,35.74,34.98,35.45,1205000,10.40
2009-10-01,37.40,37.59,35.74,35.74,1662700,10.49
2009-09-30,37.51,37.89,36.92,37.56,1864100,11.02
2009-09-29,36.91,37.72,36.69,37.59,1250300,11.03
2009-09-28,36.23,36.99,36.20,36.89,1078100,10.82
2009-09-25,35.78,36.35,35.75,36.16,1414000,10.61
2009-09-24,36.45,36.58,35.64,35.99,1180800,10.56
2009-09-23,37.23,37.36,36.28,36.36,1232400,10.67
2009-09-22,36.66,37.49,36.46,37.24,1644700,10.93
2009-09-21,35.21,36.35,35.21,36.11,1093400,10.60
2009-09-18,37.42,37.42,36.48,36.85,2028300,10.81
2009-09-17,36.91,37.51,36.69,37.04,1283200,10.87
2009-09-16,35.86,36.90,35.64,36.88,1304300,10.82
2009-09-15,35.38,35.76,35.26,35.67,902400,10.47
2009-09-14,34.01,35.42,33.76,35.25,1158800,10.34
2009-09-11,35.30,36.06,35.23,35.65,1298500,10.46
2009-09-10,34.38,35.33,34.14,35.22,1199700,10.33
2009-09-09,34.30,34.67,34.02,34.38,1194400,10.09
2009-09-08,33.99,34.37,33.77,34.19,890500,10.03
2009-09-04,33.04,33.52,32.96,33.48,698300,9.82
2009-09-03,33.43,33.43,32.72,33.01,899100,9.69
2009-09-02,33.04,33.50,32.95,33.16,1041000,9.73
2009-09-01,33.55,34.29,33.14,33.26,1058100,9.76
2009-08-31,34.14,34.25,33.47,33.76,834500,9.91
2009-08-28,34.58,35.02,34.27,34.90,1259400,10.24
2009-08-27,34.43,34.60,33.60,34.42,789100,10.10
2009-08-26,34.36,34.92,34.14,34.65,535000,10.17
2009-08-25,35.36,35.54,34.65,34.78,849200,10.20
2009-08-24,35.01,35.53,34.90,35.18,1170200,10.32
2009-08-21,34.21,34.90,33.90,34.79,1451200,10.21
2009-08-20,33.27,33.77,33.14,33.74,1011300,9.90
2009-08-19,32.84,33.50,32.63,33.39,1399500,9.80
2009-08-18,32.87,33.30,32.68,33.20,916000,9.70
2009-08-17,32.62,33.32,32.46,32.83,1145800,9.60
2009-08-14,34.36,34.48,33.25,33.53,1035400,9.80
2009-08-13,34.37,34.40,33.95,34.17,1019300,9.99
2009-08-12,33.84,34.58,33.61,34.28,674300,10.02
2009-08-11,34.03,34.30,33.55,33.69,781300,9.85
2009-08-10,33.88,34.41,33.54,34.35,649200,10.04
2009-08-07,33.92,34.42,33.86,34.04,1002900,9.95
2009-08-06,33.77,34.03,33.31,33.48,887000,9.79
2009-08-05,34.00,34.31,33.56,33.66,917300,9.84
2009-08-04,33.98,34.44,33.54,34.10,1066900,9.97
2009-08-03,33.44,34.44,33.44,34.12,1097800,9.97
2009-07-31,33.35,33.77,32.88,33.07,1362900,9.67
2009-07-30,33.65,34.15,33.19,33.87,1258500,9.90
2009-07-29,34.49,34.53,32.43,33.19,2574300,9.70
2009-07-28,34.68,35.23,34.17,35.12,1574400,10.27
2009-07-27,34.77,35.40,34.71,35.24,1319700,10.30
2009-07-24,33.79,34.97,33.66,34.94,1243600,10.21
2009-07-23,32.33,34.04,32.20,33.82,1350000,9.89
2009-07-22,32.38,32.76,31.89,32.22,1316200,9.42
2009-07-21,32.82,32.93,32.09,32.67,800600,9.55
2009-07-20,32.53,32.90,32.07,32.47,975000,9.49
2009-07-17,32.25,32.47,31.63,32.15,1060400,9.40
2009-07-16,31.73,32.37,31.41,32.22,1365400,9.42
2009-07-15,31.20,32.00,31.20,31.97,1723100,9.35
2009-07-14,30.55,30.75,30.14,30.67,1251000,8.97
2009-07-13,29.94,30.40,29.21,30.40,1093800,8.89
2009-07-10,29.75,30.14,29.29,29.88,1227800,8.73
2009-07-09,28.89,30.44,28.88,30.10,2376500,8.80
2009-07-08,28.74,29.25,27.98,28.63,1913100,8.37
2009-07-07,29.27,29.49,28.42,28.52,1171700,8.34
2009-07-06,29.71,29.71,28.80,29.30,1693400,8.56
2009-07-02,31.37,31.37,30.05,30.10,1242500,8.80
2009-07-01,31.49,31.88,31.42,31.73,1772400,9.28
2009-06-30,31.46,31.87,30.51,31.06,1556900,9.08
2009-06-29,31.61,31.66,31.08,31.51,1649300,9.21
2009-06-26,31.74,32.08,30.95,31.30,3030900,9.15
2009-06-25,31.12,32.11,30.88,31.83,2325500,9.30
2009-06-24,31.35,31.97,30.99,31.19,1446900,9.12
2009-06-23,31.11,31.40,30.46,31.13,1457200,9.10
2009-06-22,32.47,32.77,30.89,30.91,1880800,9.04
2009-06-19,34.65,34.77,32.92,33.16,2005900,9.69
2009-06-18,33.98,34.43,33.71,34.16,1568600,9.99
2009-06-17,34.18,34.65,33.56,33.98,1476700,9.93
2009-06-16,35.48,35.99,34.20,34.33,1229100,10.04
2009-06-15,35.15,35.46,34.67,35.21,1236400,10.29
2009-06-12,35.33,36.11,35.03,35.91,1128800,10.50
2009-06-11,35.19,36.44,34.70,35.95,1554400,10.51
2009-06-10,34.27,35.10,33.96,34.99,2021500,10.23
2009-06-09,33.86,34.08,33.09,33.62,1088700,9.83
2009-06-08,32.96,33.56,32.51,33.35,1089300,9.75
2009-06-05,33.10,33.52,32.27,33.11,1965800,9.68
2009-06-04,33.22,33.79,32.88,33.60,1338000,9.82
2009-06-03,34.50,34.50,32.30,32.86,1548400,9.61
2009-06-02,35.67,35.69,34.55,34.69,1864200,10.14
2009-06-01,34.50,36.52,34.47,35.75,2191800,10.45
2009-05-29,33.63,34.14,33.33,33.89,1968800,9.91
2009-05-28,32.27,33.49,32.12,33.29,1661600,9.73
2009-05-27,33.84,33.90,32.22,32.32,2160500,9.45
2009-05-26,32.36,33.81,31.88,33.77,1264800,9.83
2009-05-22,32.89,33.49,32.76,32.84,801100,9.56
2009-05-21,33.77,33.77,32.43,32.83,1151600,9.56
2009-05-20,35.00,35.49,34.28,34.37,1414200,10.01
2009-05-19,34.23,34.74,33.99,34.41,1445800,10.02
2009-05-18,33.23,34.49,33.21,34.48,1008300,10.04
2009-05-15,34.07,34.55,32.71,32.96,1067000,9.60
2009-05-14,33.41,34.25,32.89,33.96,1496700,9.89
2009-05-13,34.51,34.52,33.17,33.40,1433700,9.73
2009-05-12,35.66,35.66,34.10,34.78,1557900,10.13
2009-05-11,35.75,35.77,34.96,35.44,1324900,10.32
2009-05-08,34.56,36.93,34.55,36.41,2663500,10.60
2009-05-07,34.74,34.96,33.57,33.86,1480600,9.86
2009-05-06,33.44,34.64,33.44,34.27,2119100,9.98
2009-05-05,33.61,33.73,32.59,33.19,1206200,9.67
2009-05-04,31.38,33.51,31.29,33.51,2674600,9.76
2009-05-01,28.98,31.54,28.98,31.08,2125300,9.05
2009-04-30,30.65,31.65,29.57,29.72,3207800,8.66
2009-04-29,30.44,30.79,29.85,30.15,2051500,8.78
2009-04-28,29.86,30.63,29.77,30.19,1286400,8.79
2009-04-27,30.41,31.11,28.96,30.20,1408600,8.80
2009-04-24,30.80,31.22,30.55,31.03,1108900,9.04
2009-04-23,30.04,30.39,29.69,30.29,1165300,8.82
2009-04-22,30.35,30.47,29.69,29.89,1657900,8.70
2009-04-21,29.68,30.85,29.36,30.58,1295400,8.91
2009-04-20,30.60,30.60,29.28,29.66,1887300,8.64
2009-04-17,31.71,32.16,30.71,31.10,2527900,9.06
2009-04-16,31.60,31.91,30.96,31.63,1421200,9.21
2009-04-15,31.38,31.72,30.71,31.23,1057000,9.10
2009-04-14,31.24,32.00,31.00,31.49,890900,9.17
2009-04-13,31.23,31.90,30.89,31.71,1019000,9.23
2009-04-09,32.04,32.69,31.79,32.00,1803800,9.32
2009-04-08,29.74,31.04,29.27,31.03,1623000,9.04
2009-04-07,30.44,30.98,30.07,30.63,1077200,8.92
2009-04-06,31.23,31.56,30.69,31.14,1040300,9.07
2009-04-03,31.50,32.19,30.96,31.76,1434300,9.25
2009-04-02,31.00,31.81,30.79,31.50,1881800,9.17
2009-04-01,28.75,30.24,28.51,30.12,1314100,8.77
2009-03-31,29.58,30.03,29.13,29.43,1467700,8.57
2009-03-30,30.05,30.05,28.60,29.26,1443700,8.52
2009-03-27,31.57,31.57,30.59,30.67,1196300,8.93
2009-03-26,32.45,32.87,31.59,32.16,1612700,9.37
2009-03-25,32.19,32.46,31.04,32.07,1723900,9.34
2009-03-24,32.98,33.13,31.93,31.99,2144900,9.32
2009-03-23,32.22,33.55,31.92,33.55,2236100,9.77
2009-03-20,32.01,33.07,30.96,31.28,2332900,9.11
2009-03-19,30.45,32.22,30.12,32.00,3363600,9.32
2009-03-18,28.79,30.11,28.18,29.82,1896100,8.68
2009-03-17,28.12,29.31,27.61,29.31,1455100,8.54
2009-03-16,27.63,28.84,27.63,28.04,1328700,8.17
2009-03-13,27.50,28.26,27.43,27.91,1591600,8.13
2009-03-12,26.69,27.96,26.54,27.80,1078400,8.10
2009-03-11,26.89,27.37,26.43,26.84,1763400,7.82
2009-03-10,25.96,27.30,25.66,26.65,2749300,7.76
2009-03-09,25.59,26.54,25.07,25.27,1787500,7.36
2009-03-06,26.79,27.16,24.85,25.67,2013900,7.48
2009-03-05,27.03,27.21,25.78,26.07,2345200,7.59
2009-03-04,27.29,28.32,26.81,27.85,2654200,8.11
2009-03-03,26.90,27.34,26.07,26.21,2867400,7.63
2009-03-02,27.91,28.03,26.12,26.38,2750500,7.68
2009-02-27,28.96,30.01,28.14,28.83,2335000,8.40
2009-02-26,30.48,31.00,29.52,29.63,1795800,8.63
2009-02-25,29.87,30.54,29.24,29.78,2121100,8.67
2009-02-24,29.17,30.23,28.89,30.03,1634000,8.75
2009-02-23,30.85,31.11,28.78,28.82,2015400,8.39
2009-02-20,30.44,30.94,29.48,30.29,1987800,8.82
2009-02-19,32.01,32.19,31.04,31.18,1617800,9.08
2009-02-18,32.21,32.26,31.14,31.56,2092600,9.19
2009-02-17,33.52,33.89,32.05,32.11,2092500,9.31
2009-02-13,34.72,35.93,34.66,35.14,1505700,10.19
2009-02-12,33.45,34.66,33.13,34.64,2525200,10.05
2009-02-11,35.76,35.79,33.80,34.55,2187600,10.02
2009-02-10,36.55,37.73,34.95,35.38,2922000,10.26
2009-02-09,35.99,37.13,35.99,36.77,2800400,10.67
2009-02-06,35.60,36.27,35.18,36.05,2804000,10.46
2009-02-05,35.04,35.84,34.23,35.78,3172000,10.38
2009-02-04,34.91,36.04,34.73,35.35,2274100,10.25
2009-02-03,34.60,34.92,33.90,34.64,3081800,10.05
2009-02-02,33.12,34.44,32.92,34.21,1849100,9.92
