Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,46.50,46.68,46.23,46.47,2720700,46.47
2012-12-24,46.40,46.65,46.24,46.38,1491000,46.38
2012-12-21,45.97,46.44,45.60,46.41,7871900,46.41
2012-12-20,46.53,46.60,46.24,46.55,3136400,46.55
2012-12-19,47.01,47.04,46.45,46.50,4836600,46.50
2012-12-18,46.41,47.30,46.25,46.97,4532700,46.97
2012-12-17,45.68,46.45,45.57,46.43,3343600,46.43
2012-12-14,45.31,45.73,45.24,45.45,3154800,45.45
2012-12-13,45.41,45.60,45.24,45.35,2613900,45.35
2012-12-12,45.49,45.98,45.22,45.41,3963700,45.41
2012-12-11,45.05,45.41,44.88,45.35,3470500,45.35
2012-12-10,45.47,45.47,44.60,44.94,2804900,44.94
2012-12-07,44.66,45.16,44.61,45.15,4882700,45.15
2012-12-06,44.62,44.70,44.05,44.57,3473400,44.57
2012-12-05,44.42,44.95,44.42,44.63,5065000,44.63
2012-12-04,44.76,45.05,44.29,44.40,5091800,44.40
2012-12-03,44.62,45.07,44.41,44.71,4634900,44.71
2012-11-30,44.56,44.76,44.31,44.44,3693500,44.44
2012-11-29,44.93,45.06,44.45,44.60,3283300,44.60
2012-11-28,44.34,44.76,44.30,44.66,3691500,44.66
2012-11-27,44.81,45.22,44.52,44.54,4364600,44.54
2012-11-26,45.38,45.40,44.66,44.90,3650600,44.90
2012-11-23,45.66,45.81,45.58,45.78,1479300,45.78
2012-11-21,45.26,45.58,45.02,45.40,2676200,45.40
2012-11-20,45.13,45.53,44.92,45.29,2847200,45.29
2012-11-19,44.69,45.50,44.69,45.29,4171700,45.29
2012-11-16,44.60,44.94,43.60,44.21,4634100,44.21
2012-11-15,43.99,44.37,43.90,44.14,4461900,44.14
2012-11-14,44.38,44.71,43.87,43.98,4845000,43.98
2012-11-13,44.14,44.77,44.00,44.28,3437500,44.28
2012-11-12,44.37,44.73,44.23,44.39,2628900,44.39
2012-11-09,44.30,44.94,44.24,44.31,4461800,44.31
2012-11-08,44.80,45.48,44.37,44.38,4848500,44.38
2012-11-07,45.68,45.85,44.63,44.72,6872700,44.72
2012-11-06,46.00,46.65,45.87,46.33,4424800,46.33
2012-11-05,45.23,46.19,45.05,45.93,4616500,45.93
2012-11-02,45.39,45.46,44.68,44.72,3127100,44.72
2012-11-01,44.68,45.32,43.84,45.05,2774800,45.05
2012-10-31,44.60,44.96,44.40,44.57,3153000,44.57
2012-10-26,44.55,44.72,44.07,44.38,4530300,44.38
2012-10-25,44.70,44.91,44.21,44.69,3979600,44.69
2012-10-24,44.13,44.44,44.07,44.26,3619600,44.26
2012-10-23,44.00,44.18,43.74,43.92,3510100,43.92
2012-10-22,44.50,44.85,44.01,44.71,3410700,44.71
2012-10-19,44.78,44.98,44.47,44.66,3973300,44.66
2012-10-18,44.68,45.07,44.55,44.93,4614100,44.93
2012-10-17,43.78,44.78,43.53,44.69,5579600,44.69
2012-10-16,42.08,43.81,41.37,43.53,7758400,43.53
2012-10-15,41.55,41.75,41.28,41.58,3619100,41.58
2012-10-12,41.82,41.82,41.09,41.38,4183100,41.38
2012-10-11,41.85,42.49,41.76,42.02,5134200,42.02
2012-10-10,41.57,41.90,41.40,41.46,4247700,41.46
2012-10-09,41.96,42.08,41.43,41.49,8732000,41.49
2012-10-08,41.89,42.13,41.77,41.95,5339200,41.95
2012-10-05,42.59,42.68,41.88,41.99,5490600,41.99
2012-10-04,42.10,42.66,42.05,42.29,4119200,42.29
2012-10-03,42.29,42.45,41.86,41.94,4604400,41.94
2012-10-02,42.29,42.35,41.84,42.08,3210800,42.08
2012-10-01,42.26,42.63,41.88,42.07,3358400,42.07
2012-09-28,41.90,42.06,41.61,41.96,3306200,41.96
2012-09-27,41.76,42.31,41.42,42.04,6094400,42.04
2012-09-26,42.27,42.31,41.69,41.71,4580000,41.47
2012-09-25,43.79,44.05,42.35,42.36,4809800,42.12
2012-09-24,43.42,43.60,42.96,43.39,2740000,43.14
2012-09-21,43.84,44.11,43.66,43.71,4494800,43.46
2012-09-20,43.11,43.54,42.86,43.43,2979800,43.18
2012-09-19,43.71,43.91,43.44,43.45,3711000,43.20
2012-09-18,43.71,43.94,43.47,43.69,3836200,43.44
2012-09-17,43.96,44.11,43.79,43.91,4377300,43.66
2012-09-14,44.31,44.61,43.79,43.92,5992000,43.67
2012-09-13,43.14,44.34,42.88,44.09,4527300,43.84
2012-09-12,43.21,43.36,42.94,43.18,3088100,42.93
2012-09-11,42.79,43.36,42.55,43.10,3047000,42.85
2012-09-10,42.63,43.31,42.55,42.90,5019400,42.65
2012-09-07,42.96,43.03,42.76,43.00,4434100,42.75
2012-09-06,42.30,42.99,42.26,42.86,3817600,42.61
2012-09-05,41.74,42.11,41.64,41.95,3269600,41.71
2012-09-04,41.60,41.95,41.47,41.72,3118900,41.48
2012-08-31,41.40,41.86,41.33,41.60,2984800,41.36
2012-08-30,41.01,41.36,40.84,41.18,2203900,40.94
2012-08-29,41.09,41.41,41.09,41.23,3259100,40.99
2012-08-28,41.04,41.31,40.92,41.10,2413100,40.86
2012-08-27,41.53,41.62,41.07,41.10,3435600,40.86
2012-08-24,41.07,41.56,40.93,41.44,3071400,41.20
2012-08-23,41.55,41.66,40.97,41.22,2573600,40.98
2012-08-22,41.81,42.03,41.49,41.68,2140500,41.44
2012-08-21,41.96,42.33,41.70,41.85,3035600,41.61
2012-08-20,41.70,42.02,41.66,41.91,2574100,41.67
2012-08-17,41.91,41.97,41.77,41.91,2967300,41.67
2012-08-16,41.08,41.74,41.03,41.57,2558500,41.33
2012-08-15,41.25,41.54,41.17,41.35,2497300,41.11
2012-08-14,42.10,42.15,41.08,41.22,3514200,40.98
2012-08-13,41.69,41.94,41.45,41.79,1793300,41.55
2012-08-10,41.72,41.91,41.46,41.85,1963500,41.61
2012-08-09,41.35,41.97,41.17,41.81,2730300,41.57
2012-08-08,41.19,41.47,41.03,41.38,2961600,41.14
2012-08-07,40.66,41.49,40.57,41.31,4127400,41.07
2012-08-06,40.82,40.87,40.43,40.49,2929000,40.26
2012-08-03,40.20,40.90,40.14,40.70,3378100,40.47
2012-08-02,39.88,40.04,39.35,39.56,4964900,39.33
2012-08-01,40.38,40.88,40.11,40.24,3946500,40.01
2012-07-31,40.28,40.53,40.19,40.38,3863000,40.15
2012-07-30,40.28,40.52,40.09,40.18,2194200,39.95
2012-07-27,39.90,40.55,39.75,40.37,5209300,40.14
2012-07-26,39.60,39.84,39.30,39.69,5521500,39.46
2012-07-25,39.63,39.82,39.14,39.17,3902700,38.94
2012-07-24,39.75,39.90,39.18,39.42,3687500,39.19
2012-07-23,39.45,39.94,38.95,39.72,4445700,39.49
2012-07-20,41.23,41.30,40.00,40.08,4925100,39.85
2012-07-19,41.54,41.92,41.25,41.54,4270500,41.30
2012-07-18,41.04,41.72,40.68,41.61,5380900,41.37
2012-07-17,42.85,42.86,41.01,41.33,9317600,41.09
2012-07-16,44.04,44.21,43.51,44.14,2740200,43.89
2012-07-13,43.03,44.16,42.98,44.11,3333900,43.86
2012-07-12,42.89,43.06,42.64,42.80,3756200,42.55
2012-07-11,43.20,43.47,42.95,43.20,3588700,42.95
2012-07-10,43.11,44.00,42.95,43.18,2568800,42.93
2012-07-09,43.36,43.96,43.12,43.67,2032700,43.42
2012-07-06,44.24,44.76,43.88,44.04,2739300,43.79
2012-07-05,44.58,45.09,44.27,44.80,2862100,44.54
2012-07-03,44.54,45.02,44.44,44.91,1575400,44.65
2012-07-02,44.62,45.02,44.15,44.72,2288300,44.46
2012-06-29,44.29,44.83,43.99,44.64,4608000,44.38
2012-06-28,42.52,43.21,42.17,43.17,2600100,42.92
2012-06-27,42.71,43.12,42.22,42.99,2949300,42.50
2012-06-26,42.62,42.81,42.25,42.50,2234100,42.02
2012-06-25,43.26,43.27,42.47,42.50,2693800,42.02
2012-06-22,43.42,43.94,43.28,43.91,4434500,43.41
2012-06-21,44.07,44.16,43.01,43.14,4393000,42.65
2012-06-20,44.48,44.67,43.56,43.90,4624300,43.40
2012-06-19,43.83,44.58,43.65,44.42,2583500,43.92
2012-06-18,43.77,43.77,43.48,43.61,3468500,43.12
2012-06-15,43.58,43.90,43.36,43.85,3747100,43.35
2012-06-14,43.38,43.57,42.85,43.30,5140900,42.81
2012-06-13,43.15,43.85,43.04,43.32,5078000,42.83
2012-06-12,42.87,43.45,42.67,43.42,4623000,42.93
2012-06-11,42.60,43.25,42.41,42.79,6335100,42.31
2012-06-08,41.86,42.16,41.53,42.16,4617500,41.68
2012-06-07,41.79,42.15,41.59,41.85,4658800,41.38
2012-06-06,40.36,41.27,40.22,41.12,2964800,40.66
2012-06-05,39.35,40.08,39.33,39.86,3850400,39.41
2012-06-04,39.82,40.12,39.27,39.52,3894500,39.07
2012-06-01,40.39,40.50,39.86,39.88,4683600,39.43
2012-05-31,41.57,41.73,40.67,41.21,5060700,40.74
2012-05-30,42.16,42.17,41.42,41.63,3553800,41.16
2012-05-29,42.02,42.61,42.00,42.57,2921400,42.09
2012-05-25,41.49,42.08,41.49,41.78,2344800,41.31
2012-05-24,41.94,42.00,41.29,41.73,2332700,41.26
2012-05-23,41.05,41.97,40.82,41.90,3586400,41.43
2012-05-22,41.72,42.25,41.19,41.44,4915300,40.97
2012-05-21,41.18,41.81,40.93,41.64,2812200,41.17
2012-05-18,41.71,42.04,40.94,41.10,4539900,40.64
2012-05-17,41.75,42.27,41.49,41.50,4275100,41.03
2012-05-16,43.02,43.41,41.79,41.80,4682700,41.33
2012-05-15,42.30,43.21,42.21,42.78,4409400,42.30
2012-05-14,43.30,43.48,42.42,42.44,5671500,41.96
2012-05-11,43.27,44.01,43.01,43.57,3904600,43.08
2012-05-10,44.16,44.46,43.80,43.90,3141500,43.40
2012-05-09,44.19,44.23,43.52,43.66,4499300,43.17
2012-05-08,44.79,45.23,44.38,44.74,3824700,44.23
2012-05-07,45.07,45.69,44.99,45.27,2742200,44.76
2012-05-04,45.81,46.13,44.86,45.19,3944400,44.68
2012-05-03,46.25,46.53,45.97,46.07,3120400,45.55
2012-05-02,46.19,46.38,45.95,46.16,2425600,45.64
2012-05-01,46.16,47.13,46.16,46.55,2806100,46.02
2012-04-30,46.19,46.31,45.95,46.22,2087900,45.70
2012-04-27,46.58,46.82,46.24,46.32,3188600,45.80
2012-04-26,45.81,46.61,45.73,46.36,2907100,45.84
2012-04-25,45.59,46.11,45.46,45.95,3484000,45.43
2012-04-24,44.67,45.29,44.64,45.22,3072500,44.71
2012-04-23,44.44,44.78,44.33,44.57,2942800,44.07
2012-04-20,45.47,45.77,45.08,45.12,4442900,44.61
2012-04-19,44.84,45.45,44.74,45.03,5106800,44.52
2012-04-18,44.09,45.29,44.02,44.94,4640400,44.43
2012-04-17,43.91,44.73,42.73,44.55,6342800,44.05
2012-04-16,43.54,43.95,43.13,43.68,3095100,43.19
2012-04-13,44.03,44.12,43.17,43.19,3317900,42.70
2012-04-12,43.34,44.25,43.27,44.18,2909200,43.68
2012-04-11,43.62,43.81,43.21,43.32,2270300,42.83
2012-04-10,43.70,44.00,42.98,43.00,3121300,42.51
2012-04-09,43.84,44.01,43.40,43.82,3858400,43.32
