Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,30.51,30.59,29.94,30.29,2795800,30.29
2012-12-21,29.91,30.50,29.15,30.46,17452400,30.46
2012-12-20,30.27,30.53,29.85,30.38,5843000,30.38
2012-12-19,30.00,30.83,29.80,30.32,14140100,30.32
2012-12-18,28.20,29.49,28.15,29.36,12658100,29.36
2012-12-17,27.82,28.29,27.70,28.05,5504000,28.05
2012-12-14,27.70,27.75,27.35,27.65,5682400,27.65
2012-12-13,27.74,28.20,27.52,27.75,7256800,27.75
2012-12-12,27.90,28.17,27.67,27.75,10180100,27.75
2012-12-11,29.16,29.66,28.73,29.03,9494900,28.65
2012-12-10,28.32,29.82,28.30,28.91,12138200,28.53
2012-12-07,28.78,28.87,28.29,28.34,7988400,27.97
2012-12-06,27.44,28.73,27.41,28.53,11358300,28.16
2012-12-05,26.46,28.46,26.40,27.60,17209400,27.24
2012-12-04,25.44,26.47,25.43,26.46,11623500,26.11
2012-12-03,25.35,25.71,25.16,25.36,6603500,25.03
2012-11-30,25.69,25.69,24.90,25.10,11474600,24.77
2012-11-29,25.74,25.86,24.98,25.26,10280500,24.93
2012-11-28,25.87,26.10,25.43,25.69,9984900,25.35
2012-11-27,27.33,27.40,25.90,25.95,13851600,25.61
2012-11-26,27.24,27.43,26.92,27.35,5951900,26.99
2012-11-23,26.97,27.44,26.77,27.29,2963500,26.93
2012-11-21,26.76,27.30,26.53,26.75,9049000,26.40
2012-11-20,27.00,27.08,26.24,26.63,11100500,26.28
2012-11-19,27.31,27.47,26.88,27.09,9254500,26.74
2012-11-16,26.88,27.31,26.46,27.11,10345400,26.76
2012-11-15,26.71,27.13,26.71,26.87,11176600,26.52
2012-11-14,28.07,28.10,26.71,26.78,15458400,26.43
2012-11-13,27.77,28.24,27.20,27.93,8996300,27.56
2012-11-12,29.13,29.19,28.01,28.05,6656000,27.68
2012-11-09,29.15,29.96,29.04,29.06,9458900,28.68
2012-11-08,29.37,29.92,29.37,29.61,7583300,28.91
2012-11-07,29.82,30.19,29.31,29.32,9819900,28.62
2012-11-06,29.00,30.35,28.76,30.29,9873400,29.57
2012-11-05,28.06,28.92,28.05,28.84,5604600,28.15
2012-11-02,28.62,28.62,27.99,28.02,6058100,27.35
2012-11-01,27.34,28.33,27.24,28.23,7476500,27.56
2012-10-31,27.49,27.82,26.77,27.33,11797200,26.68
2012-10-26,28.07,28.42,27.76,27.91,6666600,27.25
2012-10-25,27.98,28.37,27.81,28.13,6876600,27.46
2012-10-24,27.96,28.01,27.43,27.70,7693400,27.04
2012-10-23,26.82,28.09,26.75,27.80,13701300,27.14
2012-10-22,27.97,28.37,27.91,28.31,7747700,27.64
2012-10-19,27.95,28.19,27.82,27.90,10379900,27.24
2012-10-18,28.17,28.66,27.94,27.97,6689000,27.31
2012-10-17,28.62,28.86,28.16,28.38,4567500,27.71
2012-10-16,28.61,29.03,28.44,28.58,6295800,27.90
2012-10-15,28.08,28.49,27.98,28.43,5772800,27.75
2012-10-12,27.24,28.42,27.14,28.07,16903500,27.40
2012-10-11,28.58,28.93,28.13,28.25,7329900,27.58
2012-10-10,28.60,28.75,28.00,28.23,8189700,27.56
2012-10-09,29.38,29.50,28.38,28.69,9163900,28.01
2012-10-08,29.50,29.74,29.27,29.53,4528700,28.83
