Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,18.25,18.33,17.61,17.64,6073800,17.64
2013-01-04,18.38,18.42,18.10,18.30,5615400,18.30
2013-01-03,18.19,18.47,18.04,18.34,7238300,18.34
2013-01-02,18.36,18.48,18.17,18.35,4198600,18.35
2012-12-31,17.70,18.12,17.57,18.09,3120700,18.09
2012-12-28,17.62,17.79,17.60,17.70,2691500,17.70
2012-12-27,17.94,18.00,17.59,17.72,3726600,17.72
2012-12-26,18.09,18.09,17.91,17.92,2020400,17.92
2012-12-24,17.93,18.24,17.89,18.02,3529400,18.02
2012-12-21,17.94,18.13,17.73,17.93,4750000,17.93
2012-12-20,18.16,18.22,17.90,18.16,3376500,18.16
2012-12-19,18.31,18.44,17.93,18.14,3716000,18.14
2012-12-18,17.86,18.24,17.75,18.24,5057200,18.24
2012-12-17,17.70,17.95,17.66,17.81,3557900,17.81
2012-12-14,17.70,17.91,17.55,17.65,2701500,17.65
2012-12-13,17.80,17.87,17.41,17.73,4439400,17.73
2012-12-12,17.74,17.89,17.58,17.85,5279100,17.67
2012-12-11,18.01,18.09,17.61,17.66,4608100,17.49
2012-12-10,17.95,18.12,17.75,17.98,3300700,17.80
2012-12-07,17.91,18.10,17.64,17.94,6584100,17.76
2012-12-06,17.73,19.36,17.59,17.88,19146900,17.70
2012-12-05,17.06,17.52,17.00,17.46,7709200,17.29
2012-12-04,16.85,17.08,16.64,17.01,4308800,16.84
2012-12-03,17.16,17.18,16.83,16.91,2778800,16.74
2012-11-30,17.06,17.13,16.91,17.11,3789300,16.94
2012-11-29,17.11,17.25,16.92,17.05,3708600,16.88
2012-11-28,16.49,16.98,16.34,16.96,2749700,16.79
2012-11-27,16.43,16.76,16.38,16.54,3482000,16.38
2012-11-26,16.89,16.94,16.30,16.41,4986600,16.25
2012-11-23,16.54,17.00,16.51,16.96,2498000,16.79
2012-11-21,16.17,16.47,16.17,16.47,2480100,16.31
2012-11-20,16.70,16.74,16.07,16.10,7240800,15.94
2012-11-19,16.68,16.84,16.65,16.76,4026700,16.60
2012-11-16,16.30,16.62,16.11,16.60,5185800,16.44
2012-11-15,16.05,16.33,16.00,16.30,4572700,16.14
2012-11-14,16.33,16.38,16.03,16.06,5086900,15.90
2012-11-13,16.55,16.66,16.27,16.28,4061100,16.12
2012-11-12,16.60,16.83,16.54,16.66,2976300,16.50
2012-11-09,16.29,16.66,16.26,16.60,4012900,16.44
2012-11-08,16.30,16.42,16.16,16.41,3757200,16.25
2012-11-07,16.90,16.91,16.25,16.30,4973200,16.14
2012-11-06,16.79,17.06,16.77,17.00,4461600,16.83
2012-11-05,16.78,16.84,16.64,16.71,4188900,16.55
2012-11-02,16.62,16.87,16.49,16.83,5564900,16.66
