Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,33.49,33.95,33.49,33.74,9673500,33.74
2012-12-21,33.94,34.14,33.52,33.67,55350500,33.67
2012-12-20,33.88,34.20,33.82,34.17,25415900,34.17
2012-12-19,34.27,34.34,33.88,33.91,25205500,33.91
2012-12-18,34.14,34.44,33.97,34.34,34858000,34.34
2012-12-17,34.08,34.27,33.96,34.23,24809000,34.23
2012-12-14,34.25,34.39,33.98,34.01,26190800,34.01
2012-12-13,34.50,34.63,34.26,34.32,18939300,34.32
2012-12-12,34.25,34.69,34.24,34.49,24038700,34.49
2012-12-11,33.81,34.23,33.81,34.15,23725800,34.15
2012-12-10,33.68,33.88,33.47,33.73,20842600,33.73
2012-12-07,33.70,33.81,33.42,33.74,22337700,33.74
2012-12-06,33.85,34.06,33.60,33.65,23415000,33.65
2012-12-05,33.78,34.31,33.77,33.91,29170900,33.91
2012-12-04,34.05,34.12,33.82,33.92,21290900,33.92
2012-12-03,34.23,34.40,34.03,34.14,19611800,34.14
2012-11-30,33.95,34.35,33.93,34.13,36130600,34.13
2012-11-29,33.79,34.07,33.77,33.93,29542600,33.93
2012-11-28,33.47,33.67,33.21,33.62,30828500,33.62
2012-11-27,33.93,34.02,33.56,33.62,26506100,33.62
2012-11-26,34.14,34.22,33.80,33.97,34852800,33.97
2012-11-23,33.96,34.36,33.86,34.36,21697600,34.36
2012-11-21,33.78,33.90,33.57,33.85,27868900,33.85
2012-11-20,33.83,33.84,33.45,33.68,20489800,33.68
2012-11-19,33.46,33.89,32.71,33.82,21731800,33.82
2012-11-16,33.33,33.40,32.90,33.14,32351100,33.14
2012-11-15,33.65,33.94,33.18,33.42,26051100,33.42
2012-11-14,34.05,34.28,33.67,33.78,25150900,33.78
2012-11-13,33.87,34.43,33.76,33.95,23021200,33.95
2012-11-12,33.66,34.04,33.55,33.87,19995900,33.87
2012-11-09,33.02,33.72,32.71,33.54,31871300,33.54
2012-11-08,33.81,33.94,33.18,33.20,36669200,33.20
2012-11-07,33.80,34.15,33.28,33.64,45957200,33.64
2012-11-06,34.80,34.93,34.59,34.80,19179000,34.80
2012-11-05,34.88,34.94,34.43,34.83,17674700,34.83
2012-11-02,35.16,35.38,34.91,34.93,28329400,34.93
2012-11-01,34.84,35.12,34.72,35.09,23895800,35.09
2012-10-31,34.75,34.88,34.43,34.59,20591400,34.59
2012-10-26,34.47,34.80,34.35,34.63,18839200,34.63
2012-10-25,34.94,34.95,34.22,34.50,22342700,34.50
2012-10-24,34.48,34.98,33.00,34.71,36018300,34.71
2012-10-23,35.01,35.47,34.91,35.00,23734100,35.00
2012-10-22,35.24,35.39,35.05,35.26,20800800,35.26
2012-10-19,36.10,36.10,35.29,35.32,27580100,35.32
2012-10-18,35.85,36.57,35.82,36.02,26911000,36.02
2012-10-17,35.60,35.88,35.44,35.72,22662400,35.72
2012-10-16,35.23,35.67,35.11,35.40,28296900,35.40
2012-10-15,35.40,35.43,34.83,35.21,46233400,35.21
2012-10-12,36.25,36.27,35.40,35.63,37074200,35.63
2012-10-11,37.01,37.10,36.26,36.26,29416800,36.26
2012-10-10,37.09,37.15,36.85,36.92,19894500,36.92
2012-10-09,37.66,37.69,37.13,37.14,23385100,37.14
2012-10-08,37.71,37.88,37.50,37.66,15015300,37.66
2012-10-05,38.20,38.29,37.75,37.86,20824800,37.86
2012-10-04,38.33,38.43,38.22,38.34,20322700,37.90
2012-10-03,37.89,38.33,37.67,38.17,21572900,37.73
2012-10-02,37.93,38.10,37.68,37.81,20509500,37.38
2012-10-01,37.63,37.97,37.60,37.75,53520100,37.32
2012-09-28,37.91,37.97,37.60,37.70,59909900,37.27
2012-09-27,38.13,38.29,37.90,37.99,28532800,37.55
2012-09-26,38.08,38.38,38.00,38.08,24688900,37.64
2012-09-25,38.34,38.57,38.04,38.06,17693700,37.62
2012-09-24,38.30,38.49,38.22,38.25,20126200,37.81
2012-09-21,38.04,38.58,38.04,38.08,36093800,37.64
2012-09-20,37.72,38.11,37.60,37.94,23253600,37.50
2012-09-19,37.55,37.96,37.52,37.76,21093900,37.33
2012-09-18,37.52,37.74,37.23,37.66,23035700,37.23
2012-09-17,37.14,37.65,37.11,37.60,28919500,37.17
2012-09-14,37.74,37.88,37.05,37.26,41113300,36.83
2012-09-13,37.69,38.21,37.63,38.15,26496300,37.71
2012-09-12,37.65,38.11,37.50,37.72,23510400,37.29
2012-09-11,37.44,37.80,37.44,37.62,18771700,37.19
2012-09-10,37.32,37.64,37.22,37.42,18279800,36.99
2012-09-07,37.46,37.46,36.91,37.30,20811600,36.87
2012-09-06,37.18,37.54,37.11,37.44,24345400,37.01
2012-09-05,36.78,37.02,36.70,36.93,22805800,36.51
2012-09-04,36.58,36.92,36.54,36.81,23824200,36.39
2012-08-31,36.90,36.97,36.56,36.64,20144800,36.22
2012-08-30,36.70,36.84,36.57,36.69,15792600,36.27
2012-08-29,36.66,37.05,36.66,36.82,15925700,36.40
2012-08-28,36.73,37.00,36.59,36.64,20301100,36.22
2012-08-27,36.83,36.99,36.75,36.87,22007300,36.45
2012-08-24,36.46,37.04,36.45,36.95,23211700,36.53
2012-08-23,36.57,36.70,36.43,36.56,20946000,36.14
2012-08-22,36.54,36.73,36.45,36.56,21678700,36.14
2012-08-21,36.86,36.89,36.57,36.59,24900000,36.17
2012-08-20,37.03,37.04,36.81,36.89,25286800,36.47
2012-08-17,37.10,37.27,37.07,37.17,17824500,36.74
2012-08-16,37.08,37.32,36.63,37.24,23110400,36.81
2012-08-15,37.11,37.27,36.97,37.10,21046300,36.67
2012-08-14,37.44,37.52,37.17,37.25,20275700,36.82
2012-08-13,37.41,37.51,37.32,37.39,13117500,36.96
2012-08-10,37.18,37.50,37.04,37.49,16589500,37.06
2012-08-09,37.32,37.39,37.05,37.23,21159700,36.80
2012-08-08,37.33,37.51,37.03,37.43,22446800,37.00
2012-08-07,37.72,37.80,37.41,37.44,21769500,37.01
2012-08-06,37.58,37.97,37.57,37.61,16362500,37.18
2012-08-03,37.87,38.00,37.47,37.58,24292000,37.15
2012-08-02,37.52,37.76,37.33,37.54,24657600,37.11
2012-08-01,38.14,38.28,37.64,37.64,28003600,37.21
2012-07-31,37.30,38.11,37.30,37.92,36692300,37.48
2012-07-30,37.08,37.69,37.03,37.43,24892300,37.00
2012-07-27,36.47,37.35,36.44,37.14,45572900,36.71
2012-07-26,35.84,36.43,35.83,36.30,34751200,35.88
2012-07-25,34.84,35.52,34.73,35.33,31936700,34.92
2012-07-24,35.46,35.65,34.24,34.63,38629700,34.23
2012-07-23,35.00,35.50,34.89,35.38,27252700,34.97
2012-07-20,35.34,35.50,35.10,35.29,26677300,34.89
2012-07-19,35.85,35.87,35.20,35.48,30349500,35.07
2012-07-18,35.74,36.19,35.63,36.19,25449900,35.77
2012-07-17,35.34,35.90,35.25,35.82,21328400,35.41
2012-07-16,35.22,35.56,35.19,35.42,17691300,35.01
2012-07-13,34.93,35.35,34.85,35.35,19190100,34.94
2012-07-12,35.04,35.10,34.65,34.87,24143600,34.47
2012-07-11,35.42,35.48,35.10,35.26,20684700,34.86
2012-07-10,35.70,35.73,35.39,35.44,21606900,35.03
2012-07-09,35.38,35.54,35.23,35.54,17414000,35.13
2012-07-06,35.04,35.50,34.90,35.44,22049600,35.03
2012-07-05,35.96,35.97,35.53,35.77,22817200,34.92
2012-07-03,36.21,36.21,35.79,36.00,15479800,35.15
2012-07-02,35.70,36.20,35.64,36.20,24801600,35.34
2012-06-29,35.70,35.73,35.44,35.66,30458800,34.82
2012-06-28,35.03,35.40,34.95,35.39,21426600,34.55
2012-06-27,35.05,35.28,35.02,35.19,16185100,34.36
2012-06-26,34.93,35.12,34.85,34.98,20488400,34.15
2012-06-25,34.96,35.05,34.77,34.95,87787000,34.12
2012-06-22,35.21,35.33,34.99,35.17,87136400,34.34
2012-06-21,35.44,35.65,34.98,35.03,28404000,34.20
2012-06-20,35.38,35.63,35.20,35.41,23353100,34.57
2012-06-19,35.78,35.80,35.19,35.47,26838900,34.63
2012-06-18,35.66,35.98,35.60,35.63,22627200,34.79
2012-06-15,35.93,36.00,35.61,35.71,41585800,34.87
2012-06-14,34.92,35.92,34.88,35.69,31612200,34.85
2012-06-13,34.94,35.06,34.72,34.98,36956300,34.15
2012-06-12,34.63,34.99,34.42,34.98,27812900,34.15
2012-06-11,34.72,35.00,34.56,34.59,26192000,33.77
2012-06-08,34.13,34.66,34.11,34.55,27959400,33.73
2012-06-07,34.72,34.74,34.16,34.16,42417600,33.35
2012-06-06,34.19,34.56,34.05,34.56,27729800,33.74
2012-06-05,34.09,34.26,33.95,34.06,24424900,33.25
2012-06-04,33.91,34.27,33.85,34.15,26700400,33.34
2012-06-01,34.10,34.21,33.78,33.90,29091800,33.10
