Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,16.96,17.07,16.83,16.96,948300,16.96
2012-12-21,16.94,17.08,16.86,17.03,3370600,17.03
2012-12-20,16.94,17.08,16.82,17.05,3643300,17.05
2012-12-19,16.91,17.00,16.84,16.89,1258100,16.89
2012-12-18,16.82,16.97,16.77,16.92,3943900,16.92
2012-12-17,16.65,16.85,16.62,16.83,1657700,16.83
2012-12-14,16.62,16.71,16.55,16.60,2130300,16.60
2012-12-13,16.80,16.86,16.64,16.64,1968200,16.64
2012-12-12,16.86,16.99,16.82,16.82,1455600,16.82
2012-12-11,16.87,16.97,16.83,16.86,1036200,16.86
2012-12-10,16.81,16.89,16.75,16.86,1093500,16.86
2012-12-07,16.86,16.90,16.77,16.84,1121100,16.84
2012-12-06,16.90,16.93,16.77,16.83,1250100,16.83
2012-12-05,16.67,16.95,16.65,16.88,1572000,16.88
2012-12-04,16.67,16.79,16.63,16.64,1222400,16.64
2012-12-03,16.86,16.86,16.59,16.65,1524600,16.65
2012-11-30,16.72,16.81,16.66,16.81,1945000,16.81
2012-11-29,16.60,16.74,16.58,16.69,1706000,16.69
2012-11-28,16.48,16.64,16.42,16.58,1892300,16.58
2012-11-27,16.43,16.59,16.38,16.52,1931000,16.52
2012-11-26,16.17,16.49,16.16,16.40,1562900,16.40
2012-11-23,16.34,16.36,16.15,16.21,795500,16.21
2012-11-21,16.39,16.40,16.12,16.31,1376800,16.31
2012-11-20,16.44,16.48,16.26,16.36,1394500,16.36
2012-11-19,16.64,16.64,16.33,16.41,1759600,16.41
2012-11-16,16.40,16.52,16.26,16.51,2214500,16.51
2012-11-15,16.57,16.64,16.30,16.40,2402000,16.40
2012-11-14,16.82,16.83,16.55,16.60,1585800,16.60
2012-11-13,16.67,16.95,16.65,16.77,1470700,16.77
2012-11-12,16.90,16.97,16.69,16.74,1806000,16.74
2012-11-09,17.03,17.25,16.86,16.92,3100800,16.92
2012-11-08,17.43,17.45,17.06,17.06,2856900,17.06
2012-11-07,17.74,17.76,17.45,17.48,3788700,17.26
2012-11-06,17.89,17.95,17.81,17.84,1824000,17.62
2012-11-05,17.75,17.83,17.63,17.81,2770400,17.59
2012-11-02,17.96,18.00,17.80,17.82,3346500,17.60
2012-11-01,17.83,18.00,17.71,17.88,2197900,17.65
2012-10-31,17.73,17.91,17.57,17.87,1674800,17.65
2012-10-26,17.57,17.66,17.55,17.61,1393700,17.39
2012-10-25,17.55,17.62,17.41,17.54,1280600,17.32
2012-10-24,17.64,17.69,17.45,17.49,1503700,17.27
2012-10-23,17.67,17.74,17.46,17.59,1653600,17.37
2012-10-22,17.88,17.91,17.69,17.80,1165500,17.58
2012-10-19,18.00,18.14,17.86,17.89,1964800,17.66
2012-10-18,17.95,18.00,17.84,18.00,1264300,17.77
2012-10-17,17.77,17.97,17.71,17.96,1145400,17.73
2012-10-16,17.64,17.72,17.63,17.68,1128800,17.46
2012-10-15,17.55,17.61,17.45,17.59,941000,17.37
2012-10-12,17.77,17.80,17.48,17.52,1997300,17.30
