Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,17.17,17.22,16.94,17.15,1696600,17.15
2013-01-04,17.27,17.37,17.13,17.30,1904500,17.30
2013-01-03,17.44,17.44,17.18,17.26,2177200,17.26
2013-01-02,17.28,17.49,17.18,17.49,3255700,17.49
2012-12-31,16.35,16.90,16.29,16.89,2124600,16.89
2012-12-28,16.43,16.63,16.35,16.42,1216800,16.42
2012-12-27,16.56,16.64,16.24,16.56,2040900,16.56
2012-12-26,16.63,16.89,16.54,16.54,1202700,16.54
2012-12-24,16.53,16.85,16.53,16.54,1087000,16.54
2012-12-21,16.56,16.75,16.39,16.75,2762600,16.75
2012-12-20,16.70,16.88,16.52,16.87,1464000,16.87
2012-12-19,16.77,16.85,16.67,16.69,2015500,16.69
2012-12-18,16.47,16.80,16.41,16.77,2267500,16.77
2012-12-17,16.59,16.68,16.28,16.47,2713600,16.47
2012-12-14,16.47,16.68,16.37,16.49,1815600,16.49
2012-12-13,16.57,16.64,16.24,16.33,2183700,16.33
2012-12-12,16.66,16.70,16.50,16.60,5054100,16.60
2012-12-11,16.43,16.63,16.38,16.60,3024700,16.60
2012-12-10,15.90,16.40,15.90,16.33,3001700,16.33
2012-12-07,15.96,16.00,15.77,15.84,2174000,15.84
2012-12-06,15.70,15.92,15.70,15.90,1751800,15.90
2012-12-05,15.78,15.88,15.54,15.73,1631000,15.73
2012-12-04,15.60,15.88,15.51,15.78,1882900,15.78
2012-12-03,15.78,15.80,15.51,15.57,1949100,15.57
2012-11-30,15.76,15.80,15.55,15.64,1993900,15.64
2012-11-29,15.77,15.92,15.51,15.76,3812200,15.76
2012-11-28,15.40,15.82,15.18,15.79,1928300,15.79
2012-11-27,15.62,15.78,15.52,15.56,1585400,15.56
2012-11-26,15.87,16.02,15.61,15.67,1881000,15.67
2012-11-23,15.51,16.03,15.51,15.93,1460100,15.93
2012-11-21,15.28,15.58,15.25,15.46,1728100,15.46
2012-11-20,15.29,15.47,15.13,15.29,3839300,15.29
2012-11-19,15.26,15.45,15.21,15.35,1894700,15.35
2012-11-16,14.91,15.09,14.68,15.03,2972600,15.03
2012-11-15,15.24,15.30,14.82,14.86,2523600,14.86
2012-11-14,15.55,15.68,15.19,15.23,5926800,15.23
2012-11-13,15.32,15.72,15.32,15.54,1907600,15.54
2012-11-12,15.53,15.72,15.45,15.68,2360200,15.68
2012-11-09,15.35,15.72,15.26,15.51,3254100,15.51
2012-11-08,15.53,15.66,15.36,15.39,2963900,15.39
2012-11-07,15.69,15.78,15.30,15.52,3729900,15.52
2012-11-06,15.72,16.15,15.70,15.93,4754700,15.93
2012-11-05,15.25,15.75,15.25,15.68,4002100,15.68
2012-11-02,15.37,15.49,15.15,15.31,3483000,15.31
2012-11-01,14.69,15.42,14.61,15.42,3632300,15.42
2012-10-31,14.53,14.63,14.30,14.62,3608200,14.62
2012-10-26,14.65,14.80,14.46,14.50,4013200,14.50
2012-10-25,13.84,14.98,13.65,14.73,12413200,14.73
2012-10-24,13.97,14.06,13.60,13.62,5227300,13.62
2012-10-23,13.93,13.97,13.74,13.80,5320200,13.80
2012-10-22,14.12,14.25,14.02,14.17,2993300,14.17
2012-10-19,14.16,14.30,14.01,14.12,4315700,14.12
2012-10-18,14.15,14.36,14.07,14.25,2528000,14.25
2012-10-17,14.07,14.31,14.03,14.16,2398800,14.16
2012-10-16,13.80,14.18,13.79,14.10,1987000,14.10
2012-10-15,13.66,13.78,13.40,13.73,2506800,13.73
2012-10-12,13.60,13.73,13.54,13.62,2221000,13.62
2012-10-11,13.61,13.81,13.55,13.68,2545100,13.68
2012-10-10,13.79,13.82,13.44,13.49,2648900,13.49
2012-10-09,13.96,14.03,13.67,13.79,3596000,13.79
2012-10-08,13.96,14.10,13.86,14.00,2285300,14.00
2012-10-05,14.19,14.38,14.01,14.07,2906300,14.07
2012-10-04,14.05,14.12,13.86,14.09,4707100,14.09
2012-10-03,14.18,14.21,13.93,13.97,3765800,13.97
2012-10-02,14.24,14.32,14.10,14.16,3520300,14.16
2012-10-01,14.30,14.30,13.95,14.14,4351200,14.14
2012-09-28,14.27,14.32,14.01,14.22,3491500,14.22
2012-09-27,14.17,14.50,13.93,14.43,4967900,14.43
2012-09-26,14.22,14.23,13.80,14.05,5912700,14.05
2012-09-25,14.52,14.69,14.28,14.32,5523200,14.32
2012-09-24,14.50,14.59,14.14,14.41,4154700,14.41
2012-09-21,14.77,14.90,14.58,14.60,3245800,14.60
2012-09-20,14.86,14.87,14.62,14.70,3716700,14.70
2012-09-19,15.09,15.13,14.75,14.98,5416600,14.98
2012-09-18,15.61,15.63,15.11,15.15,6547600,15.15
2012-09-17,16.29,16.31,15.56,15.67,3263400,15.67
2012-09-14,16.21,16.49,16.21,16.43,3078500,16.43
2012-09-13,15.82,16.21,15.49,16.20,4217600,16.20
2012-09-12,15.96,16.11,15.73,15.85,2186000,15.85
2012-09-11,16.05,16.15,15.87,15.89,2103300,15.89
2012-09-10,16.21,16.35,16.00,16.02,2693800,16.02
2012-09-07,15.87,16.28,15.75,16.28,4056100,16.28
2012-09-06,15.54,16.19,15.54,15.96,2515700,15.96
2012-09-05,15.55,15.60,15.30,15.43,2138700,15.43
2012-09-04,15.58,15.68,15.18,15.58,1514700,15.58
2012-08-31,15.60,15.71,15.35,15.62,1468200,15.62
2012-08-30,15.49,15.54,15.30,15.45,1246800,15.45
2012-08-29,15.69,15.79,15.51,15.62,1537100,15.62
2012-08-28,15.60,15.83,15.53,15.70,2342300,15.70
2012-08-27,15.80,15.80,15.51,15.60,1490100,15.60
2012-08-24,15.50,15.80,15.32,15.74,2379300,15.74
2012-08-23,15.62,15.71,15.46,15.55,2053700,15.55
2012-08-22,15.72,15.80,15.53,15.70,2518300,15.70
2012-08-21,15.73,15.94,15.69,15.79,3363500,15.79
2012-08-20,15.85,15.86,15.53,15.70,2446400,15.70
2012-08-17,15.83,15.95,15.73,15.94,1844400,15.94
2012-08-16,15.48,15.95,15.45,15.89,2768300,15.89
2012-08-15,15.25,15.53,15.23,15.43,1260500,15.43
2012-08-14,15.59,15.72,15.23,15.28,1879700,15.28
2012-08-13,15.51,15.57,15.33,15.52,2486200,15.52
2012-08-10,15.47,15.61,15.36,15.59,1766200,15.59
2012-08-09,15.35,15.59,15.34,15.49,2132000,15.49
2012-08-08,15.27,15.59,15.26,15.37,2325400,15.37
2012-08-07,14.97,15.44,14.97,15.35,2767400,15.35
2012-08-06,14.89,15.02,14.85,14.86,2076500,14.86
2012-08-03,14.79,14.92,14.48,14.80,3334400,14.80
2012-08-02,14.30,14.61,14.04,14.36,3072500,14.36
2012-08-01,14.84,14.90,14.39,14.49,2945200,14.49
2012-07-31,14.64,14.84,14.51,14.71,3490300,14.71
2012-07-30,14.95,15.04,14.57,14.63,4165600,14.63
2012-07-27,14.95,15.12,14.74,14.97,3825700,14.97
2012-07-26,13.89,15.02,13.86,14.85,8570700,14.85
2012-07-25,13.32,13.66,13.25,13.45,2935100,13.45
2012-07-24,13.36,13.43,13.10,13.23,2512300,13.23
2012-07-23,13.35,13.45,13.09,13.38,2334900,13.38
2012-07-20,13.69,13.78,13.50,13.64,2303100,13.64
2012-07-19,13.74,13.99,13.66,13.82,3861700,13.82
2012-07-18,13.18,13.82,13.17,13.63,2582300,13.63
2012-07-17,13.18,13.30,12.98,13.23,2155000,13.23
2012-07-16,13.14,13.25,13.00,13.10,1695700,13.10
2012-07-13,13.11,13.33,13.08,13.21,3299400,13.21
2012-07-12,13.11,13.20,12.95,13.05,2659600,13.05
2012-07-11,13.20,13.39,13.07,13.25,3066300,13.25
2012-07-10,13.36,13.69,12.99,13.16,2743200,13.16
2012-07-09,13.60,13.69,13.19,13.44,3506300,13.44
2012-07-06,14.19,14.21,13.51,13.67,3572800,13.67
2012-07-05,14.33,14.45,14.16,14.39,2612000,14.39
2012-07-03,14.02,14.35,13.92,14.35,1260800,14.35
2012-07-02,14.10,14.15,13.79,14.01,2740600,14.01
2012-06-29,13.78,14.17,13.69,14.06,3009500,14.06
2012-06-28,13.69,13.78,13.18,13.44,3524400,13.44
2012-06-27,13.77,13.93,13.69,13.86,2116400,13.86
2012-06-26,13.74,13.85,13.51,13.70,2239000,13.70
2012-06-25,14.07,14.09,13.60,13.68,2422700,13.68
2012-06-22,14.16,14.38,14.10,14.31,2265300,14.31
2012-06-21,14.86,14.96,14.05,14.10,3455900,14.10
2012-06-20,14.76,14.99,14.65,14.82,2800000,14.82
2012-06-19,14.60,14.89,14.53,14.75,2683600,14.75
2012-06-18,14.32,14.56,14.26,14.48,1965000,14.48
2012-06-15,14.23,14.49,14.10,14.46,2879300,14.46
2012-06-14,14.04,14.22,13.80,14.13,3789100,14.13
2012-06-13,14.05,14.16,13.92,14.02,5714100,14.02
2012-06-12,13.95,14.11,13.78,14.10,2620700,14.10
2012-06-11,14.46,14.50,13.84,13.88,2794900,13.88
2012-06-08,13.99,14.40,13.84,14.38,3049000,14.38
2012-06-07,14.53,14.59,14.02,14.06,2342000,14.06
2012-06-06,13.99,14.41,13.98,14.24,2880000,14.24
2012-06-05,13.49,13.92,13.46,13.88,3213500,13.88
2012-06-04,13.69,13.82,13.37,13.59,2695600,13.59
2012-06-01,14.10,14.14,13.51,13.61,5723900,13.61
2012-05-31,14.70,14.75,14.13,14.45,4844900,14.45
2012-05-30,14.93,14.93,14.64,14.76,2678900,14.76
2012-05-29,14.99,15.24,14.96,15.14,2327900,15.14
2012-05-25,14.73,14.97,14.73,14.79,2829800,14.79
2012-05-24,15.01,15.01,14.67,14.76,3216400,14.76
2012-05-23,14.99,15.05,14.48,14.99,5600000,14.99
2012-05-22,14.67,14.76,14.49,14.59,2207600,14.59
2012-05-21,14.38,14.80,14.35,14.64,2855300,14.64
2012-05-18,14.62,14.73,14.26,14.32,3459700,14.32
2012-05-17,15.03,15.14,14.59,14.59,2099800,14.59
2012-05-16,15.45,15.55,15.01,15.02,3232000,15.02
2012-05-15,15.57,15.79,15.36,15.42,3195800,15.42
2012-05-14,15.47,15.74,15.33,15.60,2127300,15.60
2012-05-11,15.49,16.07,15.47,15.71,2829000,15.71
2012-05-10,15.83,15.88,15.47,15.62,2669100,15.62
2012-05-09,15.55,15.81,15.37,15.67,2349200,15.67
2012-05-08,15.87,15.87,15.31,15.82,3545500,15.82
2012-05-07,16.05,16.14,15.93,16.03,1916900,16.03
2012-05-04,16.41,16.51,15.92,16.13,3433600,16.13
2012-05-03,17.02,17.16,16.54,16.55,1924700,16.55
2012-05-02,17.11,17.17,16.87,17.06,2353100,17.06
2012-05-01,17.05,17.46,16.94,17.21,4425000,17.21
2012-04-30,17.40,17.45,17.17,17.21,2055900,17.21
2012-04-27,17.30,17.54,17.07,17.39,3848800,17.39
2012-04-26,17.57,18.01,17.10,17.20,11012200,17.20
2012-04-25,16.39,16.94,16.39,16.83,5520300,16.83
2012-04-24,16.21,16.27,16.03,16.03,2647000,16.03
2012-04-23,16.05,16.20,15.87,16.14,1885100,16.14
2012-04-20,16.65,16.72,16.30,16.30,2788700,16.30
2012-04-19,16.72,17.02,16.45,16.57,2333000,16.57
2012-04-18,16.68,16.84,16.57,16.74,2257400,16.74
2012-04-17,16.41,16.86,16.40,16.83,2411400,16.83
2012-04-16,16.49,16.54,16.13,16.29,3077100,16.29
2012-04-13,16.67,16.78,16.29,16.29,1374600,16.29
2012-04-12,16.20,16.79,16.11,16.78,2493600,16.78
2012-04-11,15.88,16.18,15.80,16.11,2720300,16.11
2012-04-10,16.01,16.14,15.67,15.67,2949000,15.67
2012-04-09,16.05,16.10,15.85,16.08,2443300,16.08
2012-04-05,16.08,16.43,15.94,16.42,4112000,16.42
2012-04-04,16.46,16.50,16.10,16.17,3917600,16.17
2012-04-03,16.91,16.99,16.62,16.66,1878200,16.66
2012-04-02,16.79,17.05,16.51,17.02,2095600,17.02
2012-03-30,16.86,16.90,16.53,16.89,2523700,16.89
2012-03-29,16.62,16.79,16.43,16.74,2248300,16.74
2012-03-28,17.18,17.19,16.68,16.76,2568900,16.76
2012-03-27,17.17,17.39,17.16,17.24,2848100,17.24
2012-03-26,17.02,17.32,16.97,17.18,2586200,17.18
2012-03-23,16.70,16.85,16.53,16.82,1277300,16.82
2012-03-22,16.75,16.88,16.51,16.74,2507500,16.74
2012-03-21,16.85,17.03,16.82,16.87,2140700,16.87
2012-03-20,16.86,16.96,16.65,16.83,2054500,16.83
2012-03-19,16.95,17.15,16.79,17.04,1990400,17.04
2012-03-16,16.86,17.14,16.75,17.05,4283100,17.05
2012-03-15,16.60,16.90,16.57,16.84,3644100,16.84
2012-03-14,16.64,16.77,16.42,16.48,2069500,16.48
2012-03-13,16.17,16.65,16.12,16.64,3981000,16.64
2012-03-12,16.26,16.26,15.92,16.11,2023400,16.11
2012-03-09,15.88,16.26,15.78,16.21,2335700,16.21
2012-03-08,15.91,16.08,15.85,15.90,3861600,15.90
2012-03-07,15.27,15.75,15.23,15.74,4575400,15.74
2012-03-06,15.07,15.25,15.06,15.14,4628200,15.14
2012-03-05,16.11,16.15,15.21,15.31,6580000,15.31
2012-03-02,16.32,16.48,16.01,16.11,3430400,16.11
2012-03-01,16.51,16.61,16.24,16.32,1936300,16.32
2012-02-29,16.80,16.82,16.29,16.42,2734000,16.42
2012-02-28,16.57,16.99,16.50,16.79,2508500,16.79
2012-02-27,16.19,16.78,16.14,16.53,2845000,16.53
2012-02-24,16.59,16.65,16.31,16.38,1545700,16.38
2012-02-23,16.22,16.62,16.02,16.58,3166600,16.58
2012-02-22,16.44,16.58,16.15,16.23,3946800,16.23
2012-02-21,17.04,17.04,16.41,16.54,3299500,16.54
2012-02-17,17.40,17.49,17.00,17.01,3323600,17.01
2012-02-16,16.82,17.46,16.79,17.30,5285000,17.30
2012-02-15,16.90,17.03,16.72,16.80,4692600,16.80
2012-02-14,16.42,16.83,16.38,16.80,4254800,16.80
2012-02-13,16.69,16.78,16.31,16.48,2638700,16.48
2012-02-10,16.67,16.74,16.44,16.50,2458000,16.50
2012-02-09,16.83,16.94,16.73,16.78,2607600,16.78
2012-02-08,16.59,17.00,16.58,16.78,3812700,16.78
2012-02-07,16.58,16.68,16.45,16.60,4239200,16.60
2012-02-06,16.83,16.87,16.59,16.68,3253900,16.68
2012-02-03,17.04,17.13,16.85,17.03,3531100,17.03
2012-02-02,16.62,16.95,16.62,16.78,4427100,16.78
2012-02-01,16.53,16.84,16.50,16.52,5385300,16.52
2012-01-31,16.55,16.77,16.25,16.35,3582600,16.35
2012-01-30,16.70,16.70,16.26,16.51,6496600,16.51
2012-01-27,16.44,17.00,16.39,16.95,6306500,16.95
2012-01-26,17.25,17.50,16.29,16.41,14683500,16.41
2012-01-25,16.29,16.33,16.03,16.13,7331400,16.13
2012-01-24,15.98,16.49,15.98,16.30,7087700,16.30
2012-01-23,16.13,16.24,15.93,16.10,6302800,16.10
2012-01-20,16.04,16.17,15.98,16.14,4378800,16.14
2012-01-19,15.75,16.15,15.69,16.12,5559600,16.12
2012-01-18,15.20,15.97,15.08,15.77,7104800,15.77
2012-01-17,14.91,15.22,14.86,15.17,4370500,15.17
2012-01-13,14.92,14.98,14.72,14.84,3015900,14.84
2012-01-12,15.22,15.25,14.91,15.07,4814600,15.07
2012-01-11,14.96,15.22,14.95,15.11,3375700,15.11
2012-01-10,15.09,15.15,14.92,15.04,5715600,15.04
2012-01-09,14.68,14.99,14.54,14.89,5594200,14.89
2012-01-06,14.60,14.78,14.49,14.63,3583900,14.63
2012-01-05,14.08,14.66,13.99,14.62,6030700,14.62
2012-01-04,13.66,14.31,13.53,14.18,5365000,14.18
2012-01-03,13.95,14.03,13.73,13.75,4792900,13.75
2011-12-30,13.53,13.72,13.46,13.63,1709700,13.63
2011-12-29,13.35,13.54,13.22,13.49,1611900,13.49
2011-12-28,13.63,13.71,13.22,13.24,3054400,13.24
2011-12-27,13.66,13.84,13.63,13.63,1773400,13.63
2011-12-23,13.72,13.76,13.41,13.75,2917400,13.75
2011-12-22,13.53,13.82,13.42,13.69,3078700,13.69
2011-12-21,13.50,13.53,12.99,13.42,3572200,13.42
2011-12-20,13.09,13.63,13.09,13.56,3338200,13.56
2011-12-19,13.28,13.34,12.77,12.81,8213100,12.81
2011-12-16,12.93,13.33,12.85,13.20,4614500,13.20
2011-12-15,13.24,13.36,12.73,12.87,6792900,12.87
2011-12-14,13.13,13.26,12.82,12.88,4097800,12.88
2011-12-13,13.78,13.85,13.16,13.26,4990600,13.26
2011-12-12,13.86,13.86,13.49,13.72,3712800,13.72
2011-12-09,13.54,14.18,13.34,14.12,5029400,14.12
2011-12-08,13.46,13.66,13.27,13.38,3557100,13.38
2011-12-07,13.43,13.69,13.31,13.63,2411800,13.63
2011-12-06,13.55,13.77,13.48,13.61,2719000,13.61
2011-12-05,13.43,13.69,13.33,13.49,2860600,13.49
2011-12-02,13.50,13.71,13.16,13.16,3558900,13.16
2011-12-01,13.40,13.64,13.20,13.37,4701500,13.37
2011-11-30,12.53,13.49,12.43,13.46,6941700,13.46
2011-11-29,12.25,12.27,11.92,12.08,3305100,12.08
2011-11-28,12.17,12.22,11.97,12.11,3654400,12.11
2011-11-25,11.79,12.03,11.68,11.68,1182400,11.68
2011-11-23,12.14,12.24,11.80,11.82,4787700,11.82
2011-11-22,12.88,13.00,12.27,12.30,5190000,12.30
2011-11-21,12.82,13.03,12.62,12.87,4166100,12.87
2011-11-18,13.61,13.73,13.14,13.17,3780900,13.17
2011-11-17,14.20,14.22,13.32,13.54,4526000,13.54
2011-11-16,14.29,14.60,14.15,14.29,3567500,14.29
2011-11-15,14.06,14.59,14.05,14.55,2953900,14.55
2011-11-14,14.28,14.38,13.99,14.16,2188900,14.16
2011-11-11,13.97,14.34,13.97,14.30,2241300,14.30
2011-11-10,14.02,14.02,13.60,13.83,2289600,13.83
2011-11-09,14.05,14.19,13.75,13.80,2917900,13.80
2011-11-08,14.45,14.59,14.17,14.45,5200600,14.45
2011-11-07,14.30,14.53,14.03,14.30,4126800,14.30
2011-11-04,14.45,14.74,14.27,14.58,3152700,14.58
2011-11-03,14.26,14.61,13.81,14.58,4750600,14.58
2011-11-02,13.89,14.15,13.71,14.03,3218600,14.03
2011-11-01,13.75,13.92,13.40,13.64,6566700,13.64
2011-10-31,14.84,14.90,14.21,14.32,4798700,14.32
2011-10-28,14.42,15.05,14.35,15.02,5266900,15.02
2011-10-27,14.11,14.70,14.00,14.58,6547700,14.58
2011-10-26,13.77,13.89,13.43,13.65,5970300,13.65
2011-10-25,14.06,14.06,13.53,13.57,5009600,13.57
2011-10-24,13.63,14.36,13.62,14.20,4501200,14.20
2011-10-21,13.62,13.82,13.15,13.56,5610100,13.56
2011-10-20,12.74,13.51,12.44,13.35,8527600,13.35
2011-10-19,12.84,13.08,12.73,12.81,4335800,12.81
2011-10-18,12.55,12.94,12.32,12.90,4336800,12.90
2011-10-17,12.85,12.88,12.45,12.54,2780200,12.54
2011-10-14,13.17,13.17,12.68,12.96,3307800,12.96
2011-10-13,12.78,13.04,12.67,12.92,3410400,12.92
2011-10-12,12.53,13.21,12.51,12.89,4456400,12.89
2011-10-11,12.44,12.50,12.25,12.42,2881800,12.42
2011-10-10,12.26,12.67,12.23,12.53,2681000,12.53
2011-10-07,12.21,12.48,11.93,12.05,3709200,12.05
2011-10-06,11.57,12.15,11.36,12.14,3839500,12.14
2011-10-05,11.11,11.71,10.85,11.64,4253100,11.64
2011-10-04,10.44,11.19,10.37,11.09,6400000,11.09
2011-10-03,10.90,11.17,10.52,10.55,4719200,10.55
2011-09-30,11.11,11.41,11.01,11.01,4879100,11.01
2011-09-29,11.49,11.55,10.96,11.17,4856100,11.17
2011-09-28,11.83,11.86,11.20,11.25,2960100,11.25
2011-09-27,11.65,12.14,11.51,11.75,3479600,11.75
2011-09-26,11.53,11.55,10.86,11.39,4159600,11.39
2011-09-23,11.07,11.65,11.02,11.41,4787900,11.41
2011-09-22,11.38,11.40,11.00,11.23,4788000,11.23
2011-09-21,12.15,12.34,11.73,11.75,4278600,11.75
2011-09-20,12.51,12.65,12.15,12.19,2374800,12.19
2011-09-19,12.55,12.60,12.20,12.49,3311000,12.49
2011-09-16,12.66,12.82,12.52,12.77,2913800,12.77
