Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,58.33,58.47,58.03,58.32,571400,58.32
2012-12-21,57.90,58.48,57.63,58.40,2235200,58.40
2012-12-20,59.00,59.12,57.74,58.51,1849100,58.51
2012-12-19,59.90,60.34,58.96,58.99,1990100,58.99
2012-12-18,58.49,59.91,58.37,59.87,2410400,59.87
2012-12-17,58.14,59.00,57.98,58.83,1283100,58.51
2012-12-14,57.46,58.62,57.35,58.09,2080900,57.77
2012-12-13,57.38,57.99,57.05,57.52,1517800,57.21
2012-12-12,58.07,58.10,57.17,57.39,1424800,57.08
2012-12-11,57.86,58.06,57.13,57.85,2383700,57.54
2012-12-10,58.38,58.73,57.03,57.48,2398400,57.17
2012-12-07,59.08,59.43,58.13,58.42,1264700,58.10
2012-12-06,58.45,58.73,58.07,58.62,849000,58.30
2012-12-05,59.00,59.26,58.18,58.32,1524700,58.00
2012-12-04,58.03,59.28,57.84,58.88,2370500,58.56
2012-12-03,58.96,58.96,57.88,58.16,2308000,57.84
2012-11-30,58.87,59.49,57.87,58.98,4773800,58.66
2012-11-29,58.50,60.00,58.18,59.80,10585800,59.47
2012-11-28,62.48,64.25,62.35,63.73,2899300,63.38
2012-11-27,63.30,63.78,62.26,62.63,2062300,62.29
2012-11-26,62.13,63.39,61.94,63.34,2786500,63.00
2012-11-23,61.55,62.25,61.39,62.07,672000,61.73
2012-11-21,61.21,61.70,60.50,61.23,1077200,60.90
2012-11-20,60.97,61.50,60.47,60.84,1264700,60.51
2012-11-19,60.10,61.57,60.10,60.93,1702100,60.60
2012-11-16,59.73,60.25,58.91,59.54,1781700,59.22
2012-11-15,60.35,60.67,58.88,59.37,2651600,59.05
2012-11-14,61.50,62.28,60.14,60.31,1444300,59.98
2012-11-13,61.25,62.22,60.84,61.24,1062300,60.91
2012-11-12,61.27,61.75,60.90,61.41,1035900,61.08
2012-11-09,60.69,62.00,60.23,60.99,1614500,60.66
2012-11-08,63.05,63.43,60.96,61.09,1720000,60.76
2012-11-07,64.71,64.71,62.59,62.92,2368900,62.58
2012-11-06,65.37,65.67,64.53,65.36,1492000,65.00
2012-11-05,65.00,65.84,64.65,65.31,885100,64.95
2012-11-02,66.51,66.58,65.15,65.25,1495800,64.90
2012-11-01,63.16,66.78,63.16,66.27,2821700,65.91
2012-10-31,62.70,63.68,62.39,63.22,833500,62.88
2012-10-26,63.18,63.44,61.85,62.57,896700,62.23
2012-10-25,63.54,63.68,62.16,63.04,1005500,62.70
2012-10-24,63.46,63.89,62.78,63.05,988700,62.71
2012-10-23,63.31,63.52,62.27,63.08,1327000,62.74
2012-10-22,63.77,64.21,63.25,64.01,1397300,63.66
2012-10-19,64.82,64.96,63.63,64.20,1840700,63.85
2012-10-18,64.64,65.00,63.95,64.87,1126700,64.52
2012-10-17,64.49,65.02,64.14,64.92,1267700,64.57
2012-10-16,62.01,64.56,61.95,64.06,1900800,63.71
2012-10-15,62.39,62.71,61.52,61.80,1427100,61.46
2012-10-12,62.59,62.90,61.90,62.21,970500,61.87
2012-10-11,62.26,63.62,62.18,62.59,1670000,62.25
2012-10-10,62.25,62.68,61.36,61.51,957200,61.18
2012-10-09,62.96,63.25,61.94,62.11,1000800,61.77
2012-10-08,62.86,63.59,62.47,62.97,1020700,62.63
2012-10-05,63.40,64.12,62.69,63.01,993400,62.67
2012-10-04,62.60,63.35,62.36,62.97,991600,62.63
2012-10-03,62.30,63.27,62.05,62.35,1502200,62.01
2012-10-02,61.72,62.23,61.07,62.08,1662300,61.74
2012-10-01,62.35,62.81,61.27,61.50,1683800,61.17
2012-09-28,61.50,62.08,60.69,61.88,1175500,61.54
2012-09-27,61.56,62.22,60.77,61.90,1304800,61.56
2012-09-26,61.51,61.73,60.46,61.18,1985600,60.85
2012-09-25,63.61,63.77,61.53,61.59,1458900,61.25
2012-09-24,63.05,63.68,62.90,63.34,1113200,63.00
2012-09-21,64.60,64.68,63.25,63.51,2341500,63.16
2012-09-20,64.03,64.77,63.64,64.30,2015000,63.95
2012-09-19,64.37,64.93,63.93,64.56,1357600,64.21
2012-09-18,64.90,65.07,63.70,64.08,1715900,63.73
2012-09-17,65.36,65.72,64.65,65.30,1854400,64.63
2012-09-14,64.22,65.92,64.22,65.60,2670800,64.92
2012-09-13,63.21,64.27,61.87,63.98,2754200,63.32
2012-09-12,62.32,63.00,61.77,62.55,1871200,61.90
2012-09-11,61.79,62.74,61.60,62.26,2653900,61.62
2012-09-10,62.74,64.61,62.50,63.04,2692000,62.39
2012-09-07,60.98,63.06,60.98,62.64,2868000,61.99
2012-09-06,59.92,61.12,59.61,60.74,2237100,60.11
2012-09-05,59.30,60.75,59.26,59.31,3575700,58.70
2012-09-04,61.73,61.95,59.01,60.49,4760000,59.87
2012-08-31,62.04,62.40,61.64,61.95,1335900,61.31
2012-08-30,62.31,62.75,61.65,61.72,1828600,61.08
2012-08-29,62.40,63.00,62.34,62.75,1852300,62.10
2012-08-28,62.36,62.84,61.80,62.50,2855000,61.86
2012-08-27,61.69,63.22,61.62,62.71,9426700,62.06
2012-08-24,58.04,58.55,57.80,58.50,2919200,57.90
2012-08-23,58.47,58.61,57.93,58.46,1910300,57.86
2012-08-22,58.93,58.99,58.13,58.62,2632000,58.02
2012-08-21,59.66,59.99,58.86,59.02,2254000,58.41
2012-08-20,60.67,60.69,59.23,59.45,1691200,58.84
2012-08-17,60.86,61.16,60.54,60.66,2297900,60.03
2012-08-16,59.42,59.86,59.00,59.63,1094800,59.02
2012-08-15,59.03,59.69,58.94,59.41,1269300,58.80
2012-08-14,58.42,59.50,58.42,59.18,1969200,58.57
2012-08-13,58.48,58.72,58.13,58.31,1225400,57.71
2012-08-10,58.48,58.53,57.76,58.48,1153600,57.88
2012-08-09,58.05,59.10,58.02,58.62,1717000,58.02
2012-08-08,57.44,58.53,56.87,58.30,2242700,57.70
2012-08-07,56.70,58.46,56.70,58.00,2411000,57.40
2012-08-06,55.07,56.83,55.05,56.33,2002100,55.75
2012-08-03,54.08,55.12,53.78,54.74,1976100,54.18
2012-08-02,54.47,54.59,52.76,53.58,2313100,53.03
2012-08-01,55.25,55.87,54.59,54.77,2102600,54.21
2012-07-31,54.50,55.50,52.92,54.93,3060200,54.36
2012-07-30,57.37,57.80,56.57,57.21,1166700,56.62
2012-07-27,56.50,58.11,56.49,57.43,1988100,56.84
2012-07-26,55.59,56.28,55.11,56.04,1598400,55.46
2012-07-25,54.99,55.31,54.29,54.66,1387800,54.10
2012-07-24,55.11,55.46,54.13,54.71,1443500,54.15
2012-07-23,54.98,55.32,53.83,55.16,1566900,54.59
2012-07-20,56.71,56.71,55.54,55.97,2350400,55.39
2012-07-19,55.78,57.31,55.58,57.18,3295100,56.59
2012-07-18,53.52,55.58,53.38,55.25,3314900,54.68
2012-07-17,52.60,53.63,52.18,52.87,2276800,52.32
2012-07-16,52.02,53.25,51.81,52.55,2406700,52.01
2012-07-13,51.05,52.46,50.95,52.16,2649100,51.62
2012-07-12,51.08,51.46,50.52,50.85,2935300,50.33
2012-07-11,51.53,51.80,50.90,51.61,2148900,51.08
2012-07-10,52.45,53.15,51.46,51.83,2032100,51.30
2012-07-09,53.27,53.45,52.07,52.40,2057900,51.86
