Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,22.38,22.49,21.85,22.43,900300,21.47
2009-12-23,22.57,22.64,22.17,22.20,1162400,21.25
2009-12-22,22.62,22.67,22.27,22.53,1456200,21.56
2009-12-21,22.10,22.68,22.04,22.45,2038300,21.49
2009-12-18,21.38,21.95,21.37,21.85,3571300,20.91
2009-12-17,21.14,22.11,21.07,21.33,2587800,20.42
2009-12-16,21.20,21.86,20.94,21.34,2155900,20.42
2009-12-15,21.16,21.20,20.38,21.20,2134300,20.29
2009-12-14,20.24,21.35,20.19,20.90,1840100,20.00
2009-12-11,20.49,20.57,19.68,20.20,1379300,19.33
2009-12-10,20.80,20.88,20.17,20.40,1256800,19.53
2009-12-09,20.64,20.77,20.10,20.55,1248900,19.67
2009-12-08,20.09,20.83,19.65,20.70,2070300,19.81
2009-12-07,20.48,20.75,20.23,20.41,2031200,19.53
2009-12-04,19.79,20.81,19.75,20.49,3690000,19.61
2009-12-03,19.60,19.81,19.26,19.33,2265900,18.50
2009-12-02,19.00,19.83,18.97,19.57,3454900,18.73
2009-12-01,18.23,19.44,18.23,19.06,3930400,18.24
2009-11-30,17.76,18.06,17.65,17.99,1254300,17.22
2009-11-27,17.73,18.07,17.22,17.83,735100,17.07
2009-11-25,17.78,18.44,17.74,18.39,1531200,17.51
2009-11-24,17.88,17.99,17.48,17.70,1302900,16.85
2009-11-23,17.64,18.00,17.64,17.95,2437000,17.09
2009-11-20,16.80,17.63,16.80,17.39,2450000,16.55
2009-11-19,17.05,17.12,16.71,17.07,1809700,16.25
2009-11-18,17.27,17.40,16.94,17.21,2552100,16.38
2009-11-17,17.51,17.51,16.76,17.22,1440800,16.39
2009-11-16,17.25,17.85,17.06,17.58,1474000,16.73
2009-11-13,16.87,17.41,16.75,17.15,1748900,16.33
2009-11-12,16.88,17.38,16.56,16.76,2031000,15.95
2009-11-11,16.71,17.14,16.60,16.85,1913600,16.04
2009-11-10,16.16,16.58,15.93,16.51,1687100,15.72
2009-11-09,16.04,16.57,15.83,16.33,1537800,15.54
2009-11-06,15.56,16.06,15.39,15.81,1315900,15.05
2009-11-05,15.51,16.17,15.50,15.80,3062000,15.04
2009-11-04,16.28,16.35,15.38,15.48,2680400,14.74
2009-11-03,15.39,16.20,15.31,16.12,2242800,15.34
2009-11-02,15.51,16.06,15.07,15.51,1974100,14.76
2009-10-30,16.20,16.20,15.21,15.45,2895600,14.71
2009-10-29,15.60,16.43,15.51,16.26,2595900,15.48
2009-10-28,16.36,16.68,15.34,15.42,4092200,14.68
2009-10-27,17.10,17.18,16.38,16.39,2284000,15.60
2009-10-26,17.92,17.95,16.89,17.07,2267500,16.25
2009-10-23,18.00,18.03,17.49,17.86,3299000,17.00
2009-10-22,17.52,18.01,16.84,17.97,4349300,17.11
2009-10-21,17.15,17.72,16.83,16.88,3861100,16.07
2009-10-20,17.42,17.57,16.54,17.22,3367200,16.39
2009-10-19,17.82,17.95,17.20,17.66,2778000,16.81
2009-10-16,18.02,18.22,17.34,17.86,3461400,17.00
2009-10-15,16.92,17.89,16.32,17.80,7765800,16.94
2009-10-14,16.56,17.41,16.19,17.12,4626600,16.30
2009-10-13,15.80,16.26,15.28,15.78,3425600,15.02
2009-10-12,16.26,16.50,15.74,15.81,2440100,15.05
2009-10-09,16.00,16.34,15.65,16.09,3578300,15.32
2009-10-08,16.29,16.71,16.14,16.15,3552300,15.37
2009-10-07,16.58,16.66,15.92,16.20,2097600,15.42
2009-10-06,16.94,17.07,16.27,16.70,2254900,15.90
2009-10-05,16.09,16.82,16.03,16.69,2184300,15.89
2009-10-02,15.62,16.37,14.85,16.04,4323300,15.27
2009-10-01,16.38,16.60,15.68,15.84,2566100,15.08
2009-09-30,17.13,17.28,16.33,16.42,1951600,15.63
2009-09-29,16.79,17.15,16.67,16.98,1989300,16.16
2009-09-28,16.22,17.03,16.03,16.81,2512600,16.00
2009-09-25,15.96,16.31,15.68,16.09,1431500,15.32
2009-09-24,16.81,16.82,15.83,16.04,2410900,15.27
2009-09-23,17.58,17.72,16.74,16.80,1970700,15.99
2009-09-22,17.45,17.70,17.35,17.58,2231400,16.73
2009-09-21,16.71,17.39,16.50,17.35,3096900,16.52
2009-09-18,17.30,17.56,16.56,16.72,3049600,15.92
2009-09-17,18.12,18.32,17.24,17.27,2392100,16.44
2009-09-16,18.90,18.90,17.80,17.89,3933200,17.03
2009-09-15,18.43,18.81,18.35,18.64,3360000,17.74
2009-09-14,17.62,18.29,17.46,18.26,3274300,17.38
2009-09-11,17.78,17.80,17.45,17.79,2608900,16.93
2009-09-10,17.19,17.80,17.02,17.75,2176700,16.90
2009-09-09,17.15,17.57,16.81,17.26,1929300,16.43
2009-09-08,17.60,17.64,16.99,17.09,1687700,16.27
2009-09-04,16.92,17.50,16.67,17.34,1594700,16.51
2009-09-03,15.92,17.04,15.77,16.96,2541500,16.14
2009-09-02,15.66,16.26,15.46,15.73,1691700,14.97
2009-09-01,16.75,17.10,15.71,15.77,2317400,15.01
2009-08-31,16.69,16.99,16.21,16.91,1522400,16.10
2009-08-28,17.29,17.33,16.79,16.96,1412700,16.14
2009-08-27,17.00,17.23,16.34,17.09,1430700,16.17
2009-08-26,17.09,17.30,16.68,16.99,1323700,16.08
2009-08-25,16.70,17.32,16.70,17.09,2130900,16.17
2009-08-24,16.85,17.17,16.42,16.62,2173500,15.73
2009-08-21,16.66,17.07,16.40,16.77,1994900,15.87
2009-08-20,15.59,16.50,15.59,16.43,1719700,15.55
2009-08-19,14.97,15.61,14.76,15.59,1501800,14.75
2009-08-18,14.79,15.29,14.70,15.16,2194800,14.35
2009-08-17,15.34,15.39,14.66,14.74,2504700,13.95
2009-08-14,16.35,16.35,15.26,15.70,2665500,14.86
2009-08-13,16.85,16.99,16.48,16.89,1108100,15.98
2009-08-12,16.76,17.14,16.66,16.83,1702700,15.93
2009-08-11,16.31,16.79,16.08,16.65,2035700,15.76
2009-08-10,16.87,16.87,16.01,16.41,2394500,15.53
2009-08-07,16.08,17.11,16.07,16.96,3810600,16.05
2009-08-06,16.15,16.20,15.65,15.83,2328100,14.98
2009-08-05,16.15,16.25,15.76,16.09,2033000,15.23
2009-08-04,15.71,16.25,15.71,16.20,2575700,15.33
2009-08-03,15.99,16.15,15.29,15.89,2501400,15.04
2009-07-31,16.00,16.27,15.58,15.66,2413200,14.82
2009-07-30,15.95,16.30,15.67,15.80,3641100,14.95
2009-07-29,15.53,15.95,15.33,15.86,3812800,15.01
2009-07-28,15.71,16.02,15.39,15.68,2835200,14.84
2009-07-27,15.63,15.79,15.24,15.74,3313300,14.90
2009-07-24,15.05,15.76,15.04,15.39,3524200,14.56
2009-07-23,15.42,15.55,14.31,14.61,5236600,13.83
2009-07-22,14.85,15.22,14.52,15.07,3619300,14.26
2009-07-21,14.73,15.15,14.38,14.99,3987300,14.19
2009-07-20,14.16,14.39,13.96,14.08,2524500,13.32
2009-07-17,13.54,14.22,13.34,14.01,2806300,13.26
2009-07-16,13.54,13.78,13.28,13.64,2554900,12.91
2009-07-15,13.15,13.85,13.15,13.76,2584800,13.02
2009-07-14,13.20,13.21,12.56,12.81,2506300,12.12
2009-07-13,12.62,13.20,12.41,13.17,3086400,12.46
2009-07-10,12.00,12.61,11.93,12.53,2304400,11.86
2009-07-09,11.49,12.35,10.91,12.22,4513500,11.56
2009-07-08,11.46,11.54,10.90,11.22,3015700,10.62
2009-07-07,12.09,12.15,11.32,11.37,2513300,10.76
2009-07-06,12.68,12.68,11.77,12.09,3605200,11.44
2009-07-02,13.12,13.42,12.65,12.86,2352500,12.17
2009-07-01,13.29,13.80,13.19,13.47,1667700,12.75
2009-06-30,12.86,13.68,12.75,13.12,4125300,12.42
2009-06-29,12.20,12.91,11.95,12.83,2071200,12.14
2009-06-26,12.40,12.44,11.90,12.20,1898300,11.55
2009-06-25,11.99,12.79,11.82,12.46,2191500,11.79
2009-06-24,11.68,12.62,11.68,12.14,1701500,11.49
2009-06-23,11.44,11.77,11.12,11.56,1892800,10.94
2009-06-22,11.97,12.07,11.38,11.39,2167600,10.78
2009-06-19,12.11,12.46,11.90,12.05,1860200,11.40
2009-06-18,11.43,12.21,11.28,12.11,2093000,11.46
2009-06-17,12.09,12.11,11.28,11.43,4350100,10.82
2009-06-16,13.12,13.12,11.86,12.13,2589600,11.48
2009-06-15,12.74,13.00,12.15,12.97,2411400,12.27
2009-06-12,12.78,13.00,12.65,13.00,1840800,12.30
2009-06-11,13.43,13.43,12.70,12.93,3440100,12.24
2009-06-10,13.80,14.50,13.67,13.87,2519800,13.13
2009-06-09,13.79,14.00,13.22,13.55,1355600,12.82
2009-06-08,13.64,13.99,13.02,13.81,2235000,13.07
2009-06-05,14.84,15.64,13.46,13.83,5599900,13.09
2009-06-04,13.54,14.18,13.27,14.12,1906000,13.36
2009-06-03,13.85,13.85,13.27,13.46,1869800,12.74
2009-06-02,13.39,14.11,13.35,13.88,2243100,13.14
2009-06-01,12.89,13.96,12.85,13.38,2220800,12.66
2009-05-29,11.93,12.78,11.93,12.78,2486200,12.09
2009-05-28,11.99,12.31,11.36,12.16,2293900,11.51
2009-05-27,12.31,12.75,11.66,11.72,2248100,11.00
2009-05-26,11.70,12.42,11.32,12.29,1898900,11.53
2009-05-22,12.16,12.24,11.75,11.80,1024600,11.07
2009-05-21,11.71,12.15,11.39,12.04,2453700,11.30
2009-05-20,12.35,12.75,11.63,11.72,3205600,11.00
2009-05-19,11.71,12.34,11.61,12.19,3433100,11.44
2009-05-18,11.15,11.80,10.94,11.73,1791500,11.01
2009-05-15,10.68,11.30,10.68,10.97,3417600,10.29
2009-05-14,10.00,10.85,9.64,10.71,3122200,10.05
2009-05-13,10.97,10.97,9.92,10.00,3696300,9.38
2009-05-12,11.70,11.70,10.29,11.23,4621300,10.54
2009-05-11,12.51,12.64,11.89,11.94,2982200,11.20
2009-05-08,12.16,12.76,11.88,12.76,2656500,11.97
2009-05-07,12.80,13.27,11.67,11.80,3238900,11.07
2009-05-06,12.27,12.77,12.09,12.66,3375900,11.88
2009-05-05,12.24,12.50,11.71,12.22,3353000,11.47
2009-05-04,12.58,13.10,11.77,12.26,5136100,11.50
2009-05-01,12.02,12.37,11.58,12.15,3111800,11.40
2009-04-30,11.58,12.49,11.40,11.94,5385800,11.20
2009-04-29,11.74,11.75,10.96,11.39,4654300,10.69
2009-04-28,10.72,11.99,10.72,11.63,3519000,10.91
2009-04-27,10.80,11.19,10.33,11.06,5566900,10.38
2009-04-24,10.06,11.45,10.06,11.10,8603700,10.41
2009-04-23,9.33,10.64,9.30,10.05,9931200,9.43
2009-04-22,8.40,9.62,8.15,9.05,13295300,8.49
2009-04-21,6.82,7.45,6.70,7.26,3721000,6.81
2009-04-20,7.34,7.34,6.13,6.43,4272500,6.03
2009-04-17,7.44,7.79,7.02,7.46,2897600,7.00
