Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,52.20,52.20,51.41,51.60,369000,51.60
2012-12-24,52.11,52.47,51.76,52.10,335000,52.10
2012-12-21,52.44,52.59,51.79,52.11,790800,52.11
2012-12-20,51.90,52.98,51.88,52.97,745600,52.97
2012-12-19,52.00,52.49,51.84,51.87,1018800,51.87
2012-12-18,51.86,51.87,51.38,51.86,874200,51.86
2012-12-17,50.77,51.82,50.77,51.81,877900,51.81
2012-12-14,51.12,51.18,50.52,50.58,517300,50.58
2012-12-13,52.03,52.16,51.10,51.14,709800,51.14
2012-12-12,52.15,52.70,51.99,52.09,416000,52.09
2012-12-11,52.25,52.29,51.91,52.00,401700,52.00
2012-12-10,51.66,52.24,51.55,52.11,583300,52.11
2012-12-07,51.79,51.99,51.49,51.77,449000,51.77
2012-12-06,51.85,51.89,51.08,51.63,900000,51.63
2012-12-05,51.78,52.05,51.38,51.82,623500,51.82
2012-12-04,51.92,51.96,51.60,51.67,637500,51.67
2012-12-03,51.96,52.16,51.70,51.81,672100,51.81
2012-11-30,51.96,52.07,51.72,51.99,876400,51.99
2012-11-29,51.94,52.03,51.62,51.90,514100,51.90
2012-11-28,51.41,51.78,51.23,51.77,595400,51.77
2012-11-27,51.62,51.84,51.40,51.58,634500,51.58
2012-11-26,51.45,51.71,51.29,51.70,437600,51.70
2012-11-23,51.50,51.84,51.10,51.84,284600,51.84
2012-11-21,51.30,51.30,50.95,51.23,287500,51.23
2012-11-20,50.79,51.16,50.68,51.16,350100,51.16
2012-11-19,50.92,51.09,50.67,50.92,496000,50.92
2012-11-16,49.75,50.49,49.10,50.47,2760400,50.47
2012-11-15,49.63,50.09,49.31,49.83,719000,49.83
2012-11-14,50.09,50.36,49.21,49.55,1041600,49.55
2012-11-13,49.89,50.60,49.73,50.01,714200,50.01
2012-11-12,50.26,50.45,49.99,50.06,808700,50.06
2012-11-09,49.61,50.47,49.55,50.22,902400,50.22
2012-11-08,49.68,50.17,49.68,49.77,840800,49.77
2012-11-07,50.36,50.51,49.65,49.82,937100,49.82
2012-11-06,50.65,51.25,50.65,50.80,679500,50.80
2012-11-05,50.23,50.78,50.00,50.64,359300,50.64
2012-11-02,51.03,51.50,50.50,50.56,559800,50.56
2012-11-01,50.70,51.04,50.00,51.00,675000,51.00
2012-10-31,50.29,50.61,50.09,50.59,501800,50.59
2012-10-26,50.23,50.62,50.12,50.46,751600,50.46
2012-10-25,50.99,51.07,49.89,50.17,1368400,50.17
2012-10-24,50.88,51.38,50.70,50.99,508700,50.99
2012-10-23,50.56,51.02,50.42,50.84,440600,50.84
2012-10-22,51.01,51.36,49.62,51.19,808300,51.19
2012-10-19,51.90,51.96,50.91,51.10,614700,51.10
2012-10-18,52.17,52.36,51.91,51.94,676300,51.94
2012-10-17,51.66,52.27,51.49,52.09,445400,52.09
2012-10-16,50.96,51.55,50.80,51.39,1003000,51.39
2012-10-15,51.03,51.03,50.51,50.75,680900,50.75
2012-10-12,51.20,51.64,50.66,50.77,363300,50.77
2012-10-11,51.17,51.58,50.99,51.22,362400,51.22
2012-10-10,51.04,51.09,50.64,50.87,612800,50.87
2012-10-09,51.60,51.73,51.05,51.09,300800,51.09
2012-10-08,51.80,51.88,51.59,51.75,154100,51.75
2012-10-05,51.99,52.26,51.71,51.93,334300,51.93
2012-10-04,51.29,51.74,51.07,51.69,315200,51.69
2012-10-03,50.91,51.21,50.85,51.03,471300,51.03
2012-10-02,51.43,51.66,50.61,51.03,465800,50.88
2012-10-01,51.44,51.75,51.12,51.31,575700,51.16
2012-09-28,51.00,51.41,50.76,51.35,731900,51.20
2012-09-27,51.15,51.35,50.74,51.15,426600,51.00
2012-09-26,51.24,51.29,50.71,50.82,556600,50.67
2012-09-25,52.05,52.28,51.30,51.31,463500,51.16
2012-09-24,51.81,52.20,51.61,51.98,306500,51.83
