Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,53.52,54.46,53.52,54.16,495700,50.78
2009-12-23,53.64,53.79,53.22,53.58,1080200,50.24
2009-12-22,53.08,53.50,52.73,53.38,1507700,50.05
2009-12-21,53.36,53.64,52.67,52.88,2353900,49.58
2009-12-18,52.31,53.35,51.94,53.27,3668000,49.94
2009-12-17,50.86,52.22,50.66,51.79,2521000,48.56
2009-12-16,50.81,52.24,50.71,51.76,3158000,48.53
2009-12-15,49.72,50.13,49.62,50.03,2372200,46.91
2009-12-14,49.77,50.25,49.70,49.94,2368500,46.82
2009-12-11,49.94,50.25,49.16,50.06,2176000,46.93
2009-12-10,49.78,50.24,49.64,49.94,3127700,46.59
2009-12-09,49.09,49.25,48.27,48.47,1789200,45.22
2009-12-08,48.60,49.39,48.17,49.16,1977300,45.86
2009-12-07,49.66,49.68,48.33,48.60,1860900,45.34
2009-12-04,50.23,50.57,48.81,49.73,2331500,46.39
2009-12-03,49.49,50.10,49.33,49.41,2721200,46.09
2009-12-02,48.70,49.78,48.40,49.39,1677600,46.07
2009-12-01,49.36,49.37,48.49,48.61,2337000,45.35
2009-11-30,47.36,49.00,47.11,48.93,2392900,45.65
2009-11-27,47.64,48.25,47.08,47.37,929200,44.19
2009-11-25,49.22,49.56,48.94,49.09,951500,45.79
2009-11-24,49.30,49.64,48.80,49.18,1796100,45.88
2009-11-23,48.88,49.83,48.88,49.48,1607400,46.16
2009-11-20,49.22,49.22,48.21,48.71,1236000,45.44
2009-11-19,49.96,49.99,48.72,49.25,1350000,45.94
2009-11-18,50.60,50.62,49.57,50.18,877600,46.81
2009-11-17,50.52,51.22,50.21,50.67,1222600,47.27
2009-11-16,50.92,51.74,50.64,50.91,2430900,47.49
2009-11-13,51.20,51.27,50.30,50.74,1458200,47.33
2009-11-12,51.55,51.90,50.92,51.03,1648500,47.60
2009-11-11,52.41,52.62,51.21,51.51,2992000,48.05
2009-11-10,50.36,51.26,50.32,50.58,2809600,47.18
2009-11-09,50.31,51.03,50.21,50.99,2871000,47.57
2009-11-06,49.21,50.25,49.10,49.98,1466100,46.63
2009-11-05,49.69,50.12,49.31,50.09,3293500,46.73
2009-11-04,49.32,49.71,48.62,49.01,2811000,45.72
2009-11-03,48.88,49.26,48.21,48.93,1838400,45.65
2009-11-02,48.99,49.95,47.85,49.15,2500500,45.85
2009-10-30,50.54,50.87,48.46,48.73,3511600,45.46
2009-10-29,50.35,51.00,50.01,50.86,3604100,47.45
2009-10-28,51.85,52.10,49.86,49.87,3365300,46.52
2009-10-27,53.61,53.99,51.89,51.94,2963300,48.45
2009-10-26,53.88,54.68,53.26,53.65,3708900,50.05
2009-10-23,50.89,55.48,50.21,54.27,8883500,50.63
2009-10-22,47.54,49.22,47.23,49.11,3364500,45.81
2009-10-21,47.67,48.58,47.05,47.67,2507400,44.47
2009-10-20,47.45,47.99,47.20,47.71,2136600,44.51
2009-10-19,47.90,48.27,47.14,47.81,2759500,44.60
2009-10-16,47.41,47.94,47.15,47.62,2765100,44.42
2009-10-15,46.70,48.31,46.56,48.16,3724500,44.93
2009-10-14,45.33,47.11,45.22,46.90,3559900,43.75
2009-10-13,44.48,44.50,43.94,44.41,2459300,41.43
2009-10-12,45.06,45.30,44.28,44.49,1585900,41.50
2009-10-09,44.29,44.93,44.07,44.83,1798000,41.82
2009-10-08,44.94,45.11,44.04,44.25,2360800,41.28
2009-10-07,44.74,44.95,44.18,44.49,1976300,41.50
2009-10-06,44.91,45.46,44.44,45.02,1404000,42.00
2009-10-05,43.59,44.58,43.12,44.58,2423600,41.59
2009-10-02,43.40,44.22,43.05,43.18,2199200,40.28
2009-10-01,45.14,45.80,43.94,43.98,2367000,41.03
2009-09-30,46.11,46.50,45.06,45.70,1724000,42.63
2009-09-29,46.31,46.80,45.78,45.96,1503600,42.88
2009-09-28,44.47,46.32,44.11,46.25,2075200,43.15
2009-09-25,45.37,45.37,44.02,44.10,1977800,41.14
2009-09-24,47.53,47.73,44.88,45.33,2444200,42.29
2009-09-23,47.25,47.85,47.06,47.16,7163700,43.99
2009-09-22,46.20,47.37,45.82,47.18,1941700,44.01
2009-09-21,46.04,46.64,45.65,45.76,1420300,42.69
2009-09-18,45.71,46.77,45.71,46.52,1933200,43.40
2009-09-17,46.00,46.78,45.66,46.10,1958000,43.01
2009-09-16,44.65,46.22,44.63,46.07,3158700,42.98
2009-09-15,45.17,45.20,44.30,44.70,2076300,41.70
2009-09-14,43.41,44.95,42.89,44.76,2811500,41.76
2009-09-11,45.26,45.27,43.78,43.93,2753900,40.98
2009-09-10,45.12,45.30,44.29,45.15,1817300,42.12
2009-09-09,44.85,45.59,44.39,45.43,1469100,42.15
2009-09-08,44.25,44.98,44.21,44.97,1786400,41.72
2009-09-04,43.80,44.40,42.97,44.21,2049100,41.02
2009-09-03,42.78,43.82,42.78,43.57,1991400,40.42
2009-09-02,42.89,43.71,42.53,42.89,2217100,39.79
2009-09-01,45.20,46.03,43.08,43.14,2987400,40.02
2009-08-31,45.29,45.48,44.67,45.30,1677800,42.03
2009-08-28,45.72,46.44,45.23,45.73,1252600,42.43
2009-08-27,45.72,46.11,45.11,45.59,1536500,42.30
2009-08-26,45.64,46.36,45.50,45.99,1494000,42.67
2009-08-25,46.61,46.88,46.11,46.36,1883000,43.01
2009-08-24,46.90,47.21,45.91,45.98,1681400,42.66
2009-08-21,46.51,46.96,45.01,46.64,1916700,43.27
2009-08-20,44.84,45.60,44.47,45.58,1318100,42.29
2009-08-19,44.34,44.93,43.72,44.77,1369800,41.54
2009-08-18,43.76,44.90,43.76,44.73,1347700,41.50
2009-08-17,44.75,44.93,43.77,43.92,1991300,40.75
2009-08-14,46.34,46.51,45.25,45.75,1572200,42.44
2009-08-13,47.23,47.62,45.94,46.46,2158400,43.10
2009-08-12,46.33,47.50,46.04,46.99,2005700,43.59
2009-08-11,47.25,47.84,46.26,46.38,1941100,43.03
2009-08-10,48.28,48.58,46.95,47.28,1668900,43.86
2009-08-07,47.18,49.15,47.06,48.69,2096600,45.17
2009-08-06,48.30,48.34,46.88,47.04,2195200,43.64
2009-08-05,47.50,47.98,46.64,47.76,2746100,44.31
2009-08-04,47.19,48.01,46.49,47.50,2274600,44.07
2009-08-03,47.47,48.10,46.67,47.14,2129100,43.73
2009-07-31,46.81,47.07,46.37,46.71,2498100,43.33
2009-07-30,46.75,48.47,45.97,46.74,3351500,43.36
2009-07-29,45.17,46.48,45.17,46.27,1842100,42.93
2009-07-28,46.08,46.65,45.45,45.98,2591700,42.66
2009-07-27,45.97,46.50,45.23,46.42,2183100,43.07
2009-07-24,46.25,46.75,44.20,45.45,2968100,42.17
