Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,49.16,50.00,49.16,49.94,1240300,45.90
2009-12-23,48.92,49.30,48.77,49.18,2444500,45.20
2009-12-22,48.70,49.02,48.51,48.94,2881800,44.98
2009-12-21,48.30,49.03,48.03,48.67,3426600,44.73
2009-12-18,48.51,48.82,47.89,48.14,9632600,44.24
2009-12-17,49.50,49.72,48.32,48.38,5762100,44.47
2009-12-16,50.58,50.73,49.51,49.70,5033400,45.68
2009-12-15,50.91,51.13,50.25,50.41,4067900,46.33
2009-12-14,51.00,51.12,50.54,51.02,3281400,46.89
2009-12-11,50.82,51.00,50.37,50.70,4197800,46.60
2009-12-10,50.10,50.80,50.10,50.76,3316000,46.65
2009-12-09,49.85,50.19,49.78,50.10,3956400,46.05
2009-12-08,50.13,50.37,49.82,49.92,4044500,45.88
2009-12-07,50.91,51.21,50.45,50.57,4014500,46.17
2009-12-04,51.87,52.24,50.16,51.04,6096200,46.60
2009-12-03,52.81,52.83,51.27,51.44,5683800,46.97
2009-12-02,52.43,52.91,52.22,52.65,3405600,48.07
2009-12-01,52.79,52.87,52.44,52.60,3881600,48.03
2009-11-30,51.87,52.54,51.68,52.39,5016300,47.84
2009-11-27,51.94,52.44,51.39,51.65,2433100,47.16
2009-11-25,52.99,53.27,52.65,52.76,2874900,48.17
2009-11-24,53.04,53.13,52.70,53.09,3051000,48.48
2009-11-23,52.58,53.34,52.58,52.97,4236500,48.37
2009-11-20,52.58,52.66,52.24,52.38,4107200,47.83
2009-11-19,52.92,53.36,52.22,52.68,4315000,48.10
2009-11-18,53.31,53.49,52.94,53.15,3776700,48.53
2009-11-17,53.35,53.41,52.90,53.15,3499500,48.53
2009-11-16,53.79,53.79,52.73,52.94,4513500,48.34
2009-11-13,53.24,53.87,53.01,53.28,3622600,48.65
2009-11-12,54.10,54.25,52.83,53.14,4840300,48.52
2009-11-11,54.44,54.47,53.83,54.31,4027600,49.59
2009-11-10,53.43,54.09,53.40,53.93,4870500,49.24
2009-11-09,52.34,53.89,52.26,53.60,7786300,48.94
2009-11-06,50.93,52.22,50.56,51.90,5504800,47.39
2009-11-05,50.52,50.98,50.06,50.64,4119500,46.24
2009-11-04,50.59,51.52,50.07,50.16,5869900,45.80
2009-11-03,49.99,50.38,49.62,50.08,3937800,45.73
2009-11-02,50.02,51.25,49.88,50.20,6027600,45.84
2009-10-30,51.73,51.73,49.71,49.79,8829800,45.46
2009-10-29,50.68,52.07,50.57,51.91,5431300,47.40
2009-10-28,50.93,51.40,50.48,50.50,4955300,46.11
2009-10-27,51.26,51.68,50.70,51.07,6076800,46.63
2009-10-26,51.30,52.09,51.06,51.24,6702900,46.79
2009-10-23,51.54,51.80,51.03,51.30,4913300,46.84
2009-10-22,50.01,51.91,49.34,51.70,11014200,47.21
2009-10-21,48.45,48.97,46.55,48.02,4456800,43.85
2009-10-20,48.69,48.91,48.36,48.46,2921700,44.25
2009-10-19,48.81,49.05,48.38,48.80,3973300,44.56
2009-10-16,48.29,48.96,48.16,48.67,4974000,44.44
2009-10-15,48.01,48.57,47.90,48.55,4765800,44.33
2009-10-14,48.58,48.71,48.19,48.66,5225900,44.43
2009-10-13,48.59,48.90,48.00,48.02,4854700,43.85
2009-10-12,48.91,49.08,48.72,48.83,3376300,44.59
2009-10-09,48.32,48.92,48.17,48.81,5203200,44.57
2009-10-08,49.20,49.37,48.35,48.35,6100600,44.15
2009-10-07,49.39,49.48,48.79,48.93,5201800,44.68
2009-10-06,49.22,50.16,48.87,49.53,6189900,45.22
2009-10-05,49.04,49.17,48.23,48.99,4271500,44.73
2009-10-02,48.21,49.93,48.00,49.04,4950500,44.78
2009-10-01,49.31,50.07,48.73,48.77,7428100,44.53
2009-09-30,49.19,49.54,48.30,49.23,5436600,44.95
2009-09-29,49.19,49.57,48.54,48.96,3656100,44.70
2009-09-28,47.83,49.24,47.83,49.16,4924200,44.89
2009-09-25,47.39,48.48,47.39,47.75,4941500,43.60
2009-09-24,47.46,48.14,47.39,47.52,4599000,43.39
2009-09-23,47.63,48.65,47.27,47.29,4960800,43.18
2009-09-22,47.91,48.07,47.14,47.59,4534200,43.45
2009-09-21,47.15,48.19,47.09,47.79,4944300,43.64
2009-09-18,47.80,47.95,47.27,47.37,9687600,43.25
2009-09-17,48.98,49.15,47.70,47.70,7583500,43.55
2009-09-16,49.10,49.22,48.64,48.85,5239800,44.60
2009-09-15,49.14,49.58,48.60,49.01,4530000,44.75
2009-09-14,48.12,49.17,47.96,48.99,3938300,44.73
2009-09-11,48.59,48.84,48.08,48.41,4185900,44.20
2009-09-10,49.10,49.14,48.00,48.52,4870100,44.30
2009-09-09,48.93,49.26,48.62,49.14,4561600,44.87
2009-09-08,50.44,50.44,48.67,48.97,5107100,44.71
2009-09-04,49.96,50.22,49.46,50.12,2926700,45.49
2009-09-03,49.56,50.01,49.00,49.92,3631500,45.31
2009-09-02,49.11,49.69,48.76,49.15,4363800,44.61
2009-09-01,50.13,50.77,49.14,49.26,8139900,44.71
2009-08-31,49.32,50.60,49.05,50.42,5637900,45.76
2009-08-28,49.62,49.78,49.20,49.61,3826800,45.03
2009-08-27,48.57,49.72,48.29,49.20,4333700,44.65
2009-08-26,48.42,48.95,47.95,48.79,3888300,44.28
2009-08-25,48.43,48.84,48.15,48.43,5110700,43.96
2009-08-24,48.43,48.99,47.84,47.95,4361200,43.52
2009-08-21,48.04,49.29,47.40,48.20,5727500,43.75
2009-08-20,47.70,48.21,47.44,47.81,3687400,43.39
2009-08-19,47.12,48.63,46.86,47.96,4489400,43.53
2009-08-18,46.78,47.69,46.67,47.51,3924600,43.12
2009-08-17,46.74,46.98,46.39,46.61,4959900,42.30
2009-08-14,47.48,47.48,46.69,47.25,3935700,42.88
2009-08-13,46.46,47.88,45.88,47.47,5467900,43.08
2009-08-12,45.20,47.13,44.93,46.43,4952500,42.14
2009-08-11,46.06,46.30,44.91,44.93,5794400,40.78
2009-08-10,47.40,47.71,46.30,46.42,4760200,42.13
2009-08-07,47.06,48.59,46.81,47.46,6864600,43.08
2009-08-06,46.99,47.14,45.82,46.78,5174200,42.46
2009-08-05,46.30,46.62,45.49,46.58,4914200,42.28
2009-08-04,45.00,46.40,44.95,46.26,6273100,41.99
2009-08-03,43.20,45.04,43.20,45.02,6295400,40.86
2009-07-31,42.23,43.40,42.13,43.07,4214200,39.09
2009-07-30,42.84,43.27,41.65,41.94,8581200,38.07
2009-07-29,43.24,43.53,42.44,42.63,3941100,38.69
2009-07-28,43.44,43.91,43.22,43.35,3305700,39.35
2009-07-27,43.27,43.62,42.86,43.54,3161600,39.52
2009-07-24,42.72,43.41,42.59,43.22,3190200,39.23
2009-07-23,41.33,42.75,41.16,42.61,4979600,38.67
2009-07-22,40.70,41.55,40.62,41.36,4043100,37.54
2009-07-21,40.60,40.85,40.26,40.71,3931000,36.95
2009-07-20,40.61,40.85,40.06,40.47,3973000,36.73
2009-07-17,40.50,40.76,40.10,40.42,4619900,36.69
2009-07-16,40.20,40.78,39.97,40.54,3953800,36.79
2009-07-15,39.82,40.69,39.19,40.35,8103600,36.62
2009-07-14,40.32,40.54,39.27,39.54,4307100,35.89
2009-07-13,39.45,40.43,39.35,40.40,5868800,36.67
2009-07-10,38.94,39.20,38.29,39.00,3659500,35.40
2009-07-09,39.41,39.42,38.51,39.05,4346100,35.44
2009-07-08,39.13,39.44,38.25,39.07,6710900,35.46
2009-07-07,39.95,39.99,38.86,39.04,5296700,35.43
2009-07-06,39.19,39.94,39.01,39.94,5200700,36.25
2009-07-02,40.40,40.66,39.20,39.20,6615400,35.58
2009-07-01,41.19,41.49,40.83,41.13,4904800,37.33
2009-06-30,40.93,41.27,40.32,41.04,5421800,37.25
2009-06-29,41.05,41.34,40.73,41.01,5818100,37.22
2009-06-26,40.75,41.02,40.31,40.88,5287800,37.10
2009-06-25,40.61,41.24,40.06,40.91,5000600,37.13
2009-06-24,41.28,41.34,40.46,40.76,4539300,36.99
2009-06-23,41.06,41.65,40.51,41.00,4547900,37.21
2009-06-22,41.75,42.40,41.01,41.06,6226700,37.27
2009-06-19,42.96,43.05,41.89,42.08,6580900,38.19
2009-06-18,42.37,42.88,42.07,42.53,4886400,38.60
