Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,25.36,25.85,25.32,25.83,3977800,24.32
2009-12-23,25.44,25.62,25.27,25.32,8227300,23.84
2009-12-22,25.87,26.01,25.56,25.64,7209700,24.14
2009-12-21,25.71,25.99,25.52,25.84,7729700,24.33
2009-12-18,25.36,25.54,25.06,25.46,13545600,23.97
2009-12-17,25.33,25.60,25.06,25.08,10735700,23.62
2009-12-16,25.57,26.08,25.44,25.58,14328800,24.09
2009-12-15,25.88,25.89,25.40,25.44,11323100,23.95
2009-12-14,25.76,26.07,25.70,25.98,8483500,24.46
2009-12-11,25.90,26.06,25.50,25.64,9887600,24.14
2009-12-10,26.08,26.19,25.54,25.94,20118800,24.43
2009-12-09,25.76,25.99,25.51,25.99,22731100,24.47
2009-12-08,26.72,26.90,25.12,26.33,18215400,24.79
2009-12-07,26.71,27.00,26.43,26.62,12624500,25.07
2009-12-04,26.74,27.00,26.34,26.85,16339200,25.28
2009-12-03,26.06,26.68,26.00,26.44,14466700,24.90
2009-12-02,26.01,26.33,25.72,25.96,20674200,24.44
2009-12-01,25.55,26.03,25.29,25.94,15842300,24.43
2009-11-30,25.35,25.39,25.03,25.29,12468900,23.81
2009-11-27,24.80,25.40,24.56,25.25,7278500,23.78
2009-11-25,25.34,25.45,25.18,25.42,8281900,23.94
2009-11-24,25.18,25.54,25.14,25.28,11281600,23.80
2009-11-23,24.93,25.39,24.89,25.14,9020200,23.67
2009-11-20,24.75,25.00,24.65,24.74,13252900,23.30
2009-11-19,24.80,24.96,24.45,24.88,19635100,23.43
2009-11-18,25.83,25.94,25.48,25.75,10757200,24.25
2009-11-17,25.82,25.97,25.57,25.87,10938500,24.36
2009-11-16,25.57,26.08,25.52,25.95,12384100,24.43
2009-11-13,25.44,25.68,25.24,25.44,10336600,23.95
2009-11-12,25.26,25.85,25.19,25.37,13326000,23.89
2009-11-11,25.15,25.69,25.13,25.33,14682800,23.85
2009-11-10,24.60,25.27,24.58,25.05,19411900,23.59
