Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,24.41,24.48,24.32,24.41,671900,24.41
2012-12-21,24.19,24.62,24.16,24.48,3081600,24.48
2012-12-20,24.57,24.77,24.54,24.71,2340700,24.71
2012-12-19,24.67,24.86,24.58,24.62,2545100,24.62
2012-12-18,24.37,24.72,24.33,24.68,2921600,24.68
2012-12-17,24.32,24.55,24.28,24.35,5319300,24.35
2012-12-14,24.00,24.38,23.98,24.26,3107400,24.26
2012-12-13,23.93,24.22,23.86,24.04,2724800,24.04
2012-12-12,24.23,24.49,23.98,24.00,2309700,24.00
2012-12-11,24.33,24.55,24.18,24.22,1900300,24.20
2012-12-10,23.75,24.22,23.74,24.19,2200300,24.17
2012-12-07,23.72,23.95,23.55,23.79,2239600,23.77
2012-12-06,23.16,23.65,23.02,23.65,2260600,23.63
2012-12-05,23.12,23.46,22.84,23.17,5018600,23.15
2012-12-04,23.08,23.22,22.91,23.02,2471300,23.00
2012-12-03,23.62,23.70,23.07,23.08,2283700,23.06
2012-11-30,23.88,23.95,23.42,23.49,3377600,23.47
2012-11-29,23.98,24.12,23.73,23.91,1319400,23.89
2012-11-28,23.50,23.88,23.35,23.84,1979100,23.82
2012-11-27,23.80,24.07,23.70,23.70,2018400,23.68
2012-11-26,23.60,23.94,23.60,23.81,1418100,23.79
2012-11-23,23.68,23.82,23.57,23.78,491300,23.76
2012-11-21,23.53,23.75,23.48,23.59,1247200,23.57
2012-11-20,23.45,23.68,23.33,23.56,1721900,23.54
2012-11-19,23.46,23.60,23.29,23.57,2187600,23.55
2012-11-16,23.17,23.36,22.88,23.12,3603900,23.10
2012-11-15,23.18,23.48,23.11,23.14,2541600,23.12
2012-11-14,24.05,24.19,23.17,23.20,4074500,23.18
2012-11-13,23.59,24.46,23.54,23.99,1941400,23.97
2012-11-12,23.91,23.95,23.60,23.79,2712100,23.77
2012-11-09,23.71,24.15,23.64,23.86,3229600,23.84
2012-11-08,23.94,24.23,23.81,23.89,4649700,23.87
2012-11-07,24.84,24.88,23.96,24.10,5468500,24.08
2012-11-06,25.36,25.39,25.00,25.19,3045700,25.17
2012-11-05,25.01,25.26,24.83,25.18,2314700,25.16
2012-11-02,25.74,25.93,25.06,25.07,4101700,25.05
2012-11-01,25.29,26.59,25.29,25.59,5158700,25.57
2012-10-31,25.44,25.59,25.08,25.21,3112600,25.19
2012-10-26,25.52,25.68,25.37,25.56,1623900,25.54
2012-10-25,25.28,25.53,25.21,25.51,2210300,25.49
2012-10-24,25.47,25.59,24.98,25.00,2030800,24.98
2012-10-23,25.32,25.43,24.82,25.31,2847400,25.29
2012-10-22,25.44,25.87,25.34,25.67,2533800,25.65
2012-10-19,26.31,26.41,25.31,25.51,4151800,25.49
2012-10-18,24.80,26.18,24.40,25.75,6069600,25.73
2012-10-17,24.32,25.44,23.52,24.95,10950000,24.93
2012-10-16,26.66,26.66,26.34,26.46,2448100,26.44
2012-10-15,25.69,26.41,25.55,26.32,3039000,26.30
2012-10-12,25.45,25.68,25.12,25.49,2044900,25.47
2012-10-11,25.49,26.02,25.34,25.42,2717400,25.40
2012-10-10,25.16,25.30,24.95,25.22,2560100,25.20
2012-10-09,25.65,25.79,25.19,25.26,3164200,25.24
2012-10-08,25.63,25.88,25.45,25.63,1567800,25.61
2012-10-05,25.73,26.23,25.62,25.78,1780600,25.76
2012-10-04,25.66,25.77,25.29,25.47,5058200,25.45
2012-10-03,25.88,25.88,25.39,25.46,2758700,25.44
2012-10-02,26.56,26.58,25.68,25.78,2017600,25.76
2012-10-01,26.29,26.75,26.21,26.46,2068700,26.44
2012-09-28,26.27,26.35,25.81,26.17,2137500,26.15
2012-09-27,26.10,26.59,25.74,26.38,4180500,26.36
2012-09-26,25.92,26.15,25.49,25.95,3991500,25.93
2012-09-25,26.91,27.01,25.95,25.99,4666200,25.97
2012-09-24,26.96,26.98,26.60,26.80,2960900,26.78
2012-09-21,27.72,27.84,27.10,27.12,3106300,27.10
2012-09-20,27.63,27.78,27.12,27.54,2649200,27.52
2012-09-19,27.83,28.02,27.49,27.94,2473600,27.92
2012-09-18,28.18,28.24,27.59,27.86,2051200,27.84
2012-09-17,28.19,28.35,28.09,28.22,2545300,28.20
2012-09-14,28.19,28.80,28.12,28.36,3388300,28.34
2012-09-13,27.59,28.40,27.26,28.19,3755200,28.17
2012-09-12,27.15,27.91,27.09,27.67,2932000,27.65
2012-09-11,27.09,27.15,26.84,27.09,2324100,27.05
2012-09-10,27.35,27.46,27.11,27.11,1986700,27.07
2012-09-07,27.13,27.83,27.09,27.59,2620100,27.55
2012-09-06,26.61,27.21,26.50,27.06,2595500,27.02
2012-09-05,26.36,26.54,26.11,26.32,1746300,26.28
2012-09-04,26.62,26.71,25.99,26.41,2752200,26.37
2012-08-31,26.34,26.92,26.20,26.72,2740400,26.68
2012-08-30,26.20,26.22,25.83,26.06,1296100,26.02
2012-08-29,26.48,26.65,26.11,26.45,1407400,26.41
2012-08-28,26.45,26.66,26.27,26.49,2306300,26.45
2012-08-27,26.65,26.83,26.36,26.44,2560100,26.40
2012-08-24,26.52,26.66,26.05,26.53,2366300,26.49
2012-08-23,26.84,27.04,26.44,26.58,2528200,26.54
2012-08-22,27.08,27.16,26.82,26.93,2067400,26.89
2012-08-21,27.39,27.65,27.00,27.10,2011300,27.06
2012-08-20,27.10,27.45,27.02,27.27,1908700,27.23
2012-08-17,26.91,27.22,26.81,27.19,2129900,27.15
2012-08-16,26.85,27.20,26.60,27.00,2359400,26.96
2012-08-15,26.68,26.98,26.51,26.80,2322100,26.76
2012-08-14,27.00,27.19,26.71,26.79,2782300,26.75
2012-08-13,26.69,26.95,26.59,26.94,3054300,26.90
2012-08-10,26.57,26.85,26.44,26.83,1798300,26.79
2012-08-09,26.43,26.99,26.39,26.81,2006700,26.77
2012-08-08,26.59,26.82,26.08,26.53,4152900,26.49
2012-08-07,26.35,27.64,26.24,26.83,5867200,26.79
2012-08-06,26.45,26.52,26.08,26.11,1889500,26.07
2012-08-03,25.78,26.65,25.75,26.46,2966200,26.42
2012-08-02,25.22,25.70,24.78,25.20,3344900,25.16
2012-08-01,26.22,26.36,25.20,25.40,3563200,25.36
2012-07-31,26.24,26.59,26.03,26.05,2167300,26.01
2012-07-30,26.35,26.55,25.98,26.36,2292200,26.32
2012-07-27,25.95,26.52,25.54,26.40,3160900,26.36
2012-07-26,25.94,26.20,24.86,25.57,5226200,25.53
2012-07-25,25.51,25.85,24.95,25.31,3175500,25.27
2012-07-24,25.88,25.96,24.99,25.21,3826900,25.17
2012-07-23,25.63,26.02,25.22,25.89,3454400,25.85
2012-07-20,26.50,27.04,26.19,26.31,5535700,26.27
2012-07-19,25.84,26.70,25.20,26.50,9284600,26.46
2012-07-18,22.86,24.42,22.78,23.76,6668000,23.72
2012-07-17,23.23,23.63,22.76,22.97,4379400,22.93
2012-07-16,23.03,23.20,22.60,22.97,2038400,22.93
2012-07-13,22.78,23.26,22.66,23.15,3073200,23.11
2012-07-12,22.31,22.99,22.15,22.76,3691600,22.72
2012-07-11,23.19,23.30,22.47,22.49,6535300,22.45
2012-07-10,24.15,24.15,22.64,23.20,6747900,23.16
2012-07-09,24.28,24.41,24.08,24.18,1564000,24.14
2012-07-06,24.49,24.50,23.97,24.23,1770200,24.19
2012-07-05,24.94,25.11,24.77,24.86,1438700,24.82
2012-07-03,24.53,25.13,24.44,25.10,1318400,25.06
2012-07-02,24.94,24.98,24.30,24.52,2179100,24.48
2012-06-29,24.49,24.95,24.37,24.87,3303100,24.83
2012-06-28,23.60,24.02,23.46,23.82,2455900,23.78
2012-06-27,23.61,23.95,23.47,23.90,3525600,23.86
2012-06-26,23.69,23.86,23.36,23.46,3349800,23.42
2012-06-25,24.17,24.17,23.62,23.68,2157200,23.64
2012-06-22,24.95,25.03,24.34,24.57,2660900,24.53
2012-06-21,25.90,25.90,24.67,24.74,2129500,24.70
2012-06-20,25.45,26.18,25.32,25.89,2957900,25.85
2012-06-19,25.03,25.76,24.94,25.49,3993500,25.45
2012-06-18,24.60,24.84,24.34,24.74,2992200,24.70
2012-06-15,24.39,24.84,24.38,24.84,2016900,24.80
2012-06-14,23.96,24.40,23.85,24.29,2327000,24.25
2012-06-13,24.36,24.60,23.80,23.94,2589800,23.90
2012-06-12,24.04,24.61,23.73,24.52,2843500,24.46
2012-06-11,24.63,24.70,23.53,23.58,2260500,23.52
2012-06-08,23.88,24.33,23.63,24.31,2339500,24.25
2012-06-07,24.58,25.05,23.87,23.94,3404600,23.88
2012-06-06,23.56,24.22,23.47,24.16,2883900,24.10
2012-06-05,22.51,23.32,22.51,23.21,2304800,23.15
2012-06-04,22.76,22.85,22.36,22.70,2272400,22.65
2012-06-01,23.01,23.23,22.53,22.69,3220400,22.64
2012-05-31,23.45,23.84,22.90,23.63,2636800,23.57
2012-05-30,23.84,23.84,23.40,23.46,3045100,23.40
2012-05-29,23.83,24.23,23.64,24.19,2366800,24.13
2012-05-25,23.79,23.83,23.42,23.52,1247600,23.46
2012-05-24,23.81,23.94,23.34,23.78,2037300,23.72
2012-05-23,23.18,23.82,22.92,23.73,2226100,23.67
2012-05-22,23.51,23.62,23.26,23.45,2972800,23.39
2012-05-21,22.42,23.61,22.42,23.50,3424300,23.44
2012-05-18,22.25,22.86,21.97,22.35,5218400,22.30
2012-05-17,23.15,23.17,22.14,22.22,4194400,22.17
2012-05-16,23.68,23.84,23.06,23.16,2737200,23.10
2012-05-15,23.56,23.81,23.37,23.52,2826600,23.46
2012-05-14,23.68,24.00,23.50,23.63,2238700,23.57
2012-05-11,24.04,24.41,23.98,24.09,1592700,24.03
2012-05-10,24.43,24.58,24.15,24.23,1774600,24.17
2012-05-09,24.36,24.49,23.93,24.19,4985900,24.13
2012-05-08,24.78,24.79,24.38,24.68,3617200,24.62
2012-05-07,25.32,25.44,24.91,25.06,3055100,25.00
2012-05-04,26.00,26.04,25.29,25.50,2855000,25.44
2012-05-03,26.61,26.64,25.99,26.09,1621500,26.03
2012-05-02,26.32,26.69,26.18,26.53,1974200,26.47
2012-05-01,26.58,27.12,26.23,26.48,2640500,26.42
2012-04-30,26.91,26.98,26.51,26.64,2333700,26.58
2012-04-27,26.94,27.11,26.69,27.01,1909900,26.95
2012-04-26,26.80,26.92,26.58,26.80,2221000,26.74
2012-04-25,26.95,27.00,26.63,26.84,1967600,26.78
2012-04-24,26.29,26.68,26.11,26.64,2369900,26.58
2012-04-23,26.36,26.42,25.87,26.19,2877800,26.13
2012-04-20,26.61,27.04,26.61,26.75,3072900,26.69
2012-04-19,26.80,27.14,26.14,26.35,4875600,26.29
2012-04-18,27.55,27.63,26.11,26.65,8549800,26.59
2012-04-17,27.25,27.99,27.23,27.65,3783400,27.58
2012-04-16,27.10,27.26,26.60,27.01,2160900,26.95
2012-04-13,27.36,27.43,26.84,26.85,2759100,26.79
2012-04-12,26.95,27.55,26.83,27.35,2138800,27.28
2012-04-11,26.82,27.27,26.69,26.93,2996900,26.87
2012-04-10,26.94,27.05,26.32,26.40,3948800,26.34
2012-04-09,27.18,27.18,26.74,27.01,2553300,26.95
2012-04-05,28.24,28.40,27.64,27.67,2767800,27.60
2012-04-04,28.36,28.61,28.12,28.38,4205000,28.31
2012-04-03,28.84,29.18,28.37,28.89,5355800,28.82
2012-04-02,27.80,29.08,27.64,28.84,4959800,28.77
2012-03-30,28.11,28.20,27.52,27.83,2311500,27.76
2012-03-29,27.08,28.11,26.90,27.97,4153500,27.90
2012-03-28,27.71,27.76,27.00,27.34,2563500,27.27
2012-03-27,27.81,27.98,27.61,27.78,2567200,27.71
2012-03-26,27.41,27.92,27.41,27.80,2870500,27.73
2012-03-23,26.70,27.30,26.42,27.14,3008500,27.08
2012-03-22,26.59,26.71,26.10,26.43,2344900,26.37
2012-03-21,26.70,27.11,26.67,26.96,3234700,26.90
2012-03-20,27.15,27.22,26.48,26.62,3607700,26.56
2012-03-19,27.48,27.62,27.22,27.39,2123200,27.32
2012-03-16,27.74,27.83,27.33,27.48,3562900,27.41
2012-03-15,27.51,27.75,27.33,27.71,2544400,27.64
2012-03-14,27.63,27.78,27.33,27.51,2133500,27.44
2012-03-13,27.09,27.70,27.08,27.68,3240800,27.61
2012-03-12,27.00,27.16,26.69,27.05,2884500,26.99
2012-03-09,26.69,27.17,26.62,27.01,2546900,26.95
2012-03-08,26.36,26.75,26.21,26.65,2325800,26.59
2012-03-07,25.45,26.24,25.37,26.13,4254200,26.07
2012-03-06,25.79,25.92,25.27,25.34,6378400,25.26
2012-03-05,26.98,27.00,26.36,26.51,3416900,26.43
2012-03-02,27.65,27.79,26.93,27.02,3372100,26.93
2012-03-01,27.53,27.92,27.41,27.76,3015900,27.67
2012-02-29,27.79,27.99,27.41,27.51,3459300,27.42
2012-02-28,27.60,27.83,27.32,27.82,4192100,27.73
2012-02-27,27.40,27.67,27.19,27.52,3152200,27.43
2012-02-24,27.74,28.06,27.56,27.65,2148200,27.56
2012-02-23,27.74,27.92,27.41,27.72,4014800,27.63
2012-02-22,27.56,27.89,27.40,27.77,2419400,27.68
2012-02-21,27.97,28.08,27.53,27.70,2580400,27.61
2012-02-17,28.02,28.15,27.66,27.95,2300900,27.86
2012-02-16,27.37,27.88,27.35,27.87,3969500,27.78
2012-02-15,28.10,28.10,27.30,27.43,5209500,27.34
2012-02-14,28.17,28.29,27.70,27.98,6669200,27.89
2012-02-13,27.11,28.07,26.98,28.04,6282100,27.95
2012-02-10,26.62,27.01,26.40,26.96,2938400,26.87
2012-02-09,27.29,27.29,26.69,26.99,4172900,26.90
