Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,39.16,39.68,38.95,39.51,232700,39.51
2009-12-23,38.48,39.14,38.48,39.14,420900,39.14
2009-12-22,38.27,38.70,38.00,38.53,492000,38.53
2009-12-21,38.71,38.90,37.86,37.97,605700,37.97
2009-12-18,37.45,38.41,37.00,38.41,1020800,38.41
2009-12-17,36.24,37.36,35.60,37.04,697000,37.04
2009-12-16,35.40,36.59,35.04,36.24,610800,36.24
2009-12-15,34.79,35.63,34.51,35.07,547200,35.07
2009-12-14,33.50,34.89,33.17,34.77,750900,34.77
2009-12-11,33.06,33.50,32.95,33.30,282100,33.30
2009-12-10,33.32,33.63,32.91,33.14,418600,33.14
2009-12-09,33.10,33.46,32.56,33.25,434200,33.25
2009-12-08,33.18,33.66,32.96,33.17,311400,33.17
2009-12-07,33.30,33.72,33.03,33.36,339200,33.36
2009-12-04,32.95,33.33,32.36,33.27,608100,33.27
2009-12-03,32.91,33.05,32.25,32.31,361300,32.31
2009-12-02,32.53,33.05,32.40,32.67,342600,32.67
2009-12-01,32.19,32.69,32.02,32.58,438100,32.58
2009-11-30,31.74,32.10,31.42,32.09,719900,32.09
2009-11-27,32.19,32.19,31.55,31.90,450700,31.90
2009-11-25,33.10,33.60,32.90,33.11,343100,33.11
2009-11-24,33.61,33.90,32.13,32.99,615200,32.99
2009-11-23,33.37,33.93,33.08,33.65,393500,33.65
2009-11-20,32.81,33.00,32.47,32.89,357400,32.89
2009-11-19,32.80,33.40,32.35,32.72,757000,32.72
2009-11-18,33.70,34.25,32.64,33.22,710000,33.22
2009-11-17,33.97,34.05,33.21,33.82,690000,33.82
2009-11-16,33.24,34.22,32.95,34.00,611800,34.00
2009-11-13,32.45,33.06,32.16,32.84,516200,32.84
2009-11-12,32.66,33.43,32.35,32.41,457600,32.41
2009-11-11,33.40,34.23,32.23,32.58,694800,32.58
2009-11-10,33.76,34.18,32.72,32.94,745500,32.94
2009-11-09,31.49,34.46,31.41,33.89,1444600,33.89
2009-11-06,29.67,31.06,29.50,30.99,746100,30.99
2009-11-05,29.58,30.50,29.14,29.93,742000,29.93
2009-11-04,30.22,30.43,29.24,29.34,611700,29.34
2009-11-03,30.19,30.98,29.75,29.94,1035700,29.94
2009-11-02,29.47,30.91,28.60,30.24,1455600,30.24
2009-10-30,29.08,29.55,28.59,29.14,1452600,29.14
2009-10-29,28.42,29.65,28.35,29.18,1054500,29.18
2009-10-28,24.44,28.33,24.19,28.17,1948300,28.17
2009-10-27,27.80,27.80,23.92,24.07,1249200,24.07
