Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,130.40,130.49,129.16,130.27,1233600,130.27
2013-01-04,128.84,130.98,128.30,130.89,1497400,130.89
2013-01-03,128.25,130.35,128.09,128.64,1823600,128.64
2013-01-02,128.24,129.33,127.32,128.46,2286400,128.46
2012-12-31,123.25,125.82,123.01,125.72,1511000,125.72
2012-12-28,124.03,125.24,123.48,123.54,962400,123.54
2012-12-27,124.59,125.01,123.31,124.62,1287600,124.62
2012-12-26,125.61,125.69,124.39,124.71,909700,124.71
2012-12-24,125.40,125.58,124.85,125.50,571400,125.50
2012-12-21,124.86,126.16,124.29,125.68,2689300,125.68
2012-12-20,125.75,126.15,125.07,126.12,1488000,126.12
2012-12-19,127.55,127.55,125.75,125.77,1346800,125.77
2012-12-18,125.51,127.41,125.07,127.16,2748800,127.16
2012-12-17,124.90,125.88,124.16,125.69,2408000,125.69
2012-12-14,123.62,125.47,123.62,124.28,1844800,124.28
2012-12-13,124.81,125.71,124.16,124.69,1646000,124.69
2012-12-12,124.36,126.20,123.77,124.70,1867100,124.70
2012-12-11,125.40,125.58,123.51,123.59,1877900,123.59
2012-12-10,124.03,125.41,123.84,125.23,1515500,125.23
2012-12-07,123.68,124.00,122.84,123.95,1199600,123.95
2012-12-06,122.78,124.15,122.13,123.13,940700,123.13
2012-12-05,122.57,123.58,121.31,122.86,2089700,122.86
2012-12-04,121.63,122.78,121.31,122.37,1331500,122.37
2012-12-03,123.68,124.05,121.24,121.43,1934600,121.43
2012-11-30,122.96,123.14,121.92,122.78,2110900,122.78
2012-11-29,123.38,123.67,122.09,123.16,1883100,123.16
2012-11-28,120.82,122.82,119.97,122.79,1475600,122.79
2012-11-27,121.25,123.34,120.79,122.25,1397300,121.56
2012-11-26,121.49,122.21,121.08,121.87,1335500,121.18
2012-11-23,120.00,122.00,120.00,121.98,795300,121.29
2012-11-21,120.45,120.73,119.54,120.04,1216100,119.36
2012-11-20,119.60,120.41,118.50,120.03,1529900,119.35
2012-11-19,118.61,119.72,118.19,119.71,2103000,119.03
2012-11-16,118.05,118.62,116.06,117.56,2487300,116.90
2012-11-15,117.84,118.51,116.52,117.99,2010000,117.32
2012-11-14,121.50,121.96,117.17,117.46,2905800,116.80
2012-11-13,120.69,122.58,120.60,121.32,1152600,120.64
2012-11-12,120.54,122.19,120.39,121.77,1347700,121.08
2012-11-09,120.76,121.77,120.00,120.25,1394100,119.57
2012-11-08,121.87,122.49,120.80,121.03,1987200,120.35
2012-11-07,123.36,124.41,121.31,122.14,1925800,121.45
2012-11-06,124.06,125.50,123.56,124.76,1604400,124.06
2012-11-05,123.20,124.60,123.00,123.74,1153300,123.04
2012-11-02,126.19,126.92,123.97,123.98,1716600,123.28
2012-11-01,123.32,126.35,123.20,125.97,3071600,125.26
2012-10-31,124.59,125.00,122.59,123.03,1727500,122.34
2012-10-26,121.84,123.85,121.32,123.61,2237200,122.91
2012-10-25,121.89,122.94,120.95,121.64,2062600,120.95
2012-10-24,123.43,123.70,120.30,120.87,2429700,120.19
2012-10-23,122.97,123.72,121.93,123.22,1889800,122.52
2012-10-22,123.79,125.17,123.27,124.34,1784300,123.64
2012-10-19,125.56,125.90,123.12,123.77,2535500,123.07
2012-10-18,124.05,128.38,123.12,125.34,3404600,124.63
2012-10-17,123.13,123.99,121.38,123.73,2517100,123.03
2012-10-16,122.03,123.64,121.33,123.40,1582000,122.70
2012-10-15,121.18,121.93,119.77,120.93,1647100,120.25
2012-10-12,121.32,121.98,120.12,121.05,1685700,120.37
2012-10-11,121.95,122.12,120.90,120.92,1533700,120.24
2012-10-10,121.25,121.84,120.40,120.93,1135500,120.25
2012-10-09,122.80,123.45,121.26,121.26,1462500,120.58
2012-10-08,121.94,123.19,121.69,122.64,960100,121.95
2012-10-05,122.28,123.15,121.64,122.16,1468500,121.47
2012-10-04,121.35,122.57,120.80,121.57,1969200,120.88
2012-10-03,119.43,120.72,118.79,120.64,1757800,119.96
2012-10-02,119.19,119.48,118.20,119.10,1720800,118.43
2012-10-01,118.98,119.28,118.12,118.53,1858000,117.86
2012-09-28,118.12,119.03,116.86,118.70,2554100,118.03
2012-09-27,119.40,119.59,118.05,118.51,2718100,117.84
2012-09-26,119.99,120.60,118.51,118.92,2031100,118.25
